lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-25-17,1591079117,239.15100026130676,239.15100026130676,52551,4bdb2e3a7632,192.168.99.2,239.15100026130676,0,1,00001,1_seed=1,5404,2.263563871383667,150,9.688256740570068,300.0,0.0010259620744424562,0.0002250927208418337,0.02410833633194367,0.009747476583967607,0.015003090376380252,0.0010259620744424562,0.0002250927208418337,0.02410833633194367,0.009747476583967607,0,0,0,0,236.88661289215088,2000,236.88661289215088,2000.0,2.6704270845651625,1.0365739756375552,1.284658429145813,0.6669611962437629,1.0181227704150198,2.6704270845651625,1.0365739756375552,1.284658429145813,0.6669611962437629,0,0,0,0,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-29-10,1591079350,232.7784721851349,471.92947244644165,52551,4bdb2e3a7632,192.168.99.2,471.92947244644165,0,2,00001,1_seed=1,5404,2.309007167816162,150,11.99726390838623,450.0,0.0002209859157058721,3.695141844218597e-05,0.011136635343233744,0.004040819477910797,0.006078767839141907,0.0002209859157058721,3.695141844218597e-05,0.011136635343233744,0.004040819477910797,0,0,0,0,230.46854329109192,2000,467.3551561832428,4000.0,2.6652490087747576,1.0359386125206946,1.2834896515607834,0.6666737090349197,1.0178106958175939,2.6652490087747576,1.0359386125206946,1.2834896515607834,0.6666737090349197,0,0,0,0,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-33-08,1591079588,238.76510214805603,710.6945745944977,52551,4bdb2e3a7632,192.168.99.2,710.6945745944977,0,3,00001,1_seed=1,5404,2.2019100189208984,150,14.199173927307129,600.0,0.00021810935402754694,3.619572855920221e-05,0.011339300846060118,0.004299196420858304,0.006016288603383502,0.00021810935402754694,3.619572855920221e-05,0.011136635343233744,0.004040819477910797,0,0,1,1,236.56226539611816,2000,703.917421579361,6000.0,2.6643005262613295,1.035819406837225,1.2832615717053413,0.6666417389810085,1.017752134282815,2.6643005262613295,1.035819406837225,1.2832615717053413,0.6666417389810085,0,0,0,0,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-37-01,1591079821,232.70032668113708,943.3949012756348,52551,4bdb2e3a7632,192.168.99.2,943.3949012756348,0,4,00001,1_seed=1,5404,2.2537078857421875,150,16.452881813049316,750.0,0.000384048002694423,5.403713922229751e-05,0.0164525793120265,0.00587583369265,0.007350995798005703,0.00021810935402754694,3.619572855920221e-05,0.011136635343233744,0.004040819477910797,1,1,2,2,230.44560837745667,2000,934.3630299568176,8000.0,2.6644053658246993,1.0358675270676614,1.2832001835107802,0.666596353828907,1.0177757744550915,2.6643005262613295,1.035819406837225,1.2832001835107802,0.666596353828907,1,1,0,0,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-41-00,1591080060,238.7987241744995,1182.1936254501343,52551,4bdb2e3a7632,192.168.99.2,1182.1936254501343,0,5,00001,1_seed=1,5404,2.284939765930176,150,18.737821578979492,900.0,7.669077109312639e-05,1.2023628369206562e-05,0.006441440132136146,0.0022866328014060854,0.003467510399293211,7.669077109312639e-05,1.2023628369206562e-05,0.006441440132136146,0.0022866328014060854,0,0,0,0,236.5126919746399,2000,1170.8757219314575,10000.0,2.663828370451927,1.0360115226507187,1.2831357358694075,0.6665901599228382,1.0178465123242888,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,0,2,0,0,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-44-53,1591080293,232.6337389945984,1414.8273644447327,52551,4bdb2e3a7632,192.168.99.2,1414.8273644447327,0,6,00001,1_seed=1,5404,2.2821030616760254,150,21.019924640655518,1050.0,0.0001487905713535535,1.933506494727529e-05,0.010155719742178916,0.003567191065909962,0.00439716555831996,7.669077109312639e-05,1.2023628369206562e-05,0.006441440132136146,0.0022866328014060854,1,1,1,1,230.35066723823547,2000,1401.226389169693,12000.0,2.6646357538700105,1.0360939135253429,1.2832731798291206,0.666682503849268,1.0178869846526886,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,1,3,1,1,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-48-52,1591080532,239.00000882148743,1653.82737326622,52551,4bdb2e3a7632,192.168.99.2,1653.82737326622,0,7,00001,1_seed=1,5404,2.2411818504333496,150,23.261106491088867,1200.0,2.8857400987665945e-05,4.654900146003153e-06,0.00412596819922328,0.0014883143229720494,0.002157521760261795,2.8857400987665945e-05,4.654900146003153e-06,0.00412596819922328,0.0014883143229720494,0,0,0,0,236.75797367095947,2000,1637.9843628406525,14000.0,2.6645772668123247,1.0361213166713714,1.2833374732732772,0.666738500058651,1.0179004453635785,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,2,4,2,2,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-52-44,1591080764,232.54294753074646,1886.3703207969666,52551,4bdb2e3a7632,192.168.99.2,1886.3703207969666,0,8,00001,1_seed=1,5404,2.2787044048309326,150,25.5398108959198,1350.0,3.462093246829075e-05,5.542054683852863e-06,0.004662207756191492,0.0016878639231435954,0.0023541568944853404,2.8857400987665945e-05,4.654900146003153e-06,0.00412596819922328,0.0014883143229720494,1,1,1,1,230.26331186294556,2000,1868.247674703598,16000.0,2.664660617351532,1.0361435881853103,1.2832648965120315,0.6666450821459293,1.0179113852321873,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,3,5,3,3,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_06-56-43,1591081003,239.05033230781555,2125.420653104782,52551,4bdb2e3a7632,192.168.99.2,2125.420653104782,0,9,00001,1_seed=1,5404,2.2711448669433594,150,27.81095576286316,1500.0,2.0856331029790454e-05,3.372738659284854e-06,0.0035057103835667174,0.0012652112838501732,0.0018365017449719055,2.0856331029790454e-05,3.372738659284854e-06,0.0035057103835667174,0.0012652112838501732,0,0,0,0,236.77838850021362,2000,2105.0260632038116,18000.0,2.664242392063141,1.0358207625746727,1.2832124885320664,0.6665944682955742,1.0177528003276006,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,4,6,4,4,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,70c9384e5fff40f99428d877eb6f7a30,2020-06-02_07-00-36,1591081236,232.6384518146515,2358.0591049194336,52551,4bdb2e3a7632,192.168.99.2,2358.0591049194336,0,10,00001,1_seed=1,5404,2.2827024459838867,150,30.093658208847046,1650.0,2.281939181557391e-05,3.427920341891877e-06,0.0036123974341899156,0.001279695729414622,0.0018514643776999537,2.0856331029790454e-05,3.372738659284854e-06,0.0035057103835667174,0.0012652112838501732,1,1,1,1,230.35498785972595,2000,2335.3810510635376,20000.0,2.6636262983083725,1.0357259894609452,1.2829981926679612,0.6665511143803596,1.0177062392758263,2.6636262983083725,1.0357259894609452,1.2829981926679612,0.6665511143803596,0,0,0,0,7.424692869186401,150,7.424692869186401,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
