lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-25-18,1591079118,240.73463034629822,240.73463034629822,52557,4bdb2e3a7632,192.168.99.2,240.73463034629822,0,1,00002,2_seed=2,5404,2.268853187561035,150,9.630411386489868,300.0,0.0008421272706861297,9.592104611025813e-05,0.023083771156768004,0.007819060214484731,0.00979392904355847,0.0008421272706861297,9.592104611025813e-05,0.023083771156768004,0.007819060214484731,0,0,0,0,238.46491479873657,2000,238.46491479873657,2000.0,2.6726579452753065,1.0365210434496404,1.285218015909195,0.6671001877486705,1.0180967750904824,2.6726579452753065,1.0365210434496404,1.285218015909195,0.6671001877486705,0,0,0,0,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-29-14,1591079354,235.8379991054535,476.5726294517517,52557,4bdb2e3a7632,192.168.99.2,476.5726294517517,0,2,00002,2_seed=2,5404,2.2657248973846436,150,11.896136283874512,450.0,0.0010338187303083638,0.00012027750262253296,0.02531946071734031,0.008703958702584108,0.01096711003968379,0.0008421272706861297,9.592104611025813e-05,0.023083771156768004,0.007819060214484731,1,1,1,1,233.57154321670532,2000,472.0364580154419,4000.0,2.665198958516121,1.0356803419291973,1.2834321660399437,0.6666662390828133,1.017683812354897,2.665198958516121,1.0356803419291973,1.2834321660399437,0.6666662390828133,0,0,0,0,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-33-15,1591079595,240.5659019947052,717.1385314464569,52557,4bdb2e3a7632,192.168.99.2,717.1385314464569,0,3,00002,2_seed=2,5404,2.3205971717834473,150,14.216733455657959,600.0,0.00025812184321694076,3.642819472588599e-05,0.013335510933150848,0.004746595549707611,0.0060355774144555535,0.00025812184321694076,3.642819472588599e-05,0.013335510933150848,0.004746595549707611,0,0,0,0,238.24384379386902,2000,710.2803018093109,6000.0,2.664093114376068,1.0358042590022087,1.283175337612629,0.6666130048334599,1.017744692446101,2.664093114376068,1.0356803419291973,1.283175337612629,0.6666130048334599,0,1,0,0,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-37-11,1591079831,235.93914103507996,953.0776724815369,52557,4bdb2e3a7632,192.168.99.2,953.0776724815369,0,4,00002,2_seed=2,5404,2.270128011703491,150,16.48686146736145,750.0,0.00017883541993796826,2.7669881225544185e-05,0.010681004052360853,0.0038157877357055743,0.0052602168420649905,0.00017883541993796826,2.7669881225544185e-05,0.010681004052360853,0.0038157877357055743,0,0,0,0,233.66772079467773,2000,943.9480226039886,8000.0,2.664133348941803,1.035648637086153,1.28311368817091,0.6665131728351116,1.017668235274224,2.664093114376068,1.035648637086153,1.28311368817091,0.6665131728351116,1,0,0,0,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-41-11,1591080071,240.42808151245117,1193.505753993988,52557,4bdb2e3a7632,192.168.99.2,1193.505753993988,0,5,00002,2_seed=2,5404,2.2625820636749268,150,18.749443531036377,900.0,8.308065162661174e-05,1.1911632057793516e-05,0.007193434067691366,0.002565122004598379,0.003451323232876561,8.308065162661174e-05,1.1911632057793516e-05,0.007193434067691366,0.002565122004598379,0,0,0,0,238.16448879241943,2000,1182.112511396408,10000.0,2.6644988508224485,1.0359140768945216,1.2832323143482207,0.6666532866954803,1.0177986426079186,2.664093114376068,1.035648637086153,1.28311368817091,0.6665131728351116,2,1,1,1,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-45-07,1591080307,235.70670247077942,1429.2124564647675,52557,4bdb2e3a7632,192.168.99.2,1429.2124564647675,0,6,00002,2_seed=2,5404,2.293185234069824,150,21.0426287651062,1050.0,8.326043568861981e-05,1.3389681043918245e-05,0.007079949844628572,0.002574565534790357,0.0036591913101009415,8.308065162661174e-05,1.1911632057793516e-05,0.007079949844628572,0.002565122004598379,1,1,0,1,233.41272592544556,2000,1415.5252373218536,12000.0,2.664290080904961,1.035765363931656,1.2831702612638474,0.6666081276535988,1.0177255838052102,2.664093114376068,1.035648637086153,1.28311368817091,0.6665131728351116,3,2,2,2,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-49-07,1591080547,240.46688604354858,1669.679342508316,52557,4bdb2e3a7632,192.168.99.2,1669.679342508316,0,7,00002,2_seed=2,5404,2.2486412525177,150,23.2912700176239,1200.0,7.063974383830403e-05,8.87128970134654e-06,0.006794058211768667,0.0022968291211873295,0.0029784710341627533,7.063974383830403e-05,8.87128970134654e-06,0.006794058211768667,0.0022968291211873295,0,0,0,0,238.21726536750793,2000,1653.7425026893616,14000.0,2.6639351754188536,1.035797483742237,1.2831095080971717,0.6665563626587391,1.0177413638750452,2.6639351754188536,1.035648637086153,1.2831095080971717,0.6665131728351116,0,3,0,3,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-53-03,1591080783,235.71657395362854,1905.3959164619446,52557,4bdb2e3a7632,192.168.99.2,1905.3959164619446,0,8,00002,2_seed=2,5404,2.2670626640319824,150,25.558332681655884,1350.0,4.757049782104635e-05,6.674053805303023e-06,0.0052534706983715295,0.0018597821635194123,0.0025834190146592603,4.757049782104635e-05,6.674053805303023e-06,0.0052534706983715295,0.0018597821635194123,0,0,0,0,233.44836807250977,2000,1887.1908707618713,16000.0,2.6641433526277543,1.0360490127205848,1.2832114706039428,0.6666532995402813,1.0178649285246961,2.6639351754188536,1.035648637086153,1.2831095080971717,0.6665131728351116,1,4,1,4,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_06-57-04,1591081024,240.53619265556335,2145.932109117508,52557,4bdb2e3a7632,192.168.99.2,2145.932109117508,0,9,00002,2_seed=2,5404,2.2515149116516113,150,27.809847593307495,1500.0,4.6343697977135887e-05,6.38701485816758e-06,0.0056021525120983524,0.001956970850781848,0.0025272544110491882,4.6343697977135887e-05,6.38701485816758e-06,0.0052534706983715295,0.0018597821635194123,0,0,1,1,238.28386235237122,2000,2125.4747331142426,18000.0,2.664947925209999,1.036179751932621,1.2833861506581306,0.6667273733019828,1.0179291487783524,2.6639351754188536,1.035648637086153,1.2831095080971717,0.6665131728351116,2,5,2,5,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,cbfb8670ea46453bb3153dfcade9495e,2020-06-02_07-01-00,1591081260,235.82459807395935,2381.7567071914673,52557,4bdb2e3a7632,192.168.99.2,2381.7567071914673,0,10,00002,2_seed=2,5404,2.261420249938965,150,30.07126784324646,1650.0,2.7710367806624466e-05,4.478908819388987e-06,0.004051770924900969,0.0014580727042630315,0.002116343265963484,2.7710367806624466e-05,4.478908819388987e-06,0.004051770924900969,0.0014580727042630315,0,0,0,0,233.56242656707764,2000,2359.03715968132,20000.0,2.6638996617794035,1.0357816179990769,1.283135445713997,0.6666330991983414,1.0177335692601854,2.6638996617794035,1.035648637086153,1.2831095080971717,0.6665131728351116,0,6,3,6,7.361558198928833,150,7.361558198928833,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
