lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,e729140db303499f9a18578a4bd134c7,2020-06-02_06-25-20,1591079120,242.28921461105347,242.28921461105347,52555,4bdb2e3a7632,192.168.99.2,242.28921461105347,0,1,00003,3_seed=3,5404,2.253108263015747,150,9.478251934051514,300.0,0.0006873434390096615,0.0001226867875569345,0.02115532886236906,0.008122063167393207,0.011076406798097228,0.0006873434390096615,0.0001226867875569345,0.02115532886236906,0.008122063167393207,0,0,0,0,240.03533458709717,2000,240.03533458709717,2000.0,2.674242848396301,1.036861407995224,1.2855220784544945,0.6671681537628174,1.0182639186356472,2.674242848396301,1.036861407995224,1.2855220784544945,0.6671681537628174,0,0,0,0,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,e729140db303499f9a18578a4bd134c7,2020-06-02_06-29-16,1591079356,236.00997495651245,478.2991895675659,52555,4bdb2e3a7632,192.168.99.2,478.2991895675659,0,2,00003,3_seed=3,5404,2.2446963787078857,150,11.7229483127594,450.0,0.0004928702833907058,5.7807062985375525e-05,0.017144843662778537,0.005786886845404903,0.007603095618586914,0.0004928702833907058,5.7807062985375525e-05,0.017144843662778537,0.005786886845404903,0,0,0,0,233.76413583755493,2000,473.7994704246521,4000.0,2.6652584002017976,1.035993838340044,1.2835190075039864,0.6666779297292232,1.0178378251666833,2.6652584002017976,1.035993838340044,1.2835190075039864,0.6666779297292232,0,0,0,0,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,e729140db303499f9a18578a4bd134c7,2020-06-02_06-33-18,1591079598,242.1928951740265,720.4920847415924,52555,4bdb2e3a7632,192.168.99.2,720.4920847415924,0,3,00003,3_seed=3,5404,2.287324905395508,150,14.010273218154907,600.0,0.00024642988670772563,3.9452548977957725e-05,0.012715985265870889,0.004649612875655293,0.006281126409964834,0.00024642988670772563,3.9452548977957725e-05,0.012715985265870889,0.004649612875655293,0,0,0,0,239.90480542182922,2000,713.7042758464813,6000.0,2.6641585823297502,1.035676266103983,1.283193379163742,0.6665973434746265,1.0176818098521674,2.6641585823297502,1.035676266103983,1.283193379163742,0.6665973434746265,0,0,0,0,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,e729140db303499f9a18578a4bd134c7,2020-06-02_06-37-14,1591079834,235.90710830688477,956.3991930484772,52555,4bdb2e3a7632,192.168.99.2,956.3991930484772,0,4,00003,3_seed=3,5404,2.2513365745544434,150,16.26160979270935,750.0,0.0009009346672488997,0.00011259046572376973,0.027952641981343427,0.009726092579464118,0.010610865455926285,0.00024642988670772563,3.9452548977957725e-05,0.012715985265870889,0.004649612875655293,1,1,1,1,233.6548707485199,2000,947.3591465950012,8000.0,2.6650740789175034,1.0360653133690356,1.2834534637331962,0.666730983108282,1.0178729357680336,2.6641585823297502,1.035676266103983,1.283193379163742,0.6665973434746265,1,1,1,1,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,e729140db303499f9a18578a4bd134c7,2020-06-02_06-41-16,1591080076,242.11063241958618,1198.5098254680634,52555,4bdb2e3a7632,192.168.99.2,1198.5098254680634,0,5,00003,3_seed=3,5404,2.233081102371216,150,18.494690895080566,900.0,0.00020112602758066107,1.8983752064135236e-05,0.010579196059455474,0.0033718744541207948,0.0043570347788530715,0.00020112602758066107,1.8983752064135236e-05,0.010579196059455474,0.0033718744541207948,0,0,0,0,239.87682008743286,2000,1187.235966682434,10000.0,2.6646912128925324,1.0361005303263664,1.2833598046302794,0.6667246996462345,1.017890234910605,2.6641585823297502,1.035676266103983,1.283193379163742,0.6665973434746265,2,2,2,2,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,e729140db303499f9a18578a4bd134c7,2020-06-02_06-45-12,1591080312,235.93429136276245,1434.4441168308258,52555,4bdb2e3a7632,192.168.99.2,1434.4441168308258,0,6,00003,3_seed=3,5404,2.304171323776245,150,20.79886221885681,1050.0,0.00011191460236053293,1.4658046275144443e-05,0.008481124509125948,0.0029859047445158163,0.0038285828024406687,0.00011191460236053293,1.4658046275144443e-05,0.008481124509125948,0.0029859047445158163,0,0,0,0,233.6290316581726,2000,1420.8649983406067,12000.0,2.6644673508405687,1.0359197673499585,1.2832452803850174,0.6666341653466225,1.017801438076189,2.6641585823297502,1.035676266103983,1.283193379163742,0.6665973434746265,3,3,3,3,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,e729140db303499f9a18578a4bd134c7,2020-06-02_06-49-14,1591080554,242.13455033302307,1676.5786671638489,52555,4bdb2e3a7632,192.168.99.2,1676.5786671638489,0,7,00003,3_seed=3,5404,2.2164041996002197,150,23.01526641845703,1200.0,4.16409578853442e-05,6.863909832948896e-06,0.005312735931947827,0.001972365843442579,0.002619906454999662,4.16409578853442e-05,6.863909832948896e-06,0.005312735931947827,0.001972365843442579,0,0,0,0,239.9173138141632,2000,1660.78231215477,14000.0,2.6644373931884764,1.0360343078970908,1.2832602943181992,0.6666547201573849,1.0178577051322502,2.6641585823297502,1.035676266103983,1.283193379163742,0.6665973434746265,4,4,4,4,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,e729140db303499f9a18578a4bd134c7,2020-06-02_06-53-10,1591080790,235.8383288383484,1912.4169960021973,52555,4bdb2e3a7632,192.168.99.2,1912.4169960021973,0,8,00003,3_seed=3,5404,2.200232744216919,150,25.21549916267395,1350.0,4.312746508124595e-05,5.260905927571003e-06,0.005068486202508211,0.0017129809137744207,0.0022936664813287488,4.16409578853442e-05,5.260905927571003e-06,0.005068486202508211,0.0017129809137744207,1,0,0,0,233.63732266426086,2000,1894.4196348190308,16000.0,2.663709215760231,1.0355560101866723,1.2830356395244598,0.6664751309156418,1.017622724877286,2.663709215760231,1.0355560101866723,1.2830356395244598,0.6664751309156418,0,0,0,0,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,e729140db303499f9a18578a4bd134c7,2020-06-02_06-57-12,1591081032,242.06647729873657,2154.483473300934,52555,4bdb2e3a7632,192.168.99.2,2154.483473300934,0,9,00003,3_seed=3,5404,2.2528297901153564,150,27.468328952789307,1500.0,1.8567499112881098e-05,3.0662310503733655e-06,0.003313903878442943,0.0011947779217734932,0.00175106568990811,1.8567499112881098e-05,3.0662310503733655e-06,0.003313903878442943,0.0011947779217734932,0,0,0,0,239.8123917579651,2000,2134.232026576996,18000.0,2.663984764099121,1.0358216605186463,1.2831286129951478,0.6666312620043755,1.0177532414680124,2.663709215760231,1.0355560101866723,1.2830356395244598,0.6664751309156418,1,1,1,1,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,e729140db303499f9a18578a4bd134c7,2020-06-02_07-01-08,1591081268,236.12014508247375,2390.6036183834076,52555,4bdb2e3a7632,192.168.99.2,2390.6036183834076,0,10,00003,3_seed=3,5404,2.2552103996276855,150,29.723539352416992,1650.0,1.4821913209743798e-05,2.539795865838338e-06,0.0029353976824010412,0.0010617493752700588,0.0015936737011817501,1.4821913209743798e-05,2.539795865838338e-06,0.0029353976824010412,0.0010617493752700588,0,0,0,0,233.8638789653778,2000,2368.0959055423737,20000.0,2.6644275337457657,1.036078586935997,1.2832277144789697,0.6666508895754815,1.0178794559946658,2.663709215760231,1.0355560101866723,1.2830356395244598,0.6664751309156418,2,2,2,2,7.225143671035767,150,7.225143671035767,150.0,4.973017517725626,0.5158693774541219,2.1278272088368735,0.7077811658382416,0.7182404732776634
