lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_08-10-11,1591085411,1064.3404664993286,1064.3404664993286,79373,4bdb2e3a7632,192.168.99.2,1064.3404664993286,0,1,00000,0_seed=0,4456644,37.79883670806885,150,79.37371277809143,300.0,0.0006633486819919199,0.00030347674095537513,0.02057601496577263,0.0138938210097452,0.01742058382934898,0.0006633486819919199,0.00030347674095537513,0.02057601496577263,0.0138938210097452,0,0,0,0,1026.5293436050415,2000,1026.5293436050415,2000.0,0.009437729767814745,0.004370470707450295,0.05121359058469534,0.03476613887585699,0.06610953567716457,0.009437729767814745,0.004370470707450295,0.05121359058469534,0.03476613887585699,0,0,0,0,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_08-27-49,1591086469,1057.9935624599457,2122.3340289592743,79373,4bdb2e3a7632,192.168.99.2,2122.3340289592743,0,2,00000,0_seed=0,4456644,36.632522106170654,150,116.00623488426208,450.0,0.00040565091631530474,0.00017745315562933683,0.012044169909010331,0.008053680161635081,0.013321154440563206,0.00040565091631530474,0.00017745315562933683,0.012044169909010331,0.008053680161635081,0,0,0,0,1021.3479685783386,2000,2047.8773121833801,4000.0,0.0013416655348555651,0.0006433146893541562,0.02599862539023161,0.0178489420725964,0.02536364897553497,0.0013416655348555651,0.0006433146893541562,0.02599862539023161,0.0178489420725964,0,0,0,0,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_08-45-27,1591087527,1057.706563949585,3180.0405929088593,79373,4bdb2e3a7632,192.168.99.2,3180.0405929088593,0,3,00000,0_seed=0,4456644,37.65137600898743,150,153.6576108932495,600.0,4.2551977142769225e-05,1.8976942398391355e-05,0.004918086538091302,0.0032952880067750813,0.00435625325232491,4.2551977142769225e-05,1.8976942398391355e-05,0.004918086538091302,0.0032952880067750813,0,0,0,0,1020.0418899059296,2000,3067.9192020893097,6000.0,0.0007114446423074696,0.0003627395521325525,0.019533040332607925,0.013600541557185352,0.019045722672887802,0.0007114446423074696,0.0003627395521325525,0.019533040332607925,0.013600541557185352,0,0,0,0,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_09-03-02,1591088582,1055.0725750923157,4235.113168001175,79373,4bdb2e3a7632,192.168.99.2,4235.113168001175,0,4,00000,0_seed=0,4456644,36.95414710044861,150,190.61175799369812,750.0,7.711088129629691e-05,3.478454372573955e-05,0.007335305443654458,0.004941350802158316,0.0058978422940715826,4.2551977142769225e-05,1.8976942398391355e-05,0.004918086538091302,0.0032952880067750813,1,1,1,1,1018.1072041988373,2000,4086.026406288147,8000.0,0.0007927264959143941,0.0003990199515828863,0.020761828757822513,0.014402987763285637,0.019975483763425762,0.0007114446423074696,0.0003627395521325525,0.019533040332607925,0.013600541557185352,1,1,1,1,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_09-20-37,1591089637,1055.095814704895,5290.20898270607,79373,4bdb2e3a7632,192.168.99.2,5290.20898270607,0,5,00000,0_seed=0,4456644,36.88258624076843,150,227.49434423446655,900.0,5.5901996383909135e-05,2.4781205283943563e-05,0.005108438196281592,0.0034161985013633966,0.004978072446634697,4.2551977142769225e-05,1.8976942398391355e-05,0.004918086538091302,0.0032952880067750813,2,2,2,2,1018.2003149986267,2000,5104.226721286774,10000.0,0.0006802604569820687,0.0003485116466326872,0.018867102378979324,0.013167366007342935,0.018668466638497312,0.0006802604569820687,0.0003485116466326872,0.018867102378979324,0.013167366007342935,0,0,0,0,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_09-38-13,1591090693,1055.774257183075,6345.983239889145,79373,4bdb2e3a7632,192.168.99.2,6345.983239889145,0,6,00000,0_seed=0,4456644,35.64999079704285,150,263.1443350315094,1050.0,6.173861402203329e-05,2.8912123658907757e-05,0.006931517046565811,0.0047139246854931115,0.005376999503338991,4.2551977142769225e-05,1.8976942398391355e-05,0.004918086538091302,0.0032952880067750813,3,3,3,3,1020.111489534378,2000,6124.338210821152,12000.0,0.0006916294154070783,0.00035351659602019935,0.019088931132107974,0.013310514817479998,0.0188020370178393,0.0006802604569820687,0.0003485116466326872,0.018867102378979324,0.013167366007342935,1,1,1,1,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_09-55-50,1591091750,1057.196576833725,7403.17981672287,79373,4bdb2e3a7632,192.168.99.2,7403.17981672287,0,7,00000,0_seed=0,4456644,36.47065615653992,150,299.6149911880493,1200.0,2.9807522611614938e-05,1.3393162632079718e-05,0.004557231996829311,0.00306557296620061,0.0036596670110926374,2.9807522611614938e-05,1.3393162632079718e-05,0.004557231996829311,0.00306557296620061,0,0,0,0,1020.7127032279968,2000,7145.050914049149,14000.0,0.0006659701932221652,0.00034195491367427166,0.01853235173318535,0.012949700091965496,0.01849202297408998,0.0006659701932221652,0.00034195491367427166,0.01853235173318535,0.012949700091965496,0,0,0,0,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_10-13-28,1591092808,1057.6088745594025,8460.788691282272,79373,4bdb2e3a7632,192.168.99.2,8460.788691282272,0,8,00000,0_seed=0,4456644,35.504868030548096,150,335.1198592185974,1350.0,1.7049650668923278e-05,7.5961991024087185e-06,0.0032924231793731453,0.002207887287562092,0.0027561202989725827,1.7049650668923278e-05,7.5961991024087185e-06,0.0032924231793731453,0.002207887287562092,0,0,0,0,1022.0915811061859,2000,8167.1424951553345,16000.0,0.0006678936186071951,0.0003428232803271385,0.01857636458519846,0.012978123459033668,0.018515487580054123,0.0006659701932221652,0.00034195491367427166,0.01853235173318535,0.012949700091965496,1,1,1,1,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_10-31-07,1591093867,1058.8976602554321,9519.686351537704,79373,4bdb2e3a7632,192.168.99.2,9519.686351537704,0,9,00000,0_seed=0,4456644,36.26113295555115,150,371.38099217414856,1500.0,1.5577165213471745e-05,6.873823801167115e-06,0.0031250198014701404,0.0020885828028743467,0.002621797818514447,1.5577165213471745e-05,6.873823801167115e-06,0.0031250198014701404,0.0020885828028743467,0,0,0,0,1022.6252465248108,2000,9189.767741680145,18000.0,0.0006585071861045435,0.00033854350117326246,0.01834507590625435,0.012828463417943567,0.018399551656854644,0.0006585071861045435,0.00033854350117326246,0.01834507590625435,0.012828463417943567,0,0,0,0,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,e1aa71909a704dfc89fd4d8b3b7294c9,2020-06-02_10-48-44,1591094924,1057.3767290115356,10577.06308054924,79373,4bdb2e3a7632,192.168.99.2,10577.06308054924,0,10,00000,0_seed=0,4456644,36.175700426101685,150,407.55669260025024,1650.0,1.8511253450318085e-05,8.161782655709734e-06,0.00332614885798345,0.002221770123578608,0.0028568833815383037,1.5577165213471745e-05,6.873823801167115e-06,0.0031250198014701404,0.0020885828028743467,1,1,1,1,1021.1896579265594,2000,10210.957399606705,20000.0,0.0006586975836835336,0.00033863076752459165,0.01834905402828008,0.012830967930611222,0.018401922930079664,0.0006585071861045435,0.00033854350117326246,0.01834507590625435,0.012828463417943567,1,1,1,1,41.57487607002258,150,41.57487607002258,150.0,0.17489638874928157,0.07452609946330388,0.35888449728488925,0.23663082897663115,0.27299468761004103
