lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,ff2220670f3849b192c832644171988b,2020-06-02_08-10-40,1591085440,1094.0794594287872,1094.0794594287872,79371,4bdb2e3a7632,192.168.99.2,1094.0794594287872,0,1,00001,1_seed=1,4456644,36.948691844940186,150,77.84800672531128,300.0,0.0012503462991056342,0.000595601301950713,0.029798356691996257,0.020360225749512514,0.02440494421117805,0.0012503462991056342,0.000595601301950713,0.029798356691996257,0.020360225749512514,0,0,0,0,1057.1200597286224,2000,1057.1200597286224,2000.0,0.009354004553228152,0.0043270240289275536,0.053226478352211413,0.0360875122975558,0.06578011879684889,0.009354004553228152,0.0043270240289275536,0.053226478352211413,0.0360875122975558,0,0,0,0,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,ff2220670f3849b192c832644171988b,2020-06-02_08-28-48,1591086528,1087.4832146167755,2181.5626740455627,79371,4bdb2e3a7632,192.168.99.2,2181.5626740455627,0,2,00001,1_seed=1,4456644,34.93467330932617,150,112.78268003463745,450.0,0.0004464423753476391,0.00018548287849019592,0.014673525808999936,0.009701306124528249,0.013619209906973162,0.0004464423753476391,0.00018548287849019592,0.014673525808999936,0.009701306124528249,0,0,0,0,1052.5370185375214,2000,2109.657078266144,4000.0,0.0012783304797776508,0.0006109258414799115,0.026815088549628854,0.018356110321823507,0.024716914076799948,0.0012783304797776508,0.0006109258414799115,0.026815088549628854,0.018356110321823507,0,0,0,0,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,ff2220670f3849b192c832644171988b,2020-06-02_08-46-58,1591087618,1090.3485052585602,3271.911179304123,79371,4bdb2e3a7632,192.168.99.2,3271.911179304123,0,3,00001,1_seed=1,4456644,36.261698484420776,150,149.04437851905823,600.0,0.00014139257022179662,6.579972357333948e-05,0.010597920181850592,0.007201734002058704,0.008111702877530678,0.00014139257022179662,6.579972357333948e-05,0.010597920181850592,0.007201734002058704,0,0,0,0,1054.076905965805,2000,3163.733984231949,6000.0,0.0007142410231463145,0.00036384197426377794,0.019616612209007143,0.013652960643172264,0.01907464217918066,0.0007142410231463145,0.00036384197426377794,0.019616612209007143,0.013652960643172264,0,0,0,0,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,ff2220670f3849b192c832644171988b,2020-06-02_09-05-05,1591088705,1086.8154838085175,4358.72666311264,79371,4bdb2e3a7632,192.168.99.2,4358.72666311264,0,4,00001,1_seed=1,4456644,36.78779911994934,150,185.83217763900757,750.0,2.2111026313117086e-05,9.813419862136167e-06,0.0037054565999036036,0.002479874836280942,0.0031326378440758463,2.2111026313117086e-05,9.813419862136167e-06,0.0037054565999036036,0.002479874836280942,0,0,0,0,1050.0167150497437,2000,4213.7506992816925,8000.0,0.0007874538046307862,0.0003958507249772083,0.020780592450872062,0.014408583376090973,0.019895997712535262,0.0007142410231463145,0.00036384197426377794,0.019616612209007143,0.013652960643172264,1,1,1,1,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,ff2220670f3849b192c832644171988b,2020-06-02_09-23-10,1591089790,1085.1667022705078,5443.893365383148,79371,4bdb2e3a7632,192.168.99.2,5443.893365383148,0,5,00001,1_seed=1,4456644,35.66844844818115,150,221.50062608718872,900.0,5.452922700593869e-05,2.2794562743608062e-05,0.004750945897152027,0.003146372912451625,0.004774365166554404,2.2111026313117086e-05,9.813419862136167e-06,0.0037054565999036036,0.002479874836280942,1,1,1,1,1049.485877752304,2000,5263.236577033997,10000.0,0.0006848639576637652,0.0003505321945413016,0.018990520500577986,0.013246249872725458,0.0187225050284758,0.0006848639576637652,0.0003505321945413016,0.018990520500577986,0.013246249872725458,0,0,0,0,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,ff2220670f3849b192c832644171988b,2020-06-02_09-41-20,1591090880,1089.888061761856,6533.781427145004,79371,4bdb2e3a7632,192.168.99.2,6533.781427145004,0,6,00001,1_seed=1,4456644,35.1619029045105,150,256.6625289916992,1050.0,0.00014110838732449337,6.626372749451547e-05,0.011077453593413035,0.0075378317975749575,0.008140253527655971,2.2111026313117086e-05,9.813419862136167e-06,0.0037054565999036036,0.002479874836280942,2,2,2,2,1054.7153625488281,2000,6317.951939582825,12000.0,0.0006911850661563222,0.00035318750736769287,0.019143165979534388,0.013343363968655467,0.018793283570672073,0.0006848639576637652,0.0003505321945413016,0.018990520500577986,0.013246249872725458,1,1,1,1,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,ff2220670f3849b192c832644171988b,2020-06-02_09-59-29,1591091969,1088.964191198349,7622.745618343353,79371,4bdb2e3a7632,192.168.99.2,7622.745618343353,0,7,00001,1_seed=1,4456644,34.820748805999756,150,291.483277797699,1200.0,9.079371661452266e-05,4.02568734716624e-05,0.00811088213697076,0.005456910108526548,0.0063448304525544575,2.2111026313117086e-05,9.813419862136167e-06,0.0037054565999036036,0.002479874836280942,3,3,3,3,1054.132955789566,2000,7372.084895372391,14000.0,0.0006680092236201745,0.00034281267438200305,0.01860193862300366,0.012993785822764038,0.01851520117044379,0.0006680092236201745,0.00034281267438200305,0.01860193862300366,0.012993785822764038,0,0,0,0,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,ff2220670f3849b192c832644171988b,2020-06-02_10-17-37,1591093057,1087.6397686004639,8710.385386943817,79371,4bdb2e3a7632,192.168.99.2,8710.385386943817,0,8,00001,1_seed=1,4456644,35.291668176651,150,326.77494597435,1350.0,3.4487054726923816e-05,1.496693354662663e-05,0.004537579560031493,0.003031586001937588,0.0038687121302348965,2.2111026313117086e-05,9.813419862136167e-06,0.0037054565999036036,0.002479874836280942,4,4,4,4,1052.3370027542114,2000,8424.421898126602,16000.0,0.0006702071556937881,0.00034376428526593374,0.018661340611986817,0.01303168861940503,0.018540881458709933,0.0006680092236201745,0.00034281267438200305,0.01860193862300366,0.012993785822764038,1,1,1,1,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,ff2220670f3849b192c832644171988b,2020-06-02_10-35-45,1591094145,1088.3073008060455,9798.692687749863,79371,4bdb2e3a7632,192.168.99.2,9798.692687749863,0,9,00001,1_seed=1,4456644,35.26332116127014,150,362.0382671356201,1500.0,5.69091591508671e-05,2.6286682526309354e-05,0.00676930437485377,0.004592178833360473,0.005127053981216636,2.2111026313117086e-05,9.813419862136167e-06,0.0037054565999036036,0.002479874836280942,5,5,5,5,1053.0332472324371,2000,9477.45514535904,18000.0,0.0006591844279319048,0.0003387874878098955,0.018379036192782222,0.012849602528382093,0.018406180695893854,0.0006591844279319048,0.0003387874878098955,0.018379036192782222,0.012849602528382093,0,0,0,0,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,ff2220670f3849b192c832644171988b,2020-06-02_10-53-55,1591095235,1089.532419681549,10888.225107431412,79371,4bdb2e3a7632,192.168.99.2,10888.225107431412,0,10,00001,1_seed=1,4456644,35.89126777648926,150,397.9295349121094,1650.0,1.273545993171865e-05,5.533081645504959e-06,0.0027852784764642517,0.0018532851214210192,0.002352250336487373,1.273545993171865e-05,5.533081645504959e-06,0.0027852784764642517,0.0018532851214210192,0,0,0,0,1053.6298606395721,2000,10531.085005998611,20000.0,0.000660136562626576,0.0003392138847266324,0.018406242261640726,0.012866982716601342,0.01841776003553723,0.0006591844279319048,0.0003387874878098955,0.018379036192782222,0.012849602528382093,1,1,1,1,40.899314880371094,150,40.899314880371094,150.0,0.06390979001919428,0.029190285590787728,0.20373880137999853,0.1372087726990382,0.17085164790187926
