lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,f2aa254a085f45378068a09a554a2f1e,2020-06-02_08-10-00,1591085400,1052.5491943359375,1052.5491943359375,79379,4bdb2e3a7632,192.168.99.2,1052.5491943359375,0,1,00002,2_seed=2,4456644,37.753931283950806,150,79.16851758956909,300.0,0.000553647814085707,0.00025613931958408403,0.019858047341307004,0.013441250914086898,0.016004353144819194,0.000553647814085707,0.00025613931958408403,0.019858047341307004,0.013441250914086898,0,0,0,0,1014.7838931083679,2000,1014.7838931083679,2000.0,0.008633460993558401,0.00399160673278675,0.05031305236183107,0.034159536061808465,0.06317916375504466,0.008633460993558401,0.00399160673278675,0.05031305236183107,0.034159536061808465,0,0,0,0,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,f2aa254a085f45378068a09a554a2f1e,2020-06-02_08-27-27,1591086447,1047.2066640853882,2099.7558584213257,79379,4bdb2e3a7632,192.168.99.2,2099.7558584213257,0,2,00002,2_seed=2,4456644,37.64712715148926,150,116.81564474105835,450.0,0.00039101273966177057,0.000181216163521943,0.018358933565517266,0.01243086348598202,0.01346165530393432,0.00039101273966177057,0.000181216163521943,0.018358933565517266,0.01243086348598202,0,0,0,0,1009.5478515625,2000,2024.331744670868,4000.0,0.0013071014697488862,0.0006297092469467316,0.02645422845799476,0.018154862229246647,0.025094008188145864,0.0013071014697488862,0.0006297092469467316,0.02645422845799476,0.018154862229246647,0,0,0,0,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,f2aa254a085f45378068a09a554a2f1e,2020-06-02_08-44-53,1591087493,1046.1803805828094,3145.936239004135,79379,4bdb2e3a7632,192.168.99.2,3145.936239004135,0,3,00002,2_seed=2,4456644,37.39635634422302,150,154.21200108528137,600.0,0.0001155537780141458,5.2228820641175845e-05,0.008920767437666654,0.006012498755007982,0.007226950992028094,0.0001155537780141458,5.2228820641175845e-05,0.008920767437666654,0.006012498755007982,0,0,0,0,1008.7715713977814,2000,3033.1033160686493,6000.0,0.0007175986109068617,0.00036565663023793607,0.01964892930351198,0.013677392335608602,0.019122150251421416,0.0007175986109068617,0.00036565663023793607,0.01964892930351198,0.013677392335608602,0,0,0,0,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,f2aa254a085f45378068a09a554a2f1e,2020-06-02_09-02-15,1591088535,1042.3707077503204,4188.306946754456,79379,4bdb2e3a7632,192.168.99.2,4188.306946754456,0,4,00002,2_seed=2,4456644,36.93091058731079,150,191.14291167259216,750.0,0.0001113575066847261,5.1399685059247225e-05,0.008574018739163875,0.005830834905306498,0.007169357367243401,0.0001113575066847261,5.1399685059247225e-05,0.008574018739163875,0.005830834905306498,0,0,0,0,1005.428629398346,2000,4038.5319454669952,8000.0,0.0007869917337375227,0.0003966834380698856,0.020766764894127845,0.014406748831737787,0.019916913367032694,0.0007175986109068617,0.00036565663023793607,0.01964892930351198,0.013677392335608602,1,1,1,1,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,f2aa254a085f45378068a09a554a2f1e,2020-06-02_09-19-38,1591089578,1042.5839059352875,5230.890852689743,79379,4bdb2e3a7632,192.168.99.2,5230.890852689743,0,5,00002,2_seed=2,4456644,36.70363163948059,150,227.84654331207275,900.0,4.2735748356790284e-05,1.962655879954885e-05,0.005362844001501799,0.003630359360637764,0.004430187219469269,4.2735748356790284e-05,1.962655879954885e-05,0.005362844001501799,0.003630359360637764,0,0,0,0,1005.8672223091125,2000,5044.399167776108,10000.0,0.0006856703663652297,0.0003510067914176034,0.018988301681354642,0.013246138675604015,0.018735175243845555,0.0006856703663652297,0.0003510067914176034,0.018988301681354642,0.013246138675604015,0,0,0,0,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,f2aa254a085f45378068a09a554a2f1e,2020-06-02_09-37-03,1591090623,1044.9621212482452,6275.852973937988,79379,4bdb2e3a7632,192.168.99.2,6275.852973937988,0,6,00002,2_seed=2,4456644,36.06454253196716,150,263.9110858440399,1050.0,9.614925836406959e-05,4.351728057372384e-05,0.008522481732070446,0.00574759401070575,0.0065967628859709545,4.2735748356790284e-05,1.962655879954885e-05,0.005362844001501799,0.003630359360637764,1,1,1,1,1008.88543176651,2000,6053.284599542618,12000.0,0.0006959369776886888,0.0003556158441642765,0.01919069232977927,0.013377716622315346,0.018857779407031903,0.0006856703663652297,0.0003510067914176034,0.018988301681354642,0.013246138675604015,1,1,1,1,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,f2aa254a085f45378068a09a554a2f1e,2020-06-02_09-54-29,1591091669,1046.3802852630615,7322.23325920105,79379,4bdb2e3a7632,192.168.99.2,7322.23325920105,0,7,00002,2_seed=2,4456644,36.60725140571594,150,300.51833724975586,1200.0,3.6076900626843175e-05,1.590916159329936e-05,0.004693777489786347,0.0031386408023536204,0.003988629036811942,3.6076900626843175e-05,1.590916159329936e-05,0.004693777489786347,0.0031386408023536204,0,0,0,0,1009.7612099647522,2000,7063.04580950737,14000.0,0.0006672949625062757,0.00034256352427473755,0.018571294708177446,0.012974678826984018,0.018508471689330203,0.0006672949625062757,0.00034256352427473755,0.018571294708177446,0.012974678826984018,0,0,0,0,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,f2aa254a085f45378068a09a554a2f1e,2020-06-02_10-11-55,1591092715,1045.5176739692688,8367.750933170319,79379,4bdb2e3a7632,192.168.99.2,8367.750933170319,0,8,00002,2_seed=2,4456644,35.960083961486816,150,336.4784212112427,1350.0,8.482124050109027e-05,3.845305247523356e-05,0.008160068237533171,0.005503158665572603,0.006201052529630237,3.6076900626843175e-05,1.590916159329936e-05,0.004693777489786347,0.0031386408023536204,1,1,1,1,1009.5447981357574,2000,8072.590607643127,16000.0,0.0006716032898693811,0.00034453913547622506,0.0186684303432703,0.013037972539663314,0.01856176541916811,0.0006672949625062757,0.00034256352427473755,0.018571294708177446,0.012974678826984018,1,1,1,1,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,f2aa254a085f45378068a09a554a2f1e,2020-06-02_10-29-21,1591093761,1045.7536783218384,9413.504611492157,79379,4bdb2e3a7632,192.168.99.2,9413.504611492157,0,9,00002,2_seed=2,4456644,35.650819540023804,150,372.1292407512665,1500.0,2.3357843650349725e-05,1.0383343214925844e-05,0.0039865150519957145,0.0026726386540879806,0.003222319539543812,2.3357843650349725e-05,1.0383343214925844e-05,0.0039865150519957145,0.0026726386540879806,0,0,0,0,1010.0905165672302,2000,9082.681124210358,18000.0,0.0006601654815021902,0.00033929376107698773,0.018392924684099855,0.01285906559880823,0.01841992836785713,0.0006601654815021902,0.00033929376107698773,0.018392924684099855,0.01285906559880823,0,0,0,0,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,f2aa254a085f45378068a09a554a2f1e,2020-06-02_10-46-47,1591094807,1046.0905191898346,10459.595130681992,79379,4bdb2e3a7632,192.168.99.2,10459.595130681992,0,10,00002,2_seed=2,4456644,36.247872829437256,150,408.37711358070374,1650.0,5.165086355797636e-05,2.358745080224859e-05,0.006116787766416868,0.004139936218659083,0.004856691343110924,2.3357843650349725e-05,1.0383343214925844e-05,0.0039865150519957145,0.0026726386540879806,1,1,1,1,1009.8320353031158,2000,10092.513159513474,20000.0,0.0006602307122957427,0.00033932737802388146,0.018395319416187703,0.012860697969328611,0.0184208408609347,0.0006601654815021902,0.00033929376107698773,0.018392924684099855,0.01285906559880823,1,1,1,1,41.414586305618286,150,41.414586305618286,150.0,0.24016805201768876,0.1041140586634477,0.4343831080198288,0.2880541356404622,0.322667101923093
