lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,eafc857d54db4ab9a608285d2d31525b,2020-06-02_08-10-34,1591085434,1087.9188513755798,1087.9188513755798,79404,4bdb2e3a7632,192.168.99.2,1087.9188513755798,0,1,00003,3_seed=3,4456644,36.71807408332825,150,77.31249475479126,300.0,0.0003119194571627304,0.00014199005536890278,0.01403910990183552,0.009456914899249871,0.01191595801305555,0.0003119194571627304,0.00014199005536890278,0.01403910990183552,0.009456914899249871,0,0,0,0,1051.184353351593,2000,1051.184353351593,2000.0,0.008577654969732975,0.003991298853128683,0.05250294940266758,0.03565605331864208,0.0631767271479671,0.008577654969732975,0.003991298853128683,0.05250294940266758,0.03565605331864208,0,0,0,0,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,eafc857d54db4ab9a608285d2d31525b,2020-06-02_08-28-35,1591086515,1081.025143623352,2168.943994998932,79404,4bdb2e3a7632,192.168.99.2,2168.943994998932,0,2,00003,3_seed=3,4456644,35.80649423599243,150,113.11898899078369,450.0,0.0008589445822872222,0.0004031871542489777,0.027691465864578883,0.018817791528999806,0.020079520767413192,0.0003119194571627304,0.00014199005536890278,0.01403910990183552,0.009456914899249871,1,1,1,1,1045.204425573349,2000,2096.388778924942,4000.0,0.0013853336839820258,0.0006639998659811681,0.02815122254192829,0.019261855436488985,0.02576819485298045,0.0013853336839820258,0.0006639998659811681,0.02815122254192829,0.019261855436488985,0,0,0,0,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,eafc857d54db4ab9a608285d2d31525b,2020-06-02_08-46-39,1591087599,1083.8657093048096,3252.8097043037415,79404,4bdb2e3a7632,192.168.99.2,3252.8097043037415,0,3,00003,3_seed=3,4456644,37.08354353904724,150,150.20253252983093,600.0,4.529334204562474e-05,2.0547898833077244e-05,0.005351190827786923,0.0036019997159019114,0.004532979024116176,4.529334204562474e-05,2.0547898833077244e-05,0.005351190827786923,0.0036019997159019114,0,0,0,0,1046.7693603038788,2000,3143.158139228821,6000.0,0.0007097799832408782,0.00036196138958621306,0.019543214322067796,0.013605987040326,0.019025282904235958,0.0007097799832408782,0.00036196138958621306,0.019543214322067796,0.013605987040326,0,0,0,0,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,eafc857d54db4ab9a608285d2d31525b,2020-06-02_09-04-38,1591088678,1079.0748472213745,4331.884551525116,79404,4bdb2e3a7632,192.168.99.2,4331.884551525116,0,4,00003,3_seed=3,4456644,36.719454288482666,150,186.9219868183136,750.0,0.00013248864774747442,6.042183694565514e-05,0.00999802845219771,0.006760742040351033,0.007773148457713588,4.529334204562474e-05,2.0547898833077244e-05,0.005351190827786923,0.0036019997159019114,1,1,1,1,1042.3442599773407,2000,4185.5023992061615,8000.0,0.0007723074641835411,0.00038912281089869795,0.020727502304129303,0.01436939422460273,0.019726196057494157,0.0007097799832408782,0.00036196138958621306,0.019543214322067796,0.013605987040326,1,1,1,1,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,eafc857d54db4ab9a608285d2d31525b,2020-06-02_09-22-36,1591089756,1077.6673369407654,5409.551888465881,79404,4bdb2e3a7632,192.168.99.2,5409.551888465881,0,5,00003,3_seed=3,4456644,36.24831771850586,150,223.17030453681946,900.0,3.704631904838607e-05,1.6957506437999353e-05,0.004972551359484593,0.0033625383659576374,0.004117949300076356,3.704631904838607e-05,1.6957506437999353e-05,0.004972551359484593,0.0033625383659576374,0,0,0,0,1041.409093618393,2000,5226.911492824554,10000.0,0.000675105890550185,0.00034597185434540734,0.018792994066141547,0.013116484425961972,0.018600318662469396,0.000675105890550185,0.00034597185434540734,0.018792994066141547,0.013116484425961972,0,0,0,0,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,eafc857d54db4ab9a608285d2d31525b,2020-06-02_09-40-38,1591090838,1082.160722732544,6491.712611198425,79404,4bdb2e3a7632,192.168.99.2,6491.712611198425,0,6,00003,3_seed=3,4456644,34.890047788619995,150,258.06035232543945,1050.0,1.737101324882436e-05,7.716178060945822e-06,0.0032909977436065673,0.002203005226328969,0.0027778009397625707,1.737101324882436e-05,7.716178060945822e-06,0.0032909977436065673,0.002203005226328969,0,0,0,0,1047.2601599693298,2000,6274.171652793884,12000.0,0.0006863825563050341,0.0003508736234362004,0.01905596171785146,0.013285091280471534,0.01873162095057981,0.000675105890550185,0.00034597185434540734,0.018792994066141547,0.013116484425961972,1,1,1,1,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,eafc857d54db4ab9a608285d2d31525b,2020-06-02_09-58-40,1591091920,1081.7137088775635,7573.426320075989,79404,4bdb2e3a7632,192.168.99.2,7573.426320075989,0,7,00003,3_seed=3,4456644,34.901092290878296,150,292.96144461631775,1200.0,3.135243469538788e-05,1.3942436507932144e-05,0.004459453513845801,0.00299816293331484,0.003733957218278236,1.737101324882436e-05,7.716178060945822e-06,0.0032909977436065673,0.002203005226328969,1,1,1,1,1046.8013141155243,2000,7320.972966909409,14000.0,0.0006629766652476973,0.00034049150995269883,0.01848736148979515,0.012919034070335329,0.01845241203617291,0.0006629766652476973,0.00034049150995269883,0.01848736148979515,0.012919034070335329,0,0,0,0,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,eafc857d54db4ab9a608285d2d31525b,2020-06-02_10-16-40,1591093000,1079.8809180259705,8653.30723810196,79404,4bdb2e3a7632,192.168.99.2,8653.30723810196,0,8,00003,3_seed=3,4456644,34.99065923690796,150,327.9521038532257,1350.0,2.2499890813681608e-05,9.78627484679843e-06,0.0036577848826224607,0.0024390202093248566,0.0031283022307313003,1.737101324882436e-05,7.716178060945822e-06,0.0032909977436065673,0.002203005226328969,2,2,2,2,1044.8791108131409,2000,8365.85207772255,16000.0,0.0006630085385986603,0.0003404550417617429,0.01849659906513989,0.01292451374605298,0.018451423841041183,0.0006629766652476973,0.0003404550417617429,0.01848736148979515,0.012919034070335329,1,0,1,1,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,eafc857d54db4ab9a608285d2d31525b,2020-06-02_10-34-41,1591094081,1081.3044168949127,9734.611654996872,79404,4bdb2e3a7632,192.168.99.2,9734.611654996872,0,9,00003,3_seed=3,4456644,35.47349786758423,150,363.42560172080994,1500.0,1.3018374017216654e-05,5.666978434722599e-06,0.0028436308866366744,0.001892995974048972,0.002380541626336872,1.3018374017216654e-05,5.666978434722599e-06,0.0028436308866366744,0.001892995974048972,0,0,0,0,1045.8192882537842,2000,9411.671365976334,18000.0,0.0006563936384627596,0.00033754197157395536,0.018306845135055483,0.012803032227326185,0.01837231535691556,0.0006563936384627596,0.00033754197157395536,0.018306845135055483,0.012803032227326185,0,0,0,0,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,eafc857d54db4ab9a608285d2d31525b,2020-06-02_10-52-42,1591095162,1081.2131946086884,10815.82484960556,79404,4bdb2e3a7632,192.168.99.2,10815.82484960556,0,10,00003,3_seed=3,4456644,34.97161531448364,150,398.3972170352936,1650.0,1.3349216175508142e-05,5.740985352531425e-06,0.002799884158497055,0.0018580807590236267,0.00239603534041788,1.3018374017216654e-05,5.666978434722599e-06,0.002799884158497055,0.0018580807590236267,1,1,0,0,1046.2304937839508,2000,10457.901859760284,20000.0,0.0006560913289431483,0.0003373829319316428,0.018301934892311692,0.012799532416276634,0.018367986605277206,0.0006560913289431483,0.0003373829319316428,0.018301934892311692,0.012799532416276634,0,0,0,0,40.59442067146301,150,40.59442067146301,150.0,0.07902270073692004,0.03463217007617156,0.22816077669461568,0.15198024074236552,0.1860972059870098
