lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_12-45-05,1591101905,968.1261801719666,968.1261801719666,10669,4bdb2e3a7632,192.168.99.2,968.1261801719666,0,1,00000,0_seed=0,2380732,25.468642711639404,150,56.510685205459595,300.0,0.2631313860416412,0.0004397931972440953,0.4060519435008367,0.015829004682600498,0.02097124691676905,0.2631313860416412,0.0004397931972440953,0.4060519435008367,0.015829004682600498,0,0,0,0,942.6507363319397,2000,942.6507363319397,2000.0,1012.0006064758301,6.188552237927913,20.727380416870115,1.5171546883881093,2.487680091556773,1012.0006064758301,6.188552237927913,20.727380416870115,1.5171546883881093,0,0,0,0,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_13-01-13,1591102873,968.3146245479584,1936.440804719925,10669,4bdb2e3a7632,192.168.99.2,1936.440804719925,0,2,00000,0_seed=0,2380732,25.64071297645569,150,82.15139818191528,450.0,0.29935313244660694,0.00038857934860667836,0.42065576354662576,0.015416988668342431,0.019712416102717557,0.2631313860416412,0.00038857934860667836,0.4060519435008367,0.015416988668342431,1,0,1,0,942.6640696525574,2000,1885.314805984497,4000.0,1006.5991376953125,6.253959102630615,20.701947286605836,1.5254602546095848,2.5007916951698745,1006.5991376953125,6.188552237927913,20.701947286605836,1.5171546883881093,0,1,0,1,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_13-17-21,1591103841,967.5395765304565,2903.9803812503815,10669,4bdb2e3a7632,192.168.99.2,2903.9803812503815,0,3,00000,0_seed=0,2380732,25.478670597076416,150,107.6300687789917,600.0,0.18899576018253963,0.0003140538635974129,0.34549245436986287,0.01342327964802583,0.017721564930824052,0.18899576018253963,0.0003140538635974129,0.34549245436986287,0.01342327964802583,0,0,0,0,942.0521609783173,2000,2827.3669669628143,6000.0,1006.3005351257324,6.252881478786469,20.698926069259645,1.525216042816639,2.500576229349241,1006.3005351257324,6.188552237927913,20.698926069259645,1.5171546883881093,0,2,0,2,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_13-33-29,1591104809,968.0781502723694,3872.058531522751,10669,4bdb2e3a7632,192.168.99.2,3872.058531522751,0,4,00000,0_seed=0,2380732,25.050395011901855,150,132.68046379089355,750.0,0.19801192988952002,0.00024670288189857577,0.34361824452877043,0.012455577117701372,0.015706778215107506,0.18899576018253963,0.00024670288189857577,0.34361824452877043,0.012455577117701372,1,0,0,0,943.0202622413635,2000,3770.387229204178,8000.0,1006.5449593505859,6.253770144462585,20.701195640563967,1.5254183801412582,2.500753915214887,1006.3005351257324,6.188552237927913,20.698926069259645,1.5171546883881093,1,3,1,3,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_13-49-37,1591105777,967.5497443675995,4839.60827589035,10669,4bdb2e3a7632,192.168.99.2,4839.60827589035,0,5,00000,0_seed=0,2380732,25.848718643188477,150,158.52918243408203,900.0,0.09943030749758085,0.0001795722161962961,0.24848934123913446,0.00984038774544994,0.013400455820467306,0.09943030749758085,0.0001795722161962961,0.24848934123913446,0.00984038774544994,0,0,0,0,941.6909184455872,2000,4712.078147649765,10000.0,1006.3109848632813,6.250509339332581,20.696659326553345,1.5251292513608932,2.5001018657911884,1006.3005351257324,6.188552237927913,20.696659326553345,1.5171546883881093,2,4,0,4,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_14-05-44,1591106744,967.2640724182129,5806.872348308563,10669,4bdb2e3a7632,192.168.99.2,5806.872348308563,0,6,00000,0_seed=0,2380732,25.222875356674194,150,183.75205779075623,1050.0,0.1088477756579717,0.00013992902570559332,0.2558135634660721,0.009308964752902587,0.01182915997463866,0.09943030749758085,0.00013992902570559332,0.24848934123913446,0.009308964752902587,1,0,1,0,942.0326769351959,2000,5654.110824584961,12000.0,1006.7394301757812,6.250882056474686,20.70300378894806,1.5252615070939064,2.5001764050711874,1006.3005351257324,6.188552237927913,20.696659326553345,1.5171546883881093,3,5,1,5,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_14-21-51,1591107711,966.7982952594757,6773.670643568039,10669,4bdb2e3a7632,192.168.99.2,6773.670643568039,0,7,00000,0_seed=0,2380732,25.656014680862427,150,209.40807247161865,1200.0,0.06045586558679739,8.698891198340183e-05,0.18754758387804032,0.007054023413608472,0.009326784654070332,0.06045586558679739,8.698891198340183e-05,0.18754758387804032,0.007054023413608472,0,0,0,0,941.1335062980652,2000,6595.244330883026,14000.0,1005.7819519958496,6.249381612300873,20.695673449516296,1.525057836472988,2.4998763194007965,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,0,6,0,6,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_14-37-59,1591108679,968.1336355209351,7741.804279088974,10669,4bdb2e3a7632,192.168.99.2,7741.804279088974,0,8,00000,0_seed=0,2380732,25.197473764419556,150,234.6055462360382,1350.0,0.05167193822562695,7.920944932266139e-05,0.17415553440650305,0.0066375924957295255,0.008899969063017096,0.05167193822562695,7.920944932266139e-05,0.17415553440650305,0.0066375924957295255,0,0,0,0,942.9273934364319,2000,7538.171724319458,16000.0,1006.2526102600098,6.250508171319962,20.69829815864563,1.5252001864910125,2.5001016321981715,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,1,7,1,7,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_14-54-06,1591109646,967.1689286231995,8708.973207712173,10669,4bdb2e3a7632,192.168.99.2,8708.973207712173,0,9,00000,0_seed=0,2380732,25.208348035812378,150,259.8138942718506,1500.0,0.045853284920255345,7.027695877089475e-05,0.16370721727609636,0.0062434815242886545,0.008383135378299383,0.045853284920255345,7.027695877089475e-05,0.16370721727609636,0.0062434815242886545,0,0,0,0,941.9509210586548,2000,8480.122645378113,18000.0,1006.2172359619141,6.250809548139572,20.697396775245668,1.525274591743946,2.5001619043853083,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,2,8,2,8,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_15-10-15,1591110615,968.616598367691,9677.589806079865,10669,4bdb2e3a7632,192.168.99.2,9677.589806079865,0,10,00000,0_seed=0,2380732,25.221203804016113,150,285.0350980758667,1650.0,0.05162566885352135,7.701203469575072e-05,0.17659778038660684,0.006687460700049996,0.008775650101032442,0.045853284920255345,7.027695877089475e-05,0.16370721727609636,0.0062434815242886545,1,1,1,1,943.3844690322876,2000,9423.5071144104,20000.0,1005.9531391601563,6.249920430660247,20.697419344902038,1.5250839920639991,2.499984086081399,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,3,9,3,9,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[1.0240000000000004e-05, 1.0240000000000004e-05, 1.0240000000000004e-05, 1.0240000000000004e-05]",10,False,,,11,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_15-26-23,1591111583,968.0386431217194,10645.628449201584,10669,4bdb2e3a7632,192.168.99.2,10645.628449201584,0,11,00000,0_seed=0,2380732,25.65191650390625,150,310.68701457977295,1800.0,0.03847523363928,6.164188775680183e-05,0.149968630472819,0.00578084950024883,0.007851234791852924,0.03847523363928,6.164188775680183e-05,0.149968630472819,0.00578084950024883,0,0,0,0,942.3779168128967,2000,10365.885031223297,22000.0,1006.4868388671875,6.251434429645538,20.702655885696412,1.52537948179245,2.500286869470289,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,4,10,4,10,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[1.0240000000000004e-05, 1.0240000000000004e-05, 1.0240000000000004e-05, 1.0240000000000004e-05]",11,False,,,12,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_15-42-31,1591112551,968.0594415664673,11613.687890768051,10669,4bdb2e3a7632,192.168.99.2,11613.687890768051,0,12,00000,0_seed=0,2380732,25.39993643760681,150,336.08695101737976,1950.0,0.03869205765426159,6.119051979718885e-05,0.15027691692113876,0.005773783586919308,0.007822436947472882,0.03847523363928,6.119051979718885e-05,0.149968630472819,0.005773783586919308,1,0,1,0,942.6501679420471,2000,11308.535199165344,24000.0,1006.7842742309571,6.249735373020172,20.702177542686464,1.5251495207548142,2.4999470740438032,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,5,11,5,11,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[4.096000000000002e-06, 4.096000000000002e-06, 4.096000000000002e-06, 4.096000000000002e-06]",12,False,,,13,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_15-58-39,1591113519,967.7093608379364,12581.397251605988,10669,4bdb2e3a7632,192.168.99.2,12581.397251605988,0,13,00000,0_seed=0,2380732,25.129038333892822,150,361.2159893512726,2100.0,0.03599157822628816,5.835533251229208e-05,0.14511698842048645,0.005603426409264405,0.0076390662068273815,0.03599157822628816,5.835533251229208e-05,0.14511698842048645,0.005603426409264405,0,0,0,0,942.5710279941559,2000,12251.1062271595,26000.0,1006.2857272033691,6.251630069732666,20.70030985736847,1.525325535416603,2.5003259926922863,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,6,12,6,12,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[4.096000000000002e-06, 4.096000000000002e-06, 4.096000000000002e-06, 4.096000000000002e-06]",13,False,,,14,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_16-14-46,1591114486,967.4548091888428,13548.85206079483,10669,4bdb2e3a7632,192.168.99.2,13548.85206079483,0,14,00000,0_seed=0,2380732,25.417390823364258,150,386.63338017463684,2250.0,0.035558077568809195,5.766049810821035e-05,0.14424718459447225,0.005571997392301758,0.007593451001238524,0.035558077568809195,5.766049810821035e-05,0.14424718459447225,0.005571997392301758,0,0,0,0,942.0292429924011,2000,13193.135470151901,28000.0,1006.6672437133789,6.25153776717186,20.699983196258543,1.525276586353779,2.500307534518876,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,7,13,7,13,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[1.638400000000001e-06, 1.638400000000001e-06, 1.638400000000001e-06, 1.638400000000001e-06]",14,True,,,15,2cca2a5ce54041bcac5cb530780ed806,2020-06-02_16-30-53,1591115453,967.1931900978088,14516.04525089264,10669,4bdb2e3a7632,192.168.99.2,14516.04525089264,0,15,00000,0_seed=0,2380732,25.316563367843628,150,411.94994354248047,2400.0,0.035156920403242115,5.724788269920585e-05,0.14342708865801493,0.005546774786586563,0.0075662330587423655,0.035156920403242115,5.724788269920585e-05,0.14342708865801493,0.005546774786586563,0,0,0,0,941.868047952652,2000,14135.003518104553,30000.0,1006.6050293273926,6.249945039272308,20.70045409488678,1.525126910150051,2.499989007830296,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,8,14,8,14,31.04204249382019,150,31.04204249382019,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
