lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_12-45-22,1591101922,985.5161736011505,985.5161736011505,10705,4bdb2e3a7632,192.168.99.2,985.5161736011505,0,1,00001,1_seed=1,2380732,25.002191305160522,150,55.15677762031555,300.0,0.2854763352870941,0.0005382087205847105,0.42533811231454216,0.017043457937737306,0.02319932586487613,0.2854763352870941,0.0005382087205847105,0.42533811231454216,0.017043457937737306,0,0,0,0,960.5035519599915,2000,960.5035519599915,2000.0,1011.2106748962402,6.185640799403191,20.720173345565797,1.516873871743679,2.487094851308086,1011.2106748962402,6.185640799403191,20.720173345565797,1.516873871743679,0,0,0,0,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_13-01-48,1591102908,985.9335978031158,1971.4497714042664,10705,4bdb2e3a7632,192.168.99.2,1971.4497714042664,0,2,00001,1_seed=1,2380732,25.38498330116272,150,80.54176092147827,450.0,0.2168992261091868,0.00036233774580371876,0.36675671756267547,0.01430100563292702,0.019035171283803012,0.2168992261091868,0.00036233774580371876,0.36675671756267547,0.01430100563292702,0,0,0,0,960.5391387939453,2000,1921.0426907539368,4000.0,1006.508378326416,6.255699446678162,20.700296763420106,1.5254872395396233,2.5011396295845145,1006.508378326416,6.185640799403191,20.700296763420106,1.516873871743679,0,1,0,1,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_13-18-15,1591103895,986.7537908554077,2958.203562259674,10705,4bdb2e3a7632,192.168.99.2,2958.203562259674,0,3,00001,1_seed=1,2380732,25.68485689163208,150,106.22661781311035,600.0,0.12437672416369121,0.00018204665170439208,0.27255577166875206,0.01029499008009831,0.013492466479646784,0.12437672416369121,0.00018204665170439208,0.27255577166875206,0.01029499008009831,0,0,0,0,961.0596063137054,2000,2882.102297067642,6000.0,1006.6652537231446,6.254901252031326,20.702589005470276,1.5256195374727248,2.5009800583034094,1006.508378326416,6.185640799403191,20.700296763420106,1.516873871743679,1,2,1,2,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_13-34-40,1591104880,985.1264462471008,3943.330008506775,10705,4bdb2e3a7632,192.168.99.2,3943.330008506775,0,4,00001,1_seed=1,2380732,25.04885697364807,150,131.27547478675842,750.0,0.1497410754362742,0.00020854456893478832,0.2988157788912455,0.011134450833002726,0.014441072291723643,0.12437672416369121,0.00018204665170439208,0.27255577166875206,0.01029499008009831,1,1,1,1,960.0691421031952,2000,3842.1714391708374,8000.0,1006.767712310791,6.2566900188922885,20.703067140579222,1.5257388582229614,2.5013376459191368,1006.508378326416,6.185640799403191,20.700296763420106,1.516873871743679,2,3,2,3,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_13-51-07,1591105867,987.2356953620911,4930.565703868866,10705,4bdb2e3a7632,192.168.99.2,4930.565703868866,0,5,00001,1_seed=1,2380732,25.587003469467163,150,156.8624782562256,900.0,0.0757010451455911,0.0001089509585290216,0.21217627137899397,0.007975589223206044,0.01043795758417429,0.0757010451455911,0.0001089509585290216,0.21217627137899397,0.007975589223206044,0,0,0,0,961.6391777992249,2000,4803.810616970062,10000.0,1005.6941929016114,6.250034897327423,20.695603210449217,1.525171416759491,2.5000069794557422,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,0,4,0,4,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_14-07-33,1591106853,986.066163778305,5916.631867647171,10705,4bdb2e3a7632,192.168.99.2,5916.631867647171,0,6,00001,1_seed=1,2380732,24.9636013507843,150,181.8260796070099,1050.0,0.09597328493992488,0.0001659449211244161,0.24251078228155773,0.009569719526916742,0.01288196107447993,0.0757010451455911,0.0001089509585290216,0.21217627137899397,0.007975589223206044,1,1,1,1,961.0936605930328,2000,5764.904277563095,12000.0,1006.9400649719238,6.252084706783295,20.700874004364014,1.525311154961586,2.5004169065944373,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,1,5,1,5,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_14-24-00,1591107840,986.3298432826996,6902.961710929871,10705,4bdb2e3a7632,192.168.99.2,6902.961710929871,0,7,00001,1_seed=1,2380732,24.873936414718628,150,206.70001602172852,1200.0,0.06386020908753078,9.461123190703801e-05,0.19608965754508972,0.007421322117249171,0.009726830517030613,0.06386020908753078,9.461123190703801e-05,0.19608965754508972,0.007421322117249171,0,0,0,0,961.4472277164459,2000,6726.351505279541,14000.0,1007.1279837036133,6.253518249988556,20.704284212112427,1.525514316022396,2.500703551000909,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,2,6,2,6,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_14-40-26,1591108826,986.2606642246246,7889.222375154495,10705,4bdb2e3a7632,192.168.99.2,7889.222375154495,0,8,00001,1_seed=1,2380732,25.31178879737854,150,232.01180481910706,1350.0,0.05240255077679952,8.767780285173406e-05,0.17772838373978933,0.0069109399244189264,0.009363642605937823,0.05240255077679952,8.767780285173406e-05,0.17772838373978933,0.0069109399244189264,0,0,0,0,960.9406170845032,2000,7687.292122364044,16000.0,1006.330846862793,6.249648258209229,20.69975999355316,1.5251498818993567,2.4999296506520396,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,3,7,3,7,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_14-56-53,1591109813,987.2961518764496,8876.518527030945,10705,4bdb2e3a7632,192.168.99.2,8876.518527030945,0,9,00001,1_seed=1,2380732,25.567680597305298,150,257.57948541641235,1500.0,0.04588777221739292,6.977694550490318e-05,0.165286299486955,0.0062863166940708955,0.00835325957365765,0.04588777221739292,6.977694550490318e-05,0.165286299486955,0.0062863166940708955,0,0,0,0,961.7200956344604,2000,8649.012217998505,18000.0,1006.3608271484375,6.249542888641358,20.697929288864135,1.5252439111471177,2.499908576056604,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,4,8,4,8,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,7c9ee36135654c92a17a408a1ed4c29c,2020-06-02_15-13-19,1591110799,986.0423901081085,9862.560917139053,10705,4bdb2e3a7632,192.168.99.2,9862.560917139053,0,10,00001,1_seed=1,2380732,25.71005129814148,150,283.28953671455383,1650.0,0.042601649860541026,6.481788751746838e-05,0.15766975233952205,0.006000610093275706,0.008050955689697242,0.042601649860541026,6.481788751746838e-05,0.15766975233952205,0.006000610093275706,0,0,0,0,960.3237881660461,2000,9609.33600616455,20000.0,1006.7972854309082,6.250991322517395,20.69991366195679,1.5251997185349464,2.50019825664234,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,5,9,5,9,30.15458631515503,150,30.15458631515503,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
