lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_12-45-24,1591101924,985.5708351135254,985.5708351135254,10696,4bdb2e3a7632,192.168.99.2,985.5708351135254,0,1,00003,3_seed=3,2380732,25.807506322860718,150,57.70622968673706,300.0,0.3210622435808182,0.0004648781790941333,0.44103532592455547,0.01652568479379018,0.021561033813204164,0.3210622435808182,0.0004648781790941333,0.44103532592455547,0.01652568479379018,0,0,0,0,959.7546224594116,2000,959.7546224594116,2000.0,1011.0910686340331,6.183699374884367,20.718348757743836,1.5165018314421177,2.4867045210246363,1011.0910686340331,6.183699374884367,20.718348757743836,1.5165018314421177,0,0,0,0,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_13-01-49,1591102909,984.8082590103149,1970.3790941238403,10696,4bdb2e3a7632,192.168.99.2,1970.3790941238403,0,2,00003,3_seed=3,2380732,25.642731428146362,150,83.34896111488342,450.0,0.28528790473937987,0.0004485463380115107,0.4149713651339213,0.015958703185121218,0.02117891257858889,0.28528790473937987,0.0004485463380115107,0.4149713651339213,0.015958703185121218,0,0,0,0,959.1558027267456,2000,1918.9104251861572,4000.0,1006.8861912536621,6.254148747205734,20.702522542953492,1.5253928246498107,2.5008296117900026,1006.8861912536621,6.183699374884367,20.702522542953492,1.5165018314421177,0,1,0,1,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_13-18-13,1591103893,984.7678353786469,2955.146929502487,10696,4bdb2e3a7632,192.168.99.2,2955.146929502487,0,3,00003,3_seed=3,2380732,25.2350857257843,150,108.58404684066772,600.0,0.1492486509680748,0.00021642054275919993,0.3004059515396754,0.011327409651130438,0.014711238654824411,0.1492486509680748,0.00021642054275919993,0.3004059515396754,0.011327409651130438,0,0,0,0,959.5251879692078,2000,2878.435613155365,6000.0,1006.6981856079102,6.256483950853347,20.703652324676515,1.5256848837733268,2.5012964540120683,1006.6981856079102,6.183699374884367,20.702522542953492,1.5165018314421177,0,2,1,2,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_13-34-39,1591104879,985.0939965248108,3940.240926027298,10696,4bdb2e3a7632,192.168.99.2,3940.240926027298,0,4,00003,3_seed=3,2380732,25.843541622161865,150,134.4275884628296,750.0,0.17155290355285008,0.00027615102978112795,0.32512661774953205,0.012613105264802775,0.016617792566436973,0.1492486509680748,0.00021642054275919993,0.3004059515396754,0.011327409651130438,1,1,1,1,959.2420320510864,2000,3837.6776452064514,8000.0,1006.4950151977539,6.255232246160507,20.70235557937622,1.525615671634674,2.5010462303125283,1006.4950151977539,6.183699374884367,20.70235557937622,1.5165018314421177,0,3,0,3,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_13-51-04,1591105864,984.96368932724,4925.204615354538,10696,4bdb2e3a7632,192.168.99.2,4925.204615354538,0,5,00003,3_seed=3,2380732,25.59940814971924,150,160.02699661254883,900.0,0.10630639945467313,0.00015616702827780197,0.25262097219626106,0.009527496912827095,0.01249668069039943,0.10630639945467313,0.00015616702827780197,0.25262097219626106,0.009527496912827095,0,0,0,0,959.3548994064331,2000,4797.0325446128845,10000.0,1006.5868435668946,6.253050541400909,20.701312878608704,1.5253657203912736,2.5006100338519217,1006.4950151977539,6.183699374884367,20.701312878608704,1.5165018314421177,1,4,0,4,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_14-07-28,1591106848,984.5989360809326,5909.803551435471,10696,4bdb2e3a7632,192.168.99.2,5909.803551435471,0,6,00003,3_seed=3,2380732,25.95373845100403,150,185.98073506355286,1050.0,0.08417041922609012,0.00012241739789412047,0.2248285847902298,0.008478190302848816,0.011064239598549937,0.08417041922609012,0.00012241739789412047,0.2248285847902298,0.008478190302848816,0,0,0,0,958.6360414028168,2000,5755.668586015701,12000.0,1005.7839724121094,6.250477093219757,20.69533533668518,1.5251320467591285,2.5000954168230773,1005.7839724121094,6.183699374884367,20.69533533668518,1.5165018314421177,0,5,0,5,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_14-23-53,1591107833,985.2629046440125,6895.066456079483,10696,4bdb2e3a7632,192.168.99.2,6895.066456079483,0,7,00003,3_seed=3,2380732,26.001537799835205,150,211.98227286338806,1200.0,0.05435030599435171,8.236343943281099e-05,0.17879884113868078,0.006800311769669254,0.009075430537049524,0.05435030599435171,8.236343943281099e-05,0.17879884113868078,0.006800311769669254,0,0,0,0,959.2526915073395,2000,6714.921277523041,14000.0,1006.9865086975097,6.253661090135575,20.70471852397919,1.525464551627636,2.5007321108298615,1005.7839724121094,6.183699374884367,20.69533533668518,1.5165018314421177,1,6,1,6,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_14-40-19,1591108819,985.4904236793518,7880.556879758835,10696,4bdb2e3a7632,192.168.99.2,7880.556879758835,0,8,00003,3_seed=3,2380732,25.927772998809814,150,237.91004586219788,1350.0,0.05305870572725932,7.958582995343022e-05,0.17549505641063054,0.006652256970604261,0.008921089056467837,0.05305870572725932,7.958582995343022e-05,0.17549505641063054,0.006652256970604261,0,0,0,0,959.5542378425598,2000,7674.475515365601,16000.0,1006.3070941772461,6.251401222705841,20.69921667575836,1.525225013256073,2.500280228835528,1005.7839724121094,6.183699374884367,20.69533533668518,1.5165018314421177,2,7,2,7,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_14-56-44,1591109804,985.100528717041,8865.657408475876,10696,4bdb2e3a7632,192.168.99.2,8865.657408475876,0,9,00003,3_seed=3,2380732,25.687659740447998,150,263.5977056026459,1500.0,0.04339928234616915,6.664747998001986e-05,0.15888843218485516,0.006059087213749687,0.008163790784924602,0.04339928234616915,6.664747998001986e-05,0.15888843218485516,0.006059087213749687,0,0,0,0,959.4035818576813,2000,8633.879097223282,18000.0,1006.274990814209,6.249632515192032,20.69880081653595,1.52508814817667,2.499926501958014,1005.7839724121094,6.183699374884367,20.69533533668518,1.5165018314421177,3,8,3,8,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,1f33896f5f4d42beae6bef74fbdc5390,2020-06-02_15-13-09,1591110789,985.0343465805054,9850.691755056381,10696,4bdb2e3a7632,192.168.99.2,9850.691755056381,0,10,00003,3_seed=3,2380732,25.621083736419678,150,289.21878933906555,1650.0,0.04214127451181412,6.643938628258184e-05,0.1571315559744835,0.0060281363502144815,0.008151035902422577,0.04214127451181412,6.643938628258184e-05,0.1571315559744835,0.0060281363502144815,0,0,0,0,959.4042143821716,2000,9593.283311605453,20000.0,1006.8705737304688,6.251023073911667,20.70070650577545,1.5252343537807465,2.500204606409577,1005.7839724121094,6.183699374884367,20.69533533668518,1.5165018314421177,4,9,4,9,31.898723363876343,150,31.898723363876343,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
