lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,c8e89ea94a05496c99d1032d73848f00,2020-10-21_07-57-21,1603267041,61.1964647769928,61.1964647769928,68900,d83e38022e39,192.168.99.4,61.1964647769928,0,1,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.0505011081695557,150,6.512279510498047,300.0,0.02206604100763798,0.0030277714288483065,0.10481023291746776,0.03718414455652237,0.055025189039641716,0.02206604100763798,0.0030277714288483065,0.10481023291746776,0.03718414455652237,0,0,0,0,59.1452054977417,2000,59.1452054977417,2000.0,2.692506512284279,1.0358401105552912,1.2913301401734352,0.669721167564392,1.0177623055287965,2.692506512284279,1.0358401105552912,1.2913301401734352,0.669721167564392,0,0,0,0,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,c8e89ea94a05496c99d1032d73848f00,2020-10-21_07-58-23,1603267103,61.55166578292847,122.74813055992126,68900,d83e38022e39,192.168.99.4,122.74813055992126,0,2,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.028221607208252,150,8.540501117706299,450.0,0.02160147365182638,0.0031454634262869756,0.10500419159730276,0.03797550904254118,0.05608443122905835,0.02160147365182638,0.0030277714288483065,0.10481023291746776,0.03718414455652237,0,1,1,1,59.52204346656799,2000,118.66724896430969,4000.0,2.6860655860900877,1.0352153395712376,1.2897270983457565,0.6691319487690925,1.0174553255898942,2.6860655860900877,1.0352153395712376,1.2897270983457565,0.6691319487690925,0,0,0,0,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,c8e89ea94a05496c99d1032d73848f00,2020-10-21_07-59-23,1603267163,60.263028144836426,183.0111587047577,68900,d83e38022e39,192.168.99.4,183.0111587047577,0,3,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.043948173522949,150,10.584449291229248,600.0,0.02144782155752182,0.0029070515480513373,0.10405056089162827,0.036761032591263454,0.05391708029976528,0.02144782155752182,0.0029070515480513373,0.10405056089162827,0.036761032591263454,0,0,0,0,58.21798872947693,2000,176.88523769378662,6000.0,2.68491702234745,1.0349408411085605,1.2893019518256188,0.6689208119213581,1.0173204220443826,2.68491702234745,1.0349408411085605,1.2893019518256188,0.6689208119213581,0,0,0,0,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-00-24,1603267224,60.6525456905365,243.6637043952942,68900,d83e38022e39,192.168.99.4,243.6637043952942,0,4,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.052164077758789,150,12.636613368988037,750.0,0.020408750536541145,0.0030075764050707223,0.09947958091894786,0.03619469411671162,0.054841374937821555,0.020408750536541145,0.0029070515480513373,0.09947958091894786,0.03619469411671162,0,1,0,0,58.59951210021973,2000,235.48474979400635,8000.0,2.6847977044582367,1.0349257742762565,1.2892859575748443,0.6689503012895585,1.0173130168617015,2.6847977044582367,1.0349257742762565,1.2892859575748443,0.6689208119213581,0,0,0,1,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-01-24,1603267284,60.228556871414185,303.8922612667084,68900,d83e38022e39,192.168.99.4,303.8922612667084,0,5,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.0258305072784424,150,14.66244387626648,900.0,0.02004768385241429,0.0028717512218281627,0.09742724239826202,0.035218486785888674,0.05358872289790234,0.02004768385241429,0.0028717512218281627,0.09742724239826202,0.035218486785888674,0,0,0,0,58.2016179561615,2000,293.68636775016785,10000.0,2.6844431518316267,1.034942304313183,1.2891896175146103,0.6689461584985256,1.0173211411905205,2.6844431518316267,1.0349257742762565,1.2891896175146103,0.6689208119213581,0,1,0,2,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-02-24,1603267344,60.09323000907898,363.98549127578735,68900,d83e38022e39,192.168.99.4,363.98549127578735,0,6,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.023509979248047,150,16.685953855514526,1050.0,0.020131109394133092,0.0028635018272325395,0.09804848829905193,0.03533030010759831,0.053511698041012856,0.02004768385241429,0.0028635018272325395,0.09742724239826202,0.035218486785888674,1,0,1,1,58.06861209869385,2000,351.7549798488617,12000.0,2.6844712418317793,1.0350612232983112,1.2892299383282662,0.6689945636987686,1.017379586633382,2.6844431518316267,1.0349257742762565,1.2891896175146103,0.6689208119213581,1,2,1,3,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-03-24,1603267404,60.17997670173645,424.1654679775238,68900,d83e38022e39,192.168.99.4,424.1654679775238,0,7,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.021272659301758,150,18.707226514816284,1200.0,0.01997637365013361,0.0028524535149335862,0.09729190270105997,0.035097475051879885,0.053408365589424155,0.01997637365013361,0.0028524535149335862,0.09729190270105997,0.035097475051879885,0,0,0,0,58.157886028289795,2000,409.9128658771515,14000.0,2.6839734563827515,1.0349404408931733,1.2890869635343551,0.6688842671215535,1.01732022534361,2.6839734563827515,1.0349257742762565,1.2890869635343551,0.6688842671215535,0,3,0,0,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-04-24,1603267464,59.33775281906128,483.5032207965851,68900,d83e38022e39,192.168.99.4,483.5032207965851,0,8,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.0389132499694824,150,20.746139764785767,1350.0,0.01993120424449444,0.0028564511658623814,0.09686636875073115,0.035024353886644044,0.053445777811370485,0.01993120424449444,0.0028524535149335862,0.09686636875073115,0.035024353886644044,0,1,0,0,57.29806041717529,2000,467.2109262943268,16000.0,2.684267989397049,1.0350703629553317,1.2890737072229386,0.6688562918007374,1.0173840783869834,2.6839734563827515,1.0349257742762565,1.2890737072229386,0.6688562918007374,1,4,0,0,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-05-23,1603267523,59.73882007598877,543.2420408725739,68900,d83e38022e39,192.168.99.4,543.2420408725739,0,9,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,1.9940838813781738,150,22.74022364616394,1500.0,0.01993698305139939,0.00285110869910568,0.09655599335829416,0.03492315168182055,0.053395774168989066,0.01993120424449444,0.00285110869910568,0.09655599335829416,0.03492315168182055,1,0,0,0,57.74390912055969,2000,524.9548354148865,18000.0,2.6840516159534453,1.0349682297110558,1.2890101517438888,0.6688687365353108,1.0173338831038,2.6839734563827515,1.0349257742762565,1.2890101517438888,0.6688562918007374,2,5,0,1,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-06-23,1603267583,59.62015771865845,602.8621985912323,68900,d83e38022e39,192.168.99.4,602.8621985912323,0,10,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.0246331691741943,150,24.764856815338135,1650.0,0.019960299283266068,0.002837029700167477,0.09706206515431404,0.03498501653472583,0.05326377474576391,0.01993120424449444,0.002837029700167477,0.09655599335829416,0.03492315168182055,2,0,1,1,57.59477710723877,2000,582.5496125221252,20000.0,2.683938751220703,1.0349057220816613,1.288997774720192,0.6688994463384151,1.0173031613445724,2.683938751220703,1.0349057220816613,1.288997774720192,0.6688562918007374,0,0,0,2,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[9.765625e-06, 9.765625e-06, 9.765625e-06, 9.765625e-06]",10,False,,,11,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-07-22,1603267642,59.41395568847656,662.2761542797089,68900,d83e38022e39,192.168.99.4,662.2761542797089,0,11,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,1.9467604160308838,150,26.71161723136902,1800.0,0.019946395754814147,0.002853466047284504,0.09677109499772389,0.03498625680804253,0.05341784390336719,0.01993120424449444,0.002837029700167477,0.09655599335829416,0.03492315168182055,3,1,2,2,57.466400384902954,2000,640.0160129070282,22000.0,2.6838949326276778,1.0348231736421585,1.2889601051807404,0.6688348206579685,1.0172625883429305,2.6838949326276778,1.0348231736421585,1.2889601051807404,0.6688348206579685,0,0,0,0,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[9.765625e-06, 9.765625e-06, 9.765625e-06, 9.765625e-06]",11,False,,,12,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-08-22,1603267702,59.28751850128174,721.5636727809906,68900,d83e38022e39,192.168.99.4,721.5636727809906,0,12,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.016249418258667,150,28.727866649627686,1950.0,0.019976656412084896,0.00284892776204894,0.09685765912135443,0.03496969752013683,0.05337534788691255,0.01993120424449444,0.002837029700167477,0.09655599335829416,0.03492315168182055,4,2,3,3,57.27042841911316,2000,697.2864413261414,24000.0,2.6840836218595503,1.0349794080257415,1.2889919265508651,0.6688652737438678,1.0173393770152326,2.6838949326276778,1.0348231736421585,1.2889601051807404,0.6688348206579685,1,1,1,1,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
"[2.44140625e-06, 2.44140625e-06, 2.44140625e-06, 2.44140625e-06]",12,False,,,13,c8e89ea94a05496c99d1032d73848f00,2020-10-21_08-09-22,1603267762,60.28992819786072,781.8536009788513,68900,d83e38022e39,192.168.99.4,781.8536009788513,0,13,00000,"0_net=MultilevelNetNoRes,norm_layer=layernorm,seed=0",5404,2.0092058181762695,150,30.737072467803955,2100.0,0.01991787102073431,0.002845841470795373,0.09676507408420244,0.034959308604399365,0.053346428847631154,0.01991787102073431,0.002837029700167477,0.09655599335829416,0.03492315168182055,0,3,4,4,58.27991437911987,2000,755.5663557052612,26000.0,2.6841246986389162,1.0350009074211122,1.289078344285488,0.6689222738742828,1.0173499434418385,2.6838949326276778,1.0348231736421585,1.2889601051807404,0.6688348206579685,2,2,2,2,4.461778402328491,150,4.461778402328491,150.0,5.628534911473592,0.5177455699443817,2.129200700124105,0.6774990971883138,0.7195453911633245
