lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-20-45,1603272045,62.14574646949768,62.14574646949768,68927,d83e38022e39,192.168.99.4,62.14574646949768,0,1,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.0889549255371094,150,6.352145671844482,300.0,0.02156506070246299,0.003066542507149279,0.10095654581983884,0.03651440302530924,0.05537637137940043,0.02156506070246299,0.003066542507149279,0.10095654581983884,0.03651440302530924,0,0,0,0,60.055724143981934,2000,60.055724143981934,2000.0,2.6897400275468826,1.0350960083305836,1.290589512348175,0.669351513415575,1.017396681894817,2.6897400275468826,1.0350960083305836,1.290589512348175,0.669351513415575,0,0,0,0,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-21-48,1603272108,62.4556930065155,124.60143947601318,68927,d83e38022e39,192.168.99.4,124.60143947601318,0,2,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.0740549564361572,150,8.42620062828064,450.0,0.02082894920061032,0.003079368490725756,0.1011873060464859,0.036656030664841334,0.055492057906746946,0.02082894920061032,0.003066542507149279,0.10095654581983884,0.03651440302530924,0,1,1,1,60.380704402923584,2000,120.43642854690552,4000.0,2.685444820523262,1.0350423344373703,1.2894796832203865,0.669013545691967,1.017370303496898,2.685444820523262,1.0350423344373703,1.2894796832203865,0.669013545691967,0,0,0,0,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-22-50,1603272170,62.59325337409973,187.19469285011292,68927,d83e38022e39,192.168.99.4,187.19469285011292,0,3,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.075115919113159,150,10.501316547393799,600.0,0.020518956234057743,0.0028360208915546537,0.09843578706185023,0.035113661165038744,0.05325430397211716,0.020518956234057743,0.0028360208915546537,0.09843578706185023,0.035113661165038744,0,0,0,0,60.51720976829529,2000,180.9536383152008,6000.0,2.6842927446365357,1.034838532269001,1.2891890360713005,0.6689294807910919,1.017270137313094,2.6842927446365357,1.034838532269001,1.2891890360713005,0.6689294807910919,0,0,0,0,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-23-52,1603272232,61.87814807891846,249.07284092903137,68927,d83e38022e39,192.168.99.4,249.07284092903137,0,4,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.0352087020874023,150,12.536525249481201,750.0,0.02027704200396935,0.0029088501383860905,0.09667779634396235,0.03499132126569748,0.05393375694670352,0.02027704200396935,0.0028360208915546537,0.09667779634396235,0.03499132126569748,0,1,0,0,59.84197020530701,2000,240.7956085205078,8000.0,2.6844104714393615,1.0348867323994637,1.2891063279509545,0.6688711241781712,1.0172938279570283,2.6842927446365357,1.034838532269001,1.2891063279509545,0.6688711241781712,1,1,0,0,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-24-54,1603272294,61.67398452758789,310.74682545661926,68927,d83e38022e39,192.168.99.4,310.74682545661926,0,5,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,1.9988222122192383,150,14.53534746170044,900.0,0.01999448279539744,0.0028290918578083315,0.09686179046829542,0.03484043729801973,0.05318920809533012,0.01999448279539744,0.0028290918578083315,0.09667779634396235,0.03484043729801973,0,0,1,0,59.6742889881134,2000,300.4698975086212,10000.0,2.683710322141647,1.0350457560122013,1.289017019867897,0.6688543893992901,1.0173719850734053,2.683710322141647,1.034838532269001,1.289017019867897,0.6688543893992901,0,2,0,0,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-25-56,1603272356,61.45559573173523,372.2024211883545,68927,d83e38022e39,192.168.99.4,372.2024211883545,0,6,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.016350269317627,150,16.551697731018066,1050.0,0.019960148222744466,0.002831048737280071,0.09717387293775877,0.03507057333985964,0.05320760037137618,0.019960148222744466,0.0028290918578083315,0.09667779634396235,0.03484043729801973,0,1,2,1,59.438342571258545,2000,359.90824007987976,12000.0,2.684512030005455,1.035156449139118,1.2891427655220031,0.6689463063180446,1.017426385120377,2.683710322141647,1.034838532269001,1.289017019867897,0.6688543893992901,1,3,1,1,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-26-57,1603272417,61.625117778778076,433.82753896713257,68927,d83e38022e39,192.168.99.4,433.82753896713257,0,7,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.025556802749634,150,18.5772545337677,1200.0,0.019911685350040596,0.0028420093205446997,0.09643396774927775,0.03485098851223787,0.0533104991586526,0.019911685350040596,0.0028290918578083315,0.09643396774927775,0.03484043729801973,0,2,0,2,59.59887647628784,2000,419.5071165561676,14000.0,2.6843612161874773,1.0351198358535767,1.2891727327108382,0.6689712461829186,1.0174083918729866,2.683710322141647,1.034838532269001,1.289017019867897,0.6688543893992901,2,4,2,2,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-27-58,1603272478,61.18690896034241,495.014447927475,68927,d83e38022e39,192.168.99.4,495.014447927475,0,8,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.066500425338745,150,20.643754959106445,1350.0,0.019930348073442777,0.0028754947241395714,0.09707695086797079,0.03518075409034888,0.05362363960176119,0.019911685350040596,0.0028290918578083315,0.09643396774927775,0.03484043729801973,1,3,1,3,59.11953163146973,2000,478.62664818763733,16000.0,2.6845566902160645,1.0352115830779076,1.2891355577111243,0.668903717905283,1.0174534795644996,2.683710322141647,1.034838532269001,1.289017019867897,0.6688543893992901,3,5,3,3,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-29-01,1603272541,62.17383432388306,557.188282251358,68927,d83e38022e39,192.168.99.4,557.188282251358,0,9,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,2.035764694213867,150,22.679519653320312,1500.0,0.0198578317463398,0.0028427469202627737,0.09636622433861097,0.03485221097866694,0.05331741666906578,0.0198578317463398,0.0028290918578083315,0.09636622433861097,0.03484043729801973,0,4,0,4,60.137181758880615,2000,538.763829946518,18000.0,2.6840989085435867,1.034940634906292,1.2890829131007195,0.6688668548464775,1.0173203206985948,2.683710322141647,1.034838532269001,1.289017019867897,0.6688543893992901,4,6,4,4,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,ba0e5b2eb957414da1ba9fb740b1125b,2020-10-21_09-30-02,1603272602,61.419262647628784,618.6075448989868,68927,d83e38022e39,192.168.99.4,618.6075448989868,0,10,00010,"10_net=MultilevelNet,norm_layer=layernorm,seed=1",5404,1.9952151775360107,150,24.674734830856323,1650.0,0.01986001598338286,0.002854646861863633,0.09646904831131299,0.034948558782537775,0.053428895383150425,0.0198578317463398,0.0028290918578083315,0.09636622433861097,0.03484043729801973,1,5,1,5,59.42319440841675,2000,598.1870243549347,20000.0,2.6834717638492585,1.034775054514408,1.2888602662086486,0.6688030052185059,1.0172389367864405,2.6834717638492585,1.034775054514408,1.2888602662086486,0.6688030052185059,0,0,0,0,4.263190746307373,150,4.263190746307373,150.0,3.393367009162903,0.2997515660524368,1.6160485529899598,0.5061649028460184,0.5474957224056064
