lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,,,1,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-25-15,1603272315,55.950835943222046,55.950835943222046,68965,d83e38022e39,192.168.99.4,55.950835943222046,0,1,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.7469065189361572,150,5.714327335357666,300.0,0.4352063584327698,0.07564686770240465,0.5391275695959727,0.2024899312853813,0.2750397565851247,0.4352063584327698,0.07564686770240465,0.5391275695959727,0.2024899312853813,0,0,0,0,54.20327687263489,2000,54.20327687263489,2000.0,2.8141115075349807,1.0235277201533317,1.3274624918103217,0.6832427872270346,1.0116954680897468,2.8141115075349807,1.0235277201533317,1.3274624918103217,0.6832427872270346,0,0,0,0,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[0.01],1,False,,,2,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-26-11,1603272371,55.79531764984131,111.74615359306335,68965,d83e38022e39,192.168.99.4,111.74615359306335,0,2,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.775658369064331,150,7.489985704421997,450.0,0.4350798400243123,0.07558101718624433,0.5390666286150615,0.20243644773960112,0.2749200196170594,0.4350798400243123,0.07558101718624433,0.5390666286150615,0.20243644773960112,0,0,0,0,54.018789768218994,2000,108.22206664085388,4000.0,3.098851136803627,1.0067883702218532,1.4125703201293944,0.7177043861448765,1.0033884443334262,2.8141115075349807,1.0067883702218532,1.3274624918103217,0.6832427872270346,1,0,1,1,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[0.0025],2,False,,,3,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-27-07,1603272427,55.75516223907471,167.50131583213806,68965,d83e38022e39,192.168.99.4,167.50131583213806,0,3,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.7254459857940674,150,9.215431690216064,600.0,0.4349473736683528,0.07486023123065631,0.539063322544098,0.20190969775120418,0.27360597806089015,0.4349473736683528,0.07486023123065631,0.539063322544098,0.20190969775120418,0,0,0,0,54.02905464172363,2000,162.25112128257751,6000.0,3.098816560983658,1.0069066565930844,1.4126321641802788,0.7178073000609875,1.0034473860612148,2.8141115075349807,1.0067883702218532,1.3274624918103217,0.6832427872270346,2,1,2,2,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[0.0025],3,False,,,4,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-28-02,1603272482,55.84838581085205,223.3497016429901,68965,d83e38022e39,192.168.99.4,223.3497016429901,0,4,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.8065810203552246,150,11.022012710571289,750.0,0.43474327425161996,0.07193461979428926,0.5391967570781708,0.19971618473529815,0.26820630081019586,0.43474327425161996,0.07193461979428926,0.539063322544098,0.19971618473529815,0,0,1,0,54.040939807891846,2000,216.29206109046936,8000.0,3.098904924035072,1.0067686133682727,1.4125559948682784,0.7176995112299919,1.003378599217799,2.8141115075349807,1.0067686133682727,1.3274624918103217,0.6832427872270346,3,0,3,3,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[0.000625],4,False,,,5,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-28-59,1603272539,56.17912554740906,279.52882719039917,68965,d83e38022e39,192.168.99.4,279.52882719039917,0,5,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.7964308261871338,150,12.818443536758423,900.0,0.026805965217451256,0.004230753385151426,0.12115924557050069,0.04468590463201205,0.06504424175245205,0.026805965217451256,0.004230753385151426,0.12115924557050069,0.04468590463201205,0,0,0,0,54.381999254226685,2000,270.67406034469604,10000.0,2.8623420892953875,1.0202615991532802,1.3423136607408523,0.6895783037245273,1.010079996412799,2.8141115075349807,1.0067686133682727,1.3274624918103217,0.6832427872270346,4,1,4,4,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[0.000625],5,False,,,6,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-29-55,1603272595,55.91359186172485,335.442419052124,68965,d83e38022e39,192.168.99.4,335.442419052124,0,6,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.778836727142334,150,14.597280263900757,1050.0,0.0223424756526947,0.0033796468252936997,0.10432531754175822,0.03814049318432808,0.05813472994083399,0.0223424756526947,0.0033796468252936997,0.10432531754175822,0.03814049318432808,0,0,0,0,54.13401675224304,2000,324.8080770969391,12000.0,2.6882696449756622,1.0348484576642514,1.2905207570195198,0.6695294503271579,1.017275015747586,2.6882696449756622,1.0067686133682727,1.2905207570195198,0.6695294503271579,0,2,0,0,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[0.00015625],6,False,,,7,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-30-51,1603272651,55.917277097702026,391.35969614982605,68965,d83e38022e39,192.168.99.4,391.35969614982605,0,7,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.7354962825775146,150,16.33277654647827,1200.0,0.022487765898307165,0.0031586794399966795,0.10668350512782733,0.03805051043629646,0.05620213020870899,0.0223424756526947,0.0031586794399966795,0.10432531754175822,0.03805051043629646,1,0,1,0,54.18115448951721,2000,378.9892315864563,14000.0,2.6865674880743025,1.0348250145316125,1.2900527626276017,0.6693063105642796,1.0172634931676319,2.6865674880743025,1.0067686133682727,1.2900527626276017,0.6693063105642796,0,3,0,0,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[0.00015625],7,False,,,8,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-31-47,1603272707,56.1688015460968,447.52849769592285,68965,d83e38022e39,192.168.99.4,447.52849769592285,0,8,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.832653522491455,150,18.165430068969727,1350.0,0.02159456543624401,0.0031202818484356008,0.10193458472688993,0.03687760911881924,0.055859483066312034,0.02159456543624401,0.0031202818484356008,0.10193458472688993,0.03687760911881924,0,0,0,0,54.335495948791504,2000,433.3247275352478,16000.0,2.686081601023674,1.0348684841692448,1.2898434097766875,0.6692157548666,1.0172848589108385,2.686081601023674,1.0067686133682727,1.2898434097766875,0.6692157548666,0,4,0,0,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[3.90625e-05],8,False,,,9,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-32-43,1603272763,56.28517818450928,503.81367588043213,68965,d83e38022e39,192.168.99.4,503.81367588043213,0,9,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.7705719470977783,150,19.936002016067505,1500.0,0.021378235419591267,0.0031091861131911478,0.10128637408216794,0.03666556067764759,0.05576007633774498,0.021378235419591267,0.0031091861131911478,0.10128637408216794,0.03666556067764759,0,0,0,0,54.5139901638031,2000,487.8387176990509,18000.0,2.6855951385498047,1.0346652507781982,1.2896703674197196,0.6690784291327,1.017184963897028,2.6855951385498047,1.0067686133682727,1.2896703674197196,0.6690784291327,0,5,0,0,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
[3.90625e-05],9,False,,,10,f5f478e00b4b428bbab1166f8fb4d9f9,2020-10-21_09-33-39,1603272819,55.600870847702026,559.4145467281342,68965,d83e38022e39,192.168.99.4,559.4145467281342,0,10,00011,"11_net=Feedforward,norm_layer=layernorm,seed=1",6741,1.7224349975585938,150,21.6584370136261,1650.0,0.021318176152805488,0.003109155485096077,0.10112801025311152,0.03663648965458075,0.05575980169527217,0.021318176152805488,0.003109155485096077,0.10112801025311152,0.03663648965458075,0,0,0,0,53.877740144729614,2000,541.7164578437805,20000.0,2.6850646651983263,1.0343948503136635,1.289482489645481,0.6690490152537822,1.0170520391374591,2.6850646651983263,1.0067686133682727,1.289482489645481,0.6690490152537822,0,6,0,0,3.967420816421509,150,3.967420816421509,150.0,4.2583479340871175,0.41759013454119365,1.9515643215179443,0.6391508936882019,0.6462121436039358
