lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,66f034d5adbe40ab8e764363210b3207,2020-10-21_09-36-58,1603273018,231.55582118034363,231.55582118034363,68924,d83e38022e39,192.168.99.4,231.55582118034363,0,1,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.1935603618621826,150,9.038060903549194,300.0,0.0009721677765871088,0.00014981212977242345,0.02278828782339891,0.008322991927464803,0.012239776540951368,0.0009721677765871088,0.00014981212977242345,0.02278828782339891,0.008322991927464803,0,0,0,0,229.3612003326416,2000,229.3612003326416,2000.0,2.670829031467438,1.0366336049884557,1.2847176793813706,0.6669781681597233,1.0181520539626956,2.670829031467438,1.0366336049884557,1.2847176793813706,0.6669781681597233,0,0,0,0,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,66f034d5adbe40ab8e764363210b3207,2020-10-21_09-40-49,1603273249,231.4357831478119,462.9916043281555,68924,d83e38022e39,192.168.99.4,462.9916043281555,0,2,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.1910388469696045,150,11.229099750518799,450.0,0.0006224092740255097,0.00011695287282539842,0.01975897261252006,0.007519651042918365,0.01081447515256281,0.0006224092740255097,0.00011695287282539842,0.01975897261252006,0.007519651042918365,0,0,0,0,229.24394512176514,2000,458.60514545440674,4000.0,2.6652106424570086,1.0359487751126288,1.2834793618917466,0.6666749470531941,1.017815688183587,2.6652106424570086,1.0359487751126288,1.2834793618917466,0.6666749470531941,0,0,0,0,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,66f034d5adbe40ab8e764363210b3207,2020-10-21_09-44-39,1603273479,230.15102171897888,693.1426260471344,68924,d83e38022e39,192.168.99.4,693.1426260471344,0,3,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.1725640296936035,150,13.401663780212402,600.0,0.00016542167907270292,2.653234934162659e-05,0.01023568248997132,0.003826423919138809,0.00515095615799888,0.00016542167907270292,2.653234934162659e-05,0.01023568248997132,0.003826423919138809,0,0,0,0,227.97726130485535,2000,686.5824067592621,6000.0,2.6642806475162506,1.035824084430933,1.283262200653553,0.6666481285989284,1.0177544322826273,2.6642806475162506,1.035824084430933,1.283262200653553,0.6666481285989284,0,0,0,0,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,66f034d5adbe40ab8e764363210b3207,2020-10-21_09-48-30,1603273710,231.07784295082092,924.2204689979553,68924,d83e38022e39,192.168.99.4,924.2204689979553,0,4,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.1715033054351807,150,15.573167085647583,750.0,0.00042473656901468833,6.830947221412013e-05,0.015984801116089027,0.0059553057172646124,0.00826495445928894,0.00016542167907270292,2.653234934162659e-05,0.01023568248997132,0.003826423919138809,1,1,1,1,228.90530109405518,2000,915.4877078533173,8000.0,2.6643924806118013,1.0358830736577511,1.2832000326514243,0.666600178360939,1.017783411958434,2.6642806475162506,1.035824084430933,1.2832000326514243,0.666600178360939,1,1,0,0,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,66f034d5adbe40ab8e764363210b3207,2020-10-21_09-52-21,1603273941,230.1584186553955,1154.3788876533508,68924,d83e38022e39,192.168.99.4,1154.3788876533508,0,5,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.236485481262207,150,17.80965256690979,900.0,6.894051257404499e-05,1.1388996287375144e-05,0.006245193984359503,0.0022988065627093115,0.003374758700614778,6.894051257404499e-05,1.1388996287375144e-05,0.006245193984359503,0.0022988065627093115,0,0,0,0,227.92116332054138,2000,1143.4088711738586,10000.0,2.663825870037079,1.036031430721283,1.283134495973587,0.6665945550501347,1.01785629178253,2.663825870037079,1.035824084430933,1.283134495973587,0.6665945550501347,0,2,0,0,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,66f034d5adbe40ab8e764363210b3207,2020-10-21_09-56-12,1603274172,231.0277020931244,1385.4065897464752,68924,d83e38022e39,192.168.99.4,1385.4065897464752,0,6,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.193896532058716,150,20.003549098968506,1050.0,0.00014766871647831672,2.1429133618463917e-05,0.010250275563448668,0.0037521115907778345,0.004629161221913093,6.894051257404499e-05,1.1388996287375144e-05,0.006245193984359503,0.0022988065627093115,1,1,1,1,228.8328025341034,2000,1372.241673707962,12000.0,2.664635297417641,1.0361093368530274,1.2832738388776779,0.6666875222027302,1.017894560773869,2.663825870037079,1.035824084430933,1.283134495973587,0.6665945550501347,1,3,1,1,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,66f034d5adbe40ab8e764363210b3207,2020-10-21_10-00-02,1603274402,230.14368844032288,1615.550278186798,68924,d83e38022e39,192.168.99.4,1615.550278186798,0,7,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.197300672531128,150,22.200849771499634,1200.0,2.98777902086537e-05,4.71837580941307e-06,0.004171839219828446,0.0015125471989934642,0.0021721822689206058,2.98777902086537e-05,4.71837580941307e-06,0.004171839219828446,0.0015125471989934642,0,0,0,0,227.94538378715515,2000,1600.1870574951172,14000.0,2.664577429294586,1.0361322411298752,1.2833402075171472,0.666744194239378,1.0179058115218103,2.663825870037079,1.035824084430933,1.283134495973587,0.6665945550501347,2,4,2,2,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,66f034d5adbe40ab8e764363210b3207,2020-10-21_10-03-53,1603274633,230.99821209907532,1846.5484902858734,68924,d83e38022e39,192.168.99.4,1846.5484902858734,0,8,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.2226319313049316,150,24.423481702804565,1350.0,3.280310117891834e-05,5.154736424325771e-06,0.004441672594596943,0.001608760996411244,0.0022704044627171105,2.98777902086537e-05,4.71837580941307e-06,0.004171839219828446,0.0015125471989934642,1,1,1,1,228.774512052536,2000,1828.9615695476532,16000.0,2.6646626632213595,1.0361558228731156,1.2832681958079337,0.6666519825160503,1.017917394916265,2.663825870037079,1.035824084430933,1.283134495973587,0.6665945550501347,3,5,3,3,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,66f034d5adbe40ab8e764363210b3207,2020-10-21_10-07-43,1603274863,230.17299461364746,2076.721484899521,68924,d83e38022e39,192.168.99.4,2076.721484899521,0,9,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.206793785095215,150,26.63027548789978,1500.0,2.3412372853878576e-05,3.444620172861808e-06,0.0037139765281851093,0.0013257526171704134,0.0018559687963060716,2.3412372853878576e-05,3.444620172861808e-06,0.0037139765281851093,0.0013257526171704134,0,0,0,0,227.9654152393341,2000,2056.9269847869873,18000.0,2.6642431091070176,1.0358268301486968,1.2832115018367767,0.6665937824845314,1.0177557811914884,2.663825870037079,1.035824084430933,1.283134495973587,0.6665937824845314,4,6,4,0,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,66f034d5adbe40ab8e764363210b3207,2020-10-21_10-11-34,1603275094,231.03618359565735,2307.757668495178,68924,d83e38022e39,192.168.99.4,2307.757668495178,0,10,00012,"12_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=1",5404,2.1572532653808594,150,28.78752875328064,1650.0,2.3730417160550134e-05,3.4935471345913054e-06,0.0037337369037171203,0.0013268375668364267,0.0018691032969291197,2.3412372853878576e-05,3.444620172861808e-06,0.0037139765281851093,0.0013257526171704134,1,1,1,1,228.8775827884674,2000,2285.8045675754547,20000.0,2.6636288833618162,1.0357388005256654,1.2830008841753007,0.6665565289258957,1.0177125333440997,2.6636288833618162,1.0357388005256654,1.2830008841753007,0.6665565289258957,0,0,0,0,6.844500541687012,150,6.844500541687012,150.0,3.7648573112487793,0.3604002239306768,1.8111689798037212,0.5882409147421519,0.6003334272974284
