lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_09-39-13,1603273153,237.15426325798035,237.15426325798035,68968,d83e38022e39,192.168.99.4,237.15426325798035,0,1,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.223162889480591,150,9.0305757522583,300.0,0.0010259620744424562,0.0002250927208418337,0.02410833633194367,0.009747476583967607,0.015003090376380252,0.0010259620744424562,0.0002250927208418337,0.02410833633194367,0.009747476583967607,0,0,0,0,234.93011498451233,2000,234.93011498451233,2000.0,2.6704270845651625,1.0365739756375552,1.284658429145813,0.6669611962437629,1.0181227704150198,2.6704270845651625,1.0365739756375552,1.284658429145813,0.6669611962437629,0,0,0,0,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_09-43-05,1603273385,232.0838131904602,469.23807644844055,68968,d83e38022e39,192.168.99.4,469.23807644844055,0,2,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.2148208618164062,150,11.245396614074707,450.0,0.0002209859157058721,3.695141844218597e-05,0.011136635343233744,0.004040819477910797,0.006078767839141907,0.0002209859157058721,3.695141844218597e-05,0.011136635343233744,0.004040819477910797,0,0,0,0,229.86820363998413,2000,464.79831862449646,4000.0,2.6652490087747576,1.0359386125206946,1.2834896515607834,0.6666737090349197,1.0178106958175939,2.6652490087747576,1.0359386125206946,1.2834896515607834,0.6666737090349197,0,0,0,0,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_09-47-02,1603273622,236.387864112854,705.6259405612946,68968,d83e38022e39,192.168.99.4,705.6259405612946,0,3,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.175706148147583,150,13.42110276222229,600.0,0.00021810935402754694,3.619572855920221e-05,0.011339300846060118,0.004299196420858304,0.006016288603383502,0.00021810935402754694,3.619572855920221e-05,0.011136635343233744,0.004040819477910797,0,0,1,1,234.21139192581177,2000,699.0097105503082,6000.0,2.6643005262613295,1.035819406837225,1.2832615717053413,0.6666417389810085,1.017752134282815,2.6643005262613295,1.035819406837225,1.2832615717053413,0.6666417389810085,0,0,0,0,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_09-50-54,1603273854,232.04128789901733,937.6672284603119,68968,d83e38022e39,192.168.99.4,937.6672284603119,0,4,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.1526787281036377,150,15.573781490325928,750.0,0.000384048002694423,5.403713922229751e-05,0.0164525793120265,0.00587583369265,0.007350995798005703,0.00021810935402754694,3.619572855920221e-05,0.011136635343233744,0.004040819477910797,1,1,2,2,229.88794040679932,2000,928.8976509571075,8000.0,2.6644053658246993,1.0358675270676614,1.2832001835107802,0.666596353828907,1.0177757744550915,2.6643005262613295,1.035819406837225,1.2832001835107802,0.666596353828907,1,1,0,0,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_09-54-50,1603274090,236.44547271728516,1174.112701177597,68968,d83e38022e39,192.168.99.4,1174.112701177597,0,5,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.229543685913086,150,17.803325176239014,900.0,7.669077109312639e-05,1.2023628369206562e-05,0.006441440132136146,0.0022866328014060854,0.003467510399293211,7.669077109312639e-05,1.2023628369206562e-05,0.006441440132136146,0.0022866328014060854,0,0,0,0,234.21491813659668,2000,1163.1125690937042,10000.0,2.663828370451927,1.0360115226507187,1.2831357358694075,0.6665901599228382,1.0178465123242888,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,0,2,0,0,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_09-58-43,1603274323,232.2469482421875,1406.3596494197845,68968,d83e38022e39,192.168.99.4,1406.3596494197845,0,6,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.2059926986694336,150,20.009317874908447,1050.0,0.0001487905713535535,1.933506494727529e-05,0.010155719742178916,0.003567191065909962,0.00439716555831996,7.669077109312639e-05,1.2023628369206562e-05,0.006441440132136146,0.0022866328014060854,1,1,1,1,230.0401041507721,2000,1393.1526732444763,12000.0,2.6646357538700105,1.0360939135253429,1.2832731798291206,0.666682503849268,1.0178869846526886,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,1,3,1,1,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_10-02-39,1603274559,236.2544252872467,1642.6140747070312,68968,d83e38022e39,192.168.99.4,1642.6140747070312,0,7,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.1722664833068848,150,22.181584358215332,1200.0,2.8857400987665945e-05,4.654900146003153e-06,0.00412596819922328,0.0014883143229720494,0.002157521760261795,2.8857400987665945e-05,4.654900146003153e-06,0.00412596819922328,0.0014883143229720494,0,0,0,0,234.08140587806702,2000,1627.2340791225433,14000.0,2.6645772668123247,1.0361213166713714,1.2833374732732772,0.666738500058651,1.0179004453635785,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,2,4,2,2,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_10-06-31,1603274791,232.12846851348877,1874.74254322052,68968,d83e38022e39,192.168.99.4,1874.74254322052,0,8,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.17718243598938,150,24.358766794204712,1350.0,3.462093246829075e-05,5.542054683852863e-06,0.004662207756191492,0.0016878639231435954,0.0023541568944853404,2.8857400987665945e-05,4.654900146003153e-06,0.00412596819922328,0.0014883143229720494,1,1,1,1,229.95024514198303,2000,1857.1843242645264,16000.0,2.664660617351532,1.0361435881853103,1.2832648965120315,0.6666450821459293,1.0179113852321873,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,3,5,3,3,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_10-10-27,1603275027,236.337890625,2111.08043384552,68968,d83e38022e39,192.168.99.4,2111.08043384552,0,9,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.184572219848633,150,26.543339014053345,1500.0,2.0856331029790454e-05,3.372738659284854e-06,0.0035057103835667174,0.0012652112838501732,0.0018365017449719055,2.0856331029790454e-05,3.372738659284854e-06,0.0035057103835667174,0.0012652112838501732,0,0,0,0,234.15248489379883,2000,2091.336809158325,18000.0,2.664242392063141,1.0358207625746727,1.2832124885320664,0.6665944682955742,1.0177528003276006,2.663828370451927,1.035819406837225,1.2831357358694075,0.6665901599228382,4,6,4,4,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,14bb33c4e24e4387b4b824625e0aeec1,2020-10-21_10-14-20,1603275260,232.1667935848236,2343.2472274303436,68968,d83e38022e39,192.168.99.4,2343.2472274303436,0,10,00013,"13_net=MultilevelNet,norm_layer=batchnorm,seed=1",5404,2.225499153137207,150,28.76883816719055,1650.0,2.281939181557391e-05,3.427920341891877e-06,0.0036123974341899156,0.001279695729414622,0.0018514643776999537,2.0856331029790454e-05,3.372738659284854e-06,0.0035057103835667174,0.0012652112838501732,1,1,1,1,229.94022393226624,2000,2321.2770330905914,20000.0,2.6636262983083725,1.0357259894609452,1.2829981926679612,0.6665511143803596,1.0177062392758263,2.6636262983083725,1.0357259894609452,1.2829981926679612,0.6665511143803596,0,0,0,0,6.80741286277771,150,6.80741286277771,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
