lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-34-41,1603276481,41.4006233215332,41.4006233215332,68958,d83e38022e39,192.168.99.4,41.4006233215332,0,1,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.7519376277923584,150,5.764498233795166,300.0,0.0016327691116991142,0.00025915069757805515,0.02951009294639031,0.010821646656841039,0.016098158204529336,0.0016327691116991142,0.00025915069757805515,0.02951009294639031,0.010821646656841039,0,0,0,0,39.64805507659912,2000,39.64805507659912,2000.0,2.677091000676155,1.0299888128340244,1.2858747203350067,0.6655625079721212,1.0148836449731686,2.677091000676155,1.0299888128340244,1.2858747203350067,0.6655625079721212,0,0,0,0,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-35-22,1603276522,40.661179542541504,82.0618028640747,68958,d83e38022e39,192.168.99.4,82.0618028640747,0,2,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.7134928703308105,150,7.477991104125977,450.0,0.0016603012833123405,0.00035560492154521246,0.02816323806842168,0.011196365027378002,0.0188574897996847,0.0016327691116991142,0.00025915069757805515,0.02816323806842168,0.010821646656841039,1,1,0,1,38.946882009506226,2000,78.59493708610535,4000.0,2.665742972135544,1.0353065058887005,1.2836875228881837,0.6667085467278957,1.0175001257438254,2.665742972135544,1.0299888128340244,1.2836875228881837,0.6655625079721212,0,1,0,1,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-36-02,1603276562,40.86695313453674,122.92875599861145,68958,d83e38022e39,192.168.99.4,122.92875599861145,0,3,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.7308948040008545,150,9.208885908126831,600.0,0.001114350762218237,0.00017958490245897945,0.023264763715366524,0.008752041434248289,0.013400929164016182,0.001114350762218237,0.00017958490245897945,0.023264763715366524,0.008752041434248289,0,0,0,0,39.135091066360474,2000,117.73002815246582,6000.0,2.665067786693573,1.0352301106750965,1.2835319342017173,0.6666874780058861,1.017462584410403,2.665067786693573,1.0299888128340244,1.2835319342017173,0.6655625079721212,0,2,0,2,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-36-43,1603276603,40.67726159095764,163.6060175895691,68958,d83e38022e39,192.168.99.4,163.6060175895691,0,4,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.7640321254730225,150,10.972918033599854,750.0,0.0012983911453435819,0.00020442249573534354,0.025924873078862827,0.009570707653959593,0.014297639516204887,0.001114350762218237,0.00017958490245897945,0.023264763715366524,0.008752041434248289,1,1,1,1,38.912627935409546,2000,156.64265608787537,8000.0,2.6651358836889267,1.0353181554973125,1.2834602318406105,0.6666468080282212,1.0175058503504109,2.665067786693573,1.0299888128340244,1.2834602318406105,0.6655625079721212,1,3,0,3,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-37-24,1603276644,40.80127811431885,204.40729570388794,68958,d83e38022e39,192.168.99.4,204.40729570388794,0,5,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.812201738357544,150,12.785119771957397,900.0,0.000922794541499267,0.00014819035277469084,0.019388128891587256,0.0071906692286332445,0.012173345997493493,0.000922794541499267,0.00014819035277469084,0.019388128891587256,0.0071906692286332445,0,0,0,0,38.98837089538574,2000,195.6310269832611,10000.0,2.66463927257061,1.0354442599415778,1.283407265305519,0.6666298550963402,1.017567815893161,2.66463927257061,1.0299888128340244,1.283407265305519,0.6655625079721212,0,4,0,4,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-38-05,1603276685,41.099754095077515,245.50704979896545,68958,d83e38022e39,192.168.99.4,245.50704979896545,0,6,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.785447597503662,150,14.57056736946106,1050.0,0.0009558107839742054,0.0001574821100803092,0.020397404866913955,0.007599304166312019,0.012549187626309091,0.000922794541499267,0.00014819035277469084,0.019388128891587256,0.0071906692286332445,1,1,1,1,39.31352972984314,2000,234.94455671310425,12000.0,2.665437243461609,1.03555546939373,1.2835413152575492,0.6667293351888657,1.0176224591633825,2.66463927257061,1.0299888128340244,1.283407265305519,0.6655625079721212,1,5,1,5,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-38-46,1603276726,40.82216191291809,286.32921171188354,68958,d83e38022e39,192.168.99.4,286.32921171188354,0,7,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.7645807266235352,150,16.335148096084595,1200.0,0.0008951630129013211,0.00014386934092423567,0.019140471729139488,0.007066981500635544,0.011994554636343763,0.0008951630129013211,0.00014386934092423567,0.019140471729139488,0.007066981500635544,0,0,0,0,39.05700325965881,2000,274.00155997276306,14000.0,2.665412490606308,1.0355168608427048,1.2836076502203941,0.6667688150703907,1.0176034890087124,2.66463927257061,1.0299888128340244,1.283407265305519,0.6655625079721212,2,6,2,6,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-39-27,1603276767,40.60927104949951,326.93848276138306,68958,d83e38022e39,192.168.99.4,326.93848276138306,0,8,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.7556285858154297,150,18.090776681900024,1350.0,0.0008949419937562198,0.00014573431573808193,0.018970550435284773,0.00701059825407962,0.012072046874415371,0.0008949419937562198,0.00014386934092423567,0.018970550435284773,0.00701059825407962,0,1,0,0,38.85297107696533,2000,312.8545310497284,16000.0,2.665503936767578,1.0356400846838951,1.2835459722280502,0.6667014550566673,1.0176640333056362,2.66463927257061,1.0299888128340244,1.283407265305519,0.6655625079721212,3,7,3,7,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-40-07,1603276807,40.670084953308105,367.60856771469116,68958,d83e38022e39,192.168.99.4,367.60856771469116,0,9,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.6683719158172607,150,19.759148597717285,1500.0,0.0008840910585907598,0.00014494183153146878,0.018686463311314582,0.0069263359593848385,0.012039179022319952,0.0008840910585907598,0.00014386934092423567,0.018686463311314582,0.0069263359593848385,0,2,0,0,39.00106596946716,2000,351.85559701919556,18000.0,2.6650681766271593,1.0352723907232284,1.2834845752120019,0.666635528177023,1.017483361398715,2.66463927257061,1.0299888128340244,1.283407265305519,0.6655625079721212,4,8,4,8,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,de3bcf8f42314714bf8e5b7a2289f258,2020-10-21_10-40-48,1603276848,41.2487530708313,408.85732078552246,68958,d83e38022e39,192.168.99.4,408.85732078552246,0,10,00016,"16_net=MultilevelNet,norm_layer=none,seed=1",4804,1.787473440170288,150,21.546622037887573,1650.0,0.000879923600393037,0.00014365005151679118,0.01870476004978021,0.00693988058095177,0.011985409943626926,0.000879923600393037,0.00014365005151679118,0.018686463311314582,0.0069263359593848385,0,0,1,1,39.460450649261475,2000,391.31604766845703,20000.0,2.664483043551445,1.0351910278201104,1.2832799035906792,0.6666005707383156,1.0174433781887375,2.664483043551445,1.0299888128340244,1.2832799035906792,0.6655625079721212,0,9,0,9,4.012560606002808,150,4.012560606002808,150.0,3.6870232168833414,0.350890900293986,1.7876020709673563,0.5790288805961609,0.5923604479487012
