lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-41-56,1603276916,60.509358167648315,60.509358167648315,68949,d83e38022e39,192.168.99.4,60.509358167648315,0,1,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.0293569564819336,150,6.2122802734375,300.0,0.021298958609501522,0.0029578168798858923,0.10108607783913612,0.03602193241318067,0.05438581506133647,0.021298958609501522,0.0029578168798858923,0.10108607783913612,0.03602193241318067,0,0,0,0,58.47901439666748,2000,58.47901439666748,2000.0,2.691852831125259,1.0357118793427944,1.2912519010305405,0.669728191524744,1.0176993069383482,2.691852831125259,1.0357118793427944,1.2912519010305405,0.669728191524744,0,0,0,0,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-42-57,1603276977,60.55379509925842,121.06315326690674,68949,d83e38022e39,192.168.99.4,121.06315326690674,0,2,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.0147154331207275,150,8.226995706558228,450.0,0.021278715009490648,0.0031246325202907124,0.10283178761601448,0.03748250777522723,0.05589841250242007,0.021278715009490648,0.0029578168798858923,0.10108607783913612,0.03602193241318067,0,1,1,1,58.538299798965454,2000,117.01731419563293,4000.0,2.685819185614586,1.0348398012220859,1.2895754744410515,0.6690742870867252,1.017270761017973,2.685819185614586,1.0348398012220859,1.2895754744410515,0.6690742870867252,0,0,0,0,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-43-56,1603277036,59.797372341156006,180.86052560806274,68949,d83e38022e39,192.168.99.4,180.86052560806274,0,3,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.013237237930298,150,10.240232944488525,600.0,0.020878547814985115,0.002860040357336402,0.10048464720447858,0.03563040388127168,0.053479345146854616,0.020878547814985115,0.002860040357336402,0.10048464720447858,0.03563040388127168,0,0,0,0,57.783334255218506,2000,174.80064845085144,6000.0,2.684297688484192,1.034882804185152,1.2891656993031502,0.66893097615242,1.0172918972375393,2.684297688484192,1.0348398012220859,1.2891656993031502,0.66893097615242,0,1,0,0,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-44-56,1603277096,60.108654737472534,240.96918034553528,68949,d83e38022e39,192.168.99.4,240.96918034553528,0,4,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,1.9970052242279053,150,12.23723816871643,750.0,0.020207275909682115,0.002901959945447743,0.09735740353663762,0.03521716892719269,0.053869842634332456,0.020207275909682115,0.002860040357336402,0.09735740353663762,0.03521716892719269,0,1,0,0,58.1107132434845,2000,232.91136169433594,8000.0,2.6843172903060912,1.0346432249546051,1.2890840038061142,0.668809918552637,1.0171741369866838,2.684297688484192,1.0346432249546051,1.2890840038061142,0.668809918552637,1,0,0,0,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-45-56,1603277156,59.63252878189087,300.60170912742615,68949,d83e38022e39,192.168.99.4,300.60170912742615,0,5,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.036818742752075,150,14.274056911468506,900.0,0.0201432170967261,0.0028829470028479895,0.09774577528238297,0.035243180667360624,0.053693081517528767,0.0201432170967261,0.002860040357336402,0.09735740353663762,0.03521716892719269,0,2,1,1,57.59486389160156,2000,290.5062255859375,10000.0,2.684509048938751,1.0349062543809413,1.28917365026474,0.6689357048273087,1.0173034229672784,2.684297688484192,1.0346432249546051,1.2890840038061142,0.668809918552637,2,1,1,1,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-46-56,1603277216,59.92258810997009,360.52429723739624,68949,d83e38022e39,192.168.99.4,360.52429723739624,0,6,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.0090043544769287,150,16.283061265945435,1050.0,0.02012251773228248,0.002880733000735442,0.09858562295635541,0.03556166966756185,0.053672460356643255,0.02012251773228248,0.002860040357336402,0.09735740353663762,0.03521716892719269,0,3,2,2,57.91284966468811,2000,348.4190752506256,12000.0,2.684315055131912,1.0348010979890823,1.2890962128043175,0.6688915423750877,1.0172517377665582,2.684297688484192,1.0346432249546051,1.2890840038061142,0.668809918552637,3,2,2,2,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-47-56,1603277276,60.327141523361206,420.85143876075745,68949,d83e38022e39,192.168.99.4,420.85143876075745,0,7,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.031048536300659,150,18.314109802246094,1200.0,0.020034084257980186,0.002876736364948253,0.09670443082849185,0.03503074263532956,0.053635215716432545,0.020034084257980186,0.002860040357336402,0.09670443082849185,0.03503074263532956,0,4,0,0,58.29526877403259,2000,406.7143440246582,14000.0,2.683898128628731,1.0347800140976906,1.289019459605217,0.6688189486861229,1.0172413745506474,2.683898128628731,1.0346432249546051,1.289019459605217,0.668809918552637,0,3,0,3,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-48-57,1603277337,60.249746799468994,481.10118556022644,68949,d83e38022e39,192.168.99.4,481.10118556022644,0,8,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.02500057220459,150,20.339110374450684,1350.0,0.020072553269565106,0.0028369419447456796,0.09727934628725052,0.034956822966535885,0.053262950957918956,0.020034084257980186,0.0028369419447456796,0.09670443082849185,0.034956822966535885,1,0,1,0,58.22382688522339,2000,464.9381709098816,16000.0,2.684164053082466,1.0350261507332326,1.2891201774477958,0.6689121707081794,1.0173623497718167,2.683898128628731,1.0346432249546051,1.289019459605217,0.668809918552637,1,4,1,4,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-49-57,1603277397,59.96951961517334,541.0707051753998,68949,d83e38022e39,192.168.99.4,541.0707051753998,0,9,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.0521280765533447,150,22.39123845100403,1500.0,0.020001361879209676,0.002854459270214041,0.09721870481967926,0.03506419715782007,0.05342713982812519,0.020001361879209676,0.0028369419447456796,0.09670443082849185,0.034956822966535885,0,1,2,1,57.916576623916626,2000,522.8547475337982,18000.0,2.6850166003704072,1.0352487099766732,1.289314617574215,0.6690093531608582,1.017471724411383,2.683898128628731,1.0346432249546051,1.289019459605217,0.668809918552637,2,5,2,5,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,02d1a3fa3ff44a9f81f44b0f9b848def,2020-10-21_10-50-57,1603277457,60.77394080162048,601.8446459770203,68949,d83e38022e39,192.168.99.4,601.8446459770203,0,10,00018,"18_net=MultilevelNetNoRes,norm_layer=layernorm,seed=2",5404,2.0426695346832275,150,24.433907985687256,1650.0,0.019984058427313964,0.002868079342879355,0.09709826802213986,0.035107768724362054,0.053554452129392145,0.019984058427313964,0.0028369419447456796,0.09670443082849185,0.034956822966535885,0,2,3,2,58.730475664138794,2000,581.585223197937,20000.0,2.6838088001012803,1.0347819901108741,1.2890277252197266,0.6688964671492577,1.0172423458109057,2.6838088001012803,1.0346432249546051,1.289019459605217,0.668809918552637,0,6,3,6,4.182923316955566,150,4.182923316955566,150.0,5.136959765752157,0.6077496973673503,2.165743416150411,0.7459970494111379,0.7795830278856449
