lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-45-27,1603277127,60.582364559173584,60.582364559173584,68897,d83e38022e39,192.168.99.4,60.582364559173584,0,1,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,2.015869379043579,150,6.301316499710083,300.0,0.021137647194166977,0.002918134100424747,0.10052663231889407,0.03577910713851452,0.05401975657502306,0.021137647194166977,0.002918134100424747,0.10052663231889407,0.03577910713851452,0,0,0,0,58.56566786766052,2000,58.56566786766052,2000.0,2.690160453557968,1.03537325116992,1.2908298263549804,0.6695366097390651,1.017532923875154,2.690160453557968,1.03537325116992,1.2908298263549804,0.6695366097390651,0,0,0,0,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-46-27,1603277187,60.29794144630432,120.8803060054779,68897,d83e38022e39,192.168.99.4,120.8803060054779,0,2,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,2.044381856918335,150,8.345698356628418,450.0,0.021143716784814994,0.0030947388987988232,0.10242882996797562,0.03732210986316204,0.05563037748208099,0.021137647194166977,0.002918134100424747,0.10052663231889407,0.03577910713851452,1,1,1,1,58.25273060798645,2000,116.81839847564697,4000.0,2.6857188404798507,1.0349353865087032,1.2895468572974205,0.6690815663039684,1.0173177411746555,2.6857188404798507,1.0349353865087032,1.2895468572974205,0.6690815663039684,0,0,0,0,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-47-28,1603277248,60.58733010292053,181.46763610839844,68897,d83e38022e39,192.168.99.4,181.46763610839844,0,3,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,2.043912172317505,150,10.389610528945923,600.0,0.0205789099012812,0.0028170913892487685,0.0988823722799619,0.03514043713609378,0.05307627896950547,0.0205789099012812,0.0028170913892487685,0.0988823722799619,0.03514043713609378,0,0,0,0,58.54263162612915,2000,175.36103010177612,6000.0,2.684188138961792,1.034945430546999,1.2891184673905374,0.6689215562343598,1.0173226776922841,2.684188138961792,1.0349353865087032,1.2891184673905374,0.6689215562343598,0,1,0,0,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-48-28,1603277308,59.830625772476196,241.29826188087463,68897,d83e38022e39,192.168.99.4,241.29826188087463,0,4,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,2.035883665084839,150,12.425494194030762,750.0,0.02018458644549052,0.0028840446223815284,0.09716462845603625,0.03513937709232171,0.05370330178286553,0.02018458644549052,0.0028170913892487685,0.09716462845603625,0.03513937709232171,0,1,0,0,57.794044494628906,2000,233.15507459640503,8000.0,2.684216918706894,1.0346802861094475,1.2890389458537101,0.668797987729311,1.017192354527622,2.684188138961792,1.0346802861094475,1.2890389458537101,0.668797987729311,1,0,0,0,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-49-27,1603277367,59.399219036102295,300.69748091697693,68897,d83e38022e39,192.168.99.4,300.69748091697693,0,5,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,1.9806764125823975,150,14.40617060661316,900.0,0.020040024481713773,0.002850495494591693,0.09735428199172019,0.0350790091107289,0.05339003179051023,0.020040024481713773,0.0028170913892487685,0.09716462845603625,0.0350790091107289,0,2,1,0,57.417747497558594,2000,290.5728220939636,10000.0,2.6844196791648867,1.03495355412364,1.2891291576623916,0.6689235397875309,1.0173266703098076,2.684188138961792,1.0346802861094475,1.2890389458537101,0.668797987729311,2,1,1,1,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-50-27,1603277427,59.463916301727295,360.1613972187042,68897,d83e38022e39,192.168.99.4,360.1613972187042,0,6,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,1.9643938541412354,150,16.370564460754395,1050.0,0.02001165273288886,0.002854408660593132,0.09769661366939544,0.03525373287498951,0.05342666619388797,0.02001165273288886,0.0028170913892487685,0.09716462845603625,0.0350790091107289,0,3,2,1,57.498600244522095,2000,348.0714223384857,12000.0,2.684228406071663,1.034848483890295,1.289053296983242,0.66888109639287,1.0172750286379268,2.684188138961792,1.0346802861094475,1.2890389458537101,0.668797987729311,3,2,2,2,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-51-26,1603277486,59.6657509803772,419.8271481990814,68897,d83e38022e39,192.168.99.4,419.8271481990814,0,7,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,2.0217063426971436,150,18.392270803451538,1200.0,0.019953665249049665,0.0028560564822206896,0.09633889804283778,0.034901533375183744,0.053442085309432764,0.019953665249049665,0.0028170913892487685,0.09633889804283778,0.034901533375183744,0,4,0,0,57.64336156845093,2000,405.71478390693665,14000.0,2.683814751982689,1.0348142823576927,1.2889790765047073,0.6688077424764634,1.0172582181322953,2.683814751982689,1.0346802861094475,1.2889790765047073,0.668797987729311,0,3,0,3,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-52-26,1603277546,60.00203061103821,479.82917881011963,68897,d83e38022e39,192.168.99.4,479.82917881011963,0,8,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,1.9752004146575928,150,20.36747121810913,1350.0,0.01998013413200776,0.00281176230404526,0.09695479586720467,0.034823415279388426,0.05302605306870633,0.019953665249049665,0.00281176230404526,0.09633889804283778,0.034823415279388426,1,0,1,0,58.02583122253418,2000,463.7406151294708,16000.0,2.6840797891616823,1.0350639398097992,1.2890785782337189,0.6689002439379692,1.0173809216855794,2.683814751982689,1.0346802861094475,1.2889790765047073,0.668797987729311,1,4,1,4,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-53-26,1603277606,59.61995816230774,539.4491369724274,68897,d83e38022e39,192.168.99.4,539.4491369724274,0,9,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,1.9878976345062256,150,22.355368852615356,1500.0,0.01991340462118387,0.002830087876257797,0.09681835959355037,0.0349056971569856,0.05319857024636843,0.01991340462118387,0.00281176230404526,0.09633889804283778,0.034823415279388426,0,1,2,1,57.6313693523407,2000,521.3719844818115,18000.0,2.684932078719139,1.0352386703789234,1.2892724187970162,0.6689899783730507,1.0174667907990527,2.683814751982689,1.0346802861094475,1.2889790765047073,0.668797987729311,2,5,2,5,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,ea84c716e4e64f59b4da8e4ba6dfcad1,2020-10-21_10-54-25,1603277665,59.08352017402649,598.5326571464539,68897,d83e38022e39,192.168.99.4,598.5326571464539,0,10,00019,"19_net=MultilevelNet,norm_layer=layernorm,seed=2",5404,1.9549071788787842,150,24.31027603149414,1650.0,0.019893807570139567,0.0028431409193823737,0.09674508194128673,0.03496305078268051,0.05332111138547633,0.019893807570139567,0.00281176230404526,0.09633889804283778,0.034823415279388426,0,2,3,2,57.12775111198425,2000,578.4997355937958,20000.0,2.6837205694913866,1.0348221893906593,1.2889855550527574,0.6688837946355343,1.0172621045682668,2.6837205694913866,1.0346802861094475,1.2889790765047073,0.668797987729311,0,6,3,6,4.285447120666504,150,4.285447120666504,150.0,4.205020891825358,0.4821285531918208,1.9815381320317587,0.6780339256922404,0.6943547747310598
