lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,668d817adff540298327a953f06f9e20,2020-10-21_07-57-22,1603267042,61.38043236732483,61.38043236732483,68921,d83e38022e39,192.168.99.4,61.38043236732483,0,1,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.087470769882202,150,6.669373512268066,300.0,0.02192776617904504,0.0030137877181793254,0.10515406509240469,0.03735678126414617,0.05489797553807722,0.02192776617904504,0.0030137877181793254,0.10515406509240469,0.03735678126414617,0,0,0,0,59.29186463356018,2000,59.29186463356018,2000.0,2.6924556974172593,1.0357157089114188,1.2913707391619682,0.6697598625123501,1.0177011884199698,2.6924556974172593,1.0357157089114188,1.2913707391619682,0.6697598625123501,0,0,0,0,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,668d817adff540298327a953f06f9e20,2020-10-21_07-58-23,1603267103,60.79016923904419,122.17060160636902,68921,d83e38022e39,192.168.99.4,122.17060160636902,0,2,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.0365984439849854,150,8.705971956253052,450.0,0.02148435153067112,0.0031368474181120596,0.10447560275594393,0.03778346044321855,0.05600756572207062,0.02148435153067112,0.0030137877181793254,0.10447560275594393,0.03735678126414617,0,1,0,1,58.7525680065155,2000,118.04443264007568,4000.0,2.6859605865478517,1.0352723577618599,1.2896913713216782,0.6691262157261372,1.0174833452012175,2.6859605865478517,1.0352723577618599,1.2896913713216782,0.6691262157261372,0,0,0,0,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,668d817adff540298327a953f06f9e20,2020-10-21_07-59-23,1603267163,59.97694754600525,182.14754915237427,68921,d83e38022e39,192.168.99.4,182.14754915237427,0,3,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.0418202877044678,150,10.74779224395752,600.0,0.02141615512470404,0.0029003511043265463,0.10378906448682149,0.036678868780533475,0.05385490789451363,0.02141615512470404,0.0029003511043265463,0.10378906448682149,0.036678868780533475,0,0,0,0,57.93372654914856,2000,175.97815918922424,6000.0,2.6848425850868227,1.0349794667065144,1.2892764290571213,0.6689182563424111,1.0173394058555456,2.6848425850868227,1.0349794667065144,1.2892764290571213,0.6689182563424111,0,0,0,0,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,668d817adff540298327a953f06f9e20,2020-10-21_08-00-23,1603267223,60.70269560813904,242.8502447605133,68921,d83e38022e39,192.168.99.4,242.8502447605133,0,4,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.046569347381592,150,12.794361591339111,750.0,0.02031975897649924,0.0029724455702429017,0.09907760207851728,0.03595241812368234,0.05452013912530765,0.02031975897649924,0.0029003511043265463,0.09907760207851728,0.03595241812368234,0,1,0,0,58.65526556968689,2000,234.63342475891113,8000.0,2.684727813243866,1.0349532392323018,1.289266707599163,0.6689480016231537,1.0173265155456737,2.684727813243866,1.0349532392323018,1.289266707599163,0.6689182563424111,0,0,0,1,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,668d817adff540298327a953f06f9e20,2020-10-21_08-01-24,1603267284,60.50909495353699,303.3593397140503,68921,d83e38022e39,192.168.99.4,303.3593397140503,0,5,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.0377931594848633,150,14.832154750823975,900.0,0.020001995402077834,0.002873067220983406,0.09735604857405027,0.03519003719091415,0.05360100018640889,0.020001995402077834,0.002873067220983406,0.09735604857405027,0.03519003719091415,0,0,0,0,58.47029113769531,2000,293.10371589660645,10000.0,2.6843984471559525,1.0349500454068183,1.2891823546290397,0.6689450500011445,1.0173249458294131,2.6843984471559525,1.0349500454068183,1.2891823546290397,0.6689182563424111,0,0,0,2,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,668d817adff540298327a953f06f9e20,2020-10-21_08-02-24,1603267344,59.916085720062256,363.27542543411255,68921,d83e38022e39,192.168.99.4,363.27542543411255,0,6,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.038154125213623,150,16.870308876037598,1050.0,0.02005814044425885,0.0028601491218432783,0.09766274670759836,0.035242002954085666,0.05348036202049569,0.020001995402077834,0.0028601491218432783,0.09735604857405027,0.03519003719091415,1,0,1,1,57.876850605010986,2000,350.98056650161743,12000.0,2.684432922244072,1.0350754521489143,1.2892248745560646,0.6689972689747811,1.0173865795010835,2.6843984471559525,1.0349500454068183,1.2891823546290397,0.6689182563424111,1,1,1,3,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,668d817adff540298327a953f06f9e20,2020-10-21_08-03-24,1603267404,59.93595623970032,423.21138167381287,68921,d83e38022e39,192.168.99.4,423.21138167381287,0,7,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.034357786178589,150,18.904666662216187,1200.0,0.019933404711385567,0.0028477809795488915,0.09701219911376635,0.03501712046563625,0.05336460418244374,0.019933404711385567,0.0028477809795488915,0.09701219911376635,0.03501712046563625,0,0,0,0,57.90032124519348,2000,408.8808877468109,14000.0,2.683950046658516,1.0349466049671172,1.2890865818858146,0.6688862143754959,1.0173232549033355,2.683950046658516,1.0349466049671172,1.2890865818858146,0.6688862143754959,0,0,0,0,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,668d817adff540298327a953f06f9e20,2020-10-21_08-04-23,1603267463,58.87067699432373,482.0820586681366,68921,d83e38022e39,192.168.99.4,482.0820586681366,0,8,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.023956298828125,150,20.92862296104431,1350.0,0.019903901455303033,0.002848563372778396,0.0966044253607591,0.034905800769726436,0.05337193431737692,0.019903901455303033,0.0028477809795488915,0.0966044253607591,0.034905800769726436,0,1,0,0,56.845696449279785,2000,465.7265841960907,16000.0,2.684237873315811,1.0350804494321346,1.2890702852010727,0.6688586035966874,1.0173890354393125,2.683950046658516,1.0349466049671172,1.2890702852010727,0.6688586035966874,1,1,0,0,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,668d817adff540298327a953f06f9e20,2020-10-21_08-05-22,1603267522,59.459749698638916,541.5418083667755,68921,d83e38022e39,192.168.99.4,541.5418083667755,0,9,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.0103728771209717,150,22.938995838165283,1500.0,0.019910663738846777,0.002851328180792431,0.09647321249047915,0.03490529681245486,0.05339782936405216,0.019903901455303033,0.0028477809795488915,0.09647321249047915,0.03490529681245486,1,2,0,0,57.44846153259277,2000,523.1750457286835,18000.0,2.6840298513174057,1.0349809287190437,1.2890095688700676,0.668872729241848,1.017340124402377,2.683950046658516,1.0349466049671172,1.2890095688700676,0.6688586035966874,2,2,0,1,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,668d817adff540298327a953f06f9e20,2020-10-21_08-06-22,1603267582,59.3209753036499,600.8627836704254,68921,d83e38022e39,192.168.99.4,600.8627836704254,0,10,00001,"1_net=MultilevelNet,norm_layer=layernorm,seed=0",5404,2.0528714656829834,150,24.991867303848267,1650.0,0.01993585592756669,0.002833618448736767,0.09687764088312785,0.03491832867264748,0.05323174286773604,0.019903901455303033,0.002833618448736767,0.09647321249047915,0.03490529681245486,2,0,1,1,57.26705598831177,2000,580.4421017169952,20000.0,2.683912327647209,1.0349244389533996,1.2889955070018768,0.6689026040434838,1.0173123605625756,2.683912327647209,1.0349244389533996,1.2889955070018768,0.6688586035966874,0,0,0,2,4.581902742385864,150,4.581902742385864,150.0,6.168813076019287,0.6274065113067627,2.3565818532307943,0.780393739938736,0.7920899641497566
