lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-00-00,1603278000,231.13784003257751,231.13784003257751,68962,d83e38022e39,192.168.99.4,231.13784003257751,0,1,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.182060480117798,150,8.524110078811646,300.0,0.0008502388392419865,0.00012958965041131402,0.0232098804662625,0.008476473707705736,0.011383745008182239,0.0008502388392419865,0.00012958965041131402,0.0232098804662625,0.008476473707705736,0,0,0,0,228.95491099357605,2000,228.95491099357605,2000.0,2.6731408030986787,1.036763184159994,1.2853046157956123,0.6671484168767929,1.0182156864633318,2.6731408030986787,1.036763184159994,1.2853046157956123,0.6671484168767929,0,0,0,0,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-03-51,1603278231,231.21540451049805,462.35324454307556,68962,d83e38022e39,192.168.99.4,462.35324454307556,0,2,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.1871793270111084,150,10.711289405822754,450.0,0.0005562966840807348,8.22397822048515e-05,0.019406887715061504,0.0070919076881061,0.009068615230830532,0.0005562966840807348,8.22397822048515e-05,0.019406887715061504,0.0070919076881061,0,0,0,0,229.02729439735413,2000,457.9822053909302,4000.0,2.6652281355857848,1.0356982262134553,1.2834336780905724,0.6666703345775604,1.0176925990757009,2.6652281355857848,1.0356982262134553,1.2834336780905724,0.6666703345775604,0,0,0,0,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-07-41,1603278461,229.39530086517334,691.7485454082489,68962,d83e38022e39,192.168.99.4,691.7485454082489,0,3,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.185527801513672,150,12.896817207336426,600.0,0.0003210710223841791,4.533022479639233e-05,0.01452851815149188,0.005232358233382304,0.006732772445017902,0.0003210710223841791,4.533022479639233e-05,0.01452851815149188,0.005232358233382304,0,0,0,0,227.20875358581543,2000,685.1909589767456,6000.0,2.6640820995569228,1.03581583994627,1.2831738008260727,0.666615821480751,1.0177503819435638,2.6640820995569228,1.0356982262134553,1.2831738008260727,0.666615821480751,0,1,0,0,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-11-31,1603278691,230.45347332954407,922.202018737793,68962,d83e38022e39,192.168.99.4,922.202018737793,0,4,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.1948513984680176,150,15.091668605804443,750.0,0.00013849568999527642,2.3506425616991085e-05,0.009332866047819455,0.0034579850252096853,0.004848342563906875,0.00013849568999527642,2.3506425616991085e-05,0.009332866047819455,0.0034579850252096853,0,0,0,0,228.25789189338684,2000,913.4488508701324,8000.0,2.6641192437410353,1.0356439086198808,1.2831033603549005,0.6665070394575596,1.0176659120850422,2.6640820995569228,1.0356439086198808,1.2831033603549005,0.6665070394575596,1,0,0,0,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-15-21,1603278921,229.35484743118286,1151.5568661689758,68962,d83e38022e39,192.168.99.4,1151.5568661689758,0,5,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.139442205429077,150,17.23111081123352,900.0,9.550015636098882e-05,1.2776887433574303e-05,0.007930722869932651,0.0027700536620492737,0.0035744772252141017,9.550015636098882e-05,1.2776887433574303e-05,0.007930722869932651,0.0027700536620492737,0,0,0,0,227.21424317359924,2000,1140.6630940437317,10000.0,2.6644926749467848,1.0359260386228561,1.2832312687039376,0.6666556553542614,1.0178045188654137,2.6640820995569228,1.0356439086198808,1.2831033603549005,0.6665070394575596,2,1,1,1,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-19-11,1603279151,230.356942653656,1381.9138088226318,68962,d83e38022e39,192.168.99.4,1381.9138088226318,0,6,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.138209819793701,150,19.36932063102722,1050.0,0.00014073566436612357,1.964869234749737e-05,0.009355202373117209,0.003335078442469239,0.004432684553123239,9.550015636098882e-05,1.2776887433574303e-05,0.007930722869932651,0.0027700536620492737,1,1,1,1,228.2178111076355,2000,1368.8809051513672,12000.0,2.6642893319129946,1.035767248749733,1.2831703481674195,0.6666086837053299,1.0177265098000214,2.6640820995569228,1.0356439086198808,1.2831033603549005,0.6665070394575596,3,2,2,2,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-23-00,1603279380,229.37746596336365,1611.2912747859955,68962,d83e38022e39,192.168.99.4,1611.2912747859955,0,7,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.147188425064087,150,21.51650905609131,1200.0,8.648380457695263e-05,9.703283327932391e-06,0.007503903095299999,0.00246743550679336,0.0031150093624148856,8.648380457695263e-05,9.703283327932391e-06,0.007503903095299999,0.00246743550679336,0,0,0,0,227.2292034626007,2000,1596.110108613968,14000.0,2.663932885289192,1.035786338686943,1.2831054478287698,0.6665523699820042,1.0177358884734993,2.663932885289192,1.0356439086198808,1.2831033603549005,0.6665070394575596,0,3,3,3,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-26-51,1603279611,230.4009759426117,1841.6922507286072,68962,d83e38022e39,192.168.99.4,1841.6922507286072,0,8,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.143450975418091,150,23.6599600315094,1350.0,3.832272637131003e-05,5.495661732008254e-06,0.00482502575032413,0.0016967156700169047,0.0023442827756071268,3.832272637131003e-05,5.495661732008254e-06,0.00482502575032413,0.0016967156700169047,0,0,0,0,228.25686955451965,2000,1824.3669781684875,16000.0,2.6641400002241133,1.0360421303510665,1.2832103892564775,0.6666523076891899,1.0178615477318447,2.663932885289192,1.0356439086198808,1.2831033603549005,0.6665070394575596,1,4,4,4,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-30-40,1603279840,229.3168694972992,2071.0091202259064,68962,d83e38022e39,192.168.99.4,2071.0091202259064,0,9,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.110466718673706,150,25.770426750183105,1500.0,4.429190562708148e-05,6.008511099935277e-06,0.005426586574564378,0.0018758801743388176,0.0024512264481143468,3.832272637131003e-05,5.495661732008254e-06,0.00482502575032413,0.0016967156700169047,1,1,1,1,227.20551371574402,2000,2051.5724918842316,18000.0,2.6649520441293717,1.036199819266796,1.283389131963253,0.666730868011713,1.017939005671163,2.663932885289192,1.0356439086198808,1.2831033603549005,0.6665070394575596,2,5,5,5,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,0dbdd6f472154cf8a5d74aac659bf874,2020-10-21_11-34-31,1603280071,230.3275089263916,2301.336629152298,68962,d83e38022e39,192.168.99.4,2301.336629152298,0,10,00021,"21_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=2",5404,2.1412274837493896,150,27.911654233932495,1650.0,2.703685853096734e-05,4.10225164766113e-06,0.003938203958484034,0.0013859083107672632,0.002025401601574643,2.703685853096734e-05,4.10225164766113e-06,0.003938203958484034,0.0013859083107672632,0,0,0,0,228.1854259967804,2000,2279.757917881012,20000.0,2.663898342728615,1.0357761154174805,1.283134206354618,0.6666305224001408,1.0177308659058546,2.663898342728615,1.0356439086198808,1.2831033603549005,0.6665070394575596,0,6,6,6,6.342049598693848,150,6.342049598693848,150.0,5.098708759943644,0.5509600643316904,2.196584324836731,0.7397584040959676,0.7422668417299068
