lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_11-57-37,1603281457,40.56406593322754,40.56406593322754,68940,d83e38022e39,192.168.99.4,40.56406593322754,0,1,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.7386751174926758,150,5.788314580917358,300.0,0.001500942879356444,0.00026085025010009604,0.02810597269485394,0.01051727167641123,0.01615085911337524,0.001500942879356444,0.00026085025010009604,0.02810597269485394,0.01051727167641123,0,0,0,0,38.824533462524414,2000,38.824533462524414,2000.0,2.684232094526291,1.027528946891427,1.287351744055748,0.6651434345841408,1.0136710249836616,2.684232094526291,1.027528946891427,1.287351744055748,0.6651434345841408,0,0,0,0,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_11-58-18,1603281498,40.867127895355225,81.43119382858276,68940,d83e38022e39,192.168.99.4,81.43119382858276,0,2,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.7267074584960938,150,7.515022039413452,450.0,0.0011910994622545937,0.0002052514119228969,0.024080909055968127,0.009063929592569669,0.014326598058258524,0.0011910994622545937,0.0002052514119228969,0.024080909055968127,0.009063929592569669,0,0,0,0,39.1397488117218,2000,77.96428227424622,4000.0,2.665719632267952,1.0350083673298358,1.2836304984092712,0.6666945190429687,1.0173536097787415,2.665719632267952,1.027528946891427,1.2836304984092712,0.6651434345841408,0,1,0,1,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_11-58-59,1603281539,40.73825979232788,122.16945362091064,68940,d83e38022e39,192.168.99.4,122.16945362091064,0,3,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.699038028717041,150,9.214060068130493,600.0,0.0010281689271020393,0.00017502744556016598,0.020861048797766367,0.007726246158902844,0.013229793859322448,0.0010281689271020393,0.00017502744556016598,0.020861048797766367,0.007726246158902844,0,0,0,0,39.0385537147522,2000,117.00283598899841,6000.0,2.6648691741228103,1.0352013761401175,1.2834371445178985,0.6666483183801174,1.0174484636285601,2.6648691741228103,1.027528946891427,1.2834371445178985,0.6651434345841408,0,2,0,2,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_11-59-40,1603281580,40.98056221008301,163.15001583099365,68940,d83e38022e39,192.168.99.4,163.15001583099365,0,4,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.7832059860229492,150,10.997266054153442,750.0,0.0010177631738285224,0.00016558587764545034,0.021958900627990562,0.008049274155249198,0.012868017626870518,0.0010177631738285224,0.00016558587764545034,0.020861048797766367,0.007726246158902844,0,0,1,1,39.19658851623535,2000,156.19942450523376,8000.0,2.664878419518471,1.0350818528831005,1.2833644458651543,0.6665560094714165,1.0173897251707924,2.6648691741228103,1.027528946891427,1.2833644458651543,0.6651434345841408,1,3,0,3,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_12-00-21,1603281621,40.57446479797363,203.72448062896729,68940,d83e38022e39,192.168.99.4,203.72448062896729,0,5,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.7791461944580078,150,12.77641224861145,900.0,0.000947243608534336,0.00014914386808717004,0.019914660789072513,0.0072923741023987534,0.012212447260363912,0.000947243608534336,0.00014914386808717004,0.019914660789072513,0.0072923741023987534,0,0,0,0,38.794625997543335,2000,194.9940505027771,10000.0,2.665335877418518,1.0353688134253025,1.283512985110283,0.666702391654253,1.017530743233492,2.6648691741228103,1.027528946891427,1.2833644458651543,0.6651434345841408,2,4,1,4,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_12-01-01,1603281661,40.845738887786865,244.57021951675415,68940,d83e38022e39,192.168.99.4,244.57021951675415,0,6,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.744696855545044,150,14.521109104156494,1050.0,0.0010050156394330165,0.0001547160907648504,0.02168855524311463,0.007803010043377677,0.012438492302721033,0.000947243608534336,0.00014914386808717004,0.019914660789072513,0.0072923741023987534,1,1,1,1,39.100279092788696,2000,234.0943295955658,12000.0,2.665109389543533,1.0352195846438408,1.2834431983232497,0.6666542663574219,1.0174574117101123,2.6648691741228103,1.027528946891427,1.2833644458651543,0.6651434345841408,3,5,2,5,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_12-01-42,1603281702,40.71840453147888,285.28862404823303,68940,d83e38022e39,192.168.99.4,285.28862404823303,0,7,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.7504019737243652,150,16.27151107788086,1200.0,0.0009138236485887319,0.00014894217553470905,0.019586231720944244,0.007193920416757465,0.012204186803499406,0.0009138236485887319,0.00014894217553470905,0.019586231720944244,0.007193920416757465,0,0,0,0,38.96744418144226,2000,273.06177377700806,14000.0,2.6647750265598296,1.0351828811764716,1.2833783031702042,0.666583675801754,1.0174393746933876,2.6647750265598296,1.027528946891427,1.2833644458651543,0.6651434345841408,0,6,3,6,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_12-02-23,1603281743,40.612717628479004,325.90134167671204,68940,d83e38022e39,192.168.99.4,325.90134167671204,0,8,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.7286348342895508,150,18.00014591217041,1350.0,0.0008983935788273811,0.0001461367685503016,0.01911812201142311,0.007063815488169591,0.012088704171676201,0.0008983935788273811,0.0001461367685503016,0.01911812201142311,0.007063815488169591,0,0,0,0,38.8833589553833,2000,311.94513273239136,16000.0,2.6649837422370912,1.0354546831846236,1.2834799161553383,0.6666837528347969,1.0175729375256712,2.6647750265598296,1.027528946891427,1.2833644458651543,0.6651434345841408,1,7,4,7,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_12-03-03,1603281783,40.55810546875,366.45944714546204,68940,d83e38022e39,192.168.99.4,366.45944714546204,0,9,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.722214937210083,150,19.722360849380493,1500.0,0.0008949875032218794,0.0001440090506609219,0.018890292110542457,0.0069782106981923185,0.012000377104946407,0.0008949875032218794,0.0001440090506609219,0.018890292110542457,0.0069782106981923185,0,0,0,0,38.83521795272827,2000,350.78035068511963,18000.0,2.665807361125946,1.0357432760596275,1.2836716033816338,0.6667991561889648,1.0177147321620275,2.6647750265598296,1.027528946891427,1.2833644458651543,0.6651434345841408,2,8,5,8,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,f5f076c2b7a24e34b9eb8e1eb6c5ba21,2020-10-21_12-03-44,1603281824,40.71872138977051,407.17816853523254,68940,d83e38022e39,192.168.99.4,407.17816853523254,0,10,00025,"25_net=MultilevelNet,norm_layer=none,seed=2",4804,1.7105858325958252,150,21.43294668197632,1650.0,0.000890931171985964,0.0001449870258026446,0.018813975205024085,0.006961728471020857,0.012041055842518321,0.000890931171985964,0.0001440090506609219,0.018813975205024085,0.006961728471020857,0,1,0,0,39.007508277893066,2000,389.7878589630127,20000.0,2.6647454314231873,1.0351928524374963,1.2834068710803985,0.666665266931057,1.01744427485612,2.6647454314231873,1.027528946891427,1.2833644458651543,0.6651434345841408,0,9,6,9,4.049639463424683,150,4.049639463424683,150.0,5.087816489537557,0.550534032980601,2.19505108833313,0.7396676830450694,0.7419798063159139
