lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-07-47,1603282067,59.051512479782104,59.051512479782104,68922,d83e38022e39,192.168.99.4,59.051512479782104,0,1,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,2.0098836421966553,150,6.14792799949646,300.0,0.021335506848990916,0.0030730541593705614,0.10262292032440504,0.036950292189915974,0.05543513470147395,0.021335506848990916,0.0030730541593705614,0.10262292032440504,0.036950292189915974,0,0,0,0,57.04061245918274,2000,57.04061245918274,2000.0,2.692499875664711,1.0356144323647023,1.2913834258317947,0.6697231580913067,1.017651429697174,2.692499875664711,1.0356144323647023,1.2913834258317947,0.6697231580913067,0,0,0,0,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-08-46,1603282126,58.956801891326904,118.00831437110901,68922,d83e38022e39,192.168.99.4,118.00831437110901,0,2,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,2.015718460083008,150,8.163646459579468,450.0,0.021766672879457473,0.0032582946168258787,0.10342348967989286,0.037934510484337804,0.057081473499077426,0.021335506848990916,0.0030730541593705614,0.10262292032440504,0.036950292189915974,1,1,1,1,56.940118074417114,2000,113.98073053359985,4000.0,2.685873171329498,1.0351170344650746,1.2896414173841477,0.6690804922878743,1.0174070151444183,2.685873171329498,1.0351170344650746,1.2896414173841477,0.6690804922878743,0,0,0,0,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-09-46,1603282186,59.5921950340271,177.6005094051361,68922,d83e38022e39,192.168.99.4,177.6005094051361,0,3,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,1.997925043106079,150,10.161571502685547,600.0,0.02031979738424222,0.0029176020730907718,0.09827447245518367,0.035459445292750996,0.054014831973179106,0.02031979738424222,0.0029176020730907718,0.09827447245518367,0.035459445292750996,0,0,0,0,57.59333944320679,2000,171.57406997680664,6000.0,2.6843676968812944,1.0347502365708352,1.2891783881783485,0.6689121901988984,1.0172267380337754,2.6843676968812944,1.0347502365708352,1.2891783881783485,0.6689121901988984,0,0,0,0,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-10-45,1603282245,58.75090456008911,236.35141396522522,68922,d83e38022e39,192.168.99.4,236.35141396522522,0,4,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,2.026265859603882,150,12.187837362289429,750.0,0.020454653836786747,0.0030000373100241024,0.09879530047376951,0.03605551116168499,0.054772596341821356,0.02031979738424222,0.0029176020730907718,0.09827447245518367,0.035459445292750996,1,1,1,1,56.72387385368347,2000,228.2979438304901,8000.0,2.6852790677547453,1.0351439322531224,1.2894251977801323,0.6690471737086773,1.0174202338528178,2.6843676968812944,1.0347502365708352,1.2891783881783485,0.6689121901988984,1,1,1,1,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-11-44,1603282304,59.55751943588257,295.9089334011078,68922,d83e38022e39,192.168.99.4,295.9089334011078,0,5,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,2.0031018257141113,150,14.19093918800354,900.0,0.020055302505691847,0.0028525711207961044,0.0965629762907823,0.0348761872202158,0.05340946658408137,0.020055302505691847,0.0028525711207961044,0.0965629762907823,0.0348761872202158,0,0,0,0,57.5534930229187,2000,285.8514368534088,10000.0,2.684677188873291,1.035144460082054,1.289276971399784,0.669005563467741,1.0174204932485162,2.6843676968812944,1.0347502365708352,1.2891783881783485,0.6689121901988984,2,2,2,2,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-12-43,1603282363,58.74026536941528,354.64919877052307,68922,d83e38022e39,192.168.99.4,354.64919877052307,0,6,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,1.953064203262329,150,16.14400339126587,1050.0,0.020133797352512677,0.002931406839440266,0.09748665342728297,0.0354695367316405,0.05414246798438603,0.020055302505691847,0.0028525711207961044,0.0965629762907823,0.0348761872202158,1,1,1,1,56.786457777023315,2000,342.63789463043213,12000.0,2.6845026017427442,1.034945563852787,1.2891600298285484,0.6689071755707264,1.0173227432102296,2.6843676968812944,1.0347502365708352,1.2891600298285484,0.6689071755707264,3,3,0,0,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-13-42,1603282422,58.57063937187195,413.219838142395,68922,d83e38022e39,192.168.99.4,413.219838142395,0,7,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,1.9683082103729248,150,18.112311601638794,1200.0,0.02000070355832577,0.002850618655793369,0.09688220262527465,0.034931437025467554,0.05339118518813166,0.02000070355832577,0.002850618655793369,0.0965629762907823,0.0348761872202158,0,0,2,2,56.601484060287476,2000,399.2393786907196,14000.0,2.6844764961004257,1.0350386185646057,1.289192686855793,0.6689333552718163,1.0173684772807765,2.6843676968812944,1.0347502365708352,1.2891600298285484,0.6689071755707264,4,4,1,1,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-14-41,1603282481,58.85198426246643,472.07182240486145,68922,d83e38022e39,192.168.99.4,472.07182240486145,0,8,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,1.983386516571045,150,20.09569811820984,1350.0,0.020063138790428637,0.0028868777956813575,0.0969975620508194,0.03519569218158722,0.05372967332565272,0.02000070355832577,0.002850618655793369,0.0965629762907823,0.0348761872202158,1,1,3,3,56.86787557601929,2000,456.1072542667389,16000.0,2.683681140065193,1.0346293804645539,1.2889383484721184,0.6687548441886901,1.0171673315952268,2.683681140065193,1.0346293804645539,1.2889383484721184,0.6687548441886901,0,0,0,0,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-15-40,1603282540,59.11576700210571,531.1875894069672,68922,d83e38022e39,192.168.99.4,531.1875894069672,0,9,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,2.0186989307403564,150,22.114397048950195,1500.0,0.019970246615509193,0.0028683072654530407,0.09684779812892277,0.035050640751918154,0.05355658003880607,0.019970246615509193,0.002850618655793369,0.0965629762907823,0.0348761872202158,0,2,4,4,57.096168518066406,2000,513.2034227848053,18000.0,2.683935680270195,1.0348837201595307,1.2890236696004869,0.668904783129692,1.0172923474397764,2.683681140065193,1.0346293804645539,1.2889383484721184,0.6687548441886901,1,1,1,1,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,f4fc0592544b432a9a36db02436752ee,2020-10-21_12-16-38,1603282598,58.66498565673828,589.8525750637054,68922,d83e38022e39,192.168.99.4,589.8525750637054,0,10,00027,"27_net=MultilevelNetNoRes,norm_layer=layernorm,seed=3",5404,1.905107021331787,150,24.019504070281982,1650.0,0.01995068185031414,0.0028595600261663396,0.09680733561515809,0.03499896302819252,0.05347485414815397,0.01995068185031414,0.002850618655793369,0.0965629762907823,0.0348761872202158,0,3,5,5,56.75876331329346,2000,569.9621860980988,20000.0,2.684381365060806,1.0351230386495591,1.2891341633200646,0.6689227790534497,1.0174099658689997,2.683681140065193,1.0346293804645539,1.2889383484721184,0.6687548441886901,2,2,2,2,4.138044357299805,150,4.138044357299805,150.0,6.398406569163004,0.7036875335375468,2.4202872021993,0.8168683163324992,0.8388608546937607
