lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,,,1,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-13-31,1603282411,55.869840145111084,55.869840145111084,68935,d83e38022e39,192.168.99.4,55.869840145111084,0,1,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.745154857635498,150,6.061254024505615,300.0,0.43438593844572704,0.0737634103000164,0.5388575383027394,0.20104387472073237,0.27159420152134395,0.43438593844572704,0.0737634103000164,0.5388575383027394,0.20104387472073237,0,0,0,0,54.1239070892334,2000,54.1239070892334,2000.0,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,1.0017939442012576,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,0,0,0,0,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[0.01],1,False,,,2,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-14-27,1603282467,55.87079930305481,111.7406394481659,68935,d83e38022e39,192.168.99.4,111.7406394481659,0,2,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.7611241340637207,150,7.822378158569336,450.0,0.434978234966596,0.0728307992219925,0.5392200394471487,0.20039546261231103,0.269871819984956,0.43438593844572704,0.0728307992219925,0.5388575383027394,0.20039546261231103,1,0,1,0,54.10883831977844,2000,108.23274540901184,4000.0,3.0988993374109266,1.0067626438140869,1.4126418503522873,0.7177010704278945,1.0033756244867058,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,1,1,1,1,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[0.0025],2,False,,,3,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-15-23,1603282523,55.98866677284241,167.7293062210083,68935,d83e38022e39,192.168.99.4,167.7293062210083,0,3,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.7586233615875244,150,9.58100152015686,600.0,0.4344140903155009,0.0733126512169838,0.5388104589780172,0.20066967884699505,0.27076309057363007,0.43438593844572704,0.0728307992219925,0.5388104589780172,0.20039546261231103,2,1,0,1,54.229464054107666,2000,162.4622094631195,6000.0,3.09797820687294,1.0066353875696659,1.4124310585260391,0.717677590817213,1.003312208422516,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,2,2,2,2,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[0.0025],3,False,,,4,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-16-19,1603282579,56.10534191131592,223.83464813232422,68935,d83e38022e39,192.168.99.4,223.83464813232422,0,4,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.7629423141479492,150,11.34394383430481,750.0,0.4345712000131607,0.07527953694264095,0.5387330472469329,0.20216384112834931,0.2743711663834976,0.43438593844572704,0.0728307992219925,0.5387330472469329,0.20039546261231103,3,2,0,2,54.34160804748535,2000,216.80381751060486,8000.0,3.0999103692770005,1.007100108653307,1.412844238758087,0.717850483596325,1.0035437751554772,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,3,3,3,3,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[0.000625],4,False,,,5,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-17-15,1603282635,55.65711712837219,279.4917652606964,68935,d83e38022e39,192.168.99.4,279.4917652606964,0,5,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.7599916458129883,150,13.103935480117798,900.0,0.4346766753991445,0.07389004518588384,0.5390062522888184,0.20116732796033224,0.27182723407687437,0.43438593844572704,0.0728307992219925,0.5387330472469329,0.20039546261231103,4,3,1,3,53.89635944366455,2000,270.7001769542694,10000.0,3.09918352329731,1.0070491814017295,1.4127509172558785,0.7178405664563179,1.0035184011276173,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,4,4,4,4,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[0.000625],5,False,,,6,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-18-11,1603282691,55.62270164489746,335.1144669055939,68935,d83e38022e39,192.168.99.4,335.1144669055939,0,6,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.71486234664917,150,14.818797826766968,1050.0,0.43453927874565124,0.07375873863697052,0.538841093381246,0.20101205031077066,0.27158560093821343,0.43438593844572704,0.0728307992219925,0.5387330472469329,0.20039546261231103,5,4,2,4,53.90719985961914,2000,324.60737681388855,12000.0,3.098957876086235,1.006790353000164,1.4125792493224143,0.7177034215331077,1.0033894323741726,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,5,5,5,5,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[0.00015625],6,False,,,7,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-19-07,1603282747,55.83396100997925,390.9484279155731,68935,d83e38022e39,192.168.99.4,390.9484279155731,0,7,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.752122402191162,150,16.57092022895813,1200.0,0.4347145462036133,0.07293822631239891,0.5390374700228373,0.20043759286403656,0.27007078018993264,0.43438593844572704,0.0728307992219925,0.5387330472469329,0.20039546261231103,6,5,3,5,54.08093786239624,2000,378.6883146762848,14000.0,3.09911352622509,1.0070089865624905,1.412680491745472,0.7177895422577858,1.0034983739710246,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,6,6,6,6,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[0.00015625],7,False,,,8,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-20-02,1603282802,55.71949625015259,446.6679241657257,68935,d83e38022e39,192.168.99.4,446.6679241657257,0,8,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.7323546409606934,150,18.303274869918823,1350.0,0.4347651431957881,0.07337436815102895,0.5390735324223836,0.2007756507396698,0.2708770351119285,0.43438593844572704,0.0728307992219925,0.5387330472469329,0.20039546261231103,7,6,4,6,53.98628377914429,2000,432.6745984554291,16000.0,3.098597454071045,1.006736305475235,1.4125124673843383,0.7176498235464096,1.0033624995360526,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,7,7,7,7,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[3.90625e-05],8,False,,,9,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-20-58,1603282858,55.72328495979309,502.3912091255188,68935,d83e38022e39,192.168.99.4,502.3912091255188,0,9,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.7625174522399902,150,20.065792322158813,1500.0,0.4345249996582667,0.07351034194231033,0.5389954535166422,0.2008856941262881,0.2711279069780725,0.43438593844572704,0.0728307992219925,0.5387330472469329,0.20039546261231103,8,7,5,7,53.95983123779297,2000,486.63442969322205,18000.0,3.098381002306938,1.0068271548449994,1.4125630106925964,0.7177675788402558,1.0034077709710043,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,8,8,8,8,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
[3.90625e-05],9,False,,,10,586d79d8f6674664be6ed7c5be2d0335,2020-10-21_12-21-54,1603282914,55.4903085231781,557.8815176486969,68935,d83e38022e39,192.168.99.4,557.8815176486969,0,10,00029,"29_net=Feedforward,norm_layer=layernorm,seed=3",6741,1.6923105716705322,150,21.758102893829346,1650.0,0.4345052750905355,0.07326763078570366,0.5388822944959005,0.20064898163080216,0.2706799416020767,0.43438593844572704,0.0728307992219925,0.5387330472469329,0.20039546261231103,9,8,6,8,53.79728698730469,2000,540.4317166805267,20000.0,3.0994725950956346,1.0069535198807715,1.4127327085137367,0.7177899273633956,1.003470736932957,3.064183775186539,1.0035911066383123,1.4014780842661858,0.711868287742138,9,9,9,9,4.316099166870117,150,4.316099166870117,150.0,6.768939399719239,0.710617127418518,2.5160053094228108,0.8415384797255198,0.8429810955285522
