lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-25-32,1603283132,231.01326513290405,231.01326513290405,68907,d83e38022e39,192.168.99.4,231.01326513290405,0,1,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1741042137145996,150,8.793938875198364,300.0,0.0008093999143845091,0.00010498785433204223,0.023164205774664878,0.008135350377609332,0.010246358100907963,0.0008093999143845091,0.00010498785433204223,0.023164205774664878,0.008135350377609332,0,0,0,0,228.83833503723145,2000,228.83833503723145,2000.0,2.6743421486616135,1.0369793340414764,1.2855750396847725,0.6672137878239155,1.018321822432121,2.6743421486616135,1.0369793340414764,1.2855750396847725,0.6672137878239155,0,0,0,0,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-29-22,1603283362,230.82363772392273,461.8369028568268,68907,d83e38022e39,192.168.99.4,461.8369028568268,0,2,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1012802124023438,150,10.895219087600708,450.0,0.0013127029252549014,0.00016441145417047664,0.030044427439570427,0.01053203438098232,0.012822302997920329,0.0008093999143845091,0.00010498785433204223,0.023164205774664878,0.008135350377609332,1,1,1,1,228.72148656845093,2000,457.5598216056824,4000.0,2.6652798907756807,1.0360133969187737,1.2835036498904229,0.6666807478368282,1.0178474330265679,2.6652798907756807,1.0360133969187737,1.2835036498904229,0.6666807478368282,0,0,0,0,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-33-12,1603283592,229.84583258628845,691.6827354431152,68907,d83e38022e39,192.168.99.4,691.6827354431152,0,3,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1490695476531982,150,13.044288635253906,600.0,0.0003334231061550478,4.458327020984143e-05,0.01506597097342213,0.005310010400911172,0.006677070481119802,0.0003334231061550478,4.458327020984143e-05,0.01506597097342213,0.005310010400911172,0,0,0,0,227.6958270072937,2000,685.2556486129761,6000.0,2.6641828067302704,1.0356984283328057,1.28319838732481,0.6666088582873344,1.0176926983784476,2.6641828067302704,1.0356984283328057,1.28319838732481,0.6666088582873344,0,0,0,0,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-37-03,1603283823,230.67305850982666,922.3557939529419,68907,d83e38022e39,192.168.99.4,922.3557939529419,0,4,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1348612308502197,150,15.179149866104126,750.0,0.0013504044665023683,0.00016650940272180985,0.0344102697322766,0.011916431635618209,0.012903852243489533,0.0003334231061550478,4.458327020984143e-05,0.01506597097342213,0.005310010400911172,1,1,1,1,228.53733897209167,2000,913.7929875850677,8000.0,2.66508863568306,1.0360704511106014,1.2834461790919305,0.6667331371605396,1.017875459528621,2.6641828067302704,1.0356984283328057,1.28319838732481,0.6666088582873344,1,1,1,1,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-40-53,1603284053,229.86262679100037,1152.2184207439423,68907,d83e38022e39,192.168.99.4,1152.2184207439423,0,5,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.095416784286499,150,17.274566650390625,900.0,0.0002489805759008353,2.525289123392819e-05,0.012637706094731888,0.004132118069877227,0.005025225490853937,0.0002489805759008353,2.525289123392819e-05,0.012637706094731888,0.004132118069877227,0,0,0,0,227.76640486717224,2000,1141.55939245224,10000.0,2.6646950758695604,1.0361096388101578,1.2833592483997345,0.6667290767133236,1.017894709098224,2.6641828067302704,1.0356984283328057,1.28319838732481,0.6666088582873344,2,2,2,2,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-44-44,1603284284,230.67306900024414,1382.8914897441864,68907,d83e38022e39,192.168.99.4,1382.8914897441864,0,6,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1663594245910645,150,19.44092607498169,1050.0,9.004812731291168e-05,1.3063104015600402e-05,0.0072505471203476194,0.002604691876719395,0.003614291633999725,9.004812731291168e-05,1.3063104015600402e-05,0.0072505471203476194,0.002604691876719395,0,0,0,0,228.5059289932251,2000,1370.065321445465,12000.0,2.6644737565517427,1.0359297606647015,1.2832454924583434,0.6666378604769707,1.0178063473297372,2.6641828067302704,1.0356984283328057,1.28319838732481,0.6666088582873344,3,3,3,3,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-48-33,1603284513,229.9106731414795,1612.802162885666,68907,d83e38022e39,192.168.99.4,1612.802162885666,0,7,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.147171974182129,150,21.58809804916382,1200.0,5.35606768001647e-05,8.7709626374514e-06,0.006009583305567503,0.0022322944784536956,0.0029615811043176583,5.35606768001647e-05,8.7709626374514e-06,0.006009583305567503,0.0022322944784536956,0,0,0,0,227.76266598701477,2000,1597.8279874324799,14000.0,2.6644446922540665,1.036036271840334,1.2832619853019713,0.6666576329171657,1.0178586698753094,2.6641828067302704,1.0356984283328057,1.28319838732481,0.6666088582873344,4,4,4,4,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-52-24,1603284744,230.64306926727295,1843.4452321529388,68907,d83e38022e39,192.168.99.4,1843.4452321529388,0,8,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1308541297912598,150,23.718952178955078,1350.0,5.338685635554915e-05,6.4010234018496705e-06,0.005720174930368861,0.0019417442645256718,0.0025300243875997857,5.338685635554915e-05,6.4010234018496705e-06,0.005720174930368861,0.0019417442645256718,0,0,0,0,228.51123881340027,2000,1826.3392262458801,16000.0,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,1.0176226612383292,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,0,0,0,0,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_12-56-14,1603284974,229.85461354255676,2073.2998456954956,68907,d83e38022e39,192.168.99.4,2073.2998456954956,0,9,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1573565006256104,150,25.87630867958069,1500.0,2.2233501646648316e-05,3.677087356663833e-06,0.003636640948243439,0.0013257721656312546,0.0019175732989025042,2.2233501646648316e-05,3.677087356663833e-06,0.003636640948243439,0.0013257721656312546,0,0,0,0,227.69643926620483,2000,2054.035665512085,18000.0,2.663988490462303,1.0358290064930915,1.283128530204296,0.6666326386332512,1.0177568503788572,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,1,1,1,1,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_13-00-05,1603285205,230.66765594482422,2303.96750164032,68907,d83e38022e39,192.168.99.4,2303.96750164032,0,10,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.151174545288086,150,28.027483224868774,1650.0,1.952341785605919e-05,3.244001964048948e-06,0.0033931413711979987,0.0012410500226542353,0.0018011113136197185,1.952341785605919e-05,3.244001964048948e-06,0.0033931413711979987,0.0012410500226542353,0,0,0,0,228.51564645767212,2000,2282.551311969757,20000.0,2.6644312287569045,1.0360850461125375,1.2832299946546555,0.6666549147963524,1.0178826288489933,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,2,2,2,2,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[9.765625e-06, 9.765625e-06, 9.765625e-06, 9.765625e-06]",10,False,,,11,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_13-03-55,1603285435,229.88604044914246,2533.8535420894623,68907,d83e38022e39,192.168.99.4,2533.8535420894623,0,11,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1511058807373047,150,30.17858910560608,1800.0,1.954656935898432e-05,3.182698458961871e-06,0.0033920090552419426,0.0012293859183167418,0.0017840118998935716,1.952341785605919e-05,3.182698458961871e-06,0.0033920090552419426,0.0012293859183167418,1,0,0,0,227.73404383659363,2000,2510.2853558063507,22000.0,2.664175008058548,1.0362039913535117,1.2831400648355484,0.6666564337313176,1.0179410549503893,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,3,3,3,3,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[9.765625e-06, 9.765625e-06, 9.765625e-06, 9.765625e-06]",11,False,,,12,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_13-07-45,1603285665,230.6601493358612,2764.5136914253235,68907,d83e38022e39,192.168.99.4,2764.5136914253235,0,12,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1342039108276367,150,32.312793016433716,1950.0,1.948262533308783e-05,3.1648850320683173e-06,0.003375965169010063,0.0012244736597252389,0.001779012375468006,1.948262533308783e-05,3.1648850320683173e-06,0.003375965169010063,0.0012244736597252389,0,0,0,0,228.52515244483948,2000,2738.81050825119,24000.0,2.6647258048057556,1.0358661459684373,1.2832767465114594,0.6666598752140999,1.0177750959659198,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,4,4,4,4,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[2.44140625e-06, 2.44140625e-06, 2.44140625e-06, 2.44140625e-06]",12,False,,,13,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_13-11-35,1603285895,229.87386560440063,2994.387557029724,68907,d83e38022e39,192.168.99.4,2994.387557029724,0,13,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.1370742321014404,150,34.449867248535156,2100.0,1.783588336062773e-05,3.0581493835294774e-06,0.0032332864543423057,0.001192980466876179,0.0017487565249426455,1.783588336062773e-05,3.0581493835294774e-06,0.0032332864543423057,0.001192980466876179,0,0,0,0,227.73587584495544,2000,2966.5463840961456,26000.0,2.6641148866415025,1.0356224871873856,1.2830931427478791,0.666526544123888,1.0176553872443193,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,5,5,5,5,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[2.44140625e-06, 2.44140625e-06, 2.44140625e-06, 2.44140625e-06]",13,False,,,14,4a9f8f8c39724000b902fa57e1c3938f,2020-10-21_13-15-26,1603286126,230.644611120224,3225.032168149948,68907,d83e38022e39,192.168.99.4,3225.032168149948,0,14,00030,"30_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=3",5404,2.101807117462158,150,36.551674365997314,2250.0,1.8186143085282916e-05,3.0496151460586893e-06,0.0032649325315530103,0.0011904325359500944,0.0017463147328184256,1.783588336062773e-05,3.0496151460586893e-06,0.0032332864543423057,0.0011904325359500944,1,0,1,0,228.54188776016235,2000,3195.088271856308,28000.0,2.6644966044425966,1.0361654914021492,1.2832046499252319,0.666666911482811,1.0179221440769177,2.6637147629261015,1.0355558806657792,1.283038290321827,0.6664787820279598,6,6,6,6,6.619834661483765,150,6.619834661483765,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
