lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-20-02,1603286402,39.20481777191162,39.20481777191162,68896,d83e38022e39,192.168.99.4,39.20481777191162,0,1,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.6621365547180176,150,5.57171630859375,300.0,0.0014482613505485157,0.00025732869379377615,0.02663728897770246,0.00977440195158124,0.016041467943856514,0.0014482613505485157,0.00025732869379377615,0.02663728897770246,0.00977440195158124,0,0,0,0,37.541770458221436,2000,37.541770458221436,2000.0,2.6835839775800703,1.0280839750915767,1.2871617084145546,0.665266139537096,1.0139447593885855,2.6835839775800703,1.0280839750915767,1.2871617084145546,0.665266139537096,0,0,0,0,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-20-41,1603286441,39.68214297294617,78.88696074485779,68896,d83e38022e39,192.168.99.4,78.88696074485779,0,2,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.719301462173462,150,7.291017770767212,450.0,0.001464999133410553,0.00022172507296393937,0.02763848164429267,0.010110848993062973,0.01489043562035508,0.0014482613505485157,0.00022172507296393937,0.02663728897770246,0.00977440195158124,1,0,1,1,37.962064027786255,2000,75.50383448600769,4000.0,2.6658045493364333,1.0352937250435352,1.2837083198428154,0.6667008043825626,1.0174938452116236,2.6658045493364333,1.0280839750915767,1.2837083198428154,0.665266139537096,0,1,0,1,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-21-21,1603286481,39.764299392700195,118.65126013755798,68896,d83e38022e39,192.168.99.4,118.65126013755798,0,3,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.7124316692352295,150,9.003449440002441,600.0,0.001112439150456339,0.0001921067523653619,0.02238198947161436,0.008287429064512252,0.013860258019436791,0.001112439150456339,0.0001921067523653619,0.02238198947161436,0.008287429064512252,0,0,0,0,38.051010608673096,2000,113.55484509468079,6000.0,2.664996693253517,1.0350613617897033,1.283478459239006,0.6666398504078388,1.0173796546961726,2.664996693253517,1.0280839750915767,1.283478459239006,0.665266139537096,0,2,0,2,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-22-01,1603286521,39.81653356552124,158.46779370307922,68896,d83e38022e39,192.168.99.4,158.46779370307922,0,4,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.7481870651245117,150,10.751636505126953,750.0,0.0017221255623735487,0.0002783297448574255,0.032732106546560925,0.011967187579721213,0.016683217461192116,0.001112439150456339,0.0001921067523653619,0.02238198947161436,0.008287429064512252,1,1,1,1,38.06766748428345,2000,151.62251257896423,8000.0,2.6658650878667833,1.0354883183538914,1.283712627351284,0.6667758644223213,1.017589464545448,2.664996693253517,1.0280839750915767,1.283478459239006,0.665266139537096,1,3,1,3,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-22-40,1603286560,39.193819522857666,197.6616132259369,68896,d83e38022e39,192.168.99.4,197.6616132259369,0,5,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.7554926872253418,150,12.507129192352295,900.0,0.0010327179543673992,0.00015995647612726316,0.02241089440882206,0.008052477799355983,0.01264739009152731,0.0010327179543673992,0.00015995647612726316,0.02238198947161436,0.008052477799355983,0,0,2,0,37.4376220703125,2000,189.06013464927673,10000.0,2.6655315519571303,1.0355200021266937,1.2836355941295623,0.6667658022642136,1.0176050324790527,2.664996693253517,1.0280839750915767,1.283478459239006,0.665266139537096,2,4,2,4,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-23-19,1603286599,38.91200232505798,236.57361555099487,68896,d83e38022e39,192.168.99.4,236.57361555099487,0,6,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.7118027210235596,150,14.218931913375854,1050.0,0.0009498148473600546,0.00015453983777357887,0.020440248573819795,0.007520828042179346,0.012431405301637416,0.0009498148473600546,0.00015453983777357887,0.020440248573819795,0.007520828042179346,0,0,0,0,37.199586629867554,2000,226.2597212791443,12000.0,2.665295189499855,1.035357847571373,1.2835166381597518,0.66667608371377,1.0175253547560241,2.664996693253517,1.0280839750915767,1.283478459239006,0.665266139537096,3,5,3,5,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-23-58,1603286638,38.98925423622131,275.5628697872162,68896,d83e38022e39,192.168.99.4,275.5628697872162,0,7,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.7543513774871826,150,15.973283290863037,1200.0,0.0009121901638961087,0.00015144186385441572,0.019203994385898114,0.0071417484028885765,0.012306171779006489,0.0009121901638961087,0.00015144186385441572,0.019203994385898114,0.0071417484028885765,0,0,0,0,37.23425006866455,2000,263.49397134780884,14000.0,2.665298796415329,1.035455316990614,1.2835408284664154,0.6666948593556881,1.0175732489558744,2.664996693253517,1.0280839750915767,1.283478459239006,0.665266139537096,4,6,4,6,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-24-37,1603286677,39.04889512062073,314.6117649078369,68896,d83e38022e39,192.168.99.4,314.6117649078369,0,8,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.6976301670074463,150,17.670913457870483,1350.0,0.0009181111468933523,0.0001464970174129121,0.01961545046418905,0.007206380991265178,0.012103595226746146,0.0009121901638961087,0.0001464970174129121,0.019203994385898114,0.0071417484028885765,1,0,1,1,37.35068321228027,2000,300.8446545600891,16000.0,2.6645572472810746,1.034976331949234,1.2833158686757087,0.6665175041556358,1.0173378651899447,2.6645572472810746,1.0280839750915767,1.2833158686757087,0.665266139537096,0,7,0,7,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-25-16,1603286716,38.86111402511597,353.4728789329529,68896,d83e38022e39,192.168.99.4,353.4728789329529,0,9,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.663581132888794,150,19.334494590759277,1500.0,0.0008971031898787866,0.0001484791586214366,0.01898663841187954,0.007046831656868259,0.012185202444827768,0.0008971031898787866,0.0001464970174129121,0.01898663841187954,0.007046831656868259,0,1,0,0,37.196908950805664,2000,338.0415635108948,18000.0,2.664848221898079,1.0353061827421188,1.283415026307106,0.6666847234070301,1.0174999669494436,2.6645572472810746,1.0280839750915767,1.2833158686757087,0.665266139537096,1,8,1,8,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,bff00fdeeefe4f1ba22318affad9b04a,2020-10-21_13-25-55,1603286755,38.901697397232056,392.37457633018494,68896,d83e38022e39,192.168.99.4,392.37457633018494,0,10,00033,"33_net=MultilevelNetNoRes,norm_layer=none,seed=3",4804,1.6873013973236084,150,21.021795988082886,1650.0,0.000897172427115341,0.0001478256749881742,0.018919623655577502,0.007013750026623408,0.012158358235723036,0.0008971031898787866,0.0001464970174129121,0.018919623655577502,0.007013750026623408,1,2,0,0,37.21378684043884,2000,375.2553503513336,20000.0,2.665284593462944,1.0355184070467949,1.2835106847882272,0.6666967009902001,1.0176042487366073,2.6645572472810746,1.0280839750915767,1.2833158686757087,0.665266139537096,2,9,2,9,3.9095797538757324,150,3.9095797538757324,150.0,4.929091170628865,0.5108421051502228,2.1189770603179934,0.7045341074466706,0.714732191208863
