lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-14-25,1603268065,227.95199179649353,227.95199179649353,68973,d83e38022e39,192.168.99.4,227.95199179649353,0,1,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.16853666305542,150,8.730661392211914,300.0,0.0010509335280706486,0.0001399656450181889,0.025846333528558415,0.009125384154419105,0.011830707714172847,0.0010509335280706486,0.0001399656450181889,0.025846333528558415,0.009125384154419105,0,0,0,0,225.7826111316681,2000,225.7826111316681,2000.0,2.672616500854492,1.036805821299553,1.2851330423355103,0.6670370377898216,1.018236623432664,2.672616500854492,1.036805821299553,1.2851330423355103,0.6670370377898216,0,0,0,0,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-18-13,1603268293,228.2180836200714,456.17007541656494,68973,d83e38022e39,192.168.99.4,456.17007541656494,0,2,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.1860318183898926,150,10.916693210601807,450.0,0.002632268836411337,0.00042051537544466553,0.04555220281084379,0.01685251612216234,0.02050647155033419,0.0010509335280706486,0.0001399656450181889,0.025846333528558415,0.009125384154419105,1,1,1,1,226.0312840938568,2000,451.8138952255249,4000.0,2.66528111243248,1.0360781620442867,1.2835068118572235,0.6666841640174389,1.017879247280485,2.66528111243248,1.0360781620442867,1.2835068118572235,0.6666841640174389,0,0,0,0,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-22-01,1603268521,227.7142779827118,683.8843533992767,68973,d83e38022e39,192.168.99.4,683.8843533992767,0,3,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.1527175903320312,150,13.069410800933838,600.0,0.0002710573027919357,3.3555887736535324e-05,0.013723906440039476,0.004691395756478111,0.005792744404557767,0.0002710573027919357,3.3555887736535324e-05,0.013723906440039476,0.004691395756478111,0,0,0,0,225.56060576438904,2000,677.3745009899139,6000.0,2.6646384633779525,1.0359735981822014,1.2832794989943503,0.6666059689521789,1.0178278823957425,2.6646384633779525,1.0359735981822014,1.2832794989943503,0.6666059689521789,0,0,0,0,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-25-49,1603268749,228.36575031280518,912.2501037120819,68973,d83e38022e39,192.168.99.4,912.2501037120819,0,4,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.18322491645813,150,15.252635717391968,750.0,0.0005679096161232641,0.00010726872448382588,0.01959447474529346,0.0075983893622954685,0.010357061575747529,0.0002710573027919357,3.3555887736535324e-05,0.013723906440039476,0.004691395756478111,1,1,1,1,226.18174195289612,2000,903.5562429428101,8000.0,2.6645309064388276,1.0358533691763878,1.2832920126914977,0.6666320944726467,1.017768819121704,2.6645309064388276,1.0358533691763878,1.2832794989943503,0.6666059689521789,0,0,1,1,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-29-37,1603268977,227.73962998390198,1139.989733695984,68973,d83e38022e39,192.168.99.4,1139.989733695984,0,5,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.1912267208099365,150,17.443862438201904,900.0,0.00020790971776780983,3.461796800062681e-05,0.012305752864728372,0.004531900947913527,0.0058837035955787926,0.00020790971776780983,3.3555887736535324e-05,0.012305752864728372,0.004531900947913527,0,2,0,0,225.54760479927063,2000,1129.1038477420807,10000.0,2.6644578258991243,1.0359114368855953,1.283262791633606,0.6666681674718857,1.017797345686063,2.6644578258991243,1.0358533691763878,1.283262791633606,0.6666059689521789,0,1,0,2,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-33-25,1603269205,228.31636548042297,1368.3060991764069,68973,d83e38022e39,192.168.99.4,1368.3060991764069,0,6,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.2546474933624268,150,19.69850993156433,1050.0,8.429584030333597e-05,1.3420302705829575e-05,0.007335942775631945,0.0026906963950023054,0.0036633731322142952,8.429584030333597e-05,1.3420302705829575e-05,0.007335942775631945,0.0026906963950023054,0,0,0,0,226.0608105659485,2000,1355.1646583080292,12000.0,2.6644960379600526,1.0360371037721634,1.2833245490193368,0.6667263876497745,1.0178590785428814,2.6644578258991243,1.0358533691763878,1.283262791633606,0.6666059689521789,1,2,1,3,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-37-13,1603269433,227.772075176239,1596.0781743526459,68973,d83e38022e39,192.168.99.4,1596.0781743526459,0,7,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.2220871448516846,150,21.920597076416016,1200.0,8.676210326181415e-05,9.851492650341243e-06,0.007820243341848254,0.0026142838147158423,0.0031387087552592775,8.429584030333597e-05,9.851492650341243e-06,0.007335942775631945,0.0026142838147158423,1,0,1,0,225.54928970336914,2000,1580.7139480113983,14000.0,2.664019817352295,1.035928030192852,1.2831859310865403,0.6666243304610252,1.0178054972306114,2.664019817352295,1.0358533691763878,1.2831859310865403,0.6666059689521789,0,3,0,4,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-41-02,1603269662,228.3892424106598,1824.4674167633057,68973,d83e38022e39,192.168.99.4,1824.4674167633057,0,8,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.2362220287323,150,24.156819105148315,1350.0,3.7073342100484296e-05,5.6862754293736845e-06,0.004740545811752478,0.00173285527775685,0.0023845912499574607,3.7073342100484296e-05,5.6862754293736845e-06,0.004740545811752478,0.00173285527775685,0,0,0,0,226.15221786499023,2000,1806.8661658763885,16000.0,2.6643213515281676,1.0359918924868108,1.2831792530417443,0.6665788359940052,1.0178368692903645,2.664019817352295,1.0358533691763878,1.2831792530417443,0.6665788359940052,1,4,0,0,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-44-49,1603269889,227.7419455051422,2052.209362268448,68973,d83e38022e39,192.168.99.4,2052.209362268448,0,9,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.187049388885498,150,26.343868494033813,1500.0,2.533192973108574e-05,3.5594836860279126e-06,0.0040092243316272895,0.0014216886608240506,0.0018866593985210772,2.533192973108574e-05,3.5594836860279126e-06,0.0040092243316272895,0.0014216886608240506,0,0,0,0,225.55402398109436,2000,2032.420189857483,18000.0,2.6642914608716963,1.0359707456231118,1.2831668467521669,0.6666242409646511,1.017826481097398,2.664019817352295,1.0358533691763878,1.2831668467521669,0.6665788359940052,2,5,0,1,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,d1c0cf7a2db347c7a70fd21a4591be0c,2020-10-21_08-48-38,1603270118,228.3423511981964,2280.5517134666443,68973,d83e38022e39,192.168.99.4,2280.5517134666443,0,10,00003,"3_net=MultilevelNetNoRes,norm_layer=batchnorm,seed=0",5404,2.2275426387786865,150,28.5714111328125,1650.0,2.5965071411822768e-05,3.5336271988247366e-06,0.004008759654437502,0.001407857402227819,0.0018797944565363354,2.533192973108574e-05,3.5336271988247366e-06,0.004008759654437502,0.001407857402227819,1,0,0,0,226.1138722896576,2000,2258.5340621471405,20000.0,2.6640699632167815,1.0359008780717849,1.283130380809307,0.6666524143218994,1.0177921585823821,2.664019817352295,1.0358533691763878,1.283130380809307,0.6665788359940052,3,6,0,2,6.562124729156494,150,6.562124729156494,150.0,4.997193492253621,0.5026558482646942,2.131499468485514,0.7035768636067709,0.7089822623061132
