lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,,,1,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-15-45,1603268145,254.50532841682434,254.50532841682434,68966,d83e38022e39,192.168.99.4,254.50532841682434,0,1,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.0299594402313232,150,8.841105461120605,300.0,0.0038123061197499436,0.0009904710669070482,0.04154940515756607,0.017481065827111404,0.03147175029938831,0.0038123061197499436,0.0009904710669070482,0.04154940515756607,0.017481065827111404,0,0,0,0,252.47463369369507,2000,252.47463369369507,2000.0,2.6759946118593216,1.0329750494360923,1.2856956679821014,0.6662000482976437,1.0163538013094122,2.6759946118593216,1.0329750494360923,1.2856956679821014,0.6662000482976437,0,0,0,0,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[0.01],1,False,,,2,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-19-59,1603268399,254.41478157043457,508.9201099872589,68966,d83e38022e39,192.168.99.4,508.9201099872589,0,2,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.02549409866333,150,10.866599559783936,450.0,0.000976584484257425,0.00020928140584146603,0.021797515663007895,0.008267639515300592,0.014466561645445197,0.000976584484257425,0.00020928140584146603,0.021797515663007895,0.008267639515300592,0,0,0,0,252.38865995407104,2000,504.8632936477661,4000.0,2.665733937263489,1.0359860107898713,1.2836218699216844,0.6667450448572636,1.0178339799740777,2.665733937263489,1.0329750494360923,1.2836218699216844,0.6662000482976437,0,1,0,1,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[0.0025],2,False,,,3,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-24-14,1603268654,254.49839329719543,763.4185032844543,68966,d83e38022e39,192.168.99.4,763.4185032844543,0,3,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.0335841178894043,150,12.90018367767334,600.0,0.0026832010271027685,0.00040752331105371314,0.04300344154238701,0.015936214414735635,0.020187206618393568,0.000976584484257425,0.00020928140584146603,0.021797515663007895,0.008267639515300592,1,1,1,1,252.46411228179932,2000,757.3274059295654,6000.0,2.6645977298021317,1.0356364598870278,1.2832733105421066,0.6665765905678273,1.0176622523642251,2.6645977298021317,1.0329750494360923,1.2832733105421066,0.6662000482976437,0,2,0,2,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[0.0025],3,False,,,4,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-28-28,1603268908,254.47515511512756,1017.8936583995819,68966,d83e38022e39,192.168.99.4,1017.8936583995819,0,4,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.0313968658447266,150,14.931580543518066,750.0,0.000496105423856837,9.597497589614552e-05,0.016839463077485562,0.006514948255692919,0.009796681881950925,0.000496105423856837,9.597497589614552e-05,0.016839463077485562,0.006514948255692919,0,0,0,0,252.4431004524231,2000,1009.7705063819885,8000.0,2.6649077379703523,1.0361793288886547,1.2833734175562859,0.6666860059499741,1.01792894098196,2.6645977298021317,1.0329750494360923,1.2832733105421066,0.6662000482976437,1,3,1,3,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[0.000625],4,False,,,5,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-32-43,1603269163,254.33892035484314,1272.232578754425,68966,d83e38022e39,192.168.99.4,1272.232578754425,0,5,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,1.968092918395996,150,16.899673461914062,900.0,0.0001747947092129228,2.8551845631833808e-05,0.010858378571768601,0.004035046442101399,0.005343392707993098,0.0001747947092129228,2.8551845631833808e-05,0.010858378571768601,0.004035046442101399,0,0,0,0,252.37004446983337,2000,1262.140550851822,10000.0,2.6647584385871887,1.0359695593416691,1.283301931321621,0.6666802297234535,1.0178258983449326,2.6645977298021317,1.0329750494360923,1.2832733105421066,0.6662000482976437,2,4,2,4,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[0.000625],5,False,,,6,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-36-57,1603269417,254.48948311805725,1526.7220618724823,68966,d83e38022e39,192.168.99.4,1526.7220618724823,0,6,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.042919397354126,150,18.94259285926819,1050.0,0.00022956797086711353,3.101434565905947e-05,0.01255671221142014,0.004432164287815492,0.005569052492036637,0.0001747947092129228,2.8551845631833808e-05,0.010858378571768601,0.004035046442101399,1,1,1,1,252.44598388671875,2000,1514.5865347385406,12000.0,2.6647571930885317,1.0360674752891064,1.2833989314436913,0.6667718815803528,1.0178739977468263,2.6645977298021317,1.0329750494360923,1.2832733105421066,0.6662000482976437,3,5,3,5,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[0.00015625],6,False,,,7,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-41-12,1603269672,254.52569842338562,1781.247760295868,68966,d83e38022e39,192.168.99.4,1781.247760295868,0,7,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.0810065269470215,150,21.02359938621521,1200.0,7.109357703787585e-05,1.0322779041113487e-05,0.006557520671437184,0.002345255135248105,0.0032129081905827137,7.109357703787585e-05,1.0322779041113487e-05,0.006557520671437184,0.002345255135248105,0,0,0,0,252.44397258758545,2000,1767.030507326126,14000.0,2.664186893105507,1.035991692662239,1.2831716384887695,0.6666158964037895,1.017836771128966,2.664186893105507,1.0329750494360923,1.2831716384887695,0.6662000482976437,0,6,0,6,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[0.00015625],7,False,,,8,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-45-26,1603269926,254.44646501541138,2035.6942253112793,68966,d83e38022e39,192.168.99.4,2035.6942253112793,0,8,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.0586600303649902,150,23.0822594165802,1350.0,9.248097388384243e-05,1.1745183522483179e-05,0.007716887447362145,0.002642084852171441,0.0034271246727370715,7.109357703787585e-05,1.0322779041113487e-05,0.006557520671437184,0.002345255135248105,1,1,1,1,252.3871612548828,2000,2019.417668581009,16000.0,2.6645810025930405,1.036130526125431,1.2832233724594115,0.6665919309258461,1.0179049691034183,2.664186893105507,1.0329750494360923,1.2831716384887695,0.6662000482976437,1,7,1,7,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[3.90625e-05],8,False,,,9,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-49-41,1603270181,254.50279116630554,2290.197016477585,68966,d83e38022e39,192.168.99.4,2290.197016477585,0,9,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.038687229156494,150,25.120946645736694,1500.0,3.830866796003344e-05,6.074591210563085e-06,0.004715091458832224,0.0016980001671860615,0.0024646685802685695,3.830866796003344e-05,6.074591210563085e-06,0.004715091458832224,0.0016980001671860615,0,0,0,0,252.46351742744446,2000,2271.8811860084534,18000.0,2.6645017346143725,1.0361659468412399,1.2832187699079514,0.6666580186784268,1.0179223677870723,2.664186893105507,1.0329750494360923,1.2831716384887695,0.6662000482976437,2,8,2,8,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[3.90625e-05],9,False,,,10,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-53-55,1603270435,254.4761323928833,2544.673148870468,68966,d83e38022e39,192.168.99.4,2544.673148870468,0,10,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.0618224143981934,150,27.182769060134888,1650.0,3.52356711421938e-05,5.750531057249949e-06,0.004450900523612897,0.001614932712012281,0.002398026492191016,3.52356711421938e-05,5.750531057249949e-06,0.004450900523612897,0.001614932712012281,0,0,0,0,252.41345262527466,2000,2524.294638633728,20000.0,2.6643069089651106,1.0357867965698242,1.2831372383236885,0.6666302148401737,1.0177361134251963,2.664186893105507,1.0329750494360923,1.2831372383236885,0.6662000482976437,3,9,0,9,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
[9.765625e-06],10,False,,,11,06a63fe9f657490888d92ef4c336e15a,2020-10-21_08-58-10,1603270690,254.4838433265686,2799.1569921970367,68966,d83e38022e39,192.168.99.4,2799.1569921970367,0,11,00005,"5_net=Feedforward,norm_layer=batchnorm,seed=0",6741,2.050569534301758,150,29.233338594436646,1800.0,3.1215493072522805e-05,5.249985348806755e-06,0.004121145261451602,0.001504498072899878,0.00229128465032321,3.1215493072522805e-05,5.249985348806755e-06,0.004121145261451602,0.001504498072899878,0,0,0,0,252.43245649337769,2000,2776.7270951271057,22000.0,2.6641370170116425,1.035748706817627,1.2831250490546227,0.6665614102482795,1.0177174002726037,2.6641370170116425,1.0329750494360923,1.2831250490546227,0.6662000482976437,0,10,0,10,6.811146020889282,150,6.811146020889282,150.0,4.622827746073405,0.4606272733211517,2.0464963229497273,0.6737447412808736,0.6786952728000628
