lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,419c562484244d3288a19f70495a2dd2,2020-10-21_09-10-14,1603271414,39.37660098075867,39.37660098075867,68948,d83e38022e39,192.168.99.4,39.37660098075867,0,1,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.689574956893921,150,5.871922969818115,300.0,0.001530528018095841,0.00025228544468215355,0.03023380587498347,0.011086197507878145,0.015883495984264723,0.001530528018095841,0.00025228544468215355,0.03023380587498347,0.011086197507878145,0,0,0,0,37.68632411956787,2000,37.68632411956787,2000.0,2.681665771126747,1.0287067335695028,1.2867436690330505,0.6653164401948451,1.014251809744258,2.681665771126747,1.0287067335695028,1.2867436690330505,0.6653164401948451,0,0,0,0,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,419c562484244d3288a19f70495a2dd2,2020-10-21_09-10-53,1603271453,39.4591588973999,78.83575987815857,68948,d83e38022e39,192.168.99.4,78.83575987815857,0,2,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.730586051940918,150,7.602509021759033,450.0,0.0014763479850565394,0.0002221221763951083,0.02754381646712621,0.009850839519252379,0.014903763833176781,0.0014763479850565394,0.0002221221763951083,0.02754381646712621,0.009850839519252379,0,0,0,0,37.72781229019165,2000,75.41413640975952,4000.0,2.665667203426361,1.035429126292467,1.2836584827899933,0.6667060195505619,1.0175603796789983,2.665667203426361,1.0287067335695028,1.2836584827899933,0.6653164401948451,0,1,0,1,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,419c562484244d3288a19f70495a2dd2,2020-10-21_09-11-32,1603271492,39.38709497451782,118.22285485267639,68948,d83e38022e39,192.168.99.4,118.22285485267639,0,3,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.703275203704834,150,9.305784225463867,600.0,0.0012523622120109697,0.00018637828150531278,0.026400761591891447,0.00947631266588966,0.013652043125675833,0.0012523622120109697,0.00018637828150531278,0.026400761591891447,0.00947631266588966,0,0,0,0,37.68316102027893,2000,113.09729743003845,6000.0,2.6654092936515807,1.0353547995686532,1.2835435113906861,0.6666432669758797,1.0175238570022096,2.6654092936515807,1.0287067335695028,1.2835435113906861,0.6653164401948451,0,2,0,2,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,419c562484244d3288a19f70495a2dd2,2020-10-21_09-12-12,1603271532,39.2487154006958,157.4715702533722,68948,d83e38022e39,192.168.99.4,157.4715702533722,0,4,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.7287533283233643,150,11.034537553787231,750.0,0.0010722338796282807,0.00016765855175132554,0.022227734997868537,0.00811909254019459,0.012948303045238226,0.0010722338796282807,0.00016765855175132554,0.022227734997868537,0.00811909254019459,0,0,0,0,37.51924920082092,2000,150.61654663085938,8000.0,2.665277520060539,1.0352784337997436,1.283538675427437,0.6666680967509746,1.0174863310137112,2.665277520060539,1.0287067335695028,1.283538675427437,0.6653164401948451,0,3,0,3,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,419c562484244d3288a19f70495a2dd2,2020-10-21_09-12-51,1603271571,39.71237802505493,197.18394827842712,68948,d83e38022e39,192.168.99.4,197.18394827842712,0,5,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.7651245594024658,150,12.799662113189697,900.0,0.0009381234626440953,0.00015102671905575942,0.020179957958559196,0.0074585466428349415,0.01228929286231553,0.0009381234626440953,0.00015102671905575942,0.020179957958559196,0.0074585466428349415,0,0,0,0,37.946635007858276,2000,188.56318163871765,10000.0,2.665271570801735,1.0353442831039428,1.2835367344021797,0.6667116808891297,1.0175186893143255,2.665271570801735,1.0287067335695028,1.2835367344021797,0.6653164401948451,0,4,0,4,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,419c562484244d3288a19f70495a2dd2,2020-10-21_09-13-31,1603271611,39.23924422264099,236.42319250106812,68948,d83e38022e39,192.168.99.4,236.42319250106812,0,6,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.754415512084961,150,14.554077625274658,1050.0,0.0009383287416615834,0.0001537230464358193,0.020227671278019745,0.007451235915844639,0.012398509847389699,0.0009381234626440953,0.00015102671905575942,0.020179957958559196,0.007451235915844639,1,1,1,0,37.483875036239624,2000,226.04705667495728,12000.0,2.665314307928085,1.0354999088048935,1.2835976904630662,0.6667766344249249,1.0175951595820871,2.665271570801735,1.0287067335695028,1.2835367344021797,0.6653164401948451,1,5,1,5,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,419c562484244d3288a19f70495a2dd2,2020-10-21_09-14-10,1603271650,39.71129274368286,276.134485244751,68948,d83e38022e39,192.168.99.4,276.134485244751,0,7,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.7606332302093506,150,16.31471085548401,1200.0,0.0009049858459426711,0.0001446621582726948,0.019156365357339382,0.007063978339234988,0.012027558283903462,0.0009049858459426711,0.0001446621582726948,0.019156365357339382,0.007063978339234988,0,0,0,0,37.94989728927612,2000,263.9969539642334,14000.0,2.6648519455194473,1.0353826068043708,1.2834597311615943,0.6666681817770004,1.0175375210793804,2.6648519455194473,1.0287067335695028,1.2834597311615943,0.6653164401948451,0,6,0,6,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,419c562484244d3288a19f70495a2dd2,2020-10-21_09-14-50,1603271690,39.96172618865967,316.09621143341064,68948,d83e38022e39,192.168.99.4,316.09621143341064,0,8,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.6886296272277832,150,18.003340482711792,1350.0,0.0009034257832293709,0.00014598509723631045,0.019166912101209164,0.007118229921907186,0.012082429277107749,0.0009034257832293709,0.0001446621582726948,0.019156365357339382,0.007063978339234988,0,1,1,1,38.27250599861145,2000,302.26945996284485,16000.0,2.6651560200452806,1.03543904453516,1.2834523940086364,0.6666244880855083,1.0175652532074588,2.6648519455194473,1.0287067335695028,1.2834523940086364,0.6653164401948451,1,7,0,7,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,419c562484244d3288a19f70495a2dd2,2020-10-21_09-15-30,1603271730,40.008721351623535,356.1049327850342,68948,d83e38022e39,192.168.99.4,356.1049327850342,0,9,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.7327911853790283,150,19.73613166809082,1500.0,0.0008837705132706712,0.0001430066210256579,0.018603743476172288,0.006889875770236055,0.011958537578887223,0.0008837705132706712,0.0001430066210256579,0.018603743476172288,0.006889875770236055,0,0,0,0,38.2752046585083,2000,340.54466462135315,18000.0,2.6651433535814286,1.0353672704696655,1.2834450631737708,0.6666537170410156,1.0175299850469595,2.6648519455194473,1.0287067335695028,1.2834450631737708,0.6653164401948451,2,8,0,8,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,419c562484244d3288a19f70495a2dd2,2020-10-21_09-16-11,1603271771,40.657230615615845,396.76216340065,68948,d83e38022e39,192.168.99.4,396.76216340065,0,10,00007,"7_net=MultilevelNet,norm_layer=none,seed=0",4804,1.7318651676177979,150,21.467996835708618,1650.0,0.0008867913907549033,0.00014266169833717867,0.01872019092241923,0.006918236709510287,0.011944107264135678,0.0008837705132706712,0.00014266169833717867,0.018603743476172288,0.006889875770236055,1,0,1,1,38.92475700378418,2000,379.46942162513733,20000.0,2.6649036680459974,1.0353804520368577,1.2834070373177529,0.6667042953670025,1.0175364622640595,2.6648519455194473,1.0287067335695028,1.2834070373177529,0.6653164401948451,3,9,0,9,4.182348012924194,150,4.182348012924194,150.0,4.941284580230713,0.4957098191976547,2.1175096066792807,0.6983817315101624,0.7040666297998043
