lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,,,1,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-18-54,1603271934,60.72981929779053,60.72981929779053,68964,d83e38022e39,192.168.99.4,60.72981929779053,0,1,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,2.033389091491699,150,6.1379523277282715,300.0,0.02181608308106661,0.0030812332484250267,0.10317680542667707,0.0370667877048254,0.05550885738713261,0.02181608308106661,0.0030812332484250267,0.10317680542667707,0.0370667877048254,0,0,0,0,58.6954779624939,2000,58.6954779624939,2000.0,2.6896122497320176,1.0350743249356746,1.2906059973239898,0.6693733871877193,1.0173860255260412,2.6896122497320176,1.0350743249356746,1.2906059973239898,0.6693733871877193,0,0,0,0,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[0.01, 0.01, 0.01, 0.01]",1,False,,,2,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-19-54,1603271994,59.78389263153076,120.51371192932129,68964,d83e38022e39,192.168.99.4,120.51371192932129,0,2,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,2.0064167976379395,150,8.144369125366211,450.0,0.021065400652587413,0.0031331402140979967,0.10133133197824161,0.036737699384490646,0.05597446037344171,0.021065400652587413,0.0030812332484250267,0.10133133197824161,0.036737699384490646,0,1,0,0,57.776612997055054,2000,116.47209095954895,4000.0,2.6857202270030975,1.035031786888838,1.2895796037912368,0.6690510561168194,1.0173651197524112,2.6857202270030975,1.035031786888838,1.2895796037912368,0.6690510561168194,0,0,0,0,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,,,3,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-20-54,1603272054,60.168155670166016,180.6818675994873,68964,d83e38022e39,192.168.99.4,180.6818675994873,0,3,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,2.028563976287842,150,10.172933101654053,600.0,0.020576642341911793,0.002853010599501431,0.09890605340401332,0.03532226438323657,0.05341358066542096,0.020576642341911793,0.002853010599501431,0.09890605340401332,0.03532226438323657,0,0,0,0,58.138323068618774,2000,174.61041402816772,6000.0,2.684449743390083,1.034905791670084,1.2892545077204705,0.6689662902057171,1.0173031955469736,2.684449743390083,1.034905791670084,1.2892545077204705,0.6689662902057171,0,0,0,0,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,,,4,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-21-54,1603272114,60.393051862716675,241.07491946220398,68964,d83e38022e39,192.168.99.4,241.07491946220398,0,4,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,1.9831008911132812,150,12.156033992767334,750.0,0.020389930220941703,0.0029423267068341375,0.09764152482151985,0.035358713815609615,0.054243218072254316,0.020389930220941703,0.002853010599501431,0.09764152482151985,0.03532226438323657,0,1,0,1,58.40882468223572,2000,233.01923871040344,8000.0,2.6845287996530534,1.0349381634294987,1.2891639434099198,0.6689052885174751,1.0173191059984565,2.684449743390083,1.034905791670084,1.2891639434099198,0.6689052885174751,1,1,0,0,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,,,5,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-22-55,1603272175,60.43101763725281,301.5059370994568,68964,d83e38022e39,192.168.99.4,301.5059370994568,0,5,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,2.0100133419036865,150,14.16604733467102,900.0,0.020088408204416434,0.0028290881449356676,0.09733703399697939,0.03496499252816041,0.05318917319281874,0.020088408204416434,0.0028290881449356676,0.09733703399697939,0.03496499252816041,0,0,0,0,58.41996431350708,2000,291.4392030239105,10000.0,2.6838051869869233,1.0350968522131443,1.2890634660720826,0.6688795413672924,1.0173970966211494,2.6838051869869233,1.034905791670084,1.2890634660720826,0.6688795413672924,0,2,0,0,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,,,6,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-23-55,1603272235,60.18410038948059,361.6900374889374,68964,d83e38022e39,192.168.99.4,361.6900374889374,0,6,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,2.023672103881836,150,16.189719438552856,1050.0,0.020035471643010776,0.0028267295053228734,0.09720745667815209,0.03503131426870823,0.05316699639177366,0.020035471643010776,0.0028267295053228734,0.09720745667815209,0.03496499252816041,0,0,0,1,58.15959334373474,2000,349.59879636764526,12000.0,2.684601714372635,1.0352177299559115,1.289186406493187,0.6689738008379936,1.0174565002769953,2.6838051869869233,1.034905791670084,1.2890634660720826,0.6688795413672924,1,3,1,1,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,,,7,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-24-55,1603272295,60.0970778465271,421.7871153354645,68964,d83e38022e39,192.168.99.4,421.7871153354645,0,7,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,1.9940094947814941,150,18.18372893333435,1200.0,0.02000055598715941,0.002834559876161317,0.09669353077809016,0.03488403389851252,0.053240584859309326,0.02000055598715941,0.0028267295053228734,0.09669353077809016,0.03488403389851252,0,1,0,0,58.102232933044434,2000,407.7010293006897,14000.0,2.6844482107162477,1.035161304116249,1.289217436671257,0.6689957027435303,1.0174287710283454,2.6838051869869233,1.034905791670084,1.2890634660720826,0.6688795413672924,2,4,2,2,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,,,8,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-25-55,1603272355,59.82161474227905,481.60873007774353,68964,d83e38022e39,192.168.99.4,481.60873007774353,0,8,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,1.9830076694488525,150,20.166736602783203,1350.0,0.02001954002926747,0.0029020035328964394,0.09745057284832001,0.035362864136695864,0.05387024719542727,0.02000055598715941,0.0028267295053228734,0.09669353077809016,0.03488403389851252,1,2,1,1,57.83747863769531,2000,465.538507938385,16000.0,2.6846377120018006,1.03525129660964,1.2891771319508551,0.6689282120764255,1.0174729955186232,2.6838051869869233,1.034905791670084,1.2890634660720826,0.6688795413672924,3,5,3,3,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,,,9,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-26-55,1603272415,60.2575786113739,541.8663086891174,68964,d83e38022e39,192.168.99.4,541.8663086891174,0,9,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,2.023625135421753,150,22.190361738204956,1500.0,0.019936586953699587,0.0028489031953116257,0.09663059130311012,0.03493248157203197,0.05337511775454576,0.019936586953699587,0.0028267295053228734,0.09663059130311012,0.03488403389851252,0,3,0,2,58.23298263549805,2000,523.771490573883,18000.0,2.6841694964170455,1.0349786397218703,1.2891232548356055,0.668892293125391,1.0173389994106539,2.6838051869869233,1.034905791670084,1.2890634660720826,0.6688795413672924,4,6,4,4,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,,,10,f75b4cecce6946dcb07f4d5e5c2f6e62,2020-10-21_09-27-55,1603272475,59.64968943595886,601.5159981250763,68964,d83e38022e39,192.168.99.4,601.5159981250763,0,10,00009,"9_net=MultilevelNetNoRes,norm_layer=layernorm,seed=1",5404,1.9874136447906494,150,24.177775382995605,1650.0,0.019939420682688554,0.002862869338132441,0.096789225290219,0.035058444490035374,0.0535057878937638,0.019936586953699587,0.0028267295053228734,0.09663059130311012,0.03488403389851252,1,4,1,3,57.661070585250854,2000,581.4325611591339,20000.0,2.6835532044172288,1.0348335646390916,1.2889054456353188,0.6688328935801983,1.0172676956627944,2.6835532044172288,1.0348335646390916,1.2889054456353188,0.6688328935801983,0,0,0,0,4.104563236236572,150,4.104563236236572,150.0,2.797315689722697,0.24614157368739445,1.4405613160133361,0.45037677109241486,0.49612657022920514
