lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,f20952f684684611a34dbafd8463ba0b,2020-10-21_14-17-14,1603289834,949.6507091522217,949.6507091522217,60974,d83e38022e39,192.168.99.4,949.6507091522217,0,1,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.63116431236267,150,54.893263816833496,300.0,0.30634175101915995,0.0005545582870642344,0.4395629644393921,0.017488395757973195,0.023549061277771444,0.30634175101915995,0.0005545582870642344,0.4395629644393921,0.017488395757973195,0,0,0,0,925.0122995376587,2000,925.0122995376587,2000.0,1012.3979082641602,6.180610708713531,20.730059840202333,1.5162567608654498,2.4860834074329707,1012.3979082641602,6.180610708713531,20.730059840202333,1.5162567608654498,0,0,0,0,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,f20952f684684611a34dbafd8463ba0b,2020-10-21_14-33-03,1603290783,949.1805386543274,1898.831247806549,60974,d83e38022e39,192.168.99.4,1898.831247806549,0,2,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.435269832611084,150,79.32853364944458,450.0,0.37954013963540395,0.0006079007766675204,0.48938222229480743,0.01887962150077025,0.024655643911030197,0.30634175101915995,0.0005545582870642344,0.4395629644393921,0.017488395757973195,1,1,1,1,924.7379417419434,2000,1849.750241279602,4000.0,1006.6280385742187,6.252731988668442,20.702046688079832,1.5253616919517516,2.500546338036638,1006.6280385742187,6.180610708713531,20.702046688079832,1.5162567608654498,0,1,0,1,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,f20952f684684611a34dbafd8463ba0b,2020-10-21_14-48-53,1603291733,949.7453746795654,2848.5766224861145,60974,d83e38022e39,192.168.99.4,2848.5766224861145,0,3,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.588345527648926,150,103.9168791770935,600.0,0.17741363912820815,0.00024297430383739992,0.3313655292987823,0.01229264801988999,0.015587633041530068,0.17741363912820815,0.00024297430383739992,0.3313655292987823,0.01229264801988999,0,0,0,0,925.1482949256897,2000,2774.8985362052917,6000.0,1006.30776953125,6.252103434085846,20.698873253822327,1.5251676447987557,2.5004206514276444,1006.30776953125,6.180610708713531,20.698873253822327,1.5162567608654498,0,2,0,2,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,f20952f684684611a34dbafd8463ba0b,2020-10-21_15-04-43,1603292683,949.6294095516205,3798.206032037735,60974,d83e38022e39,192.168.99.4,3798.206032037735,0,4,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.542686939239502,150,128.459566116333,750.0,0.18818281581004462,0.0002748419513227418,0.33463767647743226,0.012548768781125546,0.01657835791997331,0.17741363912820815,0.00024297430383739992,0.3313655292987823,0.01229264801988999,1,1,1,1,925.0785195827484,2000,3699.97705578804,8000.0,1006.5516066589355,6.2536274790763855,20.701205532073974,1.5254196406006812,2.5007253905769793,1006.30776953125,6.180610708713531,20.698873253822327,1.5162567608654498,1,3,1,3,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,f20952f684684611a34dbafd8463ba0b,2020-10-21_15-20-32,1603293632,949.6226618289948,4747.82869386673,60974,d83e38022e39,192.168.99.4,4747.82869386673,0,5,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.711275100708008,150,153.17084121704102,900.0,0.08832373822728792,0.00013418907969025895,0.22995233277479807,0.008746654534091552,0.01158400102254221,0.08832373822728792,0.00013418907969025895,0.22995233277479807,0.008746654534091552,0,0,0,0,924.9022495746613,2000,4624.879305362701,10000.0,1006.3158465270997,6.250402458190918,20.696771109580993,1.5251389598846437,2.5000804903424445,1006.30776953125,6.180610708713531,20.696771109580993,1.5162567608654498,2,4,0,4,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,f20952f684684611a34dbafd8463ba0b,2020-10-21_15-36-22,1603294582,949.7222754955292,5697.550969362259,60974,d83e38022e39,192.168.99.4,5697.550969362259,0,6,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.716317176818848,150,177.88715839385986,1050.0,0.16163190950949988,0.00024788929770390195,0.3239690945545832,0.012258424075941245,0.015744500554285674,0.08832373822728792,0.00013418907969025895,0.22995233277479807,0.008746654534091552,1,1,1,1,924.9975230693817,2000,5549.876828432083,12000.0,1006.7414874267578,6.250858778476715,20.703056372642518,1.5252703711390496,2.5001717497957445,1006.30776953125,6.180610708713531,20.696771109580993,1.5162567608654498,3,5,1,5,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,f20952f684684611a34dbafd8463ba0b,2020-10-21_15-52-12,1603295532,949.8189232349396,6647.3698925971985,60974,d83e38022e39,192.168.99.4,6647.3698925971985,0,7,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.746031999588013,150,202.63319039344788,1200.0,0.06600271383921305,9.728345855061585e-05,0.1971319282054901,0.00744727064234515,0.009863237731628284,0.06600271383921305,9.728345855061585e-05,0.1971319282054901,0.00744727064234515,0,0,0,0,925.0649480819702,2000,6474.941776514053,14000.0,1005.7855042724609,6.249371799945831,20.69575658893585,1.525069866836071,2.499874356831925,1005.7855042724609,6.180610708713531,20.69575658893585,1.5162567608654498,0,6,0,6,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,f20952f684684611a34dbafd8463ba0b,2020-10-21_16-08-01,1603296481,949.1589667797089,7596.528859376907,60974,d83e38022e39,192.168.99.4,7596.528859376907,0,8,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.469953536987305,150,227.10314393043518,1350.0,0.06841512685020765,0.00010318313555520338,0.20427381743987402,0.007769989796603719,0.010157909999365193,0.06600271383921305,9.728345855061585e-05,0.1971319282054901,0.00744727064234515,1,1,1,1,924.6789584159851,2000,7399.620734930038,16000.0,1006.2542070617676,6.25041582608223,20.698361895561217,1.5252010444402695,2.5000831638332013,1005.7855042724609,6.180610708713531,20.69575658893585,1.5162567608654498,1,7,1,7,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,f20952f684684611a34dbafd8463ba0b,2020-10-21_16-23-51,1603297431,949.496392250061,8546.025251626968,60974,d83e38022e39,192.168.99.4,8546.025251626968,0,9,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.684401988983154,150,251.78754591941833,1500.0,0.05312998448808988,8.200298102262119e-05,0.17826160977284114,0.0068052720309545595,0.009055549736080146,0.05312998448808988,8.200298102262119e-05,0.17826160977284114,0.0068052720309545595,0,0,0,0,924.8041079044342,2000,8324.424842834473,18000.0,1006.2183143005371,6.250755649328232,20.697473647117615,1.5252916617393493,2.5001511252978754,1005.7855042724609,6.180610708713531,20.69575658893585,1.5162567608654498,2,8,2,8,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,f20952f684684611a34dbafd8463ba0b,2020-10-21_16-39-40,1603298380,949.3363971710205,9495.361648797989,60974,d83e38022e39,192.168.99.4,9495.361648797989,0,10,00000,"0_net=MultilevelNetNoRes,seed=0",2380732,24.48318576812744,150,276.2707316875458,1650.0,0.04433762977520625,7.348543348295304e-05,0.16308695177237192,0.006331554722661773,0.008572364521119773,0.04433762977520625,7.348543348295304e-05,0.16308695177237192,0.006331554722661773,0,0,0,0,924.8451118469238,2000,9249.269954681396,20000.0,1005.9540488586425,6.249703206777573,20.697445603370667,1.5250772387385367,2.499940640650808,1005.7855042724609,6.180610708713531,20.69575658893585,1.5162567608654498,3,9,3,9,30.262099504470825,150,30.262099504470825,150.0,854.6617000325521,0.9210866053899129,27.495587679545086,0.9595550477504731,0.9597325697244586
