lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_14-17-35,1603289855,970.3352108001709,970.3352108001709,60948,d83e38022e39,192.168.99.4,970.3352108001709,0,1,00001,"1_net=MultilevelNet,seed=0",2380732,25.13849186897278,150,55.4492826461792,300.0,0.2631313860416412,0.0004397931972440953,0.4060519435008367,0.015829004682600498,0.02097124691676905,0.2631313860416412,0.0004397931972440953,0.4060519435008367,0.015829004682600498,0,0,0,0,945.1867361068726,2000,945.1867361068726,2000.0,1012.0006064758301,6.188552237927913,20.727380416870115,1.5171546883881093,2.487680091556773,1012.0006064758301,6.188552237927913,20.727380416870115,1.5171546883881093,0,0,0,0,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_14-33-46,1603290826,970.5055823326111,1940.840793132782,60948,d83e38022e39,192.168.99.4,1940.840793132782,0,2,00001,"1_net=MultilevelNet,seed=0",2380732,24.963724613189697,150,80.4130072593689,450.0,0.29935313244660694,0.00038857934860667836,0.42065576354662576,0.015416988668342431,0.019712416102717557,0.2631313860416412,0.00038857934860667836,0.4060519435008367,0.015416988668342431,1,0,1,0,945.5320827960968,2000,1890.7188189029694,4000.0,1006.5991376953125,6.253959102630615,20.701947286605836,1.5254602546095848,2.5007916951698745,1006.5991376953125,6.188552237927913,20.701947286605836,1.5171546883881093,0,1,0,1,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_14-49-55,1603291795,969.9108357429504,2910.7516288757324,60948,d83e38022e39,192.168.99.4,2910.7516288757324,0,3,00001,"1_net=MultilevelNet,seed=0",2380732,25.008890628814697,150,105.4218978881836,600.0,0.18899576018253963,0.0003140538635974129,0.34549245436986287,0.01342327964802583,0.017721564930824052,0.18899576018253963,0.0003140538635974129,0.34549245436986287,0.01342327964802583,0,0,0,0,944.8934609889984,2000,2835.612279891968,6000.0,1006.3005351257324,6.252881478786469,20.698926069259645,1.525216042816639,2.500576229349241,1006.3005351257324,6.188552237927913,20.698926069259645,1.5171546883881093,0,2,0,2,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_15-06-06,1603292766,970.0672419071198,3880.818870782852,60948,d83e38022e39,192.168.99.4,3880.818870782852,0,4,00001,"1_net=MultilevelNet,seed=0",2380732,24.851120710372925,150,130.27301859855652,750.0,0.19801192988952002,0.00024670288189857577,0.34361824452877043,0.012455577117701372,0.015706778215107506,0.18899576018253963,0.00024670288189857577,0.34361824452877043,0.012455577117701372,1,0,0,0,945.206582069397,2000,3780.8188619613647,8000.0,1006.5449593505859,6.253770144462585,20.701195640563967,1.5254183801412582,2.500753915214887,1006.3005351257324,6.188552237927913,20.698926069259645,1.5171546883881093,1,3,1,3,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_15-22-15,1603293735,969.4593687057495,4850.278239488602,60948,d83e38022e39,192.168.99.4,4850.278239488602,0,5,00001,"1_net=MultilevelNet,seed=0",2380732,24.97144103050232,150,155.24445962905884,900.0,0.09943030749758085,0.0001795722161962961,0.24848934123913446,0.00984038774544994,0.013400455820467306,0.09943030749758085,0.0001795722161962961,0.24848934123913446,0.00984038774544994,0,0,0,0,944.4773397445679,2000,4725.296201705933,10000.0,1006.3109848632813,6.250509339332581,20.696659326553345,1.5251292513608932,2.5001018657911884,1006.3005351257324,6.188552237927913,20.696659326553345,1.5171546883881093,2,4,0,4,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_15-38-25,1603294705,970.0743916034698,5820.3526310920715,60948,d83e38022e39,192.168.99.4,5820.3526310920715,0,6,00001,"1_net=MultilevelNet,seed=0",2380732,24.90828800201416,150,180.152747631073,1050.0,0.1088477756579717,0.00013992902570559332,0.2558135634660721,0.009308964752902587,0.01182915997463866,0.09943030749758085,0.00013992902570559332,0.24848934123913446,0.009308964752902587,1,0,1,0,945.1553018093109,2000,5670.4515035152435,12000.0,1006.7394301757812,6.250882056474686,20.70300378894806,1.5252615070939064,2.5001764050711874,1006.3005351257324,6.188552237927913,20.696659326553345,1.5171546883881093,3,5,1,5,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_15-54-34,1603295674,969.081216096878,6789.43384718895,60948,d83e38022e39,192.168.99.4,6789.43384718895,0,7,00001,"1_net=MultilevelNet,seed=0",2380732,24.812232494354248,150,204.96498012542725,1200.0,0.06045586558679739,8.698891198340183e-05,0.18754758387804032,0.007054023413608472,0.009326784654070332,0.06045586558679739,8.698891198340183e-05,0.18754758387804032,0.007054023413608472,0,0,0,0,944.2604343891144,2000,6614.711937904358,14000.0,1005.7819519958496,6.249381612300873,20.695673449516296,1.525057836472988,2.4998763194007965,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,0,6,0,6,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_16-10-44,1603296644,970.1112558841705,7759.54510307312,60948,d83e38022e39,192.168.99.4,7759.54510307312,0,8,00001,"1_net=MultilevelNet,seed=0",2380732,24.970275402069092,150,229.93525552749634,1350.0,0.05167193822562695,7.920944932266139e-05,0.17415553440650305,0.0066375924957295255,0.008899969063017096,0.05167193822562695,7.920944932266139e-05,0.17415553440650305,0.0066375924957295255,0,0,0,0,945.1329064369202,2000,7559.844844341278,16000.0,1006.2526102600098,6.250508171319962,20.69829815864563,1.5252001864910125,2.5001016321981715,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,1,7,1,7,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_16-26-54,1603297614,969.5498013496399,8729.09490442276,60948,d83e38022e39,192.168.99.4,8729.09490442276,0,9,00001,"1_net=MultilevelNet,seed=0",2380732,25.00410556793213,150,254.93936109542847,1500.0,0.045853284920255345,7.027695877089475e-05,0.16370721727609636,0.0062434815242886545,0.008383135378299383,0.045853284920255345,7.027695877089475e-05,0.16370721727609636,0.0062434815242886545,0,0,0,0,944.5359621047974,2000,8504.380806446075,18000.0,1006.2172359619141,6.250809548139572,20.697396775245668,1.525274591743946,2.5001619043853083,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,2,8,2,8,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,16f7aac4faeb4dc8b492ae09fb49f4ab,2020-10-21_16-43-04,1603298584,970.030068397522,9699.124972820282,60948,d83e38022e39,192.168.99.4,9699.124972820282,0,10,00001,"1_net=MultilevelNet,seed=0",2380732,25.061917066574097,150,280.00127816200256,1650.0,0.05162566885352135,7.701203469575072e-05,0.17659778038660684,0.006687460700049996,0.008775650101032442,0.045853284920255345,7.027695877089475e-05,0.16370721727609636,0.0062434815242886545,1,1,1,1,944.9575910568237,2000,9449.3383975029,20000.0,1005.9531391601563,6.249920430660247,20.697419344902038,1.5250839920639991,2.499984086081399,1005.7819519958496,6.188552237927913,20.695673449516296,1.5171546883881093,3,9,3,9,30.31079077720642,150,30.31079077720642,150.0,853.6614286295572,0.9195789436499278,27.476702054341633,0.958760358095169,0.9589467887479095
