lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.001],0,False,,,1,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_14-18-21,1603289901,1015.2063300609589,1015.2063300609589,60949,d83e38022e39,192.168.99.4,1015.2063300609589,0,1,00002,"2_net=Feedforward,seed=0",3020977,25.92394471168518,150,57.00076413154602,300.0,0.6671437486012777,0.0010080672583232322,0.6403862237930298,0.02443006915350755,0.0317500749341357,0.6671437486012777,0.0010080672583232322,0.6403862237930298,0.02443006915350755,0,0,0,0,989.2727811336517,2000,989.2727811336517,2000.0,1025.1135082092285,5.97358024084568,20.737936006546022,1.4860804716944696,2.444090882280297,1025.1135082092285,5.97358024084568,20.737936006546022,1.4860804716944696,0,0,0,0,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[0.001],1,False,,,2,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_14-35-17,1603290917,1016.2410080432892,2031.447338104248,60949,d83e38022e39,192.168.99.4,2031.447338104248,0,2,00002,"2_net=Feedforward,seed=0",3020977,26.0915789604187,150,83.09234309196472,450.0,0.7284190877278646,0.0013212756028709311,0.6952664196491242,0.027621909889082114,0.0363493549168473,0.6671437486012777,0.0010080672583232322,0.6403862237930298,0.02443006915350755,1,1,1,1,990.1412296295166,2000,1979.4140107631683,4000.0,1007.3379229431152,6.263299320697785,20.706330876350403,1.5262798488736153,2.5026584506675666,1007.3379229431152,5.97358024084568,20.706330876350403,1.4860804716944696,0,1,0,1,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[0.0004],2,False,,,3,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_14-52-12,1603291932,1014.8362627029419,3046.28360080719,60949,d83e38022e39,192.168.99.4,3046.28360080719,0,3,00002,"2_net=Feedforward,seed=0",3020977,25.962521076202393,150,109.05486416816711,600.0,0.2647773601611455,0.0004425910928209002,0.4039702461163203,0.015768288771311444,0.02103784905404781,0.2647773601611455,0.0004425910928209002,0.4039702461163203,0.015768288771311444,0,0,0,0,988.8651931285858,2000,2968.279203891754,6000.0,1006.4883281555176,6.260214837789536,20.701730178833007,1.525878268122673,2.502042133496064,1006.4883281555176,5.97358024084568,20.701730178833007,1.4860804716944696,0,2,0,2,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[0.0004],3,False,,,4,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_15-09-08,1603292948,1016.0412793159485,4062.3248801231384,60949,d83e38022e39,192.168.99.4,4062.3248801231384,0,4,00002,"2_net=Feedforward,seed=0",3020977,25.99733877182007,150,135.05220293998718,750.0,0.33537705421447755,0.0005438108583136151,0.45492513199647266,0.01759529213110606,0.02331975253542831,0.2647773601611455,0.0004425910928209002,0.4039702461163203,0.015768288771311444,1,1,1,1,990.0355885028839,2000,3958.314792394638,8000.0,1006.7872210083008,6.258198312520981,20.70262167930603,1.52590377920866,2.5016391251579395,1006.4883281555176,5.97358024084568,20.701730178833007,1.4860804716944696,1,3,1,3,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[0.00016],4,False,,,5,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_15-26-03,1603293963,1014.7822589874268,5077.107139110565,60949,d83e38022e39,192.168.99.4,5077.107139110565,0,5,00002,"2_net=Feedforward,seed=0",3020977,25.938753366470337,150,160.99095630645752,900.0,0.5159579785664876,0.0008104707420958827,0.6034824017683665,0.023194797274967035,0.02846876783592649,0.2647773601611455,0.0004425910928209002,0.4039702461163203,0.015768288771311444,2,2,2,2,988.8361699581146,2000,4947.150962352753,10000.0,1006.3354808044434,6.257154809951782,20.698413551330567,1.5255642721652984,2.501430552694154,1006.3354808044434,5.97358024084568,20.698413551330567,1.4860804716944696,0,4,0,4,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[0.00016],5,False,,,6,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_15-42-59,1603294979,1016.1423001289368,6093.249439239502,60949,d83e38022e39,192.168.99.4,6093.249439239502,0,6,00002,"2_net=Feedforward,seed=0",3020977,25.97923755645752,150,186.97019386291504,1050.0,0.1713469093044599,0.00025021048592558753,0.3214694102605184,0.012146100761989752,0.015818043049808266,0.1713469093044599,0.00025021048592558753,0.3214694102605184,0.012146100761989752,0,0,0,0,990.1537570953369,2000,5937.30471944809,12000.0,1006.9208410644532,6.258632584095001,20.70568991470337,1.5258389214873314,2.5017259210583003,1006.3354808044434,5.97358024084568,20.698413551330567,1.4860804716944696,1,5,1,5,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[6.400000000000001e-05],6,False,,,7,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_15-59-54,1603295994,1014.714085817337,7107.963525056839,60949,d83e38022e39,192.168.99.4,7107.963525056839,0,7,00002,"2_net=Feedforward,seed=0",3020977,25.842788219451904,150,212.81298208236694,1200.0,0.2855476770798365,0.0004468266425343851,0.4405419313907623,0.016924305794139703,0.021138274350911077,0.1713469093044599,0.00025021048592558753,0.3214694102605184,0.012146100761989752,1,1,1,1,988.8623831272125,2000,6926.167102575302,14000.0,1006.0410188293457,6.256363993644714,20.69786201286316,1.525453062772751,2.5012724748904733,1006.0410188293457,5.97358024084568,20.69786201286316,1.4860804716944696,0,6,0,6,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[6.400000000000001e-05],7,False,,,8,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_16-16-49,1603297009,1015.6714715957642,8123.634996652603,60949,d83e38022e39,192.168.99.4,8123.634996652603,0,8,00002,"2_net=Feedforward,seed=0",3020977,25.62382674217224,150,238.43680882453918,1350.0,0.2381682496269544,0.00031874211485652875,0.3925223199526469,0.014480724682410557,0.017853350241804164,0.1713469093044599,0.00025021048592558753,0.3214694102605184,0.012146100761989752,2,2,2,2,990.0381422042847,2000,7916.205244779587,16000.0,1006.6519510803223,6.256000355958939,20.69944829368591,1.5255650611519813,2.5011997832957964,1006.0410188293457,5.97358024084568,20.69786201286316,1.4860804716944696,1,7,1,7,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[2.5600000000000006e-05],8,False,,,9,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_16-33-44,1603298024,1014.7294857501984,9138.364482402802,60949,d83e38022e39,192.168.99.4,9138.364482402802,0,9,00002,"2_net=Feedforward,seed=0",3020977,25.95125150680542,150,264.3880603313446,1500.0,0.10780386547247568,0.00016416194780807323,0.2537084937095642,0.009682514338443677,0.012812569914270643,0.10780386547247568,0.00016416194780807323,0.2537084937095642,0.009682514338443677,0,0,0,0,988.7671911716461,2000,8904.972435951233,18000.0,1006.4364512023926,6.2548833527565,20.6994329328537,1.525579334795475,2.500976479848721,1006.0410188293457,5.97358024084568,20.69786201286316,1.4860804716944696,2,8,2,8,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
[2.5600000000000006e-05],9,False,,,10,6d398e71f0b7431aae129e2304f1aa2c,2020-10-21_16-50-40,1603299040,1016.1756010055542,10154.540083408356,60949,d83e38022e39,192.168.99.4,10154.540083408356,0,10,00002,"2_net=Feedforward,seed=0",3020977,25.96073269844055,150,290.34879302978516,1650.0,0.14619368155797322,0.00020084881000608827,0.2969822613398234,0.011022524883349736,0.014172113815732933,0.10780386547247568,0.00016416194780807323,0.2537084937095642,0.009682514338443677,1,1,1,1,990.2061357498169,2000,9895.17857170105,20000.0,1006.4749966125488,6.256272212028503,20.699584557533264,1.525486812710762,2.5012541278383735,1006.0410188293457,5.97358024084568,20.69786201286316,1.4860804716944696,3,9,3,9,31.07681941986084,150,31.07681941986084,150.0,854.4776330566406,0.919983808596929,27.48705643971761,0.9590015669663747,0.9591578642730971
