lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,f698a2661d3242f091ae309f31c06687,2020-10-21_18-15-09,1603304109,950.5077283382416,950.5077283382416,60942,d83e38022e39,192.168.99.4,950.5077283382416,0,1,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.861233711242676,150,53.70302128791809,300.0,0.3492505180835724,0.0007554909260943532,0.46940603931744895,0.01942373895396789,0.027486195191302,0.3492505180835724,0.0007554909260943532,0.46940603931744895,0.01942373895396789,0,0,0,0,925.6370861530304,2000,925.6370861530304,2000.0,1011.6042410888672,6.178156483113765,20.722556632995605,1.5159309952259064,2.48558976565196,1011.6042410888672,6.178156483113765,20.722556632995605,1.5159309952259064,0,0,0,0,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,f698a2661d3242f091ae309f31c06687,2020-10-21_18-30-59,1603305059,950.1900088787079,1900.6977372169495,60942,d83e38022e39,192.168.99.4,1900.6977372169495,0,2,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.386289596557617,150,78.08931088447571,450.0,0.37059185763200125,0.0010604899819009006,0.48422564049561817,0.02188177692393462,0.03256516516004334,0.3492505180835724,0.0007554909260943532,0.46940603931744895,0.01942373895396789,1,1,1,1,925.7965388298035,2000,1851.4336249828339,4000.0,1006.5444103088379,6.254472004890442,20.700370057106017,1.5253854030370713,2.500894241044679,1006.5444103088379,6.178156483113765,20.700370057106017,1.5159309952259064,0,1,0,1,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,f698a2661d3242f091ae309f31c06687,2020-10-21_18-46-49,1603306009,950.3265194892883,2851.024256706238,60942,d83e38022e39,192.168.99.4,2851.024256706238,0,3,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.597607374191284,150,102.68691825866699,600.0,0.14277647028366725,0.00022782470817522455,0.29491139014561973,0.011371951674421628,0.015093863262108364,0.14277647028366725,0.00022782470817522455,0.29491139014561973,0.011371951674421628,0,0,0,0,925.7210321426392,2000,2777.154657125473,6000.0,1006.6749356689453,6.254189207077026,20.702599415779115,1.5255709152817727,2.5008377010667897,1006.5444103088379,6.178156483113765,20.700370057106017,1.5159309952259064,1,2,1,2,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,f698a2661d3242f091ae309f31c06687,2020-10-21_19-02-39,1603306959,949.5957293510437,3800.6199860572815,60942,d83e38022e39,192.168.99.4,3800.6199860572815,0,4,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.495373725891113,150,127.1822919845581,750.0,0.17050964732964832,0.00024288770694208021,0.3188260314861933,0.011943077519536018,0.015584855050403267,0.14277647028366725,0.00022782470817522455,0.29491139014561973,0.011371951674421628,1,1,1,1,925.0921988487244,2000,3702.2468559741974,8000.0,1006.7792541809082,6.256529716491699,20.70317821216583,1.5257412848472596,2.5013056023788254,1006.5444103088379,6.178156483113765,20.700370057106017,1.5159309952259064,2,3,2,3,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,f698a2661d3242f091ae309f31c06687,2020-10-21_19-18-30,1603307910,950.4260275363922,4751.046013593674,60942,d83e38022e39,192.168.99.4,4751.046013593674,0,5,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.882738828659058,150,152.06503081321716,900.0,0.08363229006528855,0.0001234914510375044,0.2230096568663915,0.008429554048925638,0.01111267074278296,0.08363229006528855,0.0001234914510375044,0.2230096568663915,0.008429554048925638,0,0,0,0,925.534882068634,2000,4627.781738042831,10000.0,1005.7007532958985,6.250034546136856,20.69571185874939,1.5251862236857414,2.5000069092178236,1005.7007532958985,6.178156483113765,20.69571185874939,1.5159309952259064,0,4,0,4,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,f698a2661d3242f091ae309f31c06687,2020-10-21_19-34-19,1603308859,949.8934533596039,5700.939466953278,60942,d83e38022e39,192.168.99.4,5700.939466953278,0,6,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.59945511817932,150,176.66448593139648,1050.0,0.16173707942167917,0.0002068044795305468,0.3117009025812149,0.011335578411817551,0.014380698158662076,0.08363229006528855,0.0001234914510375044,0.2230096568663915,0.008429554048925638,1,1,1,1,925.2848427295685,2000,5553.0665807724,12000.0,1006.9447756347656,6.2521097095012665,20.700932397842408,1.5253171984553338,2.5004219062992683,1005.7007532958985,6.178156483113765,20.69571185874939,1.5159309952259064,1,5,1,5,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,f698a2661d3242f091ae309f31c06687,2020-10-21_19-50-10,1603309810,950.0620465278625,6651.00151348114,60942,d83e38022e39,192.168.99.4,6651.00151348114,0,7,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.716781854629517,150,201.381267786026,1200.0,0.06268631651997567,9.587137848332834e-05,0.19468927631775537,0.007430323036387563,0.009791393081851445,0.06268631651997567,9.587137848332834e-05,0.19468927631775537,0.007430323036387563,0,0,0,0,925.3374483585358,2000,6478.404029130936,14000.0,1007.1311535949707,6.253454902172089,20.704354648590087,1.5255250611901283,2.5006908849700094,1005.7007532958985,6.178156483113765,20.69571185874939,1.5159309952259064,2,6,2,6,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,f698a2661d3242f091ae309f31c06687,2020-10-21_20-05-59,1603310759,949.7958722114563,7600.797385692596,60942,d83e38022e39,192.168.99.4,7600.797385692596,0,8,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.48815608024597,150,225.86942386627197,1350.0,0.059219952821731564,9.455216679877291e-05,0.18842737267414728,0.007247651200741529,0.009723793848019038,0.059219952821731564,9.455216679877291e-05,0.18842737267414728,0.007247651200741529,0,0,0,0,925.299644947052,2000,7403.703674077988,16000.0,1006.3333566589356,6.249703577756882,20.699819343566894,1.525163502216339,2.4999407148484303,1005.7007532958985,6.178156483113765,20.69571185874939,1.5159309952259064,3,7,3,7,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,f698a2661d3242f091ae309f31c06687,2020-10-21_20-21-49,1603311709,949.8841695785522,8550.681555271149,60942,d83e38022e39,192.168.99.4,8550.681555271149,0,9,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.60436463356018,150,250.47378849983215,1500.0,0.0474303333212932,7.683964848790007e-05,0.16968709896008174,0.006558736581355334,0.00876582275019864,0.0474303333212932,7.683964848790007e-05,0.16968709896008174,0.006558736581355334,0,0,0,0,925.2703256607056,2000,8328.973999738693,18000.0,1006.3628386535645,6.249559192419052,20.697994219779968,1.5252502576708793,2.499911836929265,1005.7007532958985,6.178156483113765,20.69571185874939,1.5159309952259064,4,8,4,8,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,f698a2661d3242f091ae309f31c06687,2020-10-21_20-37-39,1603312659,949.643728017807,9500.325283288956,60942,d83e38022e39,192.168.99.4,9500.325283288956,0,10,00003,"3_net=MultilevelNetNoRes,seed=1",2380732,24.953046798706055,150,275.4268352985382,1650.0,0.045829646786053974,7.549878670639979e-05,0.16496855288743972,0.0063879369478672746,0.008689003781009638,0.045829646786053974,7.549878670639979e-05,0.16496855288743972,0.0063879369478672746,0,0,0,0,924.681896686554,2000,9253.655896425247,20000.0,1006.8010422973633,6.250941293239594,20.699993196487426,1.525210127234459,2.5001882515601888,1005.7007532958985,6.178156483113765,20.69571185874939,1.5159309952259064,5,9,5,9,28.841787576675415,150,28.841787576675415,150.0,853.2100773111979,0.9193726332982382,27.47225311279297,0.9586487789948781,0.9588392113896043
