lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,49794ecaf3734afa928294da75178143,2020-10-21_18-20-32,1603304432,968.880453824997,968.880453824997,61115,d83e38022e39,192.168.99.4,968.880453824997,0,1,00004,"4_net=MultilevelNet,seed=1",2380732,24.847496271133423,150,53.69855546951294,300.0,0.2854763352870941,0.0005382087205847105,0.42533811231454216,0.017043457937737306,0.02319932586487613,0.2854763352870941,0.0005382087205847105,0.42533811231454216,0.017043457937737306,0,0,0,0,944.0248627662659,2000,944.0248627662659,2000.0,1011.2106748962402,6.185640799403191,20.720173345565797,1.516873871743679,2.487094851308086,1011.2106748962402,6.185640799403191,20.720173345565797,1.516873871743679,0,0,0,0,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,49794ecaf3734afa928294da75178143,2020-10-21_18-36-43,1603305403,970.5342245101929,1939.4146783351898,61115,d83e38022e39,192.168.99.4,1939.4146783351898,0,2,00004,"4_net=MultilevelNet,seed=1",2380732,25.066478729248047,150,78.76503419876099,450.0,0.2168992261091868,0.00036233774580371876,0.36675671756267547,0.01430100563292702,0.019035171283803012,0.2168992261091868,0.00036233774580371876,0.36675671756267547,0.01430100563292702,0,0,0,0,945.4601066112518,2000,1889.4849693775177,4000.0,1006.508378326416,6.255699446678162,20.700296763420106,1.5254872395396233,2.5011396295845145,1006.508378326416,6.185640799403191,20.700296763420106,1.516873871743679,0,1,0,1,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,49794ecaf3734afa928294da75178143,2020-10-21_18-52-52,1603306372,969.1318151950836,2908.5464935302734,61115,d83e38022e39,192.168.99.4,2908.5464935302734,0,3,00004,"4_net=MultilevelNet,seed=1",2380732,24.987927675247192,150,103.75296187400818,600.0,0.12437672416369121,0.00018204665170439208,0.27255577166875206,0.01029499008009831,0.013492466479646784,0.12437672416369121,0.00018204665170439208,0.27255577166875206,0.01029499008009831,0,0,0,0,944.13525557518,2000,2833.6202249526978,6000.0,1006.6652537231446,6.254901252031326,20.702589005470276,1.5256195374727248,2.5009800583034094,1006.508378326416,6.185640799403191,20.700296763420106,1.516873871743679,1,2,1,2,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,49794ecaf3734afa928294da75178143,2020-10-21_19-09-02,1603307342,969.9025204181671,3878.4490139484406,61115,d83e38022e39,192.168.99.4,3878.4490139484406,0,4,00004,"4_net=MultilevelNet,seed=1",2380732,25.068495512008667,150,128.82145738601685,750.0,0.1497410754362742,0.00020854456893478832,0.2988157788912455,0.011134450833002726,0.014441072291723643,0.12437672416369121,0.00018204665170439208,0.27255577166875206,0.01029499008009831,1,1,1,1,944.8251769542694,2000,3778.445401906967,8000.0,1006.767712310791,6.2566900188922885,20.703067140579222,1.5257388582229614,2.5013376459191368,1006.508378326416,6.185640799403191,20.700296763420106,1.516873871743679,2,3,2,3,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,49794ecaf3734afa928294da75178143,2020-10-21_19-25-11,1603308311,969.054559469223,4847.503573417664,61115,d83e38022e39,192.168.99.4,4847.503573417664,0,5,00004,"4_net=MultilevelNet,seed=1",2380732,24.79201865196228,150,153.61347603797913,900.0,0.0757010451455911,0.0001089509585290216,0.21217627137899397,0.007975589223206044,0.01043795758417429,0.0757010451455911,0.0001089509585290216,0.21217627137899397,0.007975589223206044,0,0,0,0,944.2541446685791,2000,4722.699546575546,10000.0,1005.6941929016114,6.250034897327423,20.695603210449217,1.525171416759491,2.5000069794557422,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,0,4,0,4,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,49794ecaf3734afa928294da75178143,2020-10-21_19-41-21,1603309281,969.8168299198151,5817.320403337479,61115,d83e38022e39,192.168.99.4,5817.320403337479,0,6,00004,"4_net=MultilevelNet,seed=1",2380732,24.89317274093628,150,178.5066487789154,1050.0,0.09597328493992488,0.0001659449211244161,0.24251078228155773,0.009569719526916742,0.01288196107447993,0.0757010451455911,0.0001089509585290216,0.21217627137899397,0.007975589223206044,1,1,1,1,944.9161326885223,2000,5667.615679264069,12000.0,1006.9400649719238,6.252084706783295,20.700874004364014,1.525311154961586,2.5004169065944373,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,1,5,1,5,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,49794ecaf3734afa928294da75178143,2020-10-21_19-57-30,1603310250,968.9701673984528,6786.290570735931,61115,d83e38022e39,192.168.99.4,6786.290570735931,0,7,00004,"4_net=MultilevelNet,seed=1",2380732,24.94821786880493,150,203.45486664772034,1200.0,0.06386020908753078,9.461123190703801e-05,0.19608965754508972,0.007421322117249171,0.009726830517030613,0.06386020908753078,9.461123190703801e-05,0.19608965754508972,0.007421322117249171,0,0,0,0,944.0144739151001,2000,6611.630153179169,14000.0,1007.1279837036133,6.253518249988556,20.704284212112427,1.525514316022396,2.500703551000909,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,2,6,2,6,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,49794ecaf3734afa928294da75178143,2020-10-21_20-13-40,1603311220,969.9485085010529,7756.239079236984,61115,d83e38022e39,192.168.99.4,7756.239079236984,0,8,00004,"4_net=MultilevelNet,seed=1",2380732,25.003308296203613,150,228.45817494392395,1350.0,0.05240255077679952,8.767780285173406e-05,0.17772838373978933,0.0069109399244189264,0.009363642605937823,0.05240255077679952,8.767780285173406e-05,0.17772838373978933,0.0069109399244189264,0,0,0,0,944.9363873004913,2000,7556.56654047966,16000.0,1006.330846862793,6.249648258209229,20.69975999355316,1.5251498818993567,2.4999296506520396,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,3,7,3,7,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,49794ecaf3734afa928294da75178143,2020-10-21_20-29-49,1603312189,968.9468472003937,8725.185926437378,61115,d83e38022e39,192.168.99.4,8725.185926437378,0,9,00004,"4_net=MultilevelNet,seed=1",2380732,24.94924259185791,150,253.40741753578186,1500.0,0.04588777221739292,6.977694550490318e-05,0.165286299486955,0.0062863166940708955,0.00835325957365765,0.04588777221739292,6.977694550490318e-05,0.165286299486955,0.0062863166940708955,0,0,0,0,943.9886040687561,2000,8500.555144548416,18000.0,1006.3608271484375,6.249542888641358,20.697929288864135,1.5252439111471177,2.499908576056604,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,4,8,4,8,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,49794ecaf3734afa928294da75178143,2020-10-21_20-45-58,1603313158,969.5725603103638,9694.758486747742,61115,d83e38022e39,192.168.99.4,9694.758486747742,0,10,00004,"4_net=MultilevelNet,seed=1",2380732,24.85010552406311,150,278.25752305984497,1650.0,0.042601649860541026,6.481788751746838e-05,0.15766975233952205,0.006000610093275706,0.008050955689697242,0.042601649860541026,6.481788751746838e-05,0.15766975233952205,0.006000610093275706,0,0,0,0,944.7147915363312,2000,9445.269936084747,20000.0,1006.7972854309082,6.250991322517395,20.69991366195679,1.5251997185349464,2.50019825664234,1005.6941929016114,6.185640799403191,20.695603210449217,1.516873871743679,5,9,5,9,28.851059198379517,150,28.851059198379517,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
