lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.001],0,False,,,1,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_18-32-35,1603305155,1006.6007316112518,1006.6007316112518,60993,d83e38022e39,192.168.99.4,1006.6007316112518,0,1,00005,"5_net=Feedforward,seed=1",3020977,25.677879333496094,150,55.339765787124634,300.0,0.5676957209904988,0.001142321046597014,0.6007675143082937,0.024542252458631994,0.03379824028846789,0.5676957209904988,0.001142321046597014,0.6007675143082937,0.024542252458631994,0,0,0,0,980.9156119823456,2000,980.9156119823456,2000.0,1025.8034707641602,5.937172113895416,20.733595913887022,1.4810122756659985,2.436631304464304,1025.8034707641602,5.937172113895416,20.733595913887022,1.4810122756659985,0,0,0,0,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[0.001],1,False,,,2,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_18-49-22,1603306162,1007.6843285560608,2014.2850601673126,60993,d83e38022e39,192.168.99.4,2014.2850601673126,0,2,00005,"5_net=Feedforward,seed=1",3020977,25.541592121124268,150,80.8813579082489,450.0,0.4325940062602361,0.0008213692170102149,0.5240117847919464,0.021050163793067136,0.02865953972083667,0.4325940062602361,0.0008213692170102149,0.5240117847919464,0.021050163793067136,0,0,0,0,982.1344087123871,2000,1963.0500206947327,4000.0,1007.2507521057129,6.262964938402176,20.70469860935211,1.5262268141508102,2.5025916443563414,1007.2507521057129,5.937172113895416,20.70469860935211,1.4810122756659985,0,1,0,1,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[0.0004],2,False,,,3,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_19-06-09,1603307169,1006.5879414081573,3020.87300157547,60993,d83e38022e39,192.168.99.4,3020.87300157547,0,3,00005,"5_net=Feedforward,seed=1",3020977,25.628348112106323,150,106.50970602035522,600.0,0.6097667912642161,0.0010756994178518654,0.6370942878723145,0.02537142879019181,0.03279785690943641,0.4325940062602361,0.0008213692170102149,0.5240117847919464,0.021050163793067136,1,1,1,1,980.9518766403198,2000,2944.0018973350525,6000.0,1006.6493175048828,6.261606648206711,20.70197657585144,1.5260604058504104,2.5023202529266135,1006.6493175048828,5.937172113895416,20.70197657585144,1.4810122756659985,0,2,0,2,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[0.0004],3,False,,,4,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_19-22-57,1603308177,1007.5238034725189,4028.396805047989,60993,d83e38022e39,192.168.99.4,4028.396805047989,0,4,00005,"5_net=Feedforward,seed=1",3020977,25.626327753067017,150,132.13603377342224,750.0,0.6705601616700491,0.0019773186339686315,0.6580738993485769,0.030842916443943977,0.04446705110493197,0.4325940062602361,0.0008213692170102149,0.5240117847919464,0.021050163793067136,2,2,2,2,981.8878571987152,2000,3925.8897545337677,8000.0,1007.0756179809571,6.262202709913254,20.70419518661499,1.5260371568799018,2.502439351895117,1006.6493175048828,5.937172113895416,20.70197657585144,1.4810122756659985,1,3,1,3,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[0.00016],4,False,,,5,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_19-39-43,1603309183,1006.3852472305298,5034.782052278519,60993,d83e38022e39,192.168.99.4,5034.782052278519,0,5,00005,"5_net=Feedforward,seed=1",3020977,25.50440001487732,150,157.64043378829956,900.0,0.33310416917006175,0.00042061113636009394,0.4607915343840917,0.01672002449631691,0.02050880631241355,0.33310416917006175,0.00042061113636009394,0.4607915343840917,0.01672002449631691,0,0,0,0,980.8736877441406,2000,4906.763442277908,10000.0,1006.0770043945313,6.259142151355744,20.698674015045167,1.5256927025318145,2.5018277621282694,1006.0770043945313,5.937172113895416,20.698674015045167,1.4810122756659985,0,4,0,4,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[0.00016],5,False,,,6,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_19-56-31,1603310191,1008.1164300441742,6042.898482322693,60993,d83e38022e39,192.168.99.4,6042.898482322693,0,6,00005,"5_net=Feedforward,seed=1",3020977,25.731579542160034,150,183.3720133304596,1050.0,0.45193627615769705,0.0006279225302084038,0.5379763150215149,0.020054255227247873,0.02505838243399609,0.33310416917006175,0.00042061113636009394,0.4607915343840917,0.01672002449631691,1,1,1,1,982.3788170814514,2000,5889.14225935936,12000.0,1007.1728509521485,6.260614827871323,20.702945922851562,1.5258366665244103,2.502122064942341,1006.0770043945313,5.937172113895416,20.698674015045167,1.4810122756659985,1,5,1,5,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[6.400000000000001e-05],6,False,,,7,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_20-13-18,1603311198,1006.8744492530823,7049.772931575775,60993,d83e38022e39,192.168.99.4,7049.772931575775,0,7,00005,"5_net=Feedforward,seed=1",3020977,25.982677459716797,150,209.3546907901764,1200.0,0.17036669929822287,0.00032059121954565244,0.332542445063591,0.013513655060281356,0.017905061282934846,0.17036669929822287,0.00032059121954565244,0.332542445063591,0.013513655060281356,0,0,0,0,980.8842165470123,2000,6870.026475906372,14000.0,1007.093952545166,6.260316654205322,20.70619168663025,1.5259863761663437,2.5020624800762516,1006.0770043945313,5.937172113895416,20.698674015045167,1.4810122756659985,2,6,2,6,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[6.400000000000001e-05],7,False,,,8,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_20-30-06,1603312206,1007.8224184513092,8057.595350027084,60993,d83e38022e39,192.168.99.4,8057.595350027084,0,8,00005,"5_net=Feedforward,seed=1",3020977,25.79709553718567,150,235.15178632736206,1350.0,0.33772247672080996,0.0009034136919459949,0.490926829179128,0.022048217095434666,0.03005684101741224,0.17036669929822287,0.00032059121954565244,0.332542445063591,0.013513655060281356,1,1,1,1,982.018274307251,2000,7852.044750213623,16000.0,1006.7085715332031,6.257561160564423,20.70250012779236,1.5256973189115524,2.501511775020142,1006.0770043945313,5.937172113895416,20.698674015045167,1.4810122756659985,3,7,3,7,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[2.5600000000000006e-05],8,False,,,9,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_20-46-53,1603313213,1006.7999165058136,9064.395266532898,60993,d83e38022e39,192.168.99.4,9064.395266532898,0,9,00005,"5_net=Feedforward,seed=1",3020977,25.8825900554657,150,261.03437638282776,1500.0,0.11686376189192137,0.000155794917664025,0.26231348276138305,0.009704458819081385,0.01248178343282822,0.11686376189192137,0.000155794917664025,0.26231348276138305,0.009704458819081385,0,0,0,0,980.9076926708221,2000,8832.952442884445,18000.0,1006.4721036682129,6.2579277596473695,20.700597973823548,1.5258370684981346,2.50158504945312,1006.0770043945313,5.937172113895416,20.698674015045167,1.4810122756659985,4,8,4,8,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
[2.5600000000000006e-05],9,False,,,10,e7c6b9c6ea3d45648667354e0ca67a45,2020-10-21_21-03-40,1603314220,1007.6845486164093,10072.079815149307,60993,d83e38022e39,192.168.99.4,10072.079815149307,0,10,00005,"5_net=Feedforward,seed=1",3020977,25.698181629180908,150,286.73255801200867,1650.0,0.11150167599320411,0.00015206035915374134,0.2548809297879537,0.009499405566602946,0.012331275649896946,0.11150167599320411,0.00015206035915374134,0.2548809297879537,0.009499405566602946,0,0,0,0,981.9776186943054,2000,9814.93006157875,20000.0,1006.6325880432129,6.25535887002945,20.69960395526886,1.5254341655969619,2.501071544364425,1006.0770043945313,5.937172113895416,20.698674015045167,1.4810122756659985,5,9,5,9,29.66188645362854,150,29.66188645362854,150.0,855.958916829427,0.9217624735832214,27.513358256022137,0.9599354592959086,0.9600846179286602
