lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-21_22-13-03,1603318383,945.2359280586243,945.2359280586243,60963,d83e38022e39,192.168.99.4,945.2359280586243,0,1,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.709808111190796,150,53.8490195274353,300.0,0.35952390789985655,0.0006723141103672485,0.4741078980763753,0.018891975631316504,0.025929020621057952,0.35952390789985655,0.0006723141103672485,0.4741078980763753,0.018891975631316504,0,0,0,0,920.5186693668365,2000,920.5186693668365,2000.0,1012.3132040710449,6.173086725950241,20.728739816665648,1.5153381451368333,2.484569726522128,1012.3132040710449,6.173086725950241,20.728739816665648,1.5153381451368333,0,0,0,0,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-21_22-28-49,1603319329,945.2917003631592,1890.5276284217834,60963,d83e38022e39,192.168.99.4,1890.5276284217834,0,2,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.627005338668823,150,78.47602486610413,450.0,0.2423976069688797,0.0004057669790927321,0.38644101182619733,0.015061856477210919,0.020143658532965954,0.2423976069688797,0.0004057669790927321,0.38644101182619733,0.015061856477210919,0,0,0,0,920.6560335159302,2000,1841.1747028827667,4000.0,1006.8569294738769,6.253548429727554,20.70311154079437,1.5253707118034363,2.5007095852432673,1006.8569294738769,6.173086725950241,20.70311154079437,1.5153381451368333,0,1,0,1,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-21_22-44-34,1603320274,945.7023663520813,2836.2299947738647,60963,d83e38022e39,192.168.99.4,2836.2299947738647,0,3,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.753220319747925,150,103.22924518585205,600.0,0.13770070612430574,0.00021281081358514106,0.288189435005188,0.01101792839045326,0.014588036659713364,0.13770070612430574,0.00021281081358514106,0.288189435005188,0.01101792839045326,0,0,0,0,920.9416344165802,2000,2762.116337299347,6000.0,1006.9277771606445,6.256664129495621,20.705460691452025,1.525660237312317,2.501332470803436,1006.8569294738769,6.173086725950241,20.70311154079437,1.5153381451368333,1,2,1,2,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-21_23-00-20,1603321220,945.6263046264648,3781.8562994003296,60963,d83e38022e39,192.168.99.4,3781.8562994003296,0,4,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.674823999404907,150,127.90406918525696,750.0,0.1494465470314026,0.0002468483264480407,0.2977517515420914,0.01146085510030389,0.015711407525999723,0.13770070612430574,0.00021281081358514106,0.288189435005188,0.01101792839045326,1,1,1,1,920.9411978721619,2000,3683.057535171509,8000.0,1006.2298436889648,6.252742984771729,20.698244109153748,1.5252991231679915,2.5005485367758267,1006.2298436889648,6.173086725950241,20.698244109153748,1.5153381451368333,0,3,0,3,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-21_23-16-06,1603322166,945.742115020752,4727.5984144210815,60963,d83e38022e39,192.168.99.4,4727.5984144210815,0,5,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.758643865585327,150,152.66271305084229,900.0,0.11772099643945694,0.00016672265531572823,0.26421100536982217,0.009827601741999387,0.012912112736331272,0.11772099643945694,0.00016672265531572823,0.26421100536982217,0.009827601741999387,0,0,0,0,920.9756438732147,2000,4604.0331790447235,10000.0,1006.311934967041,6.251952472448349,20.699892830848693,1.5252725754976273,2.500390463997243,1006.2298436889648,6.173086725950241,20.698244109153748,1.5153381451368333,1,4,1,4,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-21_23-31-51,1603323111,945.297696352005,5672.896110773087,60963,d83e38022e39,192.168.99.4,5672.896110773087,0,6,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.573793411254883,150,177.23650646209717,1050.0,0.07565201237797738,0.00012077156260299186,0.2132468816637993,0.008208655448009571,0.01098961157652953,0.07565201237797738,0.00012077156260299186,0.2132468816637993,0.008208655448009571,0,0,0,0,920.7158145904541,2000,5524.748993635178,12000.0,1005.7118841857911,6.250306306123734,20.695826747894287,1.5251413529515268,2.5000612604741774,1005.7118841857911,6.173086725950241,20.695826747894287,1.5153381451368333,0,5,0,5,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-21_23-47-37,1603324057,945.4891691207886,6618.385279893875,60963,d83e38022e39,192.168.99.4,6618.385279893875,0,7,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.735126495361328,150,201.9716329574585,1200.0,0.054284097080429396,8.59459520628055e-05,0.18050305406252543,0.00694023602642119,0.009270703968027752,0.054284097080429396,8.59459520628055e-05,0.18050305406252543,0.00694023602642119,0,0,0,0,920.7470982074738,2000,6445.496091842651,14000.0,1006.50943359375,6.253216621637344,20.70106241798401,1.5254835952520371,2.5006432415755238,1005.7118841857911,6.173086725950241,20.695826747894287,1.5153381451368333,1,6,1,6,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-22_00-03-22,1603325002,945.5012817382812,7563.886561632156,60963,d83e38022e39,192.168.99.4,7563.886561632156,0,8,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.685314416885376,150,226.65694737434387,1350.0,0.05581291211148103,8.626603555361119e-05,0.18295226097106934,0.006989971113701661,0.009287951095565222,0.054284097080429396,8.59459520628055e-05,0.18050305406252543,0.00694023602642119,1,1,1,1,920.8069903850555,2000,7366.303082227707,16000.0,1006.7012985534668,6.248936608314514,20.70054490852356,1.525191000878811,2.499787312615718,1005.7118841857911,6.173086725950241,20.695826747894287,1.5153381451368333,2,7,2,7,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-22_00-19-08,1603325948,945.7846899032593,8509.671251535416,60963,d83e38022e39,192.168.99.4,8509.671251535416,0,9,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.894516229629517,150,251.5514636039734,1500.0,0.041281505102912584,6.945639067756322e-05,0.15730338056882223,0.006128471326082945,0.008334050076497214,0.041281505102912584,6.945639067756322e-05,0.15730338056882223,0.006128471326082945,0,0,0,0,920.881373167038,2000,8287.184455394745,18000.0,1005.8967174072266,6.247997867584228,20.69773048877716,1.5251036122441293,2.4995995414434344,1005.7118841857911,6.173086725950241,20.695826747894287,1.5153381451368333,3,8,3,8,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,fa49860aeee5448aa7b19aaf5576fd4a,2020-10-22_00-34-53,1603326893,945.4596407413483,9455.130892276764,60963,d83e38022e39,192.168.99.4,9455.130892276764,0,10,00006,"6_net=MultilevelNetNoRes,seed=2",2380732,24.793678998947144,150,276.34514260292053,1650.0,0.041773156449198726,6.937972337861236e-05,0.15810719241698584,0.006148998616263271,0.008329449164177206,0.041281505102912584,6.937972337861236e-05,0.15730338056882223,0.006128471326082945,1,0,1,1,920.6571147441864,2000,9207.841570138931,20000.0,1006.4137407226563,6.250466952562332,20.700844558715822,1.5252599830031395,2.500093388768174,1005.7118841857911,6.173086725950241,20.695826747894287,1.5153381451368333,4,9,4,9,29.139211416244507,150,29.139211416244507,150.0,866.6748250325521,0.9371121227741241,27.70915479024251,0.9679186407725017,0.9680455168917028
