lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,7d82ad17053643aebecd2ad4012346bd,2020-10-21_22-23-07,1603318987,953.0367338657379,953.0367338657379,60988,d83e38022e39,192.168.99.4,953.0367338657379,0,1,00007,"7_net=MultilevelNet,seed=2",2380732,24.707420349121094,150,53.2240788936615,300.0,0.354888808131218,0.0006598408178736766,0.472420325477918,0.018846349492669105,0.02568736689257341,0.354888808131218,0.0006598408178736766,0.472420325477918,0.018846349492669105,0,0,0,0,928.3228044509888,2000,928.3228044509888,2000.0,1011.8974181518555,6.18226951533556,20.726788899421692,1.5164900844395162,2.4864170035083735,1011.8974181518555,6.18226951533556,20.726788899421692,1.5164900844395162,0,0,0,0,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,7d82ad17053643aebecd2ad4012346bd,2020-10-21_22-39-01,1603319941,953.9956634044647,1907.0323972702026,60988,d83e38022e39,192.168.99.4,1907.0323972702026,0,2,00007,"7_net=MultilevelNet,seed=2",2380732,24.996951818466187,150,78.22103071212769,450.0,0.23034859468539556,0.0003642222514220824,0.37311038235823313,0.014338886514306069,0.019084607709410284,0.23034859468539556,0.0003642222514220824,0.37311038235823313,0.014338886514306069,0,0,0,0,928.9918551445007,2000,1857.3146595954895,4000.0,1006.8196936950684,6.2549929459095,20.70301028633118,1.525494198322296,2.500998389825451,1006.8196936950684,6.18226951533556,20.70301028633118,1.5164900844395162,0,1,0,1,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.0004, 0.0004, 0.0004, 0.0004]",2,False,,,3,7d82ad17053643aebecd2ad4012346bd,2020-10-21_22-54-54,1603320894,953.0594835281372,2860.09188079834,60988,d83e38022e39,192.168.99.4,2860.09188079834,0,3,00007,"7_net=MultilevelNet,seed=2",2380732,24.788313150405884,150,103.00934386253357,600.0,0.1721863916516304,0.00023826441843993962,0.3176206316550573,0.011802937357376019,0.01543581609245004,0.1721863916516304,0.00023826441843993962,0.3176206316550573,0.011802937357376019,0,0,0,0,928.2631728649139,2000,2785.5778324604034,6000.0,1006.9253328552246,6.257675679445267,20.705554405212403,1.5257244600057602,2.5015346648498133,1006.8196936950684,6.18226951533556,20.70301028633118,1.5164900844395162,1,2,1,2,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.0004, 0.0004, 0.0004, 0.0004]",3,False,,,4,7d82ad17053643aebecd2ad4012346bd,2020-10-21_23-10-48,1603321848,954.0038242340088,3814.0957050323486,60988,d83e38022e39,192.168.99.4,3814.0957050323486,0,4,00007,"7_net=MultilevelNet,seed=2",2380732,24.786333560943604,150,127.79567742347717,750.0,0.16617453326781592,0.00023846919386414812,0.3139251615603765,0.011784431065122286,0.015442447793797075,0.16617453326781592,0.00023826441843993962,0.3139251615603765,0.011784431065122286,0,1,0,0,929.2100343704224,2000,3714.787866830826,8000.0,1006.224413269043,6.252915379047394,20.698227807998656,1.5252980081439018,2.500583007829853,1006.224413269043,6.18226951533556,20.698227807998656,1.5164900844395162,0,3,0,3,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.00016, 0.00016, 0.00016, 0.00016]",4,False,,,5,7d82ad17053643aebecd2ad4012346bd,2020-10-21_23-26-40,1603322800,952.7414879798889,4766.837193012238,60988,d83e38022e39,192.168.99.4,4766.837193012238,0,5,00007,"7_net=MultilevelNet,seed=2",2380732,24.63522219657898,150,152.43089962005615,900.0,0.10341863398750623,0.00013843111043873553,0.245582767923673,0.009042554385960102,0.01176567509489938,0.10341863398750623,0.00013843111043873553,0.245582767923673,0.009042554385960102,0,0,0,0,928.0975623130798,2000,4642.885429143906,10000.0,1006.3089843444824,6.25225877070427,20.69985301208496,1.5252835690975188,2.500451713331867,1006.224413269043,6.18226951533556,20.698227807998656,1.5164900844395162,1,4,1,4,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.00016, 0.00016, 0.00016, 0.00016]",5,False,,,6,7d82ad17053643aebecd2ad4012346bd,2020-10-21_23-42-34,1603323754,953.7626287937164,5720.599821805954,60988,d83e38022e39,192.168.99.4,5720.599821805954,0,6,00007,"7_net=MultilevelNet,seed=2",2380732,24.695379734039307,150,177.12627935409546,1050.0,0.10920804197589556,0.00015676890752123047,0.25854108333587644,0.009717738274484872,0.012520739096444366,0.10341863398750623,0.00013843111043873553,0.245582767923673,0.009042554385960102,1,1,1,1,929.059323310852,2000,5571.944752454758,12000.0,1005.7078241577149,6.250447672605515,20.695781984329223,1.5251462088823318,2.5000895329178743,1005.7078241577149,6.18226951533556,20.695781984329223,1.5164900844395162,0,5,0,5,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",6,False,,,7,7d82ad17053643aebecd2ad4012346bd,2020-10-21_23-58-27,1603324707,952.5672354698181,6673.167057275772,60988,d83e38022e39,192.168.99.4,6673.167057275772,0,7,00007,"7_net=MultilevelNet,seed=2",2380732,24.846913814544678,150,201.97319316864014,1200.0,0.054768576721350354,8.64854151829301e-05,0.18004016200701395,0.006914985347539187,0.009299753501191851,0.054768576721350354,8.64854151829301e-05,0.18004016200701395,0.006914985347539187,0,0,0,0,927.7132923603058,2000,6499.6580448150635,14000.0,1006.5074474792481,6.253376908302307,20.700978566169738,1.525480974495411,2.5006752904570213,1005.7078241577149,6.18226951533556,20.695781984329223,1.5164900844395162,1,6,1,6,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05, 6.400000000000001e-05]",7,False,,,8,7d82ad17053643aebecd2ad4012346bd,2020-10-22_00-14-20,1603325660,953.4129900932312,7626.580047369003,60988,d83e38022e39,192.168.99.4,7626.580047369003,0,8,00007,"7_net=MultilevelNet,seed=2",2380732,24.956650972366333,150,226.92984414100647,1350.0,0.056427209029595055,8.338916382247892e-05,0.18205981979767483,0.006882562621807059,0.009131766741571913,0.054768576721350354,8.338916382247892e-05,0.18004016200701395,0.006882562621807059,1,0,1,0,928.4479730129242,2000,7428.106017827988,16000.0,1006.6998737487793,6.24911613702774,20.700505940437317,1.525189189374447,2.499823221155396,1005.7078241577149,6.18226951533556,20.695781984329223,1.5164900844395162,2,7,2,7,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",8,False,,,9,7d82ad17053643aebecd2ad4012346bd,2020-10-22_00-30-12,1603326612,952.0811169147491,8578.661164283752,60988,d83e38022e39,192.168.99.4,8578.661164283752,0,9,00007,"7_net=MultilevelNet,seed=2",2380732,24.702653408050537,150,251.632497549057,1500.0,0.04282037091751893,6.764405392459594e-05,0.15935972263415654,0.00612570336398979,0.00822460053282808,0.04282037091751893,6.764405392459594e-05,0.15935972263415654,0.00612570336398979,0,0,0,0,927.3716373443604,2000,8355.477655172348,18000.0,1005.8972677001954,6.24810305428505,20.697687165260316,1.5250973174571991,2.499620582065416,1005.7078241577149,6.18226951533556,20.695781984329223,1.5164900844395162,3,8,3,8,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05, 2.5600000000000006e-05]",9,False,,,10,7d82ad17053643aebecd2ad4012346bd,2020-10-22_00-46-06,1603327566,953.4008700847626,9532.062034368515,60988,d83e38022e39,192.168.99.4,9532.062034368515,0,10,00007,"7_net=MultilevelNet,seed=2",2380732,25.07336187362671,150,276.7058594226837,1650.0,0.040989393393198646,6.426703146037956e-05,0.1551333416501681,0.005949322155987223,0.00801667209385413,0.040989393393198646,6.426703146037956e-05,0.1551333416501681,0.005949322155987223,0,0,0,0,928.3200466632843,2000,9283.797701835632,20000.0,1006.4136371154785,6.250661535739899,20.70079896068573,1.5252571449875831,2.5001323036471286,1005.7078241577149,6.18226951533556,20.695781984329223,1.5164900844395162,4,9,4,9,28.516658544540405,150,28.516658544540405,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
