lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.001],0,False,,,1,45b33033076f4541bf7ae121f3245cc5,2020-10-21_22-44-59,1603320299,1011.5747873783112,1011.5747873783112,61002,d83e38022e39,192.168.99.4,1011.5747873783112,0,1,00008,"8_net=Feedforward,seed=2",3020977,25.662689208984375,150,55.16000699996948,300.0,1.4059992782274882,0.005039788655315836,0.922830019791921,0.04444556598862012,0.07099146889109871,1.4059992782274882,0.005039788655315836,0.922830019791921,0.04444556598862012,0,0,0,0,985.9043946266174,2000,985.9043946266174,2000.0,1025.7612963867186,5.951409624248743,20.731442202568054,1.482370023459196,2.4395511112187718,1025.7612963867186,5.951409624248743,20.731442202568054,1.482370023459196,0,0,0,0,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[0.001],1,False,,,2,45b33033076f4541bf7ae121f3245cc5,2020-10-21_23-01-52,1603321312,1012.738055229187,2024.3128426074982,61002,d83e38022e39,192.168.99.4,2024.3128426074982,0,2,00008,"8_net=Feedforward,seed=2",3020977,25.90768814086914,150,81.06769514083862,450.0,1.4819255836804708,0.0047818022531767685,0.9515511111418407,0.045399534453948336,0.06915057666554031,1.4059992782274882,0.0047818022531767685,0.922830019791921,0.04444556598862012,1,0,1,1,986.8216671943665,2000,1972.726061820984,4000.0,1006.9781743469239,6.261561846971512,20.704201881408693,1.5260678313970566,2.502311300971866,1006.9781743469239,5.951409624248743,20.704201881408693,1.482370023459196,0,1,0,1,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[0.0004],2,False,,,3,45b33033076f4541bf7ae121f3245cc5,2020-10-21_23-18-44,1603322324,1011.8468434810638,3036.159686088562,61002,d83e38022e39,192.168.99.4,3036.159686088562,0,3,00008,"8_net=Feedforward,seed=2",3020977,25.87038254737854,150,106.93807768821716,600.0,0.2740149925152461,0.00045806300826370714,0.4145953740676244,0.016157574392855166,0.021402406599812723,0.2740149925152461,0.00045806300826370714,0.4145953740676244,0.016157574392855166,0,0,0,0,985.967901468277,2000,2958.693963289261,6000.0,1006.6439883117675,6.262189641237259,20.70310628223419,1.5259695778489113,2.502436740706398,1006.6439883117675,5.951409624248743,20.70310628223419,1.482370023459196,0,2,0,2,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[0.0004],3,False,,,4,45b33033076f4541bf7ae121f3245cc5,2020-10-21_23-35-37,1603323337,1012.5163102149963,4048.6759963035583,61002,d83e38022e39,192.168.99.4,4048.6759963035583,0,4,00008,"8_net=Feedforward,seed=2",3020977,25.784476280212402,150,132.72255396842957,750.0,1.4965651106834412,0.002806883347220719,1.0489517498016356,0.04129850869377454,0.05298002781445777,0.2740149925152461,0.00045806300826370714,0.4145953740676244,0.016157574392855166,1,1,1,1,986.7227208614349,2000,3945.416684150696,8000.0,1006.4200729064942,6.260742500066757,20.700267018318176,1.5259085305929183,2.5021475775954456,1006.4200729064942,5.951409624248743,20.700267018318176,1.482370023459196,0,3,0,3,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[0.00016],4,False,,,5,45b33033076f4541bf7ae121f3245cc5,2020-10-21_23-52-28,1603324348,1011.5349287986755,5060.210925102234,61002,d83e38022e39,192.168.99.4,5060.210925102234,0,5,00008,"8_net=Feedforward,seed=2",3020977,25.55397629737854,150,158.2765302658081,900.0,0.37146583596865335,0.00048418899183161557,0.4810313401619593,0.01759889063735803,0.022004294849679133,0.2740149925152461,0.00045806300826370714,0.4145953740676244,0.016157574392855166,2,2,2,2,985.9734904766083,2000,4931.390174627304,10000.0,1006.4625536193847,6.261005876302719,20.701265424728394,1.5258953946232796,2.5022002070783063,1006.4200729064942,5.951409624248743,20.700267018318176,1.482370023459196,1,4,1,4,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[0.00016],5,False,,,6,45b33033076f4541bf7ae121f3245cc5,2020-10-22_00-09-21,1603325361,1012.6780095100403,6072.888934612274,61002,d83e38022e39,192.168.99.4,6072.888934612274,0,6,00008,"8_net=Feedforward,seed=2",3020977,25.74555730819702,150,184.02208757400513,1050.0,1.2926289653778076,0.0012600361074631412,0.939444588025411,0.03083348087966442,0.03549698730122235,0.2740149925152461,0.00045806300826370714,0.4145953740676244,0.016157574392855166,3,3,3,3,986.9246187210083,2000,5918.314793348312,12000.0,1006.019022064209,6.25794597363472,20.699085931777955,1.52572680580616,2.501588689939799,1006.019022064209,5.951409624248743,20.699085931777955,1.482370023459196,0,5,0,5,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[6.400000000000001e-05],6,False,,,7,45b33033076f4541bf7ae121f3245cc5,2020-10-22_00-26-12,1603326372,1011.4859707355499,7084.374905347824,61002,d83e38022e39,192.168.99.4,7084.374905347824,0,7,00008,"8_net=Feedforward,seed=2",3020977,25.85476541519165,150,209.87685298919678,1200.0,0.13839276174704235,0.0002043468191792878,0.2879165482521057,0.010927777104079724,0.01429499280095264,0.13839276174704235,0.0002043468191792878,0.2879165482521057,0.010927777104079724,0,0,0,0,985.6257228851318,2000,6903.940516233444,14000.0,1006.8559465942383,6.258439936876297,20.703528624534606,1.5258190608620643,2.5016874178994257,1006.019022064209,5.951409624248743,20.699085931777955,1.482370023459196,1,6,1,6,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[6.400000000000001e-05],7,False,,,8,45b33033076f4541bf7ae121f3245cc5,2020-10-22_00-43-05,1603327385,1012.3368809223175,8096.711786270142,61002,d83e38022e39,192.168.99.4,8096.711786270142,0,8,00008,"8_net=Feedforward,seed=2",3020977,25.420618534088135,150,235.2974715232849,1350.0,0.12903583655754725,0.00019021664096120124,0.27930930932362874,0.010587337526182334,0.013791904906908299,0.12903583655754725,0.00019021664096120124,0.27930930932362874,0.010587337526182334,0,0,0,0,986.9083588123322,2000,7890.848875045776,16000.0,1006.5478218994141,6.258330642223358,20.702069052696228,1.5258654100894928,2.5016655736175766,1006.019022064209,5.951409624248743,20.699085931777955,1.482370023459196,2,7,2,7,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[2.5600000000000006e-05],8,False,,,9,45b33033076f4541bf7ae121f3245cc5,2020-10-22_00-59-56,1603328396,1011.4948072433472,9108.206593513489,61002,d83e38022e39,192.168.99.4,9108.206593513489,0,9,00008,"8_net=Feedforward,seed=2",3020977,25.721256256103516,150,261.0187277793884,1500.0,0.11561096956332524,0.0001627541253886496,0.2617310498158137,0.009811583360036215,0.01275751250787745,0.11561096956332524,0.0001627541253886496,0.2617310498158137,0.009811583360036215,0,0,0,0,985.7637007236481,2000,8876.612575769424,18000.0,1006.0732524414062,6.258087661266327,20.697335764884947,1.5256391571164132,2.501617009309444,1006.019022064209,5.951409624248743,20.697335764884947,1.482370023459196,3,8,0,8,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
[2.5600000000000006e-05],9,False,,,10,45b33033076f4541bf7ae121f3245cc5,2020-10-22_01-16-49,1603329409,1012.5492947101593,10120.755888223648,61002,d83e38022e39,192.168.99.4,10120.755888223648,0,10,00008,"8_net=Feedforward,seed=2",3020977,25.7656033039093,150,286.78433108329773,1650.0,0.15721527129411697,0.00019386589352507144,0.3060113308827082,0.011074152439832688,0.013923573303037961,0.11561096956332524,0.0001627541253886496,0.2617310498158137,0.009811583360036215,1,1,1,1,986.774980545044,2000,9863.387556314468,20000.0,1006.5753049316406,6.257525516033173,20.702248319625856,1.5256946311593056,2.501504650412062,1006.019022064209,5.951409624248743,20.697335764884947,1.482370023459196,4,9,1,9,29.497317790985107,150,29.497317790985107,150.0,853.6995629882813,0.9183623313903808,27.47227259318034,0.9581491978963216,0.9583122306380008
