lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,1b847bd940c54f89b3586a5796b4abc1,2020-10-19_23-44-36,1603151076,176.38496446609497,176.38496446609497,417,d83e38022e39,192.168.99.4,176.38496446609497,0,1,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.65480446815491,150,82.83297753334045,300.0,2.0363837687174478,0.00183720598074918,1.1343872570991516,0.032885922342538836,0.04286264085131923,2.0363837687174478,0.00183720598074918,1.1343872570991516,0.032885922342538836,0,0,0,0,137.71902656555176,250,137.71902656555176,250.0,1941.5768134765624,5.845171522140503,28.202270042419432,1.4884237480163574,2.4176789534883456,1941.5768134765624,5.845171522140503,28.202270042419432,1.4884237480163574,0,0,0,0,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,1b847bd940c54f89b3586a5796b4abc1,2020-10-19_23-47-32,1603151252,176.57192826271057,352.95689272880554,417,d83e38022e39,192.168.99.4,352.95689272880554,0,2,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.674397468566895,150,121.50737500190735,450.0,1.0166429575284321,0.0011237478147571285,0.8017857225735983,0.02460218989600738,0.03352234798991754,1.0166429575284321,0.0011237478147571285,0.8017857225735983,0.02460218989600738,0,0,0,0,137.88693761825562,250,275.6059641838074,500.0,1878.1798076171874,6.3656296596527095,28.029085174560546,1.5556322512626648,2.5230199483263522,1878.1798076171874,5.845171522140503,28.029085174560546,1.4884237480163574,0,1,0,1,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,1b847bd940c54f89b3586a5796b4abc1,2020-10-19_23-50-29,1603151429,176.77685689926147,529.733749628067,417,d83e38022e39,192.168.99.4,529.733749628067,0,3,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.84367632865906,150,160.3510513305664,600.0,1.0806207656860352,0.001086012665182352,0.8232784287134807,0.02452530497064193,0.03295470626757811,1.0166429575284321,0.001086012665182352,0.8017857225735983,0.02452530497064193,1,0,1,0,137.91665720939636,250,413.52262139320374,750.0,1877.2675546875,6.358582374572754,28.02104651641846,1.5547015352249145,2.5216229643966908,1877.2675546875,5.845171522140503,28.02104651641846,1.4884237480163574,0,2,0,2,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,1b847bd940c54f89b3586a5796b4abc1,2020-10-19_23-53-26,1603151606,176.99067401885986,706.7244236469269,417,d83e38022e39,192.168.99.4,706.7244236469269,0,4,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.893325090408325,150,199.24437642097473,750.0,0.741248957713445,0.0007930241746362299,0.6826984719435374,0.02078081350773573,0.028160684910637914,0.741248957713445,0.0007930241746362299,0.6826984719435374,0.02078081350773573,0,0,0,0,138.0857629776001,250,551.6083843708038,1000.0,1875.6967163085938,6.350078660964966,28.01384634399414,1.553978394985199,2.5199362414483755,1875.6967163085938,5.845171522140503,28.01384634399414,1.4884237480163574,0,3,0,3,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,1b847bd940c54f89b3586a5796b4abc1,2020-10-19_23-56-23,1603151783,176.62855100631714,883.352974653244,417,d83e38022e39,192.168.99.4,883.352974653244,0,5,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,39.004425287246704,150,238.24880170822144,900.0,0.8352889502048493,0.0008687103958800436,0.724880469640096,0.021866804584860802,0.02947389346319966,0.741248957713445,0.0007930241746362299,0.6826984719435374,0.02078081350773573,1,1,1,1,137.61211347579956,250,689.2204978466034,1250.0,1878.72133984375,6.364074880599976,28.02367925262451,1.55484432554245,2.522711810849582,1875.6967163085938,5.845171522140503,28.01384634399414,1.4884237480163574,1,4,1,4,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,1b847bd940c54f89b3586a5796b4abc1,2020-10-19_23-59-20,1603151960,177.0340359210968,1060.3870105743408,417,d83e38022e39,192.168.99.4,1060.3870105743408,0,6,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.988144397735596,150,277.23694610595703,1050.0,0.805643546183904,0.0006888412222421417,0.7002330597241719,0.020070862198869388,0.026245784847135772,0.741248957713445,0.0006888412222421417,0.6826984719435374,0.020070862198869388,2,0,2,0,138.0349042415619,250,827.2554020881653,1500.0,1876.4857109375,6.356872217178345,28.014809158325196,1.5542786040306091,2.5212838430407523,1875.6967163085938,5.845171522140503,28.01384634399414,1.4884237480163574,2,5,2,5,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,1b847bd940c54f89b3586a5796b4abc1,2020-10-20_00-02-16,1603152136,176.14903783798218,1236.536048412323,417,d83e38022e39,192.168.99.4,1236.536048412323,0,7,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.13695740699768,150,315.3739035129547,1200.0,0.7237671327590942,0.0006445387215353548,0.6690040250619252,0.01937451938788096,0.02538776716324921,0.7237671327590942,0.0006445387215353548,0.6690040250619252,0.01937451938788096,0,0,0,0,138.00037169456482,250,965.2557737827301,1750.0,1876.6175888671876,6.359823215484619,28.016427726745604,1.5547228226661682,2.521868992530068,1875.6967163085938,5.845171522140503,28.01384634399414,1.4884237480163574,3,6,3,6,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,1b847bd940c54f89b3586a5796b4abc1,2020-10-20_00-05-12,1603152312,176.26139283180237,1412.7974412441254,417,d83e38022e39,192.168.99.4,1412.7974412441254,0,8,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.38253831863403,150,353.75644183158875,1350.0,0.563052947918574,0.0006009724352043122,0.5949775493144989,0.01805902219067017,0.02451473914208169,0.563052947918574,0.0006009724352043122,0.5949775493144989,0.01805902219067017,0,0,0,0,137.8679347038269,250,1103.123708486557,2000.0,1877.2833413085937,6.361090753555298,28.02546664428711,1.5549857211112976,2.522120289271568,1875.6967163085938,5.845171522140503,28.01384634399414,1.4884237480163574,4,7,4,7,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,1b847bd940c54f89b3586a5796b4abc1,2020-10-20_00-08-08,1603152488,175.91500306129456,1588.71244430542,417,d83e38022e39,192.168.99.4,1588.71244430542,0,9,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,37.94376730918884,150,391.7002091407776,1500.0,0.6943252158164978,0.0006883968420637151,0.6670572650432587,0.019792679858704407,0.02623731773759877,0.563052947918574,0.0006009724352043122,0.5949775493144989,0.01805902219067017,1,1,1,1,137.96020340919495,250,1241.083911895752,2250.0,1872.9931396484376,6.345556512832641,27.988497749328612,1.5533637766838073,2.5190388073296215,1872.9931396484376,5.845171522140503,27.988497749328612,1.4884237480163574,0,8,0,8,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,1b847bd940c54f89b3586a5796b4abc1,2020-10-20_00-11-05,1603152665,176.32538723945618,1765.037831544876,417,d83e38022e39,192.168.99.4,1765.037831544876,0,10,00011,"11_hypercubes=heat_para_12d,seed=0",4753964,38.29649376869202,150,429.9967029094696,1650.0,0.7107858463128408,0.000802175576488177,0.6684805615743001,0.0205702248091499,0.028322704258036114,0.563052947918574,0.0006009724352043122,0.5949775493144989,0.01805902219067017,2,2,2,2,138.01520323753357,250,1379.0991151332855,2500.0,1877.5728310546874,6.360361505508423,28.014727516174318,1.5547742528915405,2.5219757146944186,1872.9931396484376,5.845171522140503,27.988497749328612,1.4884237480163574,1,9,1,9,44.17817306518555,150,44.17817306518555,150.0,1572.3851725260417,0.941514349381129,37.04292655944824,0.9701929938793182,0.9703166232633186
