lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_00-40-19,1603154419,213.94510579109192,213.94510579109192,400,d83e38022e39,192.168.99.4,213.94510579109192,0,1,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,47.396687746047974,150,99.50567245483398,300.0,2.8050811084111533,0.0021892693219706418,1.3287144406636555,0.03487592786550522,0.0467896283589712,2.8050811084111533,0.0021892693219706418,1.3287144406636555,0.03487592786550522,0,0,0,0,166.53521823883057,250,166.53521823883057,250.0,2563.105791015625,5.827197035551071,32.262070922851564,1.4953243947029113,2.4139587891161423,2563.105791015625,5.827197035551071,32.262070922851564,1.4953243947029113,0,0,0,0,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_00-43-53,1603154633,214.05868649482727,428.0037922859192,400,d83e38022e39,192.168.99.4,428.0037922859192,0,2,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,47.22649574279785,150,146.73216819763184,450.0,2.125532344182332,0.001479186845632891,1.148476010163625,0.02937967305382093,0.038460198200644925,2.125532344182332,0.001479186845632891,1.148476010163625,0.02937967305382093,0,0,0,0,166.81951928138733,250,333.3547375202179,500.0,2476.0151396484375,6.338185009002686,32.06373245239258,1.5617550349235534,2.5175752241001033,2476.0151396484375,5.827197035551071,32.06373245239258,1.4953243947029113,0,1,0,1,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_00-47-27,1603154847,214.19962286949158,642.2034151554108,400,d83e38022e39,192.168.99.4,642.2034151554108,0,3,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.68339729309082,150,193.41556549072266,600.0,1.1882564083735148,0.0011110160437723,0.8680926903088888,0.023889835278193158,0.03333190729274729,1.1882564083735148,0.0011110160437723,0.8680926903088888,0.023889835278193158,0,0,0,0,167.5002245903015,250,500.8549621105194,750.0,2478.9841875,6.335793247222901,32.07047792053223,1.5614176387786864,2.5171001663070345,2476.0151396484375,5.827197035551071,32.06373245239258,1.4953243947029113,1,2,1,2,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_00-51-01,1603155061,213.5087010860443,855.7121162414551,400,d83e38022e39,192.168.99.4,855.7121162414551,0,4,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.36528491973877,150,239.78085041046143,750.0,1.030818387667338,0.0008518974343314767,0.8044982047875723,0.021509064957499505,0.029187282064821945,1.030818387667338,0.0008518974343314767,0.8044982047875723,0.021509064957499505,0,0,0,0,167.1290431022644,250,667.9840052127838,1000.0,2476.5759365234376,6.334637477874756,32.06152486419678,1.5612414879798888,2.5168705723327838,2476.0151396484375,5.827197035551071,32.06152486419678,1.4953243947029113,2,3,0,3,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_00-54-34,1603155274,213.7605426311493,1069.4726588726044,400,d83e38022e39,192.168.99.4,1069.4726588726044,0,5,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.19850301742554,150,285.97935342788696,900.0,0.8989668293793996,0.0007558275460420798,0.7528206499417623,0.020262141413986683,0.02749231794596592,0.8989668293793996,0.0007558275460420798,0.7528206499417623,0.020262141413986683,0,0,0,0,167.54716801643372,250,835.5311732292175,1250.0,2476.104052734375,6.327460109710693,32.051079833984375,1.5604712467193604,2.5154443165593414,2476.0151396484375,5.827197035551071,32.051079833984375,1.4953243947029113,3,4,0,4,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_00-58-08,1603155488,213.69505214691162,1283.167711019516,400,d83e38022e39,192.168.99.4,1283.167711019516,0,6,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.246227502822876,150,332.22558093070984,1050.0,0.9475190957387288,0.0007510884176008403,0.7677248620986938,0.020306095518171786,0.027405992366649312,0.8989668293793996,0.0007510884176008403,0.7528206499417623,0.020262141413986683,1,0,1,1,167.43624472618103,250,1002.9674179553986,1500.0,2474.54030859375,6.329379137039185,32.03955112457275,1.560373480796814,2.515825736619924,2474.54030859375,5.827197035551071,32.03955112457275,1.4953243947029113,0,5,0,5,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_01-01-42,1603155702,213.79838037490845,1496.9660913944244,400,d83e38022e39,192.168.99.4,1496.9660913944244,0,7,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.03594923019409,150,378.26153016090393,1200.0,1.1272332278887431,0.001397589776509752,0.8461463983853658,0.025144876949489116,0.03738435202741586,0.8989668293793996,0.0007510884176008403,0.7528206499417623,0.020262141413986683,2,1,2,2,167.74914264678955,250,1170.716560602188,1750.0,2474.94090625,6.329842008590698,32.05231362915039,1.560898422241211,2.51591772691213,2474.54030859375,5.827197035551071,32.03955112457275,1.4953243947029113,1,6,1,6,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_01-05-16,1603155916,213.61322951316833,1710.5793209075928,400,d83e38022e39,192.168.99.4,1710.5793209075928,0,8,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.07662534713745,150,424.3381555080414,1350.0,0.86964190920194,0.0007702889080004146,0.734603834549586,0.0198772240554293,0.027754079123624594,0.86964190920194,0.0007510884176008403,0.734603834549586,0.0198772240554293,0,2,0,0,167.52468299865723,250,1338.2412436008453,2000.0,2475.1436728515623,6.3327804355621335,32.04967669677735,1.5608926944732666,2.516501626377804,2474.54030859375,5.827197035551071,32.03955112457275,1.4953243947029113,2,7,2,7,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_01-08-50,1603156130,214.15480279922485,1924.7341237068176,400,d83e38022e39,192.168.99.4,1924.7341237068176,0,9,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.08632469177246,150,470.42448019981384,1500.0,0.9145427079995473,0.0008313817965487639,0.763248919248581,0.020990379229187964,0.028833692038113395,0.86964190920194,0.0007510884176008403,0.734603834549586,0.0198772240554293,1,3,1,1,168.05564713478088,250,1506.2968907356262,2250.0,2473.8773544921874,6.323795728683471,32.03722356414795,1.560045269012451,2.5147158345792215,2473.8773544921874,5.827197035551071,32.03722356414795,1.4953243947029113,0,8,0,8,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,b2467e397d4048a7a07e62ae2cd6bdf7,2020-10-20_01-12-24,1603156344,214.19317412376404,2138.9272978305817,400,d83e38022e39,192.168.99.4,2138.9272978305817,0,10,00012,"12_hypercubes=heat_para_13d,seed=0",6454780,46.62567687034607,150,517.0501570701599,1650.0,0.9190262885888417,0.0006906803829285006,0.7509122721354167,0.019595340403417746,0.026280798749819242,0.86964190920194,0.0006906803829285006,0.734603834549586,0.019595340403417746,2,0,2,0,167.5553879737854,250,1673.8522787094116,2500.0,2472.9042734375,6.332279253005981,32.029996208190916,1.5604208612442017,2.516402045183953,2472.9042734375,5.827197035551071,32.029996208190916,1.4953243947029113,0,9,0,9,52.10898470878601,150,52.10898470878601,150.0,2081.6564322916665,0.960097817182541,42.51996482849121,0.9797756028175354,0.9798458129637239
