lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,af269db9988544128c806845f0e309f4,2020-10-20_05-47-44,1603172864,114.653737783432,114.653737783432,402,d83e38022e39,192.168.99.4,114.653737783432,0,1,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.771342039108276,150,26.131899118423462,300.0,0.16210150212049484,0.0007625231546505044,0.32028906921545663,0.020951739537219207,0.027613821804496827,0.16210150212049484,0.0007625231546505044,0.32028906921545663,0.020951739537219207,0,0,0,0,103.88144755363464,250,103.88144755363464,250.0,318.6598731689453,4.836930178165436,11.715303775787353,1.3337998938560487,2.1993022025554914,318.6598731689453,4.836930178165436,11.715303775787353,1.3337998938560487,0,0,0,0,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,af269db9988544128c806845f0e309f4,2020-10-20_05-49-39,1603172979,114.71350979804993,229.36724758148193,402,d83e38022e39,192.168.99.4,229.36724758148193,0,2,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.64806056022644,150,36.7799596786499,450.0,0.12498873695731164,0.0005787912585462134,0.28153215169906615,0.01834969946493705,0.02405808094063642,0.12498873695731164,0.0005787912585462134,0.28153215169906615,0.01834969946493705,0,0,0,0,104.06024932861328,250,207.94169688224792,500.0,306.04296630859375,5.3081259994506835,11.603291812896728,1.397401180267334,2.303937064993461,306.04296630859375,4.836930178165436,11.603291812896728,1.3337998938560487,0,1,0,1,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,af269db9988544128c806845f0e309f4,2020-10-20_05-51-34,1603173094,114.5905110836029,343.95775866508484,402,d83e38022e39,192.168.99.4,343.95775866508484,0,3,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.77933406829834,150,47.55929374694824,600.0,0.11446736633777618,0.0005001034032708655,0.2674167517820994,0.017175872176885605,0.022362991822894928,0.11446736633777618,0.0005001034032708655,0.2674167517820994,0.017175872176885605,0,0,0,0,103.80508160591125,250,311.7467784881592,750.0,305.9089787597656,5.297436279296875,11.599437805175782,1.3960961122512818,2.3016160147376614,305.9089787597656,4.836930178165436,11.599437805175782,1.3337998938560487,0,2,0,2,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,af269db9988544128c806845f0e309f4,2020-10-20_05-53-28,1603173208,114.6631498336792,458.62090849876404,402,d83e38022e39,192.168.99.4,458.62090849876404,0,4,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.66570258140564,150,58.22499632835388,750.0,0.08620427757501602,0.0004101024403159196,0.23254178255796432,0.015199446094532807,0.020250986156627522,0.08620427757501602,0.0004101024403159196,0.23254178255796432,0.015199446094532807,0,0,0,0,103.99135112762451,250,415.7381296157837,1000.0,305.9350212402344,5.308069023132324,11.59989832687378,1.3974678082466125,2.3039246999701017,305.9089787597656,4.836930178165436,11.599437805175782,1.3337998938560487,1,3,1,3,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,af269db9988544128c806845f0e309f4,2020-10-20_05-55-23,1603173323,114.4695770740509,573.0904855728149,402,d83e38022e39,192.168.99.4,573.0904855728149,0,5,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.671855449676514,150,68.8968517780304,900.0,0.08664122934142748,0.0004120457224780694,0.23203206688165665,0.015059962254017591,0.020298909391345866,0.08620427757501602,0.0004101024403159196,0.23203206688165665,0.015059962254017591,1,1,0,0,103.79156255722046,250,519.5296921730042,1250.0,306.1018883056641,5.311060394287109,11.606413055419923,1.397589581489563,2.3045737988372403,305.9089787597656,4.836930178165436,11.599437805175782,1.3337998938560487,2,4,2,4,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,af269db9988544128c806845f0e309f4,2020-10-20_05-57-17,1603173437,114.68503403663635,687.7755196094513,402,d83e38022e39,192.168.99.4,687.7755196094513,0,6,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.807377099990845,150,79.70422887802124,1050.0,0.08373858203490575,0.0003983181098010391,0.23015475571155547,0.015107225912312667,0.019957908452566845,0.08373858203490575,0.0003983181098010391,0.23015475571155547,0.015059962254017591,0,0,0,1,103.8668749332428,250,623.396567106247,1500.0,306.4011890869141,5.3056554489135745,11.60386455154419,1.3970286188125611,2.303400844167939,305.9089787597656,4.836930178165436,11.599437805175782,1.3337998938560487,3,5,3,5,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,af269db9988544128c806845f0e309f4,2020-10-20_05-59-12,1603173552,114.54052472114563,802.3160443305969,402,d83e38022e39,192.168.99.4,802.3160443305969,0,7,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.753057956695557,150,90.4572868347168,1200.0,0.11921085546414058,0.0005378664987316976,0.27248811463514966,0.017561042706171672,0.023191949006750114,0.08373858203490575,0.0003983181098010391,0.23015475571155547,0.015059962254017591,1,1,1,2,103.78163456916809,250,727.178201675415,1750.0,306.08026403808594,5.306545213699341,11.602629711151122,1.3975217876434327,2.303593977613968,305.9089787597656,4.836930178165436,11.599437805175782,1.3337998938560487,4,6,4,6,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,af269db9988544128c806845f0e309f4,2020-10-20_06-01-07,1603173667,114.81271076202393,917.1287550926208,402,d83e38022e39,192.168.99.4,917.1287550926208,0,8,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.839782238006592,150,101.29706907272339,1350.0,0.09746713062127431,0.00042395699866271266,0.2450851039091746,0.015661778015395006,0.020590216090724076,0.08373858203490575,0.0003983181098010391,0.23015475571155547,0.015059962254017591,2,2,2,3,103.96685719490051,250,831.1450588703156,2000.0,305.6563630371094,5.300126079559326,11.595436573028564,1.3964066009521485,2.302200269211896,305.6563630371094,4.836930178165436,11.595436573028564,1.3337998938560487,0,7,0,7,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,af269db9988544128c806845f0e309f4,2020-10-20_06-03-01,1603173781,114.45300483703613,1031.581759929657,402,d83e38022e39,192.168.99.4,1031.581759929657,0,9,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.805469274520874,150,112.10253834724426,1500.0,0.06226951628923416,0.00028306941288368156,0.19642445375521977,0.01270594064767162,0.016824666798593117,0.06226951628923416,0.00028306941288368156,0.19642445375521977,0.01270594064767162,0,0,0,0,103.63859462738037,250,934.7836534976959,2250.0,305.4352854003906,5.309740098953247,11.598145614624023,1.397123888015747,2.304287329946777,305.4352854003906,4.836930178165436,11.595436573028564,1.3337998938560487,0,8,1,8,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,af269db9988544128c806845f0e309f4,2020-10-20_06-04-56,1603173896,114.90040898323059,1146.4821689128876,402,d83e38022e39,192.168.99.4,1146.4821689128876,0,10,00023,"23_hypercubes=heat_para_7d,seed=1",631564,10.830217838287354,150,122.93275618553162,1650.0,0.06760431453585625,0.0002786591286227728,0.20304676840702693,0.012846895617743333,0.016693086252181553,0.06226951628923416,0.0002786591286227728,0.19642445375521977,0.01270594064767162,1,0,1,1,104.062020778656,250,1038.845674276352,2500.0,306.13688549804687,5.310331115722656,11.602387027740479,1.3975646572113036,2.3044155692328276,305.4352854003906,4.836930178165436,11.595436573028564,1.3337998938560487,1,9,2,9,15.360557079315186,150,15.360557079315186,150.0,277.0165627034505,0.8845617711544037,15.843633441925048,0.9401486591498057,0.9405114412671457
