lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,ea286102ed284941a12236a6c48b0c46,2020-10-20_06-49-16,1603176556,149.331196308136,149.331196308136,338,d83e38022e39,192.168.99.4,149.331196308136,0,1,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.919352769851685,150,58.250635623931885,300.0,0.7445743191242218,0.0012799142999574541,0.6859835835297903,0.027055221448342007,0.03577588992544356,0.7445743191242218,0.0012799142999574541,0.6859835835297903,0.027055221448342007,0,0,0,0,122.40430045127869,250,122.40430045127869,250.0,1044.6345217285157,5.726520831108093,20.85650235748291,1.4580847568511963,2.3930150085421724,1044.6345217285157,5.726520831108093,20.85650235748291,1.4580847568511963,0,0,0,0,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,ea286102ed284941a12236a6c48b0c46,2020-10-20_06-51-46,1603176706,149.45771479606628,298.78891110420227,338,d83e38022e39,192.168.99.4,298.78891110420227,0,2,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.8303964138031,150,85.08103203773499,450.0,0.4973225553830465,0.0008669744276752075,0.5583203188578287,0.022015846458574136,0.029444429484627607,0.4973225553830465,0.0008669744276752075,0.5583203188578287,0.022015846458574136,0,0,0,0,122.61920809745789,250,245.02350854873657,500.0,1008.5479252929688,6.25716477394104,20.715271293640136,1.5259316701889039,2.501432544351544,1008.5479252929688,5.726520831108093,20.715271293640136,1.4580847568511963,0,1,0,1,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,ea286102ed284941a12236a6c48b0c46,2020-10-20_06-54-15,1603176855,149.4501965045929,448.23910760879517,338,d83e38022e39,192.168.99.4,448.23910760879517,0,3,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,27.017773389816284,150,112.09880542755127,600.0,0.4581667991479238,0.000992309427044044,0.5397293110688527,0.022341399279733498,0.03150094327229018,0.4581667991479238,0.0008669744276752075,0.5397293110688527,0.022015846458574136,0,1,0,1,122.42463970184326,250,367.44814825057983,750.0,1005.7029289550782,6.249378055572509,20.697332763671874,1.524965678691864,2.499875608019829,1005.7029289550782,5.726520831108093,20.697332763671874,1.4580847568511963,0,2,0,2,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,ea286102ed284941a12236a6c48b0c46,2020-10-20_06-56-45,1603177005,149.39134049415588,597.630448102951,338,d83e38022e39,192.168.99.4,597.630448102951,0,4,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.665437698364258,150,138.76424312591553,750.0,0.39286999781926474,0.0006856150083088627,0.49748545746008555,0.019592156931757927,0.026184251150431298,0.39286999781926474,0.0006856150083088627,0.49748545746008555,0.019592156931757927,0,0,0,0,122.71713733673096,250,490.1652855873108,1000.0,1005.7594050292969,6.251889925003052,20.6948334274292,1.5253561463356018,2.500377956430398,1005.7029289550782,5.726520831108093,20.6948334274292,1.4580847568511963,1,3,0,3,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,ea286102ed284941a12236a6c48b0c46,2020-10-20_06-59-14,1603177154,149.1443314552307,746.7747795581818,338,d83e38022e39,192.168.99.4,746.7747795581818,0,5,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.682584762573242,150,165.44682788848877,900.0,0.48429795463879904,0.0007608000410255045,0.5494871648152669,0.021088413285712402,0.027582603956579306,0.39286999781926474,0.0006856150083088627,0.49748545746008555,0.019592156931757927,1,1,1,1,122.4541711807251,250,612.6194567680359,1250.0,1005.5566027832032,6.2538212890625,20.703035858154298,1.5255579328536988,2.500764141030197,1005.5566027832032,5.726520831108093,20.6948334274292,1.4580847568511963,0,4,1,4,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,ea286102ed284941a12236a6c48b0c46,2020-10-20_07-01-43,1603177303,149.49420547485352,896.2689850330353,338,d83e38022e39,192.168.99.4,896.2689850330353,0,6,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.682657957077026,150,192.1294858455658,1050.0,0.4511649000644684,0.0009796404027535269,0.5400065131982168,0.022498889913161596,0.03129920770168994,0.39286999781926474,0.0006856150083088627,0.49748545746008555,0.019592156931757927,2,2,2,2,122.80303025245667,250,735.4224870204926,1500.0,1006.2459916992187,6.251758172988891,20.695706909179687,1.5251942343711853,2.5003516098718777,1005.5566027832032,5.726520831108093,20.6948334274292,1.4580847568511963,1,5,2,5,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,ea286102ed284941a12236a6c48b0c46,2020-10-20_07-04-13,1603177453,149.19914841651917,1045.4681334495544,338,d83e38022e39,192.168.99.4,1045.4681334495544,0,7,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.549025297164917,150,218.6785111427307,1200.0,0.2640342621008555,0.00045828918790599953,0.40649443030357363,0.016002881949146588,0.021407689924557473,0.2640342621008555,0.00045828918790599953,0.40649443030357363,0.016002881949146588,0,0,0,0,122.6416232585907,250,858.0641102790833,1750.0,1007.6177126464844,6.254655015945435,20.705849533081054,1.525563132762909,2.500930829900226,1005.5566027832032,5.726520831108093,20.6948334274292,1.4580847568511963,2,6,3,6,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,ea286102ed284941a12236a6c48b0c46,2020-10-20_07-06-42,1603177602,149.2420847415924,1194.7102181911469,338,d83e38022e39,192.168.99.4,1194.7102181911469,0,8,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.459469318389893,150,245.1379804611206,1350.0,0.2578014145294825,0.0004548610570297266,0.4027191960811615,0.01593969490379095,0.02132747188556878,0.2578014145294825,0.0004548610570297266,0.4027191960811615,0.01593969490379095,0,0,0,0,122.77578902244568,250,980.8398993015289,2000.0,1004.6790341796875,6.2405349750518795,20.682638885498047,1.5243716530799867,2.498106277773602,1004.6790341796875,5.726520831108093,20.682638885498047,1.4580847568511963,0,7,0,7,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,ea286102ed284941a12236a6c48b0c46,2020-10-20_07-09-11,1603177751,149.59596967697144,1344.3061878681183,338,d83e38022e39,192.168.99.4,1344.3061878681183,0,9,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,26.702817678451538,150,271.84079813957214,1500.0,0.25592759768168133,0.00042978579663516335,0.3968282546599706,0.015500927300502856,0.020731275808188055,0.25592759768168133,0.00042978579663516335,0.3968282546599706,0.015500927300502856,0,0,0,0,122.88445949554443,250,1103.7243587970734,2250.0,1007.0083508300781,6.256269540786743,20.70822031402588,1.5255094323158265,2.5012535938578364,1004.6790341796875,5.726520831108093,20.682638885498047,1.4580847568511963,1,8,1,8,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,ea286102ed284941a12236a6c48b0c46,2020-10-20_07-11-41,1603177901,149.51017928123474,1493.816367149353,338,d83e38022e39,192.168.99.4,1493.816367149353,0,10,00026,"26_hypercubes=heat_para_10d,seed=1",2380732,27.00477409362793,150,298.8455722332001,1650.0,0.2794367903470993,0.0005575321327584486,0.41881972809632617,0.016968328580260275,0.023612118345426963,0.25592759768168133,0.00042978579663516335,0.3968282546599706,0.015500927300502856,1,1,1,1,122.4969379901886,250,1226.221296787262,2500.0,1006.0944807128906,6.2553305912017825,20.697331367492676,1.5254052248001098,2.501065891015625,1004.6790341796875,5.726520831108093,20.682638885498047,1.4580847568511963,2,9,2,9,31.3312828540802,150,31.3312828540802,150.0,852.7309138997396,0.9186564195156097,27.463313268025715,0.9582724674542745,0.9584656590173743
