lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-25-36,1603178736,160.29612469673157,160.29612469673157,358,d83e38022e39,192.168.99.4,160.29612469673157,0,1,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,33.13809514045715,150,70.66679072380066,300.0,1.566485181649526,0.0019609109265729787,1.0016668657461802,0.033885009263952576,0.04428217391426237,1.566485181649526,0.0019609109265729787,1.0016668657461802,0.033885009263952576,0,0,0,0,127.14719462394714,250,127.14719462394714,250.0,1441.6097465820312,5.820510486125946,24.4049683303833,1.477306796312332,2.4125734156965972,1441.6097465820312,5.820510486125946,24.4049683303833,1.477306796312332,0,0,0,0,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-28-16,1603178896,159.89978218078613,320.1959068775177,358,d83e38022e39,192.168.99.4,320.1959068775177,0,2,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,32.758100748062134,150,103.4248914718628,450.0,0.7102149697144826,0.0011689638462848962,0.6691774050394694,0.023984807170927526,0.034190113282715165,0.7102149697144826,0.0011689638462848962,0.6691774050394694,0.023984807170927526,0,0,0,0,127.13064455986023,250,254.27783918380737,500.0,1391.2907817382813,6.342233121871948,24.230456184387208,1.543659140110016,2.518379066358349,1391.2907817382813,5.820510486125946,24.230456184387208,1.477306796312332,0,1,0,1,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-30-56,1603179056,160.29906272888184,480.49496960639954,358,d83e38022e39,192.168.99.4,480.49496960639954,0,3,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,33.01240062713623,150,136.43729209899902,600.0,0.698343364795049,0.0010594576799000303,0.6650987672805786,0.023633951197067897,0.032549311511920344,0.698343364795049,0.0010594576799000303,0.6650987672805786,0.023633951197067897,0,0,0,0,127.27593064308167,250,381.55376982688904,750.0,1391.3644311523437,6.334557929992676,24.228680404663088,1.5431006355285644,2.5168547693485763,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,1,2,0,2,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-33-36,1603179216,160.05061507225037,640.5455846786499,358,d83e38022e39,192.168.99.4,640.5455846786499,0,4,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,32.76437187194824,150,169.20166397094727,750.0,0.4924397784471512,0.000727812044788152,0.5562337533632914,0.01948390865077575,0.026977991859813286,0.4924397784471512,0.000727812044788152,0.5562337533632914,0.01948390865077575,0,0,0,0,127.27538084983826,250,508.8291506767273,1000.0,1391.35431640625,6.336704099655152,24.229315444946288,1.5432264866828918,2.5172810926980627,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,2,3,1,3,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-36-16,1603179376,159.64045643806458,800.1860411167145,358,d83e38022e39,192.168.99.4,800.1860411167145,0,5,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,32.60208034515381,150,201.80374431610107,900.0,0.4409997045993805,0.0007401395007036627,0.5285366253058116,0.019099785350263118,0.027205504970569148,0.4409997045993805,0.000727812044788152,0.5285366253058116,0.019099785350263118,0,1,0,0,127.03083157539368,250,635.859982252121,1250.0,1391.47329296875,6.338279682159424,24.23532187652588,1.5435813508033753,2.5175940264783407,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,3,4,2,4,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-38-57,1603179537,160.67251873016357,960.858559846878,358,d83e38022e39,192.168.99.4,960.858559846878,0,6,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,33.43805956840515,150,235.24180388450623,1050.0,0.6197506169478099,0.0008428418341403206,0.6295411137739817,0.021726062757273516,0.02903173839335703,0.4409997045993805,0.000727812044788152,0.5285366253058116,0.019099785350263118,1,2,1,1,127.22465300559998,250,763.084635257721,1500.0,1394.0427397460937,6.337099225997925,24.242026252746584,1.5434098663330078,2.5173595742360537,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,4,5,3,5,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-41-38,1603179698,160.79239702224731,1121.6509568691254,358,d83e38022e39,192.168.99.4,1121.6509568691254,0,7,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,33.20933818817139,150,268.4511420726776,1200.0,0.4507838988304138,0.0006123667481976251,0.5336038064956665,0.01829603724181652,0.024746045102149658,0.4409997045993805,0.0006123667481976251,0.5285366253058116,0.01829603724181652,2,0,2,0,127.5724310874939,250,890.6570663452148,1750.0,1393.561396484375,6.341675140380859,24.237015830993652,1.5437951550483704,2.5182682820503577,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,5,6,4,6,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-44-18,1603179858,160.1684067249298,1281.8193635940552,358,d83e38022e39,192.168.99.4,1281.8193635940552,0,8,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,32.973310232162476,150,301.4244523048401,1350.0,0.3897753189007441,0.00048160599117788176,0.49059852182865143,0.016497003696858883,0.021945523260516752,0.3897753189007441,0.00048160599117788176,0.49059852182865143,0.016497003696858883,0,0,0,0,127.18309545516968,250,1017.8401618003845,2000.0,1392.2239487304687,6.340833042144776,24.239682319641112,1.5437912168502808,2.5181010786195173,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,6,7,5,7,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-46-58,1603180018,160.314373254776,1442.1337368488312,358,d83e38022e39,192.168.99.4,1442.1337368488312,0,9,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,33.01306748390198,150,334.43751978874207,1500.0,0.4367175555229187,0.000580098956124857,0.5221548612912496,0.017848738705118498,0.024085243534680254,0.3897753189007441,0.00048160599117788176,0.49059852182865143,0.016497003696858883,1,1,1,1,127.29092407226562,250,1145.1310858726501,2250.0,1394.027173828125,6.339804084777832,24.24474980163574,1.5438404898643494,2.517896758165003,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,7,8,6,8,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,ff6cc58317a24744ad5d00f9b4b26606,2020-10-20_07-49-38,1603180178,160.08090591430664,1602.2146427631378,358,d83e38022e39,192.168.99.4,1602.2146427631378,0,10,00027,"27_hypercubes=heat_para_11d,seed=1",3414380,32.67267560958862,150,367.1101953983307,1650.0,0.7109317942460378,0.000752394131074349,0.6657750006516775,0.0214388944581151,0.027429803700980967,0.3897753189007441,0.00048160599117788176,0.49059852182865143,0.016497003696858883,2,2,2,2,127.39576768875122,250,1272.5268535614014,2500.0,1393.0344311523438,6.338389627456665,24.243907043457032,1.5431781911849975,2.5176158617741238,1391.2907817382813,5.820510486125946,24.228680404663088,1.477306796312332,8,9,7,9,37.528695583343506,150,37.528695583343506,150.0,1173.6940470377604,0.9311422383785248,32.09902887980143,0.9647844441731771,0.964957117378034
