lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_07-41-48,1603179708,171.4171588420868,171.4171588420868,398,d83e38022e39,192.168.99.4,171.4171588420868,0,1,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,37.71258044242859,150,80.69979524612427,300.0,1.9877375340461731,0.00265224680925409,1.126516375541687,0.03647231586277485,0.05149996902187505,1.9877375340461731,0.00265224680925409,1.126516375541687,0.03647231586277485,0,0,0,0,133.69487977027893,250,133.69487977027893,250.0,1951.9046909179688,5.828016075134277,28.250150535583497,1.486977217912674,2.414128429710043,1951.9046909179688,5.828016075134277,28.250150535583497,1.486977217912674,0,0,0,0,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_07-44-40,1603179880,172.07676005363464,343.49391889572144,398,d83e38022e39,192.168.99.4,343.49391889572144,0,2,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.3138952255249,150,119.01369047164917,450.0,1.6109677076339721,0.001642016627981017,1.0066381963094075,0.02981143505622943,0.04052180435248432,1.6109677076339721,0.001642016627981017,1.0066381963094075,0.02981143505622943,0,0,0,0,133.75304985046387,250,267.4479296207428,500.0,1876.9256157226562,6.358073696136475,28.021329093933105,1.5547536611557007,2.521522099077554,1876.9256157226562,5.828016075134277,28.021329093933105,1.486977217912674,0,1,0,1,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_07-47-31,1603180051,171.7200574874878,515.2139763832092,398,d83e38022e39,192.168.99.4,515.2139763832092,0,3,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,37.9500150680542,150,156.96370553970337,600.0,0.8858277694384257,0.0009643344010692089,0.747404174009959,0.022819594542185465,0.031053734092202325,0.8858277694384257,0.0009643344010692089,0.747404174009959,0.022819594542185465,0,0,0,0,133.7601237297058,250,401.2080533504486,750.0,1874.3992778320312,6.348877067565918,28.009150245666504,1.5538064770698548,2.5196978127477743,1874.3992778320312,5.828016075134277,28.009150245666504,1.486977217912674,0,2,0,2,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_07-50-24,1603180224,172.36692428588867,687.5809006690979,398,d83e38022e39,192.168.99.4,687.5809006690979,0,4,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.6191611289978,150,195.58286666870117,750.0,0.8835533261299133,0.0007944857014808804,0.7357602369785309,0.021387340277433397,0.028186622739889935,0.8835533261299133,0.0007944857014808804,0.7357602369785309,0.021387340277433397,0,0,0,0,133.73863625526428,250,534.9466896057129,1000.0,1876.717150390625,6.354736337661743,28.01048147583008,1.5540722756385803,2.5208602376295564,1874.3992778320312,5.828016075134277,28.009150245666504,1.486977217912674,1,3,1,3,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_07-53-16,1603180396,172.11404275894165,859.6949434280396,398,d83e38022e39,192.168.99.4,859.6949434280396,0,5,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.41444635391235,150,233.99731302261353,900.0,0.9604703283309937,0.0013879276835359632,0.7795984184741974,0.025355728901922704,0.03725490146995376,0.8835533261299133,0.0007944857014808804,0.7357602369785309,0.021387340277433397,1,1,1,1,133.68978881835938,250,668.6364784240723,1250.0,1873.1351596679688,6.352226848602295,28.009235649108888,1.5541023120880126,2.520362443896174,1873.1351596679688,5.828016075134277,28.009150245666504,1.486977217912674,0,4,2,4,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_07-56-08,1603180568,172.4048924446106,1032.0998358726501,398,d83e38022e39,192.168.99.4,1032.0998358726501,0,6,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.61632299423218,150,272.6136360168457,1050.0,0.6536411877473195,0.0006871494658601781,0.6420310262839,0.019387796918551126,0.026213535928221857,0.6536411877473195,0.0006871494658601781,0.6420310262839,0.019387796918551126,0,0,0,0,133.77716779708862,250,802.4136462211609,1500.0,1878.0147309570314,6.35443696975708,28.015546829223634,1.5541856050491334,2.5208008588060027,1873.1351596679688,5.828016075134277,28.009150245666504,1.486977217912674,1,5,3,5,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_07-59-01,1603180741,172.36338353157043,1204.4632194042206,398,d83e38022e39,192.168.99.4,1204.4632194042206,0,7,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.701364278793335,150,311.31500029563904,1200.0,0.8481174647808075,0.001004690007927517,0.7369472805658976,0.022880908014873663,0.031696845393942866,0.6536411877473195,0.0006871494658601781,0.6420310262839,0.019387796918551126,1,1,1,1,133.65085339546204,250,936.0644996166229,1750.0,1876.7715341796875,6.355357662200928,28.016038024902343,1.5544111247062684,2.5209834712272365,1873.1351596679688,5.828016075134277,28.009150245666504,1.486977217912674,2,6,4,6,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_08-01-53,1603180913,172.10660862922668,1376.5698280334473,398,d83e38022e39,192.168.99.4,1376.5698280334473,0,8,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.31198811531067,150,349.6269884109497,1350.0,0.5941413104534149,0.0005940386885777116,0.6081791945298513,0.01813591534892718,0.024372908906770067,0.5941413104534149,0.0005940386885777116,0.6081791945298513,0.01813591534892718,0,0,0,0,133.7849578857422,250,1069.849457502365,2000.0,1877.2119677734374,6.363039587020874,28.026003700256346,1.5549896755218506,2.5225066079241247,1873.1351596679688,5.828016075134277,28.009150245666504,1.486977217912674,3,7,5,7,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_08-04-45,1603181085,171.73615026474,1548.3059782981873,398,d83e38022e39,192.168.99.4,1548.3059782981873,0,9,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.019556283950806,150,387.6465446949005,1500.0,0.9650591961542765,0.0007481118516686062,0.763978230158488,0.021321387762824693,0.02735163343693766,0.5941413104534149,0.0005940386885777116,0.6081791945298513,0.01813591534892718,1,1,1,1,133.70566821098328,250,1203.5551257133484,2250.0,1876.9161401367187,6.360514726638794,28.02818907928467,1.5549520177841187,2.5220060917132603,1873.1351596679688,5.828016075134277,28.009150245666504,1.486977217912674,4,8,6,8,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,991c7dcd56524000ad4bb121bdeb9b33,2020-10-20_08-07-37,1603181257,172.06505227088928,1720.3710305690765,398,d83e38022e39,192.168.99.4,1720.3710305690765,0,10,00028,"28_hypercubes=heat_para_12d,seed=1",4753964,38.32394337654114,150,425.97048807144165,1650.0,0.6186138514677684,0.000660984970551605,0.6218313133716583,0.018729898830254874,0.025709627973807887,0.5941413104534149,0.0005940386885777116,0.6081791945298513,0.01813591534892718,2,2,2,2,133.73056769371033,250,1337.2856934070587,2500.0,1875.4137182617187,6.353066669464111,28.015523078918456,1.554310431957245,2.5205290455505787,1873.1351596679688,5.828016075134277,28.009150245666504,1.486977217912674,5,9,7,9,42.98721480369568,150,42.98721480369568,150.0,1587.3761466471353,0.953796903292338,37.248794581095375,0.976536599000295,0.9766252624688437
