lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-13-24,1603181604,213.21622920036316,213.21622920036316,360,d83e38022e39,192.168.99.4,213.21622920036316,0,1,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.236239194869995,150,96.57608938217163,300.0,2.845380005836487,0.0033271385620658595,1.3441109347343445,0.03978017630676429,0.05768135367747414,2.845380005836487,0.0033271385620658595,1.3441109347343445,0.03978017630676429,0,0,0,0,166.96660804748535,250,166.96660804748535,250.0,2564.3839716796874,5.831713442325592,32.26455129241943,1.4954517002105714,2.414894085115451,2564.3839716796874,5.831713442325592,32.26455129241943,1.4954517002105714,0,0,0,0,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-16-57,1603181817,213.32922267913818,426.54545187950134,360,d83e38022e39,192.168.99.4,426.54545187950134,0,2,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.45246720314026,150,143.0285565853119,450.0,1.6294311332702636,0.0013486627861857413,1.0145806717872619,0.02716511009881894,0.03672414445818638,1.6294311332702636,0.0013486627861857413,1.0145806717872619,0.02716511009881894,0,0,0,0,166.86135053634644,250,333.8279585838318,500.0,2474.6412880859375,6.333622661590576,32.05938223266602,1.56131831407547,2.516668961462865,2474.6412880859375,5.831713442325592,32.05938223266602,1.4954517002105714,0,1,0,1,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-20-30,1603182030,213.0767366886139,639.6221885681152,360,d83e38022e39,192.168.99.4,639.6221885681152,0,3,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.091846227645874,150,189.12040281295776,600.0,1.2904724152882894,0.0010749052107955018,0.9019305638472239,0.02418909586966038,0.03278574706782662,1.2904724152882894,0.0010749052107955018,0.9019305638472239,0.02418909586966038,0,0,0,0,166.97292160987854,250,500.8008801937103,750.0,2473.91770703125,6.330165142059326,32.050341979980466,1.5606010637283325,2.5159819439056643,2473.91770703125,5.831713442325592,32.050341979980466,1.4954517002105714,0,2,0,2,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-24-03,1603182243,212.97138214111328,852.5935707092285,360,d83e38022e39,192.168.99.4,852.5935707092285,0,4,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.23669147491455,150,235.35709428787231,750.0,1.5089604314168295,0.0011715663953994712,0.9795916350682576,0.025789129957556726,0.03422815208858742,1.2904724152882894,0.0010749052107955018,0.9019305638472239,0.02418909586966038,1,1,1,1,166.7217698097229,250,667.5226500034332,1000.0,2473.7725712890624,6.328564172744751,32.044735427856445,1.5607847752571107,2.5156637638493646,2473.7725712890624,5.831713442325592,32.044735427856445,1.4954517002105714,0,3,0,3,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-27-37,1603182457,213.60634326934814,1066.1999139785767,360,d83e38022e39,192.168.99.4,1066.1999139785767,0,5,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.639111280441284,150,281.9962055683136,900.0,0.9739469468593598,0.0008669724032127608,0.7847198573748271,0.021464388022820156,0.029444395106925883,0.9739469468593598,0.0008669724032127608,0.7847198573748271,0.021464388022820156,0,0,0,0,166.95381784439087,250,834.4764678478241,1250.0,2474.308791015625,6.332732908248901,32.04719568634033,1.5611176571846008,2.5164921832282534,2473.7725712890624,5.831713442325592,32.044735427856445,1.4954517002105714,1,4,1,4,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-31-10,1603182670,213.33225536346436,1279.532169342041,360,d83e38022e39,192.168.99.4,1279.532169342041,0,6,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.48406171798706,150,328.48026728630066,1050.0,1.265597515106201,0.0009688275955462207,0.8925197962919871,0.023436153096457323,0.031125995494862824,0.9739469468593598,0.0008669724032127608,0.7847198573748271,0.021464388022820156,1,1,1,1,166.8348526954651,250,1001.3113205432892,1500.0,2476.422041015625,6.33395496559143,32.057419776916504,1.5611100535392761,2.516734981199139,2473.7725712890624,5.831713442325592,32.044735427856445,1.4954517002105714,2,5,2,5,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-34-43,1603182883,212.92884397506714,1492.4610133171082,360,d83e38022e39,192.168.99.4,1492.4610133171082,0,7,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.26169443130493,150,374.7419617176056,1200.0,1.2608325862884522,0.001500658296669523,0.8910761233170827,0.026103464625775813,0.03873833110330804,0.9739469468593598,0.0008669724032127608,0.7847198573748271,0.021464388022820156,2,2,2,2,166.65522003173828,250,1167.9665405750275,1750.0,2476.1328046875,6.330525564193725,32.046523551940915,1.5604387936592101,2.5160535694205173,2473.7725712890624,5.831713442325592,32.044735427856445,1.4954517002105714,3,6,3,6,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-38-16,1603183096,212.8642213344574,1705.3252346515656,360,d83e38022e39,192.168.99.4,1705.3252346515656,0,8,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,45.824665546417236,150,420.5666272640228,1350.0,0.8588581025600434,0.0006786482594907284,0.7353101225694021,0.019410393486420315,0.02605087828635972,0.8588581025600434,0.0006786482594907284,0.7353101225694021,0.019410393486420315,0,0,0,0,167.0270938873291,250,1334.9936344623566,2000.0,2475.5463369140625,6.341607599258423,32.063012420654296,1.5617966136932373,2.5182548717829225,2473.7725712890624,5.831713442325592,32.044735427856445,1.4954517002105714,4,7,4,7,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-41-49,1603183309,213.04503440856934,1918.370269060135,360,d83e38022e39,192.168.99.4,1918.370269060135,0,9,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,45.98249435424805,150,466.5491216182709,1500.0,0.9680158758163452,0.0011363651137799025,0.7766087488333384,0.022565230826536813,0.033710015036779534,0.8588581025600434,0.0006786482594907284,0.7353101225694021,0.019410393486420315,1,1,1,1,167.04884719848633,250,1502.042481660843,2250.0,2477.0508447265624,6.336118820190429,32.05494288635254,1.5610534973144532,2.517164837707382,2473.7725712890624,5.831713442325592,32.044735427856445,1.4954517002105714,5,8,5,8,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,11aec284406f49b89bc1d2ba83e76e0b,2020-10-20_08-45-23,1603183523,213.63062930107117,2132.000898361206,360,d83e38022e39,192.168.99.4,2132.000898361206,0,10,00029,"29_hypercubes=heat_para_13d,seed=1",6454780,46.26144003868103,150,512.8105616569519,1650.0,1.3274949590365093,0.0007505958577773223,0.897061394850413,0.021664338869353136,0.02739700454022889,0.8588581025600434,0.0006786482594907284,0.7353101225694021,0.019410393486420315,2,2,2,2,167.35590362548828,250,1669.3983852863312,2500.0,2472.2672255859375,6.329655422210694,32.04521826171875,1.5604986958503724,2.5158806454620803,2472.2672255859375,5.831713442325592,32.044735427856445,1.4954517002105714,0,9,6,9,50.339850187301636,150,50.339850187301636,150.0,2066.3685221354167,0.9497490270932516,42.334191716512045,0.9744490452607473,0.9745506795920116
