lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,ca3c83d886b149db9d055032b0652347,2020-10-20_13-25-26,1603200326,96.70513916015625,96.70513916015625,359,d83e38022e39,192.168.99.4,96.70513916015625,0,1,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.346431732177734,150,17.74867582321167,300.0,0.054232586895426114,0.00063235980963024,0.18332813709974288,0.018740486577153204,0.025146765391004865,0.054232586895426114,0.00063235980963024,0.18332813709974288,0.018740486577153204,0,0,0,0,90.35753011703491,250,90.35753011703491,250.0,107.5845710144043,3.4575700323581695,6.894801677703858,1.1426748523712158,1.8594542297024064,107.5845710144043,3.4575700323581695,6.894801677703858,1.1426748523712158,0,0,0,0,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,ca3c83d886b149db9d055032b0652347,2020-10-20_13-27-03,1603200423,96.78988027572632,193.49501943588257,359,d83e38022e39,192.168.99.4,193.49501943588257,0,2,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.4199042320251465,150,24.168580055236816,450.0,0.05057680788139502,0.0005209301202557981,0.17699142535527548,0.01758974713583787,0.02282389362610591,0.05057680788139502,0.0005209301202557981,0.17699142535527548,0.01758974713583787,0,0,0,0,90.36903929710388,250,180.7265694141388,500.0,102.91651815795899,3.804692400932312,6.814738182067871,1.1970542101860047,1.9505620730785043,102.91651815795899,3.4575700323581695,6.814738182067871,1.1426748523712158,0,1,0,1,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,ca3c83d886b149db9d055032b0652347,2020-10-20_13-28-40,1603200520,96.82206749916077,290.31708693504333,359,d83e38022e39,192.168.99.4,290.31708693504333,0,3,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.321354150772095,150,30.48993420600891,600.0,0.03233131227393945,0.0003593199709818388,0.1418151091535886,0.01438317401955525,0.01895573715216158,0.03233131227393945,0.0003593199709818388,0.1418151091535886,0.01438317401955525,0,0,0,0,90.49966716766357,250,271.22623658180237,750.0,102.99269393920899,3.801884009361267,6.81376068687439,1.196799111366272,1.9498420472851812,102.91651815795899,3.4575700323581695,6.81376068687439,1.1426748523712158,1,2,0,2,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,ca3c83d886b149db9d055032b0652347,2020-10-20_13-30-17,1603200617,96.68908882141113,387.00617575645447,359,d83e38022e39,192.168.99.4,387.00617575645447,0,4,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.291708707809448,150,36.78164291381836,750.0,0.03333457825084527,0.00034096471402638904,0.14331532229979832,0.014259154032915831,0.018465229866600336,0.03233131227393945,0.00034096471402638904,0.1418151091535886,0.014259154032915831,1,0,1,0,90.39620327949524,250,361.6224398612976,1000.0,102.9157550354004,3.8021555776596068,6.8125300827026365,1.1966001896858216,1.9499116845794855,102.9157550354004,3.4575700323581695,6.8125300827026365,1.1426748523712158,0,3,0,3,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,ca3c83d886b149db9d055032b0652347,2020-10-20_13-31-53,1603200713,96.67167162895203,483.6778473854065,359,d83e38022e39,192.168.99.4,483.6778473854065,0,5,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.293179750442505,150,43.074822664260864,900.0,0.02848365928977728,0.0003222958555367465,0.13331183781226477,0.013557723201811313,0.01795260024444221,0.02848365928977728,0.0003222958555367465,0.13331183781226477,0.013557723201811313,0,0,0,0,90.37766122817993,250,452.00010108947754,1250.0,102.84537503051757,3.801791446685791,6.809988622665405,1.1966127853393556,1.9498183111987104,102.84537503051757,3.4575700323581695,6.809988622665405,1.1426748523712158,0,4,0,4,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,ca3c83d886b149db9d055032b0652347,2020-10-20_13-33-30,1603200810,96.8281602859497,580.5060076713562,359,d83e38022e39,192.168.99.4,580.5060076713562,0,6,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.359294652938843,150,49.43411731719971,1050.0,0.03971654507021109,0.00038817103079054506,0.15748472770055136,0.015392990217854579,0.01970205651170824,0.02848365928977728,0.0003222958555367465,0.13331183781226477,0.013557723201811313,1,1,1,1,90.46779417991638,250,542.4678952693939,1500.0,102.83954296875,3.803629030227661,6.811227094650269,1.1967325105667115,1.9502894734443041,102.83954296875,3.4575700323581695,6.809988622665405,1.1426748523712158,0,5,1,5,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,ca3c83d886b149db9d055032b0652347,2020-10-20_13-35-07,1603200907,96.64955544471741,677.1555631160736,359,d83e38022e39,192.168.99.4,677.1555631160736,0,7,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.186036586761475,150,55.62015390396118,1200.0,0.031242086477577688,0.00036179034660259885,0.1393257267276446,0.014316207884500423,0.019020787223524658,0.02848365928977728,0.0003222958555367465,0.13331183781226477,0.013557723201811313,2,2,2,2,90.46247458457947,250,632.9303698539734,1750.0,102.98685110473633,3.8072923946380617,6.8151530780792235,1.1972872829437256,1.9512284322031754,102.83954296875,3.4575700323581695,6.809988622665405,1.1426748523712158,1,6,2,6,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,ca3c83d886b149db9d055032b0652347,2020-10-20_13-36-43,1603201003,96.65931582450867,773.8148789405823,359,d83e38022e39,192.168.99.4,773.8148789405823,0,8,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.322357416152954,150,61.942511320114136,1350.0,0.030566522143781184,0.00042897157021798193,0.13841020286083222,0.014904264205445847,0.02071162886443222,0.02848365928977728,0.0003222958555367465,0.13331183781226477,0.013557723201811313,3,3,3,3,90.33576154708862,250,723.266131401062,2000.0,103.00944366455079,3.8059849061965942,6.81482187461853,1.1972426390647888,1.9508933610519552,102.83954296875,3.4575700323581695,6.809988622665405,1.1426748523712158,2,7,3,7,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,ca3c83d886b149db9d055032b0652347,2020-10-20_13-38-20,1603201100,96.86743569374084,870.6823146343231,359,d83e38022e39,192.168.99.4,870.6823146343231,0,9,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.365882873535156,150,68.30839419364929,1500.0,0.05678581491112709,0.0004444815352326259,0.186513709127903,0.01721178031216065,0.02108273073471807,0.02848365928977728,0.0003222958555367465,0.13331183781226477,0.013557723201811313,4,4,4,4,90.50046920776367,250,813.7666006088257,2250.0,102.98299264526368,3.8071027965545654,6.815723524093628,1.1972383894920349,1.9511798473115094,102.83954296875,3.4575700323581695,6.809988622665405,1.1426748523712158,3,8,4,8,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,ca3c83d886b149db9d055032b0652347,2020-10-20_13-39-57,1603201197,96.6446521282196,967.3269667625427,359,d83e38022e39,192.168.99.4,967.3269667625427,0,10,00038,"38_hypercubes=heat_para_5d,seed=2",188732,6.1916491985321045,150,74.5000433921814,1650.0,0.019176084448893866,0.00019856303406413646,0.10947813818852106,0.010907191845277945,0.014091239621273085,0.019176084448893866,0.00019856303406413646,0.10947813818852106,0.010907191845277945,0,0,0,0,90.45192241668701,250,904.2185230255127,2500.0,102.81764538574218,3.8030109500885008,6.812118204116821,1.1968109211921691,1.9501310084423817,102.81764538574218,3.4575700323581695,6.809988622665405,1.1426748523712158,0,9,5,9,11.402244091033936,150,11.402244091033936,150.0,102.2050362141927,0.8248813573519389,9.68593437830607,0.9074696882565816,0.9082297932527532
