lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,d9869605067d401bb645d2e2183a27f2,2020-10-20_13-54-47,1603202087,103.08157205581665,103.08157205581665,353,d83e38022e39,192.168.99.4,103.08157205581665,0,1,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.059122323989868,150,21.40858507156372,300.0,0.1496617799003919,0.0010130936186760664,0.29403014600276944,0.02370675753802061,0.03182913160417774,0.1496617799003919,0.0010130936186760664,0.29403014600276944,0.02370675753802061,0,0,0,0,95.01622152328491,250,95.01622152328491,250.0,192.9397197265625,4.241696791887283,9.174577396392822,1.2533347325325013,2.0595380044775293,192.9397197265625,4.241696791887283,9.174577396392822,1.2533347325325013,0,0,0,0,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,d9869605067d401bb645d2e2183a27f2,2020-10-20_13-56-30,1603202190,103.14991784095764,206.2314898967743,353,d83e38022e39,192.168.99.4,206.2314898967743,0,2,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.255206823348999,150,29.66379189491272,450.0,0.07742324486374855,0.0004963902900150666,0.21379637797673542,0.016886157902578514,0.022279817997799413,0.07742324486374855,0.0004963902900150666,0.21379637797673542,0.016886157902578514,0,0,0,0,94.89367341995239,250,189.9098949432373,500.0,185.12112353515624,4.660160406112671,9.083036754608154,1.3138687496185302,2.1587404675209734,185.12112353515624,4.241696791887283,9.083036754608154,1.2533347325325013,0,1,0,1,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,d9869605067d401bb645d2e2183a27f2,2020-10-20_13-58-14,1603202294,103.48681426048279,309.7183041572571,353,d83e38022e39,192.168.99.4,309.7183041572571,0,3,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.426061391830444,150,38.089853286743164,600.0,0.06129037405053774,0.00040910334384534506,0.19565892994403838,0.015526041928678751,0.02022630326691818,0.06129037405053774,0.00040910334384534506,0.19565892994403838,0.015526041928678751,0,0,0,0,95.05972790718079,250,284.9696228504181,750.0,184.80487817382811,4.6505495624542235,9.074621673583984,1.3130451793670654,2.1565132882628437,184.80487817382811,4.241696791887283,9.074621673583984,1.2533347325325013,0,2,0,2,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,d9869605067d401bb645d2e2183a27f2,2020-10-20_13-59-57,1603202397,103.66165471076965,413.37995886802673,353,d83e38022e39,192.168.99.4,413.37995886802673,0,4,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.43462610244751,150,46.524479389190674,750.0,0.050740211109320324,0.0003529981201669822,0.17808068682750067,0.014251021842161815,0.01878824420128135,0.050740211109320324,0.0003529981201669822,0.17808068682750067,0.014251021842161815,0,0,0,0,95.22601962089539,250,380.1956424713135,1000.0,184.97358782958983,4.657008869171142,9.080907363891601,1.3136114106178283,2.1580103959831014,184.80487817382811,4.241696791887283,9.074621673583984,1.2533347325325013,1,3,1,3,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,d9869605067d401bb645d2e2183a27f2,2020-10-20_14-01-41,1603202501,103.38589525222778,516.7658541202545,353,d83e38022e39,192.168.99.4,516.7658541202545,0,5,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.330859661102295,150,54.85533905029297,900.0,0.04977884866297245,0.0003557415056275204,0.17669435252745946,0.014251603074371814,0.018861110933015596,0.04977884866297245,0.0003529981201669822,0.17669435252745946,0.014251021842161815,0,1,0,1,95.05406451225281,250,475.2497069835663,1250.0,184.79019342041016,4.65044482421875,9.073697204589843,1.3127902417182922,2.156489003964256,184.79019342041016,4.241696791887283,9.073697204589843,1.2533347325325013,0,4,0,4,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,d9869605067d401bb645d2e2183a27f2,2020-10-20_14-03-25,1603202605,103.90287947654724,620.6687335968018,353,d83e38022e39,192.168.99.4,620.6687335968018,0,6,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.51040005683899,150,63.36573910713196,1050.0,0.07980194523930549,0.0008090365255096307,0.22579409658908844,0.01999317859609922,0.02844356738367448,0.04977884866297245,0.0003529981201669822,0.17669435252745946,0.014251021842161815,1,2,1,2,95.39161849021912,250,570.6413254737854,1500.0,184.69981427001954,4.652204126358032,9.0739517288208,1.3129347805976868,2.156896874298359,184.69981427001954,4.241696791887283,9.073697204589843,1.2533347325325013,0,5,1,5,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,d9869605067d401bb645d2e2183a27f2,2020-10-20_14-05-08,1603202708,103.59720802307129,724.265941619873,353,d83e38022e39,192.168.99.4,724.265941619873,0,7,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.337347507476807,150,71.70308661460876,1200.0,0.05273807334403197,0.00036495436759044725,0.1824386711915334,0.014596359009544055,0.01910377888247368,0.04977884866297245,0.0003529981201669822,0.17669435252745946,0.014251021842161815,2,3,2,3,95.25876998901367,250,665.9000954627991,1750.0,185.23736566162108,4.662928781509399,9.08463147354126,1.314461006641388,2.1593815738561353,184.69981427001954,4.241696791887283,9.073697204589843,1.2533347325325013,1,6,2,6,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,d9869605067d401bb645d2e2183a27f2,2020-10-20_14-06-52,1603202812,103.75184273719788,828.0177843570709,353,d83e38022e39,192.168.99.4,828.0177843570709,0,8,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.384958267211914,150,80.08804488182068,1350.0,0.07309045180678368,0.0006584216565048942,0.21864572733640672,0.018938592486083507,0.025659728301462865,0.04977884866297245,0.0003529981201669822,0.17669435252745946,0.014251021842161815,3,4,3,4,95.36592984199524,250,761.2660253047943,2000.0,185.06748522949218,4.656971897125244,9.07995149230957,1.313825047492981,2.158001829731672,184.69981427001954,4.241696791887283,9.073697204589843,1.2533347325325013,2,7,3,7,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,d9869605067d401bb645d2e2183a27f2,2020-10-20_14-08-36,1603202916,103.59231877326965,931.6101031303406,353,d83e38022e39,192.168.99.4,931.6101031303406,0,9,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.360126972198486,150,88.44817185401917,1500.0,0.050225728477040925,0.00029691610233082127,0.17476043065388996,0.013437934319178264,0.017231253649424967,0.04977884866297245,0.00029691610233082127,0.17476043065388996,0.013437934319178264,4,0,0,0,95.2312536239624,250,856.4972789287567,2250.0,185.1261177368164,4.659939218521118,9.082416255950928,1.3138221459388733,2.1586892362081946,184.69981427001954,4.241696791887283,9.073697204589843,1.2533347325325013,3,8,4,8,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,d9869605067d401bb645d2e2183a27f2,2020-10-20_14-10-20,1603203020,103.96004819869995,1035.5701513290405,353,d83e38022e39,192.168.99.4,1035.5701513290405,0,10,00039,"39_hypercubes=heat_para_6d,seed=2",360860,8.48942255973816,150,96.93759441375732,1650.0,0.06287709819773833,0.0005733603922029336,0.20219198147455852,0.017567792447904747,0.02394494502401151,0.04977884866297245,0.00029691610233082127,0.17476043065388996,0.013437934319178264,5,1,1,1,95.46963477134705,250,951.9669137001038,2500.0,184.48444995117188,4.645550901412964,9.069092666625977,1.3123503770828246,2.15535400837379,184.48444995117188,4.241696791887283,9.069092666625977,1.2533347325325013,0,9,0,9,13.349462747573853,150,13.349462747573853,150.0,173.6601109822591,0.8591595772902171,12.592250200907388,0.926427686214447,0.926908613235532
