lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-15-55,1603145755,87.74105978012085,87.74105978012085,415,d83e38022e39,192.168.99.4,87.74105978012085,0,1,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.0624589920043945,150,15.04494047164917,300.0,0.04202176841596762,0.0007872794518092027,0.15888741135597229,0.02100556532541911,0.028058500526742386,0.04202176841596762,0.0007872794518092027,0.15888741135597229,0.02100556532541911,0,0,0,0,82.67713975906372,250,82.67713975906372,250.0,54.29541584777832,2.475778972864151,4.922628410339356,0.9869160559177399,1.5734608266061634,54.29541584777832,2.475778972864151,4.922628410339356,0.9869160559177399,0,0,0,0,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-17-23,1603145843,87.61527943611145,175.3563392162323,415,d83e38022e39,192.168.99.4,175.3563392162323,0,2,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.012147426605225,150,20.057087898254395,450.0,0.024557780288159848,0.0004496176201306904,0.12277397041519483,0.01619967463115851,0.021204188740215704,0.024557780288159848,0.0004496176201306904,0.12277397041519483,0.01619967463115851,0,0,0,0,82.60189890861511,250,165.27903866767883,500.0,50.78423989868164,2.7890496311187745,4.81344136428833,1.0391863989830017,1.670044799135273,50.78423989868164,2.475778972864151,4.81344136428833,0.9869160559177399,0,1,0,1,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-18-51,1603145931,87.7440619468689,263.1004011631012,415,d83e38022e39,192.168.99.4,263.1004011631012,0,3,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.231991767883301,150,25.289079666137695,600.0,0.019698144358893235,0.0003724161203717813,0.11065427273511887,0.014700616554667553,0.019298085925080272,0.019698144358893235,0.0003724161203717813,0.11065427273511887,0.014700616554667553,0,0,0,0,82.51110339164734,250,247.79014205932617,750.0,50.813034759521486,2.7912581815719606,4.814634494781494,1.0391197638511658,1.6707058931996261,50.78423989868164,2.475778972864151,4.81344136428833,0.9869160559177399,1,2,1,2,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-20-18,1603146018,87.68871235847473,350.7891135215759,415,d83e38022e39,192.168.99.4,350.7891135215759,0,4,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.099764585494995,150,30.38884425163269,750.0,0.017644561529159546,0.00033848024710702397,0.10434825231631596,0.013952879744271438,0.018397832674177248,0.017644561529159546,0.00033848024710702397,0.10434825231631596,0.013952879744271438,0,0,0,0,82.58809328079224,250,330.3782353401184,1000.0,50.76764517211914,2.789494442939758,4.812407581329346,1.0391174540519714,1.6701779674453134,50.76764517211914,2.475778972864151,4.812407581329346,0.9869160559177399,0,3,0,3,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-21-46,1603146106,87.58956217765808,438.378675699234,415,d83e38022e39,192.168.99.4,438.378675699234,0,5,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.0800886154174805,150,35.46893286705017,900.0,0.016005516735215983,0.00033109200245235116,0.09838197380304337,0.013219199180603027,0.01819593367904904,0.016005516735215983,0.00033109200245235116,0.09838197380304337,0.013219199180603027,0,0,0,0,82.50847840309143,250,412.88671374320984,1250.0,50.819590744018555,2.789279556274414,4.814778425216675,1.03904554271698,1.6701136357369262,50.76764517211914,2.475778972864151,4.812407581329346,0.9869160559177399,1,4,1,4,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-23-14,1603146194,87.64180421829224,526.0204799175262,415,d83e38022e39,192.168.99.4,526.0204799175262,0,6,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.016412973403931,150,40.4853458404541,1050.0,0.014564242735505105,0.0002703267465888833,0.09537499810258547,0.012628477762142817,0.016441616300987057,0.014564242735505105,0.0002703267465888833,0.09537499810258547,0.012628477762142817,0,0,0,0,82.62448382377625,250,495.5111975669861,1500.0,50.80800370788574,2.7899779396057127,4.814902866363526,1.0393306112289429,1.670322705229655,50.76764517211914,2.475778972864151,4.812407581329346,0.9869160559177399,2,5,2,5,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-24-41,1603146281,87.64145421981812,613.6619341373444,415,d83e38022e39,192.168.99.4,613.6619341373444,0,7,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.130435228347778,150,45.61578106880188,1200.0,0.019248233102262022,0.000344927535043098,0.10984981879591942,0.014425542404254277,0.018572224827497055,0.014564242735505105,0.0002703267465888833,0.09537499810258547,0.012628477762142817,1,1,1,1,82.51007318496704,250,578.0212707519531,1750.0,50.83005973815918,2.7919317207336425,4.814341003417969,1.0393294668197632,1.670907454269578,50.76764517211914,2.475778972864151,4.812407581329346,0.9869160559177399,3,6,3,6,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-26-09,1603146369,87.4895441532135,701.1514782905579,415,d83e38022e39,192.168.99.4,701.1514782905579,0,8,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.149573802947998,150,50.76535487174988,1350.0,0.014979619607329369,0.00033216733175019423,0.09452604338526725,0.01289100019261241,0.01822545834129266,0.014564242735505105,0.0002703267465888833,0.09452604338526725,0.012628477762142817,2,2,0,2,82.33894348144531,250,660.3602142333984,2000.0,50.794497787475585,2.790189817428589,4.813986452102661,1.0392521286010743,1.6703861282435835,50.76764517211914,2.475778972864151,4.812407581329346,0.9869160559177399,4,7,4,7,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-27-36,1603146456,87.32922983169556,788.4807081222534,415,d83e38022e39,192.168.99.4,788.4807081222534,0,9,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.040980339050293,150,55.80633521080017,1500.0,0.015412189482400815,0.00034063613837740075,0.09350473230083783,0.012710197443763414,0.01845633057726808,0.014564242735505105,0.0002703267465888833,0.09350473230083783,0.012628477762142817,3,3,0,3,82.28744888305664,250,742.6476631164551,2250.0,50.783917190551755,2.7888578805923463,4.814187051773072,1.0391208386421205,1.6699873893512929,50.76764517211914,2.475778972864151,4.812407581329346,0.9869160559177399,5,8,5,8,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,5271cce422eb479c9dcee5b09bc649ae,2020-10-19_22-29-04,1603146544,87.63459277153015,876.1153008937836,415,d83e38022e39,192.168.99.4,876.1153008937836,0,10,00003,"3_hypercubes=heat_para_4d,seed=0",87532,5.141883611679077,150,60.94821882247925,1650.0,0.012400221483161052,0.00021216303100421403,0.08707640772064527,0.011298851538449527,0.014565817210311752,0.012400221483161052,0.00021216303100421403,0.08707640772064527,0.011298851538449527,0,0,0,0,82.49172067642212,250,825.1393837928772,2500.0,50.817838638305666,2.7908855094909666,4.815125413894654,1.039340516090393,1.670594358152501,50.76764517211914,2.475778972864151,4.812407581329346,0.9869160559177399,6,9,6,9,9.982481479644775,150,9.982481479644775,150.0,50.65500879923503,0.7149406472841898,6.8250129095713294,0.8440061167875925,0.8455416295394271
