lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,e75d249b620e43af98a91702a186911a,2020-10-20_14-18-21,1603203501,117.19039368629456,117.19039368629456,355,d83e38022e39,192.168.99.4,117.19039368629456,0,1,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.556527376174927,150,25.751501321792603,300.0,0.17726711670557657,0.000836255926794062,0.3342357716957728,0.021957235299050807,0.028918089957569153,0.17726711670557657,0.000836255926794062,0.3342357716957728,0.021957235299050807,0,0,0,0,106.62708401679993,250,106.62708401679993,250.0,318.89123168945315,4.832201204776764,11.716444763183594,1.332405754327774,2.198226831966338,318.89123168945315,4.832201204776764,11.716444763183594,1.332405754327774,0,0,0,0,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,e75d249b620e43af98a91702a186911a,2020-10-20_14-20-19,1603203619,117.38472318649292,234.57511687278748,355,d83e38022e39,192.168.99.4,234.57511687278748,0,2,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.353260040283203,150,36.104761362075806,450.0,0.12826135913530987,0.000562970241298899,0.28379222969214124,0.01822597723454237,0.02372699393726266,0.12826135913530987,0.000562970241298899,0.28379222969214124,0.01822597723454237,0,0,0,0,107.0252366065979,250,213.65232062339783,500.0,306.352265625,5.313502296447754,11.611720188140868,1.3980617170333862,2.305103532696038,306.352265625,4.832201204776764,11.611720188140868,1.332405754327774,0,1,0,1,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,e75d249b620e43af98a91702a186911a,2020-10-20_14-22-16,1603203736,117.42992401123047,352.00504088401794,355,d83e38022e39,192.168.99.4,352.00504088401794,0,3,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.50005030632019,150,46.604811668395996,600.0,0.10781218618154526,0.0004447997966781259,0.25714153110980986,0.016266935740907987,0.021090277302068028,0.10781218618154526,0.0004447997966781259,0.25714153110980986,0.016266935740907987,0,0,0,0,106.92365193367004,250,320.57597255706787,750.0,306.04156616210935,5.30685629272461,11.602777629852294,1.3971704921722412,2.3036614969922575,306.04156616210935,4.832201204776764,11.602777629852294,1.332405754327774,0,2,0,2,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,e75d249b620e43af98a91702a186911a,2020-10-20_14-24-14,1603203854,117.83663249015808,469.841673374176,355,d83e38022e39,192.168.99.4,469.841673374176,0,4,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.996930360794067,150,57.60174202919006,750.0,0.10694037944078445,0.0005344728729687631,0.2609047778447469,0.017342798163493475,0.023118669359821795,0.10694037944078445,0.0004447997966781259,0.25714153110980986,0.016266935740907987,0,1,1,1,106.83346343040466,250,427.40943598747253,1000.0,306.2817233886719,5.311371730804443,11.606541156768799,1.3975779886245727,2.3046413453733843,306.04156616210935,4.832201204776764,11.602777629852294,1.332405754327774,1,3,1,3,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,e75d249b620e43af98a91702a186911a,2020-10-20_14-26-11,1603203971,117.00901651382446,586.8506898880005,355,d83e38022e39,192.168.99.4,586.8506898880005,0,5,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.34035348892212,150,67.94209551811218,900.0,0.09421415194869041,0.000480754438516063,0.24267339487870535,0.016134452000260355,0.021926113164810197,0.09421415194869041,0.0004447997966781259,0.24267339487870535,0.016134452000260355,0,2,0,0,106.66282367706299,250,534.0722596645355,1250.0,305.59329663085936,5.306360454559326,11.597346878051757,1.3969471564292908,2.303553874898377,305.59329663085936,4.832201204776764,11.597346878051757,1.332405754327774,0,4,0,4,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,e75d249b620e43af98a91702a186911a,2020-10-20_14-28-08,1603204088,117.37654399871826,704.2272338867188,355,d83e38022e39,192.168.99.4,704.2272338867188,0,6,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.53611946105957,150,78.47821497917175,1050.0,0.09406876499454181,0.0004364835930755362,0.24624763200680413,0.016053346743186314,0.020892189762577215,0.09406876499454181,0.0004364835930755362,0.24267339487870535,0.016053346743186314,0,0,1,0,106.8325924873352,250,640.9048521518707,1500.0,305.61332336425784,5.305183118820191,11.597671028137206,1.3967736468315124,2.3032983130328972,305.59329663085936,4.832201204776764,11.597346878051757,1.332405754327774,1,5,1,5,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,e75d249b620e43af98a91702a186911a,2020-10-20_14-30-05,1603204205,117.15424799919128,821.38148188591,355,d83e38022e39,192.168.99.4,821.38148188591,0,7,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.47335934638977,150,88.95157432556152,1200.0,0.08251114875078201,0.00033845876130120207,0.22586237440506618,0.014285170746346314,0.01839724874271156,0.08251114875078201,0.00033845876130120207,0.22586237440506618,0.014285170746346314,0,0,0,0,106.6723473072052,250,747.5771994590759,1750.0,306.3293798828125,5.309329778671264,11.607013927459716,1.3975550122261047,2.3041982941299266,305.59329663085936,4.832201204776764,11.597346878051757,1.332405754327774,2,6,2,6,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,e75d249b620e43af98a91702a186911a,2020-10-20_14-32-03,1603204323,117.29233264923096,938.673814535141,355,d83e38022e39,192.168.99.4,938.673814535141,0,8,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.504883050918579,150,99.4564573764801,1350.0,0.06894182567795118,0.000298817123984918,0.20708373407522837,0.013273732848465442,0.01728632766046386,0.06894182567795118,0.000298817123984918,0.20708373407522837,0.013273732848465442,0,0,0,0,106.78100562095642,250,854.3582050800323,2000.0,305.9130606689453,5.303984937667846,11.600218566894531,1.397173321247101,2.3030381971795095,305.59329663085936,4.832201204776764,11.597346878051757,1.332405754327774,3,7,3,7,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,e75d249b620e43af98a91702a186911a,2020-10-20_14-34-00,1603204440,117.17469215393066,1055.8485066890717,355,d83e38022e39,192.168.99.4,1055.8485066890717,0,9,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.462149620056152,150,109.91860699653625,1500.0,0.14107903818289438,0.0006205127395999928,0.3093379360437393,0.01995187431573868,0.024910093127083907,0.06894182567795118,0.000298817123984918,0.20708373407522837,0.013273732848465442,1,1,1,1,106.70653676986694,250,961.0647418498993,2250.0,306.2897911376953,5.30952354812622,11.606372856140137,1.3973992958068848,2.3042403407904786,305.59329663085936,4.832201204776764,11.597346878051757,1.332405754327774,4,8,4,8,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,e75d249b620e43af98a91702a186911a,2020-10-20_14-35-57,1603204557,117.33758926391602,1173.1860959529877,355,d83e38022e39,192.168.99.4,1173.1860959529877,0,10,00040,"40_hypercubes=heat_para_7d,seed=2",631564,10.566141605377197,150,120.48474860191345,1650.0,0.14349522491296132,0.0005136553461973866,0.30605208516120913,0.01861729217072328,0.022663965809129404,0.06894182567795118,0.000298817123984918,0.20708373407522837,0.013273732848465442,2,2,2,2,106.76549434661865,250,1067.830236196518,2500.0,305.7071026611328,5.303013286590576,11.596335453033447,1.3969083027839662,2.3028272376777585,305.59329663085936,4.832201204776764,11.596335453033447,1.332405754327774,5,9,0,9,15.194973945617676,150,15.194973945617676,150.0,273.41149169921874,0.8732742277781168,15.741860389709473,0.9341932320594788,0.9344914273432993
