lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-24-49,1603203889,121.69248938560486,121.69248938560486,403,d83e38022e39,192.168.99.4,121.69248938560486,0,1,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.591715335845947,150,35.773250579833984,300.0,0.26450822710990907,0.0008787085115909576,0.4081348611911138,0.022189699821174146,0.029643017923129178,0.26450822710990907,0.0008787085115909576,0.4081348611911138,0.022189699821174146,0,0,0,0,106.09536409378052,250,106.09536409378052,250.0,496.68477795410155,5.23765976858139,14.529918228149414,1.386651175260544,2.288593403945181,496.68477795410155,5.23765976858139,14.529918228149414,1.386651175260544,0,0,0,0,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-26-50,1603204010,121.70347476005554,243.3959641456604,403,d83e38022e39,192.168.99.4,243.3959641456604,0,2,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.551011323928833,150,51.32426190376282,450.0,0.21541445602973303,0.0008147682055520515,0.37057094514369965,0.020984902940690518,0.028544144855855318,0.21541445602973303,0.0008147682055520515,0.37057094514369965,0.020984902940690518,0,0,0,0,106.14664196968079,250,212.2420060634613,500.0,475.8205762939453,5.773965938568115,14.389503299713136,1.4569044523239136,2.4029078090031075,475.8205762939453,5.23765976858139,14.389503299713136,1.386651175260544,0,1,0,1,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-28-52,1603204132,121.79539489746094,365.19135904312134,403,d83e38022e39,192.168.99.4,365.19135904312134,0,3,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.675652980804443,150,66.99991488456726,600.0,0.1827913573384285,0.000594955785976102,0.3407296617825826,0.01852605938911438,0.02439171551933365,0.1827913573384285,0.000594955785976102,0.3407296617825826,0.01852605938911438,0,0,0,0,106.11418557167053,250,318.35619163513184,750.0,476.0081776123047,5.770409889221192,14.383855083465576,1.4565192580223083,2.4021677479354335,475.8205762939453,5.23765976858139,14.383855083465576,1.386651175260544,1,2,0,2,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-30-54,1603204254,121.72318506240845,486.9145441055298,403,d83e38022e39,192.168.99.4,486.9145441055298,0,4,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.52640151977539,150,82.52631640434265,750.0,0.15564892083406448,0.0004958168576316287,0.3128186188141505,0.016875355094671248,0.02226694540415521,0.15564892083406448,0.0004958168576316287,0.3128186188141505,0.016875355094671248,0,0,0,0,106.19035863876343,250,424.54655027389526,1000.0,475.5380255126953,5.769833209991455,14.38202360534668,1.4564898548126222,2.402047711847426,475.5380255126953,5.23765976858139,14.38202360534668,1.386651175260544,0,3,0,3,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-32-56,1603204376,121.91908574104309,608.8336298465729,403,d83e38022e39,192.168.99.4,608.8336298465729,0,5,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.775790214538574,150,98.30210661888123,900.0,0.14143450717131298,0.00042485699465032666,0.2974949735403061,0.015827152331670126,0.020612059447088896,0.14143450717131298,0.00042485699465032666,0.2974949735403061,0.015827152331670126,0,0,0,0,106.13784837722778,250,530.684398651123,1250.0,475.82460632324216,5.764980285644532,14.379431854248047,1.4558097858428956,2.4010373353291556,475.5380255126953,5.23765976858139,14.379431854248047,1.386651175260544,1,4,0,4,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-34-58,1603204498,121.83411598205566,730.6677458286285,403,d83e38022e39,192.168.99.4,730.6677458286285,0,6,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.717549085617065,150,114.01965570449829,1050.0,0.11509471038977305,0.000360896770337907,0.2680935710668564,0.014415656042595704,0.018997283235713126,0.11509471038977305,0.000360896770337907,0.2680935710668564,0.014415656042595704,0,0,0,0,106.1094536781311,250,636.7938523292542,1500.0,475.66606787109373,5.773664079666138,14.384231666564942,1.456702341079712,2.4028449970121124,475.5380255126953,5.23765976858139,14.379431854248047,1.386651175260544,2,5,1,5,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-36-59,1603204619,121.65266394615173,852.3204097747803,403,d83e38022e39,192.168.99.4,852.3204097747803,0,7,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.58390474319458,150,129.60356044769287,1200.0,0.1490084739526113,0.0005540541520652672,0.302233052055041,0.016719367715219657,0.02353835491416652,0.11509471038977305,0.000360896770337907,0.2680935710668564,0.014415656042595704,1,1,1,1,106.06368899345398,250,742.8575413227081,1750.0,475.72711950683595,5.768949577331543,14.38457698059082,1.4564798007011412,2.40186377160145,475.5380255126953,5.23765976858139,14.379431854248047,1.386651175260544,3,6,2,6,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-39-01,1603204741,121.69611263275146,974.0165224075317,403,d83e38022e39,192.168.99.4,974.0165224075317,0,8,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.584670305252075,150,145.18823075294495,1350.0,0.19047133406003317,0.0007033631694503129,0.3458255086342494,0.019285064389308295,0.02652099488047748,0.11509471038977305,0.000360896770337907,0.2680935710668564,0.014415656042595704,2,2,2,2,106.10517883300781,250,848.9627201557159,2000.0,475.35653161621093,5.7709568500518795,14.381622917175292,1.456661593914032,2.4022815925806618,475.35653161621093,5.23765976858139,14.379431854248047,1.386651175260544,0,7,3,7,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-41-03,1603204863,121.67381930351257,1095.6903417110443,403,d83e38022e39,192.168.99.4,1095.6903417110443,0,9,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.652730703353882,150,160.84096145629883,1500.0,0.12811413834492366,0.00038020527378345527,0.2819082327683767,0.014975161378582319,0.019498853140209434,0.11509471038977305,0.000360896770337907,0.2680935710668564,0.014415656042595704,3,3,3,3,106.0162398815155,250,954.9789600372314,2250.0,475.93086657714844,5.76978130531311,14.386838291168212,1.4565653266906737,2.4020369075668073,475.35653161621093,5.23765976858139,14.379431854248047,1.386651175260544,1,8,4,8,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,7d827c0982d543f1a96d5c177c0fe3bc,2020-10-20_14-43-05,1603204985,121.91963601112366,1217.609977722168,403,d83e38022e39,192.168.99.4,1217.609977722168,0,10,00041,"41_hypercubes=heat_para_8d,seed=2",1033100,15.739669561386108,150,176.58063101768494,1650.0,0.16487207253774008,0.0007608907176957777,0.3257912262280782,0.01943561031172673,0.027584247636935427,0.11509471038977305,0.000360896770337907,0.2680935710668564,0.014415656042595704,4,4,4,4,106.17466759681702,250,1061.1536276340485,2500.0,475.49770690917967,5.764403432846069,14.375250839233399,1.455952383995056,2.4009172065787836,475.35653161621093,5.23765976858139,14.375250839233399,1.386651175260544,2,9,0,9,20.181535243988037,150,20.181535243988037,150.0,421.29704020182294,0.9072876449426015,19.466057993570963,0.952291153271993,0.9525164801422605
