lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,caf89436e31b47258058cba100b9605f,2020-10-20_14-52-17,1603205537,131.9846441745758,131.9846441745758,364,d83e38022e39,192.168.99.4,131.9846441745758,0,1,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.216687440872192,150,43.27512216567993,300.0,0.5338926470279693,0.0012835045934965212,0.5855478727817536,0.027217852286994457,0.03582603234376535,0.5338926470279693,0.0012835045934965212,0.5855478727817536,0.027217852286994457,0,0,0,0,112.76165461540222,250,112.76165461540222,250.0,731.9157985839844,5.572412425518036,17.550688026428222,1.4318758873939514,2.360595777662503,731.9157985839844,5.572412425518036,17.550688026428222,1.4318758873939514,0,0,0,0,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,caf89436e31b47258058cba100b9605f,2020-10-20_14-54-29,1603205669,132.01965355873108,264.0042977333069,364,d83e38022e39,192.168.99.4,264.0042977333069,0,2,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.306424856185913,150,62.581547021865845,450.0,0.3936567338307699,0.0009226958593353629,0.5031081672509511,0.023169136519233385,0.03037590919355934,0.3936567338307699,0.0009226958593353629,0.5031081672509511,0.023169136519233385,0,0,0,0,112.7059075832367,250,225.46756219863892,500.0,706.4717446289062,6.078422222137451,17.426580200195314,1.4978639082908631,2.465445643719904,706.4717446289062,5.572412425518036,17.426580200195314,1.4318758873939514,0,1,0,1,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,caf89436e31b47258058cba100b9605f,2020-10-20_14-56-41,1603205801,132.24174046516418,396.24603819847107,364,d83e38022e39,192.168.99.4,396.24603819847107,0,3,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.45712423324585,150,82.0386712551117,600.0,0.40772329926490786,0.0010369773488491773,0.5076448837916057,0.023600890785455703,0.03220213267547939,0.3936567338307699,0.0009226958593353629,0.5031081672509511,0.023169136519233385,1,1,1,1,112.77720403671265,250,338.24476623535156,750.0,705.0461657714844,6.079019020080566,17.417663436889647,1.4979599895477296,2.4655666732174506,705.0461657714844,5.572412425518036,17.417663436889647,1.4318758873939514,0,2,0,2,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,caf89436e31b47258058cba100b9605f,2020-10-20_14-58-54,1603205934,132.23937439918518,528.4854125976562,364,d83e38022e39,192.168.99.4,528.4854125976562,0,4,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.437562465667725,150,101.47623372077942,750.0,0.24568224996328353,0.0006104665016755462,0.3936025160551071,0.018370032062133154,0.024707620315917642,0.24568224996328353,0.0006104665016755462,0.3936025160551071,0.018370032062133154,0,0,0,0,112.79400706291199,250,451.03877329826355,1000.0,705.2458608398438,6.071947587966919,17.419093505859376,1.4975343346595764,2.464132218036792,705.0461657714844,5.572412425518036,17.417663436889647,1.4318758873939514,1,3,1,3,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,caf89436e31b47258058cba100b9605f,2020-10-20_15-01-06,1603206066,132.23819375038147,660.7236063480377,364,d83e38022e39,192.168.99.4,660.7236063480377,0,5,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.56669592857361,150,121.04292964935303,900.0,0.25791492104530334,0.0005936388077680022,0.4008316719532013,0.0182234642530481,0.02436470413873319,0.24568224996328353,0.0005936388077680022,0.3936025160551071,0.0182234642530481,1,0,1,0,112.66410112380981,250,563.7028744220734,1250.0,704.1311713867187,6.071253688812256,17.407792388916015,1.4969700646400452,2.4639914141109047,704.1311713867187,5.572412425518036,17.407792388916015,1.4318758873939514,0,4,0,4,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,caf89436e31b47258058cba100b9605f,2020-10-20_15-03-18,1603206198,132.2375774383545,792.9611837863922,364,d83e38022e39,192.168.99.4,792.9611837863922,0,6,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.377915859222412,150,140.42084550857544,1050.0,0.21918737302223842,0.0004534816949550683,0.3695481006304423,0.01644629819939534,0.02129510964881534,0.21918737302223842,0.0004534816949550683,0.3695481006304423,0.01644629819939534,0,0,0,0,112.85397624969482,250,676.5568506717682,1500.0,705.9095698242188,6.079001317977905,17.420057739257814,1.4978847651481628,2.465563083349908,704.1311713867187,5.572412425518036,17.407792388916015,1.4318758873939514,1,5,1,5,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,caf89436e31b47258058cba100b9605f,2020-10-20_15-05-30,1603206330,132.15334010124207,925.1145238876343,364,d83e38022e39,192.168.99.4,925.1145238876343,0,7,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.25969648361206,150,159.6805419921875,1200.0,0.24934592455625534,0.00052477607736364,0.3925410860776901,0.017588685614367328,0.02290799156110461,0.21918737302223842,0.0004534816949550683,0.3695481006304423,0.01644629819939534,1,1,1,1,112.88747119903564,250,789.4443218708038,1750.0,706.1163098144531,6.083939867019653,17.426011505126954,1.498503092765808,2.4665643853383705,704.1311713867187,5.572412425518036,17.407792388916015,1.4318758873939514,2,6,2,6,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,caf89436e31b47258058cba100b9605f,2020-10-20_15-07-43,1603206463,132.39679336547852,1057.5113172531128,364,d83e38022e39,192.168.99.4,1057.5113172531128,0,8,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.6000919342041,150,179.2806339263916,1350.0,0.249602958659331,0.0005046295844173679,0.3897932630777359,0.01715502134213845,0.0224639619038443,0.21918737302223842,0.0004534816949550683,0.3695481006304423,0.01644629819939534,2,2,2,2,112.7911446094513,250,902.2354664802551,2000.0,706.0140593261718,6.080507787704468,17.42275025177002,1.4980591068267821,2.465868566591591,704.1311713867187,5.572412425518036,17.407792388916015,1.4318758873939514,3,7,3,7,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,caf89436e31b47258058cba100b9605f,2020-10-20_15-09-55,1603206595,132.10533142089844,1189.6166486740112,364,d83e38022e39,192.168.99.4,1189.6166486740112,0,9,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.348500967025757,150,198.62913489341736,1500.0,0.17429668217897415,0.0003620631234177078,0.327771227757136,0.014607925154268741,0.01902795636472051,0.17429668217897415,0.0003620631234177078,0.327771227757136,0.014607925154268741,0,0,0,0,112.75029182434082,250,1014.985758304596,2250.0,705.9920480957031,6.0720028305053715,17.419961112976075,1.4972233858108521,2.464143427340497,704.1311713867187,5.572412425518036,17.407792388916015,1.4318758873939514,4,8,4,8,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,caf89436e31b47258058cba100b9605f,2020-10-20_15-12-07,1603206727,132.22896146774292,1321.8456101417542,364,d83e38022e39,192.168.99.4,1321.8456101417542,0,10,00042,"42_hypercubes=heat_para_9d,seed=2",1602332,19.383579969406128,150,218.0127148628235,1650.0,0.17571852187315623,0.00037879883447506773,0.3298362100124359,0.014823726049313942,0.01946275505870296,0.17429668217897415,0.0003620631234177078,0.327771227757136,0.014607925154268741,1,1,1,1,112.83939957618713,250,1127.825157880783,2500.0,704.1963022460938,6.06304460144043,17.401796516418457,1.4963615736961364,2.4623250397623035,704.1311713867187,5.572412425518036,17.401796516418457,1.4318758873939514,5,9,0,9,24.05843472480774,150,24.05843472480774,150.0,599.8575325520833,0.8956616433461507,23.101429621378582,0.9460869197050731,0.9463940211910421
