lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-02-12,1603206132,141.93210554122925,141.93210554122925,339,d83e38022e39,192.168.99.4,141.93210554122925,0,1,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.68790340423584,150,53.06045436859131,300.0,0.7826599248250325,0.0014626068901270627,0.7043351153532664,0.028317400452991328,0.03824404385165176,0.7826599248250325,0.0014626068901270627,0.7043351153532664,0.028317400452991328,0,0,0,0,117.2351610660553,250,117.2351610660553,250.0,1049.0835266113281,5.699984209537506,20.894275077819824,1.4553915364742278,2.3874639703119094,1049.0835266113281,5.699984209537506,20.894275077819824,1.4553915364742278,0,0,0,0,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-04-34,1603206274,142.14982199668884,284.0819275379181,339,d83e38022e39,192.168.99.4,284.0819275379181,0,2,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.72387719154358,150,77.78433156013489,450.0,0.5822726543744405,0.001374159479358544,0.6065211502710978,0.025910403467714786,0.037069657124912066,0.5822726543744405,0.001374159479358544,0.6065211502710978,0.025910403467714786,0,0,0,0,117.41774439811707,250,234.65290546417236,500.0,1007.0983010253906,6.251033946990967,20.706847717285157,1.5250587759017944,2.5002067808465296,1007.0983010253906,5.699984209537506,20.706847717285157,1.4553915364742278,0,1,0,1,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-06-56,1603206416,141.91660499572754,425.99853253364563,339,d83e38022e39,192.168.99.4,425.99853253364563,0,3,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.56064796447754,150,102.34497952461243,600.0,0.5055321943759918,0.0010541811445727944,0.5692783256371816,0.023667405558129153,0.03246815585420266,0.5055321943759918,0.0010541811445727944,0.5692783256371816,0.023667405558129153,0,0,0,0,117.34649085998535,250,351.9993963241577,750.0,1005.170103515625,6.249628105163574,20.695094512939452,1.5251296620368957,2.499925619926236,1005.170103515625,5.699984209537506,20.695094512939452,1.4553915364742278,0,2,0,2,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-09-18,1603206558,142.02233338356018,568.0208659172058,339,d83e38022e39,192.168.99.4,568.0208659172058,0,4,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.532840251922607,150,126.87781977653503,750.0,0.33871769964694975,0.0006376365719673534,0.46293250620365145,0.018597500585019588,0.025251466729030878,0.33871769964694975,0.0006376365719673534,0.46293250620365145,0.018597500585019588,0,0,0,0,117.47834300994873,250,469.47773933410645,1000.0,1005.8778342285157,6.246679334640503,20.697141510009764,1.524614100933075,2.499335778690111,1005.170103515625,5.699984209537506,20.695094512939452,1.4553915364742278,1,3,1,3,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-11-40,1603206700,142.12193989753723,710.142805814743,339,d83e38022e39,192.168.99.4,710.142805814743,0,5,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.6556613445282,150,151.53348112106323,900.0,0.3410949250062307,0.0007591388242629667,0.4626742446422577,0.019214713536202906,0.027552474013470492,0.33871769964694975,0.0006376365719673534,0.4626742446422577,0.018597500585019588,1,1,0,1,117.457190990448,250,586.9349303245544,1250.0,1006.0833400878906,6.25366921043396,20.69427141571045,1.5250980625152588,2.5007337344135543,1005.170103515625,5.699984209537506,20.69427141571045,1.4553915364742278,2,4,0,4,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-14-02,1603206842,142.1517152786255,852.2945210933685,339,d83e38022e39,192.168.99.4,852.2945210933685,0,6,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.701045036315918,150,176.23452615737915,1050.0,0.2975635103384654,0.0005015680081366251,0.43299188176790876,0.016937480891744294,0.022395714057306258,0.2975635103384654,0.0005015680081366251,0.43299188176790876,0.016937480891744294,0,0,0,0,117.44049572944641,250,704.3754260540009,1500.0,1006.6617729492187,6.257578142166138,20.70269736480713,1.5255322847366333,2.5015151692856348,1005.170103515625,5.699984209537506,20.69427141571045,1.4553915364742278,3,5,1,5,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-16-24,1603206984,142.02518391609192,994.3197050094604,339,d83e38022e39,192.168.99.4,994.3197050094604,0,7,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.610896348953247,150,200.8454225063324,1200.0,0.34118411004543303,0.0005628089630044996,0.4593605798482895,0.017880928913752238,0.023723595069139493,0.2975635103384654,0.0005015680081366251,0.43299188176790876,0.016937480891744294,1,1,1,1,117.40525603294373,250,821.7806820869446,1750.0,1007.7556215820313,6.263001438140869,20.71465505218506,1.5261543889045714,2.5025989367337447,1005.170103515625,5.699984209537506,20.69427141571045,1.4553915364742278,4,6,2,6,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-18-46,1603207126,142.0260088443756,1136.345713853836,339,d83e38022e39,192.168.99.4,1136.345713853836,0,8,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.660470724105835,150,225.50589323043823,1350.0,0.42762344201405844,0.000611299976784115,0.5144711085160574,0.01918014691521724,0.024724481324875452,0.2975635103384654,0.0005015680081366251,0.43299188176790876,0.016937480891744294,2,2,2,2,117.35741639137268,250,939.1380984783173,2000.0,1006.8974641113281,6.251856046676636,20.701373474121095,1.5253086414337158,2.5003711817801446,1005.170103515625,5.699984209537506,20.69427141571045,1.4553915364742278,5,7,3,7,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-21-08,1603207268,142.07880926132202,1278.424523115158,339,d83e38022e39,192.168.99.4,1278.424523115158,0,9,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.654452323913574,150,250.1603455543518,1500.0,0.48033228198687233,0.0007412427931558341,0.5602763565381368,0.02134893390039603,0.027225774427109214,0.2975635103384654,0.0005015680081366251,0.43299188176790876,0.016937480891744294,3,3,3,3,117.41469478607178,250,1056.552793264389,2250.0,1007.5707846679687,6.251970279693603,20.705788902282716,1.5251670498847962,2.500394024887598,1005.170103515625,5.699984209537506,20.69427141571045,1.4553915364742278,6,8,4,8,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,25fca9b0d00744b798e8a50e95c6fd89,2020-10-20_15-23-30,1603207410,142.21617889404297,1420.640702009201,339,d83e38022e39,192.168.99.4,1420.640702009201,0,10,00043,"43_hypercubes=heat_para_10d,seed=2",2380732,24.70662784576416,150,274.86697340011597,1650.0,0.41760181764761606,0.0006488308807214102,0.5173244865735372,0.0198319544394811,0.025472158933263003,0.2975635103384654,0.0005015680081366251,0.43299188176790876,0.016937480891744294,4,4,4,4,117.50118684768677,250,1174.0539801120758,2500.0,1005.0102946777344,6.246502088546753,20.68596816253662,1.5247202262878419,2.499300319798874,1005.0102946777344,5.699984209537506,20.68596816253662,1.4553915364742278,0,9,0,9,28.37255096435547,150,28.37255096435547,150.0,867.703076171875,0.9386644009749094,27.728346735636393,0.9687250606218973,0.9688469440396195
