lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-00-52,1603209652,175.74995946884155,175.74995946884155,390,d83e38022e39,192.168.99.4,175.74995946884155,0,1,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,35.824779748916626,150,76.21464705467224,300.0,1.884941136042277,0.0019358296102533737,1.093264091014862,0.03302483230829239,0.043998063710274496,1.884941136042277,0.0019358296102533737,1.093264091014862,0.03302483230829239,0,0,0,0,139.91293573379517,250,139.91293573379517,250.0,1944.6177153320311,5.844663016796112,28.21890158843994,1.4882006528377534,2.4175737872495455,1944.6177153320311,5.844663016796112,28.21890158843994,1.4882006528377534,0,0,0,0,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-03-48,1603209828,176.19753575325012,351.9474952220917,390,d83e38022e39,192.168.99.4,351.9474952220917,0,2,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.192912578582764,150,112.407559633255,450.0,1.2930969405174255,0.0016172242102523646,0.9114444609483083,0.029026124825080237,0.04021472628593119,1.2930969405174255,0.0016172242102523646,0.9114444609483083,0.029026124825080237,0,0,0,0,139.99355697631836,250,279.9064927101135,500.0,1872.7703203125,6.355530490875244,28.002122245788573,1.5542427320480348,2.521017749020273,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,0,1,0,1,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-06-44,1603210004,175.82979130744934,527.777286529541,390,d83e38022e39,192.168.99.4,527.777286529541,0,3,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,35.96116924285889,150,148.3687288761139,600.0,1.0308319568634032,0.0010176888441977402,0.8079247184594472,0.024105637930333615,0.031901235778535916,1.0308319568634032,0.0010176888441977402,0.8079247184594472,0.024105637930333615,0,0,0,0,139.8576259613037,250,419.76411867141724,750.0,1876.9120532226561,6.358400867462159,28.01846238708496,1.5546436667442323,2.5215869740031094,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,1,2,1,2,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-09-40,1603210180,175.91569590568542,703.6929824352264,390,d83e38022e39,192.168.99.4,703.6929824352264,0,4,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,35.98671221733093,150,184.35544109344482,750.0,0.8912497063477834,0.0008272741820352773,0.7451490084330241,0.02180047335724036,0.02876237441581062,0.8912497063477834,0.0008272741820352773,0.7451490084330241,0.02180047335724036,0,0,0,0,139.91751289367676,250,559.681631565094,1000.0,1876.6855541992188,6.356712860107422,28.025685562133788,1.5544300956726074,2.521252240476431,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,2,3,2,3,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-12-36,1603210356,176.1547496318817,879.8477320671082,390,d83e38022e39,192.168.99.4,879.8477320671082,0,5,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.150352239608765,150,220.5057933330536,900.0,0.6884940878550212,0.000706317228032276,0.6584391446908315,0.019806059102217357,0.026576629357995644,0.6884940878550212,0.000706317228032276,0.6584391446908315,0.019806059102217357,0,0,0,0,139.9935519695282,250,699.6751835346222,1250.0,1875.2207797851563,6.3499188766479495,28.015834495544432,1.5541342391967774,2.5199045372092868,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,3,4,3,4,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-15-33,1603210533,176.4114272594452,1056.2591593265533,390,d83e38022e39,192.168.99.4,1056.2591593265533,0,6,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.37902641296387,150,256.88481974601746,1050.0,0.5950622459252676,0.0006217790534719825,0.6123736011981964,0.01850972671061754,0.02493549785891556,0.5950622459252676,0.0006217790534719825,0.6123736011981964,0.01850972671061754,0,0,0,0,140.01947474479675,250,839.694658279419,1500.0,1875.6901943359376,6.355781761169434,28.014823486328126,1.554446138381958,2.5210675836179863,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,4,5,4,5,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-18-29,1603210709,176.23782682418823,1232.4969861507416,390,d83e38022e39,192.168.99.4,1232.4969861507416,0,7,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.344632625579834,150,293.2294523715973,1200.0,0.6860404332478841,0.0008253697868591795,0.6545162371794383,0.02046685074766477,0.028729249674489928,0.5950622459252676,0.0006217790534719825,0.6123736011981964,0.01850972671061754,1,1,1,1,139.88170504570007,250,979.576363325119,1750.0,1878.3339184570314,6.358543853759766,28.027347007751466,1.5545850882530212,2.5216153262858643,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,5,6,5,6,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-21-25,1603210885,175.9977638721466,1408.4947500228882,390,d83e38022e39,192.168.99.4,1408.4947500228882,0,8,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.09708070755005,150,329.32653307914734,1350.0,0.6418500983715058,0.0007276483407864968,0.635173655351003,0.01945713724941015,0.026974957660513516,0.5950622459252676,0.0006217790534719825,0.6123736011981964,0.01850972671061754,2,2,2,2,139.88934445381165,250,1119.4657077789307,2000.0,1879.5034174804687,6.356483137130737,28.032738151550294,1.554533058166504,2.5212066827475166,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,6,7,6,7,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-24-21,1603211061,175.75577020645142,1584.2505202293396,390,d83e38022e39,192.168.99.4,1584.2505202293396,0,9,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,35.82405209541321,150,365.15058517456055,1500.0,0.6327550144990285,0.0006153108594783893,0.6271251861254374,0.01865186115105947,0.024805460275479453,0.5950622459252676,0.0006153108594783893,0.6123736011981964,0.01850972671061754,3,0,3,3,139.91925573349,250,1259.3849635124207,2250.0,1875.3517690429687,6.353116275787354,28.014963760375977,1.5543460054397582,2.520538885989929,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,7,8,7,8,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-27-17,1603211237,175.9155080318451,1760.1660282611847,390,d83e38022e39,192.168.99.4,1760.1660282611847,0,10,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.03870987892151,150,401.18929505348206,1650.0,0.759274617433548,0.0006963471602648496,0.6913975675900778,0.02018954520424207,0.0263883906342325,0.5950622459252676,0.0006153108594783893,0.6123736011981964,0.01850972671061754,4,1,4,4,139.86543607711792,250,1399.2503995895386,2500.0,1876.6955048828124,6.365110202789307,28.027694793701173,1.5551164226531982,2.5229170027548085,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,8,9,8,9,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",10,False,,,11,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-30-12,1603211412,175.90342807769775,1936.0694563388824,390,d83e38022e39,192.168.99.4,1936.0694563388824,0,11,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.016613245010376,150,437.20590829849243,1800.0,0.5669573918978373,0.0006536668791280438,0.5946999792257944,0.018334209509193896,0.02556690984706685,0.5669573918978373,0.0006153108594783893,0.5946999792257944,0.018334209509193896,0,2,0,0,139.87583804130554,250,1539.1262376308441,2750.0,1878.1039775390625,6.36849836730957,28.02733630371094,1.5554790439605712,2.5235883910236967,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,9,10,9,10,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",11,False,,,12,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-33-08,1603211588,175.64148211479187,2111.7109384536743,390,d83e38022e39,192.168.99.4,2111.7109384536743,0,12,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,35.81919860839844,150,473.02510690689087,1950.0,0.8859104379018148,0.0006475062528625131,0.732489359776179,0.02012707743793726,0.0254461441649322,0.5669573918978373,0.0006153108594783893,0.5946999792257944,0.018334209509193896,1,3,1,1,139.81138253211975,250,1678.9376201629639,3000.0,1874.977892578125,6.359932960510254,28.012374610900878,1.5544821333885193,2.52189075110526,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,10,11,10,11,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",12,False,,,13,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-36-04,1603211764,176.26791214942932,2287.9788506031036,390,d83e38022e39,192.168.99.4,2287.9788506031036,0,13,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.383829832077026,150,509.4089367389679,2100.0,0.44609915137290956,0.00041880180438359576,0.523056966861089,0.015339968961973986,0.02046464767308726,0.44609915137290956,0.00041880180438359576,0.523056966861089,0.015339968961973986,0,0,0,0,139.87349462509155,250,1818.8111147880554,3250.0,1875.2717094726563,6.355828296661377,28.01188126373291,1.5541479420661926,2.5210768129236714,1872.7703203125,5.844663016796112,28.002122245788573,1.4882006528377534,11,12,11,12,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",13,False,,,14,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-39-01,1603211941,176.10423016548157,2464.083080768585,390,d83e38022e39,192.168.99.4,2464.083080768585,0,14,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.18995952606201,150,545.5988962650299,2250.0,0.7265985929965972,0.000589748442483445,0.6736297269662221,0.019100029890735944,0.024284736821374966,0.44609915137290956,0.00041880180438359576,0.523056966861089,0.015339968961973986,1,1,1,1,139.90258812904358,250,1958.713702917099,3500.0,1872.63221875,6.349882125854492,27.994029655456544,1.5535500326156617,2.5198972450983974,1872.63221875,5.844663016796112,27.994029655456544,1.4882006528377534,0,13,0,13,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",14,False,,,15,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-41-57,1603212117,176.10506558418274,2640.188146352768,390,d83e38022e39,192.168.99.4,2640.188146352768,0,15,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.02298712730408,150,581.621883392334,2400.0,0.6977604603767396,0.0010432779331070682,0.6653126986821493,0.02196459636092186,0.03229981320545164,0.44609915137290956,0.00041880180438359576,0.523056966861089,0.015339968961973986,2,2,2,2,140.07168245315552,250,2098.7853853702545,3750.0,1876.2993374023438,6.354457176208496,28.007265663146974,1.5541784591674805,2.5208048667456384,1872.63221875,5.844663016796112,27.994029655456544,1.4882006528377534,1,14,1,14,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.001, 0.001, 0.001, 0.001]",15,False,,,16,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-44-53,1603212293,176.1228747367859,2816.311021089554,390,d83e38022e39,192.168.99.4,2816.311021089554,0,16,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.19054841995239,150,617.8124318122864,2550.0,0.49445291837056476,0.0004396452793541054,0.5511400385697682,0.015970357457796732,0.020967719936943678,0.44609915137290956,0.00041880180438359576,0.523056966861089,0.015339968961973986,3,3,3,3,139.9208061695099,250,2238.7061915397644,4000.0,1874.6152822265626,6.361874933242798,28.00975185394287,1.5546010661125182,2.52227574488651,1872.63221875,5.844663016796112,27.994029655456544,1.4882006528377534,2,15,2,15,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.0004, 0.0004, 0.0004, 0.0004]",16,False,,,17,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-47-49,1603212469,175.9329047203064,2992.2439258098602,390,d83e38022e39,192.168.99.4,2992.2439258098602,0,17,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,36.040030002593994,150,653.8524618148804,2700.0,0.3240244275331497,0.00026270897418726233,0.4365993821620941,0.012366716961065928,0.01620829954644417,0.3240244275331497,0.00026270897418726233,0.4365993821620941,0.012366716961065928,0,0,0,0,139.88255310058594,250,2378.5887446403503,4250.0,1877.948025390625,6.356871137619018,28.02063996887207,1.5545649499893188,2.5212836289515344,1872.63221875,5.844663016796112,27.994029655456544,1.4882006528377534,3,16,3,16,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
"[0.0004, 0.0004, 0.0004, 0.0004]",17,False,,,18,211147954d8f40edbe2c1ff5ce508745,2020-10-20_16-50-44,1603212644,175.62458777427673,3167.868513584137,390,d83e38022e39,192.168.99.4,3167.868513584137,0,18,00045,"45_hypercubes=heat_para_12d,seed=2",4753964,35.769935131073,150,689.6223969459534,2850.0,0.29759233713150024,0.0002887164168835928,0.4272156322002411,0.012649113436539967,0.016991657273014684,0.29759233713150024,0.00026270897418726233,0.4272156322002411,0.012366716961065928,0,1,0,1,139.84392142295837,250,2518.4326660633087,4500.0,1876.6935678710938,6.356289386749268,28.016197074890137,1.5544554777145385,2.5211682583178114,1872.63221875,5.844663016796112,27.994029655456544,1.4882006528377534,4,17,4,17,40.389867305755615,150,40.389867305755615,150.0,1576.0235294596355,0.9440856981277466,37.08904047648112,0.9715216592947642,0.9716407248194914
