lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-22-11,1603210931,208.195814371109,208.195814371109,404,d83e38022e39,192.168.99.4,208.195814371109,0,1,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.05293416976929,150,89.65023493766785,300.0,2.5042002900441487,0.002430053255520761,1.2617102972666423,0.03501170468827089,0.0492955703438023,2.5042002900441487,0.002430053255520761,1.2617102972666423,0.03501170468827089,0,0,0,0,166.13052535057068,250,166.13052535057068,250.0,2563.5518818359374,5.826226801633835,32.28899110412598,1.49533549618721,2.413757817518948,2563.5518818359374,5.826226801633835,32.28899110412598,1.49533549618721,0,0,0,0,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-25-39,1603211139,208.35966181755066,416.55547618865967,404,d83e38022e39,192.168.99.4,416.55547618865967,0,2,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.26693296432495,150,131.9171679019928,450.0,1.6667051005363465,0.0013344497714812558,1.0256554500261943,0.027265625819563866,0.03653012142713538,1.6667051005363465,0.0013344497714812558,1.0256554500261943,0.027265625819563866,0,0,0,0,166.08057308197021,250,332.2110984325409,500.0,2472.0261962890627,6.336894891738892,32.047295936584476,1.5613286900520325,2.517318988872664,2472.0261962890627,5.826226801633835,32.047295936584476,1.49533549618721,0,1,0,1,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-29-07,1603211347,208.13397526741028,624.68945145607,404,d83e38022e39,192.168.99.4,624.68945145607,0,3,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.17773628234863,150,174.09490418434143,600.0,1.1849286897977194,0.0010374614340253174,0.8656908857822418,0.023589685534437497,0.03220964815121887,1.1849286897977194,0.0010374614340253174,0.8656908857822418,0.023589685534437497,0,0,0,0,165.94352197647095,250,498.15462040901184,750.0,2477.731783203125,6.335079034805298,32.05549002838135,1.5610919346809387,2.51695829023949,2472.0261962890627,5.826226801633835,32.047295936584476,1.49533549618721,1,2,1,2,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-32-36,1603211556,208.7885239124298,833.4779753684998,404,d83e38022e39,192.168.99.4,833.4779753684998,0,4,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.41805458068848,150,216.5129587650299,750.0,1.1064217432339987,0.0011409456414791445,0.8371875341733297,0.023429333840807278,0.03377788687113426,1.1064217432339987,0.0010374614340253174,0.8371875341733297,0.023429333840807278,0,1,0,0,166.35761642456055,250,664.5122368335724,1000.0,2475.6012265625,6.3269997997283935,32.05171257781983,1.5602874212265014,2.5153528181407063,2472.0261962890627,5.826226801633835,32.047295936584476,1.49533549618721,2,3,2,3,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-36-04,1603211764,208.22060823440552,1041.6985836029053,404,d83e38022e39,192.168.99.4,1041.6985836029053,0,5,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.12657165527344,150,258.63953042030334,900.0,1.0422972869873046,0.0009904010225242625,0.8134191576639811,0.022590723323325314,0.03147063746612487,1.0422972869873046,0.0009904010225242625,0.8134191576639811,0.022590723323325314,0,0,0,0,166.080162525177,250,830.5923993587494,1250.0,2474.8602587890623,6.326592208862305,32.04937141418457,1.560136498451233,2.515271796220501,2472.0261962890627,5.826226801633835,32.047295936584476,1.49533549618721,3,4,3,4,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-39-33,1603211973,208.62723994255066,1250.325823545456,404,d83e38022e39,192.168.99.4,1250.325823545456,0,6,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.511016607284546,150,301.1505470275879,1050.0,1.0746635834376017,0.001087527791193376,0.8256152280171712,0.023252784671882788,0.03297768626197684,1.0422972869873046,0.0009904010225242625,0.8134191576639811,0.022590723323325314,1,1,1,1,166.10309672355652,250,996.6954960823059,1500.0,2475.9578037109377,6.334838193893432,32.063534851074216,1.5612158365249633,2.5169104461409493,2472.0261962890627,5.826226801633835,32.047295936584476,1.49533549618721,4,5,4,5,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-43-01,1603212181,208.03427267074585,1458.3600962162018,404,d83e38022e39,192.168.99.4,1458.3600962162018,0,7,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.365248918533325,150,343.5157959461212,1200.0,0.9826905838648479,0.0009526558697689325,0.790201477209727,0.021942681384583315,0.030865123841788362,0.9826905838648479,0.0009526558697689325,0.790201477209727,0.021942681384583315,0,0,0,0,165.65623307228088,250,1162.3517291545868,1750.0,2472.167431640625,6.328881113052368,32.04645882415772,1.5606893377304076,2.5157267564368686,2472.0261962890627,5.826226801633835,32.04645882415772,1.49533549618721,5,6,0,6,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-46-30,1603212390,208.71120977401733,1667.0713059902191,404,d83e38022e39,192.168.99.4,1667.0713059902191,0,8,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.38786864280701,150,385.9036645889282,1350.0,1.266781907081604,0.0015423858903038006,0.9048295386632283,0.026588219019273916,0.039273221032960874,0.9826905838648479,0.0009526558697689325,0.790201477209727,0.021942681384583315,1,1,1,1,166.31066346168518,250,1328.662392616272,2000.0,2475.5079375,6.332162322998047,32.053728950500485,1.5607196822166443,2.5163788115063372,2472.0261962890627,5.826226801633835,32.04645882415772,1.49533549618721,6,7,1,7,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-49-59,1603212599,208.53607845306396,1875.607384443283,404,d83e38022e39,192.168.99.4,1875.607384443283,0,9,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.40893626213074,150,428.31260085105896,1500.0,0.8213338843981425,0.0006133140169549733,0.7093497248490651,0.01847525663673878,0.024765177507035423,0.8213338843981425,0.0006133140169549733,0.7093497248490651,0.01847525663673878,0,0,0,0,166.1146674156189,250,1494.7770600318909,2250.0,2472.1544716796875,6.323307954788208,32.02948987579346,1.5602109289169313,2.5146188488095382,2472.0261962890627,5.826226801633835,32.02948987579346,1.49533549618721,7,8,0,8,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,e5c2781afa9b4be9b692e90e25a04501,2020-10-20_16-53-27,1603212807,208.5697844028473,2084.1771688461304,404,d83e38022e39,192.168.99.4,2084.1771688461304,0,10,00046,"46_hypercubes=heat_para_13d,seed=2",6454780,42.646910429000854,150,470.9595112800598,1650.0,0.858697878519694,0.0008519023167900741,0.7298004086812337,0.020206601793567338,0.02918736570487433,0.8213338843981425,0.0006133140169549733,0.7093497248490651,0.01847525663673878,1,1,1,1,165.91082978248596,250,1660.6878898143768,2500.0,2476.6836669921877,6.339662111282348,32.06200496673584,1.5614822344779968,2.517868565132491,2472.0261962890627,5.826226801633835,32.02948987579346,1.49533549618721,8,9,1,9,47.59730076789856,150,47.59730076789856,150.0,2080.7138916015624,0.9608561563491821,42.51908426920573,0.9801747266451518,0.9802327052027912
