lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-28-45,1603214925,221.28038477897644,221.28038477897644,408,d83e38022e39,192.168.99.4,221.28038477897644,0,1,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.51931929588318,150,106.91892695426941,300.0,3.6270574140548706,0.0024546081153675914,1.513633500734965,0.03622862530251344,0.049544001810184764,3.6270574140548706,0.0024546081153675914,1.513633500734965,0.03622862530251344,0,0,0,0,169.74689483642578,250,169.74689483642578,250.0,3307.6884951171874,5.782117082595825,36.56103779602051,1.4986780710220338,2.404603310859366,3307.6884951171874,5.782117082595825,36.56103779602051,1.4986780710220338,0,0,0,0,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-32-27,1603215147,221.3138711452484,442.59425592422485,408,d83e38022e39,192.168.99.4,442.59425592422485,0,2,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.712414026260376,150,158.63134098052979,450.0,2.357558930714925,0.0016607692170267304,1.223000787893931,0.02954773126790921,0.04075253632630404,2.357558930714925,0.0016607692170267304,1.223000787893931,0.02954773126790921,0,0,0,0,169.58645677566528,250,339.33335161209106,500.0,3200.0318828125,6.281968862533569,36.33346618652344,1.5641594209671021,2.5063856172850913,3200.0318828125,5.782117082595825,36.33346618652344,1.4986780710220338,0,1,0,1,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-36-08,1603215368,221.21530103683472,663.8095569610596,408,d83e38022e39,192.168.99.4,663.8095569610596,0,3,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.753214836120605,150,210.3845558166504,600.0,1.6600194390614826,0.0012718168327895303,1.0262237882614136,0.02535240337252617,0.03566254103102484,1.6600194390614826,0.0012718168327895303,1.0262237882614136,0.02535240337252617,0,0,0,0,169.44400429725647,250,508.77735590934753,750.0,3201.9121025390623,6.2650314178466795,36.31766093444824,1.5625700120925903,2.503004478191495,3200.0318828125,5.782117082595825,36.31766093444824,1.4986780710220338,1,2,0,2,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-39-49,1603215589,221.1938533782959,885.0034103393555,408,d83e38022e39,192.168.99.4,885.0034103393555,0,4,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.52218818664551,150,261.9067440032959,750.0,1.399307254155477,0.0009610945956471065,0.939321673711141,0.022626384012401104,0.031001525698699194,1.399307254155477,0.0009610945956471065,0.939321673711141,0.022626384012401104,0,0,0,0,169.65254831314087,250,678.4299042224884,1000.0,3200.6758310546875,6.269594923019409,36.32583840942383,1.56322837972641,2.5039159177215615,3200.0318828125,5.782117082595825,36.31766093444824,1.4986780710220338,2,3,1,3,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-43-30,1603215810,221.132714509964,1106.1361248493195,408,d83e38022e39,192.168.99.4,1106.1361248493195,0,5,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.54599332809448,150,313.4527373313904,900.0,2.393679027557373,0.0028963355518256623,1.2303124388058981,0.03515781030058861,0.05381761376933822,1.399307254155477,0.0009610945956471065,0.939321673711141,0.022626384012401104,1,1,1,1,169.57063508033752,250,848.0005393028259,1250.0,3198.6641474609373,6.26699649810791,36.307913589477536,1.5623112378120423,2.5033969917110452,3198.6641474609373,5.782117082595825,36.307913589477536,1.4986780710220338,0,4,0,4,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-47-12,1603216032,221.75459170341492,1327.8907165527344,408,d83e38022e39,192.168.99.4,1327.8907165527344,0,6,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,52.110962867736816,150,365.5637001991272,1050.0,1.6242861636479695,0.00102283648836116,1.011227993965149,0.023845844032863776,0.03198181496352513,1.399307254155477,0.0009610945956471065,0.939321673711141,0.022626384012401104,2,2,2,2,169.62851977348328,250,1017.6290590763092,1500.0,3205.19962890625,6.276668729782105,36.33719990539551,1.5635849647521973,2.5053280682940717,3198.6641474609373,5.782117082595825,36.307913589477536,1.4986780710220338,1,5,1,5,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-50-54,1603216254,221.61202883720398,1549.5027453899384,408,d83e38022e39,192.168.99.4,1549.5027453899384,0,7,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,52.053234815597534,150,417.61693501472473,1200.0,1.0837544957796732,0.0006806278279206405,0.8216269087791442,0.01934675859908263,0.026088844894334447,1.0837544957796732,0.0006806278279206405,0.8216269087791442,0.01934675859908263,0,0,0,0,169.54193949699402,250,1187.1709985733032,1750.0,3204.083947265625,6.277134609222412,36.33734764099121,1.56368106174469,2.5054210443002214,3198.6641474609373,5.782117082595825,36.307913589477536,1.4986780710220338,2,6,2,6,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-54-35,1603216475,221.23182129859924,1770.7345666885376,408,d83e38022e39,192.168.99.4,1770.7345666885376,0,8,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.698429346084595,150,469.3153643608093,1350.0,1.0701833701133727,0.0006888033162492017,0.817745140393575,0.019357072648902733,0.0262450627023294,1.0701833701133727,0.0006806278279206405,0.817745140393575,0.01934675859908263,0,1,0,1,169.51914644241333,250,1356.6901450157166,2000.0,3200.057671875,6.271402744293213,36.31844032287598,1.5630894556045531,2.5042768905001727,3198.6641474609373,5.782117082595825,36.307913589477536,1.4986780710220338,3,7,3,7,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_17-58-17,1603216697,221.47651529312134,1992.211081981659,408,d83e38022e39,192.168.99.4,1992.211081981659,0,9,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.867735385894775,150,521.1830997467041,1500.0,1.333561158180237,0.0008616459835320711,0.9086128433545431,0.021430228352546692,0.029353806968297504,1.0701833701133727,0.0006806278279206405,0.817745140393575,0.01934675859908263,1,2,1,2,169.59466886520386,250,1526.2848138809204,2250.0,3197.993443359375,6.274263710021972,36.312915344238284,1.563345362663269,2.5048480413034984,3197.993443359375,5.782117082595825,36.307913589477536,1.4986780710220338,0,8,4,8,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-01-58,1603216918,221.1180591583252,2213.329141139984,408,d83e38022e39,192.168.99.4,2213.329141139984,0,10,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.62115740776062,150,572.8042571544647,1650.0,1.070836230913798,0.0006530977762304246,0.8133355756600698,0.01897140810887019,0.025555777746537566,1.0701833701133727,0.0006530977762304246,0.8133355756600698,0.01897140810887019,2,0,0,0,169.48222708702087,250,1695.7670409679413,2500.0,3206.98374609375,6.285202239990235,36.35075201416016,1.5642107310295106,2.5070305622369733,3197.993443359375,5.782117082595825,36.307913589477536,1.4986780710220338,1,9,5,9,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",10,False,,,11,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-05-39,1603217139,221.53348565101624,2434.8626267910004,408,d83e38022e39,192.168.99.4,2434.8626267910004,0,11,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.93293333053589,150,624.7371904850006,1800.0,1.7007634035746257,0.0007926987173656623,1.0191694911321003,0.022181039849917095,0.02815490574243967,1.0701833701133727,0.0006530977762304246,0.8133355756600698,0.01897140810887019,3,1,1,1,169.58625745773315,250,1865.3532984256744,2750.0,3204.561072265625,6.272951076507568,36.34256655883789,1.5636459736824035,2.504586009005793,3197.993443359375,5.782117082595825,36.307913589477536,1.4986780710220338,2,10,6,10,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",11,False,,,12,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-09-21,1603217361,221.52535557746887,2656.3879823684692,408,d83e38022e39,192.168.99.4,2656.3879823684692,0,12,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.87545943260193,150,676.6126499176025,1950.0,0.9213919949531555,0.0006519186267784486,0.7581000169118245,0.018289115776618323,0.02553269720923445,0.9213919949531555,0.0006519186267784486,0.7581000169118245,0.018289115776618323,0,0,0,0,169.63312244415283,250,2034.9864208698273,3000.0,3207.7058125,6.277000282287598,36.350981002807615,1.5638512396812438,2.505394236899175,3197.993443359375,5.782117082595825,36.307913589477536,1.4986780710220338,3,11,7,11,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",12,False,,,13,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-13-02,1603217582,221.6465082168579,2878.034490585327,408,d83e38022e39,192.168.99.4,2878.034490585327,0,13,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,52.03421235084534,150,728.6468622684479,2100.0,1.0491963601112366,0.0006903978254801283,0.8029825262228648,0.01898945608486732,0.026275422460545296,0.9213919949531555,0.0006519186267784486,0.7581000169118245,0.018289115776618323,1,1,1,1,169.59963464736938,250,2204.5860555171967,3250.0,3196.9190107421873,6.274331148147583,36.31210111999512,1.5632380924224853,2.5048615027876457,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,0,12,8,12,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",13,False,,,14,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-16-44,1603217804,221.9606647491455,3099.9951553344727,408,d83e38022e39,192.168.99.4,3099.9951553344727,0,14,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,52.27616286277771,150,780.9230251312256,2250.0,1.5633739296595255,0.0007706039980985225,0.9904657951990763,0.021871995305021603,0.02775975500789808,0.9213919949531555,0.0006519186267784486,0.7581000169118245,0.018289115776618323,2,2,2,2,169.66756176948547,250,2374.253617286682,3500.0,3197.566955078125,6.26931565284729,36.310332122802734,1.5626873378753663,2.5038601504172093,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,1,13,9,13,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",14,False,,,15,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-20-26,1603218026,221.50017666816711,3321.4953320026398,408,d83e38022e39,192.168.99.4,3321.4953320026398,0,15,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.68828892707825,150,832.6113140583038,2400.0,0.9525849008560181,0.0005313227414929618,0.7608285689353943,0.017382579545180004,0.02305043907375653,0.9213919949531555,0.0005313227414929618,0.7581000169118245,0.017382579545180004,3,0,3,0,169.79750800132751,250,2544.0511252880096,3750.0,3202.658580078125,6.271772193908691,36.312332748413084,1.563170027256012,2.5043506531451802,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,2,14,10,14,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.001, 0.001, 0.001, 0.001]",15,False,,,16,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-24-08,1603218248,221.75412321090698,3543.2494552135468,408,d83e38022e39,192.168.99.4,3543.2494552135468,0,16,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,52.11473202705383,150,884.7260460853577,2550.0,1.458260750770569,0.0009330300947961708,0.9716776963075002,0.02306591625014941,0.030545541324327036,0.9213919949531555,0.0005313227414929618,0.7581000169118245,0.017382579545180004,4,1,4,1,169.6252143383026,250,2713.6763396263123,4000.0,3204.2404990234377,6.274262966156006,36.31995927429199,1.5632568922042847,2.504847892818246,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,3,15,11,15,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.0004, 0.0004, 0.0004, 0.0004]",16,False,,,17,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-27-50,1603218470,222.11079335212708,3765.360248565674,408,d83e38022e39,192.168.99.4,3765.360248565674,0,17,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,52.47762608528137,150,937.203672170639,2700.0,0.6715097502867381,0.00031639911001548173,0.6246963981787363,0.013682572338730097,0.0177876111385279,0.6715097502867381,0.00031639911001548173,0.6246963981787363,0.013682572338730097,0,0,0,0,169.6205654144287,250,2883.296905040741,4250.0,3197.125001953125,6.2721783084869385,36.3141254272461,1.562991033554077,2.504431733644768,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,4,16,12,16,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.0004, 0.0004, 0.0004, 0.0004]",17,False,,,18,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-31-31,1603218691,221.5031418800354,3986.8633904457092,408,d83e38022e39,192.168.99.4,3986.8633904457092,0,18,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.86131024360657,150,989.0649824142456,2850.0,0.5901807781060536,0.00032176711324912805,0.5955084864298502,0.013583541084080934,0.01793786813557085,0.5901807781060536,0.00031639911001548173,0.5955084864298502,0.013583541084080934,0,1,0,0,169.62716126441956,250,3052.9240663051605,4500.0,3205.5276572265625,6.278551670074463,36.33618147277832,1.5638753633499145,2.5057038272857515,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,5,17,13,17,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.0004, 0.0004, 0.0004, 0.0004]",18,False,,,19,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-35-13,1603218913,221.43330764770508,4208.296698093414,408,d83e38022e39,192.168.99.4,4208.296698093414,0,19,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,52.02819108963013,150,1041.0931735038757,3000.0,0.8252122044563294,0.0004673612501937896,0.7103414531548818,0.016378755991657574,0.02161853950186713,0.5901807781060536,0.00031639911001548173,0.5955084864298502,0.013583541084080934,1,2,1,1,169.39023542404175,250,3222.3143017292023,4750.0,3201.6995380859375,6.274530044555664,36.31874337768555,1.563160032272339,2.504901204549925,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,6,18,14,18,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.0004, 0.0004, 0.0004, 0.0004]",19,False,,,20,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-38-54,1603219134,220.75451040267944,4429.051208496094,408,d83e38022e39,192.168.99.4,4429.051208496094,0,20,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.49439573287964,150,1092.5875692367554,3150.0,0.6003483800093333,0.0003311452929240962,0.6042848507563273,0.013804352451115847,0.01819739797125117,0.5901807781060536,0.00031639911001548173,0.5955084864298502,0.013583541084080934,2,3,2,2,169.24553084373474,250,3391.559832572937,5000.0,3201.699662109375,6.275799226760864,36.328882568359376,1.563318883895874,2.5051545315131487,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,7,19,15,19,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
"[0.0004, 0.0004, 0.0004, 0.0004]",20,False,,,21,ecd3edbba8724d5e99770c4b7b0c68c2,2020-10-20_18-42-35,1603219355,220.96051812171936,4650.011726617813,408,d83e38022e39,192.168.99.4,4650.011726617813,0,21,00047,"47_hypercubes=heat_para_14d,seed=2",8576732,51.64856505393982,150,1144.2361342906952,3300.0,0.5415006709098816,0.00030178605831072974,0.567050613562266,0.012936281661192576,0.017371990626025843,0.5415006709098816,0.00030178605831072974,0.567050613562266,0.012936281661192576,0,0,0,0,169.29479503631592,250,3560.854627609253,5250.0,3197.16065234375,6.268247512817383,36.31357853698731,1.5624621977806092,2.503646842671183,3196.9190107421873,5.782117082595825,36.307913589477536,1.4986780710220338,8,20,16,20,55.39960765838623,150,55.39960765838623,150.0,2673.5977392578125,0.960051527818044,48.03475461324056,0.979752451578776,0.9798221919399682
