lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,59649b2306674d92b4bb0471b7641782,2020-10-20_20-15-49,1603224949,68.29761242866516,68.29761242866516,413,d83e38022e39,192.168.99.4,68.29761242866516,0,1,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.7601773738861084,150,10.430262804031372,300.0,0.01143794870004058,0.0009400788298808038,0.08459226414561272,0.023476279998819034,0.030660704980166452,0.01143794870004058,0.0009400788298808038,0.08459226414561272,0.023476279998819034,0,0,0,0,65.53641819953918,250,65.53641819953918,250.0,6.790396465301514,0.7084446858167648,1.73554022026062,0.5622252588272094,0.8416915621632218,6.790396465301514,0.7084446858167648,1.73554022026062,0.5622252588272094,0,0,0,0,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,59649b2306674d92b4bb0471b7641782,2020-10-20_20-16-58,1603225018,68.63371253013611,136.93132495880127,413,d83e38022e39,192.168.99.4,136.93132495880127,0,2,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.822751045227051,150,13.253013849258423,450.0,0.006737521678830186,0.0005630604282487184,0.06460682292779286,0.017998208763698738,0.023728894374764248,0.006737521678830186,0.0005630604282487184,0.06460682292779286,0.017998208763698738,0,0,0,0,65.81025218963623,250,131.34667038917542,500.0,6.18411475944519,0.7814784016609192,1.6624831848144532,0.5748049380779267,0.8840126705318874,6.18411475944519,0.7084446858167648,1.6624831848144532,0.5622252588272094,0,1,0,1,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,59649b2306674d92b4bb0471b7641782,2020-10-20_20-18-06,1603225086,68.28332757949829,205.21465253829956,413,d83e38022e39,192.168.99.4,205.21465253829956,0,3,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.8052568435668945,150,16.058270692825317,600.0,0.005419502466296156,0.0004615441653489446,0.05829929130772749,0.016336211673915385,0.021483578969737436,0.005419502466296156,0.0004615441653489446,0.05829929130772749,0.016336211673915385,0,0,0,0,65.47736144065857,250,196.82403182983398,750.0,6.189915071487427,0.7815482432842255,1.6623518357276916,0.5747314908504486,0.8840521722637332,6.18411475944519,0.7084446858167648,1.6623518357276916,0.5622252588272094,1,2,0,2,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,59649b2306674d92b4bb0471b7641782,2020-10-20_20-19-15,1603225155,68.58364844322205,273.7983009815216,413,d83e38022e39,192.168.99.4,273.7983009815216,0,4,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.782177686691284,150,18.8404483795166,750.0,0.004666241357723872,0.0003606227438043182,0.05343814556797345,0.014610615155349175,0.018990069610307338,0.004666241357723872,0.0003606227438043182,0.05343814556797345,0.014610615155349175,0,0,0,0,65.80064702033997,250,262.62467885017395,1000.0,6.187600772857666,0.782026225566864,1.6618435130119324,0.574739703655243,0.8843224669581023,6.18411475944519,0.7084446858167648,1.6618435130119324,0.5622252588272094,2,3,0,3,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,59649b2306674d92b4bb0471b7641782,2020-10-20_20-20-23,1603225223,68.1958498954773,341.9941508769989,413,d83e38022e39,192.168.99.4,341.9941508769989,0,5,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.7501676082611084,150,21.59061598777771,900.0,0.003738231371777753,0.0003044612214822943,0.048282923748095834,0.01338299215460817,0.0174488171943629,0.003738231371777753,0.0003044612214822943,0.048282923748095834,0.01338299215460817,0,0,0,0,65.44492650032043,250,328.0696053504944,1250.0,6.183562322616577,0.7816781501770019,1.66144598197937,0.5745768704414368,0.884125641623973,6.183562322616577,0.7084446858167648,1.66144598197937,0.5622252588272094,0,4,0,4,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,59649b2306674d92b4bb0471b7641782,2020-10-20_20-21-32,1603225292,68.70671153068542,410.7008624076843,413,d83e38022e39,192.168.99.4,410.7008624076843,0,6,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.8993921279907227,150,24.490008115768433,1050.0,0.0032194339204579593,0.00025539702561218293,0.04466966979205608,0.012298239997277657,0.015981145941770976,0.0032194339204579593,0.00025539702561218293,0.04466966979205608,0.012298239997277657,0,0,0,0,65.80652618408203,250,393.8761315345764,1500.0,6.178181926727295,0.7814481563568115,1.6610648584365846,0.5746913459300995,0.8839955635391004,6.178181926727295,0.7084446858167648,1.6610648584365846,0.5622252588272094,0,5,0,5,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,59649b2306674d92b4bb0471b7641782,2020-10-20_20-22-40,1603225360,68.30157828330994,479.00244069099426,413,d83e38022e39,192.168.99.4,479.00244069099426,0,7,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.8165180683135986,150,27.30652618408203,1200.0,0.0029732416818539303,0.00024234593283229818,0.043153232485055926,0.011956985164433718,0.015567463917809419,0.0029732416818539303,0.00024234593283229818,0.043153232485055926,0.011956985164433718,0,0,0,0,65.48428988456726,250,459.3604214191437,1750.0,6.175687433242798,0.7813908340930938,1.660756064414978,0.5743699870109558,0.8839631406869258,6.175687433242798,0.7084446858167648,1.660756064414978,0.5622252588272094,0,6,0,6,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,59649b2306674d92b4bb0471b7641782,2020-10-20_20-23-49,1603225429,68.60274338722229,547.6051840782166,413,d83e38022e39,192.168.99.4,547.6051840782166,0,8,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.78486704826355,150,30.09139323234558,1350.0,0.00255678388910989,0.00021097648743307218,0.04004585102200508,0.011123612485826016,0.014525029687855106,0.00255678388910989,0.00021097648743307218,0.04004585102200508,0.011123612485826016,0,0,0,0,65.81709551811218,250,525.1775169372559,2000.0,6.177072063446045,0.7811899492740632,1.6608895769119263,0.5744391326904297,0.8838495060099673,6.175687433242798,0.7084446858167648,1.660756064414978,0.5622252588272094,1,7,1,7,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,59649b2306674d92b4bb0471b7641782,2020-10-20_20-24-57,1603225497,68.26879644393921,615.8739805221558,413,d83e38022e39,192.168.99.4,615.8739805221558,0,9,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.78206467628479,150,32.87345790863037,1500.0,0.002457196875475347,0.00020073832041816786,0.03911794866124789,0.010840466612329085,0.014168215145817339,0.002457196875475347,0.00020073832041816786,0.03911794866124789,0.010840466612329085,0,0,0,0,65.48567128181458,250,590.6631882190704,2250.0,6.187242219924927,0.7817248294353485,1.6615841722488403,0.5745563454627991,0.8841520397733348,6.175687433242798,0.7084446858167648,1.660756064414978,0.5622252588272094,2,8,2,8,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,59649b2306674d92b4bb0471b7641782,2020-10-20_20-26-06,1603225566,68.68110585212708,684.5550863742828,413,d83e38022e39,192.168.99.4,684.5550863742828,0,10,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.8695623874664307,150,35.7430202960968,1650.0,0.002339326284515361,0.0001837486308068037,0.037979361017545066,0.01042386785770456,0.013555391208180003,0.002339326284515361,0.0001837486308068037,0.037979361017545066,0.01042386785770456,0,0,0,0,65.81065440177917,250,656.4738426208496,2500.0,6.188972536087036,0.7829520454406739,1.6619780015945436,0.574935714006424,0.884845774946501,6.175687433242798,0.7084446858167648,1.660756064414978,0.5622252588272094,3,9,3,9,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",10,False,,,11,59649b2306674d92b4bb0471b7641782,2020-10-20_20-27-14,1603225634,68.26563835144043,752.8207247257233,413,d83e38022e39,192.168.99.4,752.8207247257233,0,11,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.7736611366271973,150,38.516681432724,1800.0,0.0022648186019311347,0.00017602800595341252,0.0373920193562905,0.01023543515553077,0.013267554633519038,0.0022648186019311347,0.00017602800595341252,0.0373920193562905,0.01023543515553077,0,0,0,0,65.49108386039734,250,721.964926481247,2750.0,6.181007987976074,0.7819398663043976,1.661057273864746,0.5744977781772613,0.8842736376848501,6.175687433242798,0.7084446858167648,1.660756064414978,0.5622252588272094,4,10,4,10,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
"[0.001, 0.001, 0.001, 0.001]",11,True,,,12,59649b2306674d92b4bb0471b7641782,2020-10-20_20-28-22,1603225702,68.63711452484131,821.4578392505646,413,d83e38022e39,192.168.99.4,821.4578392505646,0,12,00052,"52_hypercubes=heat_para_2d,seed=3",10364,2.8056399822235107,150,41.32232141494751,1950.0,0.0019063707642878096,0.00014847740026501319,0.03418290679653486,0.009371272201339403,0.01218513029331296,0.0019063707642878096,0.00014847740026501319,0.03418290679653486,0.009371272201339403,0,0,0,0,65.83038568496704,250,787.795312166214,3000.0,6.18454695892334,0.7820961592197418,1.661779923915863,0.5747169165611267,0.8843620068839129,6.175687433242798,0.7084446858167648,1.660756064414978,0.5622252588272094,5,11,5,11,7.670085430145264,150,7.670085430145264,150.0,8.38949623743693,0.4902383647362391,2.715501866340637,0.6891448640823364,0.7001702398247437
