lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-47-14,1603226834,85.15196990966797,85.15196990966797,376,d83e38022e39,192.168.99.4,85.15196990966797,0,1,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.463574409484863,150,13.396899700164795,300.0,0.03487218966086705,0.0006881751085165888,0.1467172717054685,0.019698501837750276,0.026233091859645306,0.03487218966086705,0.0006881751085165888,0.1467172717054685,0.019698501837750276,0,0,0,0,80.68728709220886,250,80.68728709220886,250.0,53.89534536743164,2.5038735032081605,4.909693838119507,0.9911820902824402,1.582363265248584,53.89534536743164,2.5038735032081605,4.909693838119507,0.9911820902824402,0,0,0,0,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-48-40,1603226920,85.4034149646759,170.55538487434387,376,d83e38022e39,192.168.99.4,170.55538487434387,0,2,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.506718397140503,150,17.903618097305298,450.0,0.02751245935757955,0.0005492743492747347,0.1313584809501966,0.01766512930393219,0.023436602767353775,0.02751245935757955,0.0005492743492747347,0.1313584809501966,0.01766512930393219,0,0,0,0,80.89575433731079,250,161.58304142951965,500.0,50.798227676391605,2.7896336069107055,4.813459959030151,1.0391975164413452,1.6702196283455375,50.798227676391605,2.5038735032081605,4.813459959030151,0.9911820902824402,0,1,0,1,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-50-05,1603227005,85.23342847824097,255.78881335258484,376,d83e38022e39,192.168.99.4,255.78881335258484,0,3,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.563897371292114,150,22.467515468597412,600.0,0.022901035957038404,0.0004016667732503265,0.11857244143883387,0.015443009560306867,0.020041626013133928,0.022901035957038404,0.0004016667732503265,0.11857244143883387,0.015443009560306867,0,0,0,0,80.66848731040955,250,242.2515287399292,750.0,50.743123733520505,2.7880395574569703,4.812777025222778,1.0388138980865478,1.6697423625987844,50.743123733520505,2.5038735032081605,4.812777025222778,0.9911820902824402,0,2,0,2,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-51-31,1603227091,85.50600838661194,341.2948217391968,376,d83e38022e39,192.168.99.4,341.2948217391968,0,4,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.5535078048706055,150,27.021023273468018,750.0,0.021361421756446362,0.0003609842845859627,0.11231133391459783,0.014441600497812034,0.01899958643197169,0.021361421756446362,0.0003609842845859627,0.11231133391459783,0.014441600497812034,0,0,0,0,80.95148420333862,250,323.2030129432678,1000.0,50.762994018554686,2.789266944885254,4.813076551437378,1.039180263519287,1.670109860124553,50.743123733520505,2.5038735032081605,4.812777025222778,0.9911820902824402,1,3,1,3,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-52-56,1603227176,85.06227493286133,426.3570966720581,376,d83e38022e39,192.168.99.4,426.3570966720581,0,5,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.444549083709717,150,31.465572357177734,900.0,0.018256582642594974,0.00038650221443579843,0.10696932430068652,0.014553765344123046,0.01965965957069955,0.018256582642594974,0.0003609842845859627,0.10696932430068652,0.014441600497812034,0,1,0,1,80.61677265167236,250,403.8197855949402,1250.0,50.78336251831055,2.789178291320801,4.812648773193359,1.0390285062789917,1.6700833186762871,50.743123733520505,2.5038735032081605,4.812648773193359,0.9911820902824402,2,4,0,4,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-54-21,1603227261,85.42333889007568,511.7804355621338,376,d83e38022e39,192.168.99.4,511.7804355621338,0,6,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.4933977127075195,150,35.958970069885254,1050.0,0.016010499509672323,0.0003531791283360993,0.09924178406596183,0.013491878819962343,0.018793060643123017,0.016010499509672323,0.0003531791283360993,0.09924178406596183,0.013491878819962343,0,0,0,0,80.92899370193481,250,484.748779296875,1500.0,50.813164810180666,2.790264500617981,4.81340913772583,1.039226945400238,1.6704084831615233,50.743123733520505,2.5038735032081605,4.812648773193359,0.9911820902824402,3,5,1,5,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-55-46,1603227346,85.07236289978027,596.8527984619141,376,d83e38022e39,192.168.99.4,596.8527984619141,0,7,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.378894805908203,150,40.33786487579346,1200.0,0.012514587876697382,0.00024675501190358774,0.08805223072568576,0.01178954821700851,0.015708437602243826,0.012514587876697382,0.00024675501190358774,0.08805223072568576,0.01178954821700851,0,0,0,0,80.69250178337097,250,565.441281080246,1750.0,50.80684938049316,2.7896662578582765,4.8129652271270755,1.0390817747116088,1.670229402764266,50.743123733520505,2.5038735032081605,4.812648773193359,0.9911820902824402,4,6,2,6,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-57-11,1603227431,85.28453946113586,682.1373379230499,376,d83e38022e39,192.168.99.4,682.1373379230499,0,8,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.40189266204834,150,44.7397575378418,1350.0,0.012826525370279947,0.00024085979860198373,0.08920018096764883,0.011833707528809707,0.015519658456357334,0.012514587876697382,0.00024085979860198373,0.08805223072568576,0.01178954821700851,1,0,1,1,80.88195085525513,250,646.3232319355011,2000.0,50.81258862304688,2.7916231384277346,4.815412700653076,1.0394227714538575,1.670815111982093,50.743123733520505,2.5038735032081605,4.812648773193359,0.9911820902824402,5,7,3,7,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_20-58-37,1603227517,85.08630800247192,767.2236459255219,376,d83e38022e39,192.168.99.4,767.2236459255219,0,9,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.4834840297698975,150,49.223241567611694,1500.0,0.010830826063950857,0.00019229156100967278,0.08130582481622696,0.010655429419130088,0.013866923271211707,0.010830826063950857,0.00019229156100967278,0.08130582481622696,0.010655429419130088,0,0,0,0,80.60190653800964,250,726.9251384735107,2250.0,50.82560762023926,2.793867713928223,4.814595537185669,1.0395550527572632,1.671486677759719,50.743123733520505,2.5038735032081605,4.812648773193359,0.9911820902824402,6,8,4,8,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,21d4a4fff90a4c2f9449a7119d95d088,2020-10-20_21-00-02,1603227602,85.35749673843384,852.5811426639557,376,d83e38022e39,192.168.99.4,852.5811426639557,0,10,00054,"54_hypercubes=heat_para_4d,seed=3",87532,4.4291136264801025,150,53.6523551940918,1650.0,0.01691149255881707,0.0003527329784507553,0.10325360789895058,0.014032680454353491,0.01878118682221002,0.010830826063950857,0.00019229156100967278,0.08130582481622696,0.010655429419130088,1,1,1,1,80.9272472858429,250,807.8523857593536,2500.0,50.83803732299805,2.7915452613830567,4.815874837875366,1.039613573551178,1.670791806714127,50.743123733520505,2.5038735032081605,4.812648773193359,0.9911820902824402,7,9,5,9,8.933325290679932,150,8.933325290679932,150.0,54.38785113016764,0.7707563813527425,7.081483478546143,0.8766982507705688,0.87792732122468
