lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-11-50,1603228310,97.81332993507385,97.81332993507385,343,d83e38022e39,192.168.99.4,97.81332993507385,0,1,00055,"55_hypercubes=heat_para_5d,seed=3",188732,6.034332036972046,150,16.68362855911255,300.0,0.08200810432434082,0.0008806332899257541,0.2185600691040357,0.022175837655862174,0.029675466128196774,0.08200810432434082,0.0008806332899257541,0.2185600691040357,0.022175837655862174,0,0,0,0,91.77795362472534,250,91.77795362472534,250.0,109.41172537231445,3.38967946267128,6.95348292350769,1.1361673805713655,1.8411082159045622,109.41172537231445,3.38967946267128,6.95348292350769,1.1361673805713655,0,0,0,0,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-13-28,1603228408,97.69652152061462,195.50985145568848,343,d83e38022e39,192.168.99.4,195.50985145568848,0,2,00055,"55_hypercubes=heat_para_5d,seed=3",188732,6.012267112731934,150,22.695895671844482,450.0,0.04965572953224182,0.0005102637068678935,0.16916194170713425,0.016878185123205186,0.022589017394917678,0.04965572953224182,0.0005102637068678935,0.16916194170713425,0.016878185123205186,0,0,0,0,91.68341946601868,250,183.46137309074402,500.0,102.92241650390625,3.806422159194946,6.814928293228149,1.1971915640830995,1.9510054226462177,102.92241650390625,3.38967946267128,6.814928293228149,1.1361673805713655,0,1,0,1,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-15-06,1603228506,97.7383074760437,293.2481589317322,343,d83e38022e39,192.168.99.4,293.2481589317322,0,3,00055,"55_hypercubes=heat_para_5d,seed=3",188732,5.981605529785156,150,28.67750120162964,600.0,0.037592990696430205,0.00042189178542078785,0.1542509651184082,0.015716063107053438,0.02054000451365062,0.037592990696430205,0.00042189178542078785,0.1542509651184082,0.015716063107053438,0,0,0,0,91.7556037902832,250,275.2169768810272,750.0,102.954646484375,3.8015786905288698,6.811503870010376,1.196577292919159,1.949763752491278,102.92241650390625,3.38967946267128,6.811503870010376,1.1361673805713655,1,2,0,2,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-16-44,1603228604,97.76327633857727,391.01143527030945,343,d83e38022e39,192.168.99.4,391.01143527030945,0,4,00055,"55_hypercubes=heat_para_5d,seed=3",188732,5.99170994758606,150,34.6692111492157,750.0,0.033385595604777336,0.0003676343526846419,0.14358230253060658,0.014573243061701456,0.01917379338275663,0.033385595604777336,0.0003676343526846419,0.14358230253060658,0.014573243061701456,0,0,0,0,91.77063655853271,250,366.98761343955994,1000.0,102.78618692016602,3.802438521385193,6.8108140697479245,1.1966931858062744,1.9499842361888962,102.78618692016602,3.38967946267128,6.8108140697479245,1.1361673805713655,0,3,0,3,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-18-21,1603228701,97.60267853736877,488.6141138076782,343,d83e38022e39,192.168.99.4,488.6141138076782,0,5,00055,"55_hypercubes=heat_para_5d,seed=3",188732,6.01841139793396,150,40.68762254714966,900.0,0.03410013012588024,0.0003939017216907814,0.14613491068283715,0.014922002373884122,0.019846957492038457,0.033385595604777336,0.0003676343526846419,0.14358230253060658,0.014573243061701456,1,1,1,1,91.58348178863525,250,458.5710952281952,1250.0,102.91799990844727,3.806035499572754,6.814953895568848,1.1974249606132508,1.9509063277289236,102.78618692016602,3.38967946267128,6.8108140697479245,1.1361673805713655,1,4,1,4,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-19-59,1603228799,97.89010572433472,586.5042195320129,343,d83e38022e39,192.168.99.4,586.5042195320129,0,6,00055,"55_hypercubes=heat_para_5d,seed=3",188732,6.05770468711853,150,46.74532723426819,1050.0,0.02665366094559431,0.00027682533390664807,0.12821654776732128,0.012808063123375178,0.016638068815419897,0.02665366094559431,0.00027682533390664807,0.12821654776732128,0.012808063123375178,0,0,0,0,91.83148860931396,250,550.4025838375092,1500.0,102.8558921508789,3.8033215475082396,6.812670700073242,1.1967861590385438,1.9502106418303229,102.78618692016602,3.38967946267128,6.8108140697479245,1.1361673805713655,2,5,2,5,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-21-37,1603228897,97.70292568206787,684.2071452140808,343,d83e38022e39,192.168.99.4,684.2071452140808,0,7,00055,"55_hypercubes=heat_para_5d,seed=3",188732,5.972701549530029,150,52.71802878379822,1200.0,0.024573738239705562,0.00024824043444823476,0.12227057139078776,0.012104227878153325,0.015755647700054567,0.024573738239705562,0.00024824043444823476,0.12227057139078776,0.012104227878153325,0,0,0,0,91.72952771186829,250,642.1321115493774,1750.0,102.87616680908204,3.804133452415466,6.8126079425811765,1.1968752570152283,1.950418788982373,102.78618692016602,3.38967946267128,6.8108140697479245,1.1361673805713655,3,6,3,6,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-23-14,1603228994,97.70794177055359,781.9150869846344,343,d83e38022e39,192.168.99.4,781.9150869846344,0,8,00055,"55_hypercubes=heat_para_5d,seed=3",188732,5.967650890350342,150,58.68567967414856,1350.0,0.027932176465789476,0.0003073829571561267,0.131018944978714,0.01320802920187513,0.017532340321706245,0.024573738239705562,0.00024824043444823476,0.12227057139078776,0.012104227878153325,1,1,1,1,91.7394073009491,250,733.8715188503265,2000.0,102.9681227722168,3.809415143966675,6.817436618804932,1.1975378770828247,1.9517723084332033,102.78618692016602,3.38967946267128,6.8108140697479245,1.1361673805713655,4,7,4,7,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-24-52,1603229092,97.72470784187317,879.6397948265076,343,d83e38022e39,192.168.99.4,879.6397948265076,0,9,00055,"55_hypercubes=heat_para_5d,seed=3",188732,5.970505952835083,150,64.65618562698364,1500.0,0.04179193042218685,0.0005134543861883382,0.16748157958189647,0.017530989733835062,0.022659531905764033,0.024573738239705562,0.00024824043444823476,0.12227057139078776,0.012104227878153325,2,2,2,2,91.75328946113586,250,825.6248083114624,2250.0,102.85742742919922,3.800736542701721,6.811679239273071,1.1964388189315796,1.9495477790251055,102.78618692016602,3.38967946267128,6.8108140697479245,1.1361673805713655,5,8,5,8,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,8d1aa2371ba74ccd965327fcf34b85c8,2020-10-20_21-26-30,1603229190,98.02975726127625,977.6695520877838,343,d83e38022e39,192.168.99.4,977.6695520877838,0,10,00055,"55_hypercubes=heat_para_5d,seed=3",188732,6.235106945037842,150,70.89129257202148,1650.0,0.02473442414154609,0.00028897748328745367,0.12387140497565269,0.012721345654378335,0.016999337730848624,0.024573738239705562,0.00024824043444823476,0.12227057139078776,0.012104227878153325,3,3,3,3,91.79379391670227,250,917.4186022281647,2500.0,102.77083462524413,3.8011060619354247,6.81039729309082,1.196735644340515,1.9496425472212655,102.77083462524413,3.38967946267128,6.81039729309082,1.1361673805713655,0,9,0,9,10.649296522140503,150,10.649296522140503,150.0,108.40074549357097,0.8902849662303924,10.01628698348999,0.9431832786401113,0.9435491329180439
