lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-39-54,1603229994,103.5867772102356,103.5867772102356,350,d83e38022e39,192.168.99.4,103.5867772102356,0,1,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.943120002746582,150,20.947722673416138,300.0,0.10565650468071301,0.0007899726298637688,0.2585413012901942,0.021067582157750925,0.028106451748019862,0.10565650468071301,0.0007899726298637688,0.2585413012901942,0.021067582157750925,0,0,0,0,95.64222836494446,250,95.64222836494446,250.0,192.72831317138673,4.250732016801834,9.16661752319336,1.2543713040351867,2.061730345317213,192.72831317138673,4.250732016801834,9.16661752319336,1.2543713040351867,0,0,0,0,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-41-38,1603230098,103.78611922264099,207.3728964328766,350,d83e38022e39,192.168.99.4,207.3728964328766,0,2,00056,"56_hypercubes=heat_para_6d,seed=3",360860,8.073181390762329,150,29.020904064178467,450.0,0.0742271442214648,0.0005239171367914726,0.2162496058146159,0.017398135252296925,0.02288923626492314,0.0742271442214648,0.0005239171367914726,0.2162496058146159,0.017398135252296925,0,0,0,0,95.71187591552734,250,191.3541042804718,500.0,185.00439990234375,4.654276189804077,9.078219509124756,1.3135528893470765,2.1573771552058476,185.00439990234375,4.250732016801834,9.078219509124756,1.2543713040351867,0,1,0,1,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-43-22,1603230202,103.62846636772156,311.00136280059814,350,d83e38022e39,192.168.99.4,311.00136280059814,0,3,00056,"56_hypercubes=heat_para_6d,seed=3",360860,8.00923490524292,150,37.03013896942139,600.0,0.07061213344335555,0.0005729183748674889,0.21234272281328836,0.01773862261325121,0.02393571337703326,0.07061213344335555,0.0005239171367914726,0.21234272281328836,0.017398135252296925,0,1,0,1,95.6181640625,250,286.9722683429718,750.0,184.9971040649414,4.653601396560669,9.074526935577392,1.313013524532318,2.1572207574934628,184.9971040649414,4.250732016801834,9.074526935577392,1.2543713040351867,0,2,0,2,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-45-05,1603230305,103.64868474006653,414.6500475406647,350,d83e38022e39,192.168.99.4,414.6500475406647,0,4,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.940985679626465,150,44.97112464904785,750.0,0.0511664305627346,0.00035154466420256845,0.17772783229748407,0.014130950458347797,0.01874952437270259,0.0511664305627346,0.00035154466420256845,0.17772783229748407,0.014130950458347797,0,0,0,0,95.70682573318481,250,382.6790940761566,1000.0,185.03617974853515,4.655833787918091,9.079039348602295,1.3137124018669128,2.15773811847455,184.9971040649414,4.250732016801834,9.074526935577392,1.2543713040351867,1,3,1,3,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-46-49,1603230409,103.51519441604614,518.1652419567108,350,d83e38022e39,192.168.99.4,518.1652419567108,0,5,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.940793991088867,150,52.91191864013672,900.0,0.05200010339419047,0.0003620781113083164,0.1811329639951388,0.014532604000220696,0.019028350199329327,0.0511664305627346,0.00035154466420256845,0.17772783229748407,0.014130950458347797,1,1,1,1,95.5734224319458,250,478.2525165081024,1250.0,185.20531018066407,4.656428735733032,9.081066864013671,1.313739758014679,2.157875977838632,184.9971040649414,4.250732016801834,9.074526935577392,1.2543713040351867,2,4,2,4,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-48-32,1603230512,103.63122177124023,621.796463727951,350,d83e38022e39,192.168.99.4,621.796463727951,0,6,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.952021598815918,150,60.86394023895264,1050.0,0.05650760307908058,0.0003170904761645943,0.1825618674357732,0.013893636967986822,0.01780703445733158,0.0511664305627346,0.0003170904761645943,0.17772783229748407,0.013893636967986822,2,0,2,0,95.67829203605652,250,573.9308085441589,1500.0,184.96763354492188,4.652553024291993,9.074159664154053,1.313097375869751,2.1569777523868883,184.96763354492188,4.250732016801834,9.074159664154053,1.2543713040351867,0,5,0,5,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-50-16,1603230616,103.38943600654602,725.1858997344971,350,d83e38022e39,192.168.99.4,725.1858997344971,0,7,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.8365638256073,150,68.70050406455994,1200.0,0.046708700209856034,0.00032570920535363257,0.17200167814890543,0.013829010476668676,0.018047415475730383,0.046708700209856034,0.0003170904761645943,0.17200167814890543,0.013829010476668676,0,1,0,0,95.55173683166504,250,669.482545375824,1750.0,185.05555023193358,4.65744296836853,9.077367588043213,1.3134849543571472,2.15811097220892,184.96763354492188,4.250732016801834,9.074159664154053,1.2543713040351867,1,6,1,6,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-51-59,1603230719,103.6007227897644,828.7866225242615,350,d83e38022e39,192.168.99.4,828.7866225242615,0,8,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.966499090194702,150,76.66700315475464,1350.0,0.04684553888936838,0.0002734410960692912,0.1681135540207227,0.012897317384680113,0.016536054428710957,0.046708700209856034,0.0002734410960692912,0.1681135540207227,0.012897317384680113,1,0,0,0,95.63321423530579,250,765.1157596111298,2000.0,185.08620709228515,4.6611748256683345,9.081571575164794,1.3140174646377563,2.1589754110846964,184.96763354492188,4.250732016801834,9.074159664154053,1.2543713040351867,2,7,2,7,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-53-43,1603230823,103.43470883369446,932.2213313579559,350,d83e38022e39,192.168.99.4,932.2213313579559,0,9,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.867517948150635,150,84.53452110290527,1500.0,0.03927525001267592,0.00025738553803724546,0.15590504537026087,0.012297934337208669,0.016043239636596016,0.03927525001267592,0.00025738553803724546,0.15590504537026087,0.012297934337208669,0,0,0,0,95.56621026992798,250,860.6819698810577,2250.0,185.0330020751953,4.658194675445556,9.076441017150879,1.313429708480835,2.1582851237604257,184.96763354492188,4.250732016801834,9.074159664154053,1.2543713040351867,3,8,3,8,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,b6a01a8f41354fcc9215d442dc92a13c,2020-10-20_21-55-27,1603230927,103.66391634941101,1035.885247707367,350,d83e38022e39,192.168.99.4,1035.885247707367,0,10,00056,"56_hypercubes=heat_para_6d,seed=3",360860,7.939776420593262,150,92.47429752349854,1650.0,0.07250398536523184,0.0006573614819596212,0.21902215013901394,0.019020131702224413,0.025639061643508352,0.03927525001267592,0.00025738553803724546,0.15590504537026087,0.012297934337208669,1,1,1,1,95.7230978012085,250,956.4050676822662,2500.0,185.25460998535155,4.658843267440796,9.083227230072021,1.3140335121154785,2.158435374858556,184.96763354492188,4.250732016801834,9.074159664154053,1.2543713040351867,4,9,4,9,13.004602670669556,150,13.004602670669556,150.0,169.7612220255534,0.8359590955575307,12.436753527323406,0.9137639856338501,0.9143079872545852
