lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-09-44,1603231784,113.31442785263062,113.31442785263062,393,d83e38022e39,192.168.99.4,113.31442785263062,0,1,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.38738751411438,150,25.39791750907898,300.0,0.22100859393676123,0.000860622680047527,0.37230936110019686,0.023146690987050533,0.029336371282889216,0.22100859393676123,0.000860622680047527,0.37230936110019686,0.023146690987050533,0,0,0,0,102.92595386505127,250,102.92595386505127,250.0,319.15336682128907,4.802261722803116,11.71931256866455,1.3290339188575744,2.191406334480923,319.15336682128907,4.802261722803116,11.71931256866455,1.3290339188575744,0,0,0,0,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-11-37,1603231897,113.36324954032898,226.6776773929596,393,d83e38022e39,192.168.99.4,226.6776773929596,0,2,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.394256114959717,150,35.792173624038696,450.0,0.09608875016371408,0.0004319703815660129,0.24527517209450403,0.015867416697243848,0.020783897169828685,0.09608875016371408,0.0004319703815660129,0.24527517209450403,0.015867416697243848,0,0,0,0,102.96323490142822,250,205.8891887664795,500.0,306.2135173339844,5.305529808044434,11.604930225372314,1.397212553024292,2.3033735711005354,306.2135173339844,4.802261722803116,11.604930225372314,1.3290339188575744,0,1,0,1,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-13-31,1603232011,113.55259919166565,340.23027658462524,393,d83e38022e39,192.168.99.4,340.23027658462524,0,3,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.552696943283081,150,46.34487056732178,600.0,0.10629940057794253,0.0005195939571907123,0.2592914732297262,0.017059608325362206,0.022794603685756684,0.09608875016371408,0.0004319703815660129,0.24527517209450403,0.015867416697243848,1,1,1,1,102.9941635131836,250,308.8833522796631,750.0,305.89680139160157,5.306327701568604,11.598234592437745,1.3971106009483338,2.303546765656952,305.89680139160157,4.802261722803116,11.598234592437745,1.3290339188575744,0,2,0,2,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-15-24,1603232124,113.6065034866333,453.83678007125854,393,d83e38022e39,192.168.99.4,453.83678007125854,0,4,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.554109811782837,150,56.898980379104614,750.0,0.09453143676122029,0.00046233628740689406,0.24157226483027142,0.015847541143496832,0.021502006590243945,0.09453143676122029,0.0004319703815660129,0.24157226483027142,0.015847541143496832,0,2,0,0,103.04663228988647,250,411.92998456954956,1000.0,306.2409737548828,5.310589269638061,11.602271934509277,1.3977573046684264,2.3044715814342474,305.89680139160157,4.802261722803116,11.598234592437745,1.3290339188575744,1,3,1,3,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-17-18,1603232238,113.23404121398926,567.0708212852478,393,d83e38022e39,192.168.99.4,567.0708212852478,0,5,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.322991132736206,150,67.22197151184082,900.0,0.09741502026716868,0.0005285330947178105,0.24564489136139553,0.01649395999809106,0.02298984764451062,0.09453143676122029,0.0004319703815660129,0.24157226483027142,0.015847541143496832,1,3,1,1,102.91011071205139,250,514.840095281601,1250.0,305.9076796875,5.312566585540772,11.600971397399903,1.3978466801643372,2.304900558709805,305.89680139160157,4.802261722803116,11.598234592437745,1.3290339188575744,2,4,2,4,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-19-11,1603232351,113.42159748077393,680.4924187660217,393,d83e38022e39,192.168.99.4,680.4924187660217,0,6,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.461077451705933,150,77.68304896354675,1050.0,0.09718639845649402,0.00040540057137453307,0.24637451161940893,0.015646016442527375,0.020134561613666512,0.09453143676122029,0.00040540057137453307,0.24157226483027142,0.015646016442527375,2,0,2,0,102.95482563972473,250,617.7949209213257,1500.0,305.6230284423828,5.303865766525268,11.595716606140137,1.3969308018684388,2.3030123244405942,305.6230284423828,4.802261722803116,11.595716606140137,1.3290339188575744,0,5,0,5,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-21-05,1603232465,113.37966012954712,793.8720788955688,393,d83e38022e39,192.168.99.4,793.8720788955688,0,7,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.370431184768677,150,88.05348014831543,1200.0,0.06665801624457042,0.0002909868610246728,0.20332119345664978,0.01305816343675057,0.01705833699469772,0.06665801624457042,0.0002909868610246728,0.20332119345664978,0.01305816343675057,0,0,0,0,103.00839591026306,250,720.8033168315887,1750.0,305.37803662109377,5.303040027618408,11.594610530853272,1.3966669011116029,2.3028330438002684,305.37803662109377,4.802261722803116,11.594610530853272,1.3290339188575744,0,6,0,6,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-22-58,1603232578,113.51781725883484,907.3898961544037,393,d83e38022e39,192.168.99.4,907.3898961544037,0,8,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.489636182785034,150,98.54311633110046,1350.0,0.07143802310029666,0.0003450851245239998,0.21126771012941997,0.013851138905932507,0.018576466954832928,0.06665801624457042,0.0002909868610246728,0.20332119345664978,0.01305816343675057,1,1,1,1,103.02084040641785,250,823.8241572380066,2000.0,306.15525744628906,5.313024250030518,11.608159141540527,1.3979932866096496,2.3049998373168092,305.37803662109377,4.802261722803116,11.594610530853272,1.3290339188575744,1,7,1,7,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-24-52,1603232692,113.43012762069702,1020.8200237751007,393,d83e38022e39,192.168.99.4,1020.8200237751007,0,9,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.38323187828064,150,108.9263482093811,1500.0,0.10318085809548695,0.0006338360354614755,0.2591502445936203,0.018298026906947294,0.025176100481636855,0.06665801624457042,0.0002909868610246728,0.20332119345664978,0.01305816343675057,2,2,2,2,103.04612183570862,250,926.8702790737152,2250.0,306.0305223388672,5.308291107177735,11.604367763519287,1.3973120546340942,2.303972896363526,305.37803662109377,4.802261722803116,11.594610530853272,1.3290339188575744,2,8,2,8,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,1cb0d0bd724a485eba7c3e1508b04c88,2020-10-20_22-26-45,1603232805,113.47416162490845,1134.2941854000092,393,d83e38022e39,192.168.99.4,1134.2941854000092,0,10,00057,"57_hypercubes=heat_para_7d,seed=3",631564,10.478014707565308,150,119.40436291694641,1650.0,0.05852929336329301,0.00026004958781413736,0.19045343667268752,0.012285389049599568,0.01612605307612924,0.05852929336329301,0.00026004958781413736,0.19045343667268752,0.012285389049599568,0,0,0,0,102.99518418312073,250,1029.865463256836,2500.0,305.59971704101565,5.3077424640655515,11.599979816436768,1.3970779242515563,2.3038538287108303,305.37803662109377,4.802261722803116,11.594610530853272,1.3290339188575744,3,9,3,9,15.0105299949646,150,15.0105299949646,150.0,272.6100089518229,0.8667819476127625,15.701652126312256,0.9305943389733632,0.9310112499925887
