lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-33-10,1603233190,121.65967464447021,121.65967464447021,384,d83e38022e39,192.168.99.4,121.65967464447021,0,1,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,13.973355054855347,150,33.58480167388916,300.0,0.24712779859701792,0.0008070555309920262,0.39282081166903177,0.02135051466524601,0.028408722797620207,0.24712779859701792,0.0008070555309920262,0.39282081166903177,0.02135051466524601,0,0,0,0,107.68088340759277,250,107.68088340759277,250.0,494.0043190917969,5.291695033550263,14.502301364898681,1.3925060069561004,2.3003684560413933,494.0043190917969,5.291695033550263,14.502301364898681,1.3925060069561004,0,0,0,0,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-35-12,1603233312,121.98816156387329,243.6478362083435,384,d83e38022e39,192.168.99.4,243.6478362083435,0,2,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,13.942917108535767,150,47.52771878242493,450.0,0.22654793153206507,0.0007401237272036572,0.37912006517251334,0.020645181785027188,0.027205215073651912,0.22654793153206507,0.0007401237272036572,0.37912006517251334,0.020645181785027188,0,0,0,0,108.03952145576477,250,215.72040486335754,500.0,475.30407080078123,5.769869155883789,14.379130939483643,1.4567325921058656,2.402055194179307,475.30407080078123,5.291695033550263,14.379130939483643,1.3925060069561004,0,1,0,1,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-37-15,1603233435,122.63531017303467,366.2831463813782,384,d83e38022e39,192.168.99.4,366.2831463813782,0,3,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,15.321336507797241,150,62.84905529022217,600.0,0.20487300445636114,0.0006132747248436014,0.3586847718556722,0.019044214921693007,0.02476438420077514,0.20487300445636114,0.0006132747248436014,0.3586847718556722,0.019044214921693007,0,0,0,0,107.3085343837738,250,323.02893924713135,750.0,475.9816044921875,5.769903764724732,14.380432888031006,1.456350212574005,2.402062398174688,475.30407080078123,5.291695033550263,14.379130939483643,1.3925060069561004,1,2,1,2,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-39-17,1603233557,122.17168521881104,488.4548316001892,384,d83e38022e39,192.168.99.4,488.4548316001892,0,4,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,15.256499290466309,150,78.10555458068848,750.0,0.13746518919865292,0.0004945380081577848,0.29410233755906423,0.016342810193697613,0.02223821054306719,0.13746518919865292,0.0004945380081577848,0.29410233755906423,0.016342810193697613,0,0,0,0,106.90937304496765,250,429.938312292099,1000.0,476.22877380371096,5.773442415237427,14.388216953277588,1.4572466220855713,2.402798871157848,475.30407080078123,5.291695033550263,14.379130939483643,1.3925060069561004,2,3,2,3,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-41-19,1603233679,122.04803609848022,610.5028676986694,384,d83e38022e39,192.168.99.4,610.5028676986694,0,5,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,14.14938235282898,150,92.25493693351746,900.0,0.15150251040856044,0.00044983485131524505,0.3086699136098226,0.016402314205964406,0.02120931048655861,0.13746518919865292,0.00044983485131524505,0.29410233755906423,0.016342810193697613,1,0,1,1,107.89298725128174,250,537.8312995433807,1250.0,475.5125399169922,5.7747303504943845,14.384800025939942,1.456799829006195,2.4030668635088754,475.30407080078123,5.291695033550263,14.379130939483643,1.3925060069561004,3,4,3,4,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-43-21,1603233801,122.1088490486145,732.6117167472839,384,d83e38022e39,192.168.99.4,732.6117167472839,0,6,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,14.21244502067566,150,106.46738195419312,1050.0,0.12099899083375931,0.000365084654573972,0.27502422968546547,0.014651584308594465,0.019107188557555294,0.12099899083375931,0.000365084654573972,0.27502422968546547,0.014651584308594465,0,0,0,0,107.8903706073761,250,645.7216701507568,1500.0,475.3518465576172,5.764885534286499,14.375284320831298,1.4561996808052062,2.4010176039101627,475.30407080078123,5.291695033550263,14.375284320831298,1.3925060069561004,4,5,0,5,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-45-23,1603233923,122.01293277740479,854.6246495246887,384,d83e38022e39,192.168.99.4,854.6246495246887,0,7,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,15.173256397247314,150,121.64063835144043,1200.0,0.11027908052007357,0.0003752408764557913,0.26241830746332806,0.014360775413612525,0.019371135135964317,0.11027908052007357,0.000365084654573972,0.26241830746332806,0.014360775413612525,0,1,0,0,106.83443808555603,250,752.5561082363129,1750.0,475.61093188476565,5.766308191299438,14.379265213012696,1.4562779688835144,2.401313846897035,475.30407080078123,5.291695033550263,14.375284320831298,1.3925060069561004,5,6,1,6,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-47-26,1603234046,122.45466685295105,977.0793163776398,384,d83e38022e39,192.168.99.4,977.0793163776398,0,8,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,15.194316387176514,150,136.83495473861694,1350.0,0.1761980880300204,0.0005069804866798222,0.3363145736853282,0.017646392857035002,0.022516227185739226,0.11027908052007357,0.000365084654573972,0.26241830746332806,0.014360775413612525,1,2,1,1,107.25571942329407,250,859.8118276596069,2000.0,476.12363403320313,5.773252161026001,14.388131759643555,1.4569454908370971,2.4027592807074956,475.30407080078123,5.291695033550263,14.375284320831298,1.3925060069561004,6,7,2,7,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-49-28,1603234168,121.9967303276062,1099.076046705246,384,d83e38022e39,192.168.99.4,1099.076046705246,0,9,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,14.299665689468384,150,151.13462042808533,1500.0,0.184613700012366,0.0005709699114474158,0.3398879180351893,0.018277364298701287,0.023894976699034794,0.11027908052007357,0.000365084654573972,0.26241830746332806,0.014360775413612525,2,3,2,2,107.69065284729004,250,967.502480506897,2250.0,475.93964111328125,5.7707233943939205,14.387021076202393,1.456689190864563,2.4022330016869553,475.30407080078123,5.291695033550263,14.375284320831298,1.3925060069561004,7,8,3,8,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,d5864d27c403407db6e10148cd95b2f7,2020-10-20_22-51-30,1603234290,122.00852704048157,1221.0845737457275,384,d83e38022e39,192.168.99.4,1221.0845737457275,0,10,00058,"58_hypercubes=heat_para_8d,seed=3",1033100,14.298650979995728,150,165.43327140808105,1650.0,0.18965693225463232,0.0005843448852344106,0.345573489467303,0.01840169295668602,0.024173226620259253,0.11027908052007357,0.000365084654573972,0.26241830746332806,0.014360775413612525,3,4,3,3,107.70453429222107,250,1075.207014799118,2500.0,475.33705114746095,5.769919925689697,14.377763385772704,1.456330277442932,2.4020657621492583,475.30407080078123,5.291695033550263,14.375284320831298,1.3925060069561004,8,9,4,9,19.611446619033813,150,19.611446619033813,150.0,420.5991794840495,0.9027154358228048,19.43666477203369,0.9498275899887085,0.9501133805092973
