lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,9569f7b81f4842688351ece33c86272a,2020-10-20_22-42-39,1603233759,133.58399605751038,133.58399605751038,352,d83e38022e39,192.168.99.4,133.58399605751038,0,1,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.403321743011475,150,43.233041286468506,300.0,0.5403231883049011,0.0013466865181302032,0.5853465672334035,0.027366276221970718,0.03669722766272955,0.5403231883049011,0.0013466865181302032,0.5853465672334035,0.027366276221970718,0,0,0,0,114.17273354530334,250,114.17273354530334,250.0,735.8245998535157,5.522071613788604,17.581919616699217,1.426723198890686,2.349908852229934,735.8245998535157,5.522071613788604,17.581919616699217,1.426723198890686,0,0,0,0,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,9569f7b81f4842688351ece33c86272a,2020-10-20_22-44-53,1603233893,133.29758191108704,266.8815779685974,352,d83e38022e39,192.168.99.4,266.8815779685974,0,2,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.08361005783081,150,62.316651344299316,450.0,0.32131355146567026,0.0007096026457535724,0.4483949486414591,0.020286897011101247,0.026638367925861606,0.32131355146567026,0.0007096026457535724,0.4483949486414591,0.020286897011101247,0,0,0,0,114.20664048194885,250,228.3793740272522,500.0,704.8145830078125,6.0717416172027585,17.41143669128418,1.4976135802268982,2.4640904239095525,704.8145830078125,5.522071613788604,17.41143669128418,1.426723198890686,0,1,0,1,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,9569f7b81f4842688351ece33c86272a,2020-10-20_22-47-07,1603234027,133.96250200271606,400.8440799713135,352,d83e38022e39,192.168.99.4,400.8440799713135,0,3,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.54486870765686,150,81.86152005195618,600.0,0.26198423067728677,0.0006451584262928615,0.40748273630936943,0.018981594343980154,0.02539996902149413,0.26198423067728677,0.0006451584262928615,0.40748273630936943,0.018981594343980154,0,0,0,0,114.41064858436584,250,342.79002261161804,750.0,704.9954509277344,6.073789665222168,17.4104779586792,1.4975014653205871,2.4645059677797834,704.8145830078125,5.522071613788604,17.4104779586792,1.426723198890686,1,2,0,2,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,9569f7b81f4842688351ece33c86272a,2020-10-20_22-49-20,1603234160,133.63425540924072,534.4783353805542,352,d83e38022e39,192.168.99.4,534.4783353805542,0,4,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.370577573776245,150,101.23209762573242,750.0,0.22720967521270116,0.000604788496857509,0.37795687715212506,0.01777979325503111,0.02459244796390772,0.22720967521270116,0.000604788496857509,0.37795687715212506,0.01777979325503111,0,0,0,0,114.25695943832397,250,457.046982049942,1000.0,705.6785961914062,6.076473127365112,17.420856101989745,1.497896005153656,2.465050329580537,704.8145830078125,5.522071613788604,17.4104779586792,1.426723198890686,2,3,1,3,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,9569f7b81f4842688351ece33c86272a,2020-10-20_22-51-34,1603234294,133.3841118812561,667.8624472618103,352,d83e38022e39,192.168.99.4,667.8624472618103,0,5,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.121572971343994,150,120.35367059707642,900.0,0.2447477991382281,0.0005456690137119343,0.39302591840426127,0.017815345600247383,0.0233595593646784,0.22720967521270116,0.0005456690137119343,0.37795687715212506,0.01777979325503111,1,0,1,1,114.25522518157959,250,571.3022072315216,1250.0,705.486259765625,6.081443716049194,17.42063789367676,1.4982637004852295,2.4660583358974284,704.8145830078125,5.522071613788604,17.4104779586792,1.426723198890686,3,4,2,4,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,9569f7b81f4842688351ece33c86272a,2020-10-20_22-53-47,1603234427,133.54503273963928,801.4074800014496,352,d83e38022e39,192.168.99.4,801.4074800014496,0,6,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.229737043380737,150,139.58340764045715,1050.0,0.18278838962316513,0.0004399151188166191,0.33897081514199573,0.015657757967710496,0.020974153589993067,0.18278838962316513,0.0004399151188166191,0.33897081514199573,0.015657757967710496,0,0,0,0,114.30909848213196,250,685.6113057136536,1500.0,705.0393713378907,6.073653606414795,17.40886943054199,1.497424271583557,2.4644783639575323,704.8145830078125,5.522071613788604,17.40886943054199,1.426723198890686,4,5,0,5,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,9569f7b81f4842688351ece33c86272a,2020-10-20_22-56-01,1603234561,133.74933218955994,935.1568121910095,352,d83e38022e39,192.168.99.4,935.1568121910095,0,7,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.364384651184082,150,158.94779229164124,1200.0,0.27015505452950794,0.0006771742711619784,0.4189154748121897,0.019659851230680942,0.026022572339451346,0.18278838962316513,0.0004399151188166191,0.33897081514199573,0.015657757967710496,1,1,1,1,114.37790822982788,250,799.9892139434814,1750.0,704.7960573730469,6.070063344955444,17.410129554748536,1.4970741801261902,2.4637498543795884,704.7960573730469,5.522071613788604,17.40886943054199,1.426723198890686,0,6,1,6,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,9569f7b81f4842688351ece33c86272a,2020-10-20_22-58-15,1603234695,133.53893208503723,1068.6957442760468,352,d83e38022e39,192.168.99.4,1068.6957442760468,0,8,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.145132303237915,150,178.09292459487915,1350.0,0.22846704423427583,0.0005541184463072568,0.3792131298780441,0.017444507690767448,0.023539720608096792,0.18278838962316513,0.0004399151188166191,0.33897081514199573,0.015657757967710496,2,2,2,2,114.38773989677429,250,914.3769538402557,2000.0,706.1201877441406,6.0829197025299075,17.423242042541503,1.4984377012252807,2.4663575779942994,704.7960573730469,5.522071613788604,17.40886943054199,1.426723198890686,1,7,2,7,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,9569f7b81f4842688351ece33c86272a,2020-10-20_23-00-28,1603234828,133.6596715450287,1202.3554158210754,352,d83e38022e39,192.168.99.4,1202.3554158210754,0,9,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.347502946853638,150,197.4404275417328,1500.0,0.3783769319454829,0.0006166810588911176,0.4851080948114395,0.020215903880695503,0.024833063824085774,0.18278838962316513,0.0004399151188166191,0.33897081514199573,0.015657757967710496,3,3,3,3,114.30721163749695,250,1028.6841654777527,2250.0,705.4062238769532,6.072786577224732,17.41834557342529,1.4976939544677734,2.464302452464943,704.7960573730469,5.522071613788604,17.40886943054199,1.426723198890686,2,8,3,8,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,9569f7b81f4842688351ece33c86272a,2020-10-20_23-02-42,1603234962,133.61074829101562,1335.966164112091,352,d83e38022e39,192.168.99.4,1335.966164112091,0,10,00059,"59_hypercubes=heat_para_9d,seed=3",1602332,19.277661323547363,150,216.71808886528015,1650.0,0.2199645053346952,0.00047722781736714146,0.36911925991376243,0.016540372086067994,0.021845544565589146,0.18278838962316513,0.0004399151188166191,0.33897081514199573,0.015657757967710496,4,4,4,4,114.32443499565125,250,1143.008600473404,2500.0,704.57324609375,6.069569793701172,17.411066764831542,1.4971183490753175,2.463649689728873,704.57324609375,5.522071613788604,17.40886943054199,1.426723198890686,0,9,4,9,23.82971954345703,150,23.82971954345703,150.0,615.5491959635417,0.9258733320236207,23.44023754119873,0.9620453679561615,0.9622231196680012
