lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-26-13,1603146373,108.13285541534424,108.13285541534424,356,d83e38022e39,192.168.99.4,108.13285541534424,0,1,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.894553184509277,150,22.74748468399048,300.0,0.09070092414816221,0.000673844674990202,0.23879072258869807,0.019394972746570906,0.025958518351211844,0.09070092414816221,0.000673844674990202,0.23879072258869807,0.019394972746570906,0,0,0,0,99.23698139190674,250,99.23698139190674,250.0,192.8401297607422,4.237024588823319,9.168463130950927,1.2526173515319825,2.058403407698141,192.8401297607422,4.237024588823319,9.168463130950927,1.2526173515319825,0,0,0,0,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-28-01,1603146481,108.43185830116272,216.56471371650696,356,d83e38022e39,192.168.99.4,216.56471371650696,0,2,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.935740947723389,150,31.683225631713867,450.0,0.07344780792792638,0.000511655384907499,0.2133905444542567,0.017079396955668926,0.022619800726520537,0.07344780792792638,0.000511655384907499,0.2133905444542567,0.017079396955668926,0,0,0,0,99.49508857727051,250,198.73206996917725,500.0,184.7565023803711,4.649888809204102,9.073765323638916,1.3129353828430175,2.156360083382203,184.7565023803711,4.237024588823319,9.073765323638916,1.2526173515319825,0,1,0,1,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-29-49,1603146589,108.28228855133057,324.8470022678375,356,d83e38022e39,192.168.99.4,324.8470022678375,0,3,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.946166038513184,150,40.62939167022705,600.0,0.0713895732164383,0.0005506152279364566,0.21195775399605432,0.017369116619229318,0.023465191836770833,0.0713895732164383,0.000511655384907499,0.21195775399605432,0.017079396955668926,0,1,0,1,99.33522272109985,250,298.0672926902771,750.0,184.94403680419921,4.654664276123047,9.077023246765137,1.3133804097175599,2.1574670973442553,184.7565023803711,4.237024588823319,9.073765323638916,1.2526173515319825,1,2,1,2,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-31-38,1603146698,108.37115049362183,433.21815276145935,356,d83e38022e39,192.168.99.4,433.21815276145935,0,4,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.811877489089966,150,49.44126915931702,750.0,0.05476562996705373,0.0003536038184150433,0.1837558670838674,0.014421076159924268,0.018804356368008007,0.05476562996705373,0.0003536038184150433,0.1837558670838674,0.014421076159924268,0,0,0,0,99.55815696716309,250,397.6254496574402,1000.0,184.63689282226562,4.649815074920654,9.073732475280762,1.312904269695282,2.15634298638242,184.63689282226562,4.237024588823319,9.073732475280762,1.2526173515319825,0,3,0,3,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-33-26,1603146806,108.33570742607117,541.5538601875305,356,d83e38022e39,192.168.99.4,541.5538601875305,0,5,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.860547065734863,150,58.30181622505188,900.0,0.06299614248176416,0.00040785958291962744,0.19758588363726934,0.015512871239334345,0.020195533736933703,0.05476562996705373,0.0003536038184150433,0.1837558670838674,0.014421076159924268,1,1,1,1,99.47424292564392,250,497.0996925830841,1250.0,184.98384741210938,4.6576091613769535,9.078723667144775,1.3137349076271057,2.15814947614315,184.63689282226562,4.237024588823319,9.073732475280762,1.2526173515319825,1,4,1,4,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-35-15,1603146915,108.62988448143005,650.1837446689606,356,d83e38022e39,192.168.99.4,650.1837446689606,0,6,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.811114311218262,150,67.11293053627014,1050.0,0.04969865786532561,0.00031707731580051283,0.17572163422902426,0.013772921084115902,0.017806664926383966,0.04969865786532561,0.00031707731580051283,0.17572163422902426,0.013772921084115902,0,0,0,0,99.81796193122864,250,596.9176545143127,1500.0,185.1277483520508,4.653454154968261,9.079558151245116,1.313286651134491,2.1571866296100253,184.63689282226562,4.237024588823319,9.073732475280762,1.2526173515319825,2,5,2,5,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-37-03,1603147023,108.25122570991516,758.4349703788757,356,d83e38022e39,192.168.99.4,758.4349703788757,0,7,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.724929332733154,150,75.8378598690033,1200.0,0.03831049171586831,0.00026098623677777745,0.15448622316122054,0.012307814030597608,0.01615506845475368,0.03831049171586831,0.00026098623677777745,0.15448622316122054,0.012307814030597608,0,0,0,0,99.52535557746887,250,696.4430100917816,1750.0,184.82106671142577,4.6561865940094,9.076262901306153,1.3135163736343385,2.157819870612327,184.63689282226562,4.237024588823319,9.073732475280762,1.2526173515319825,3,6,3,6,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-38-51,1603147131,108.18538689613342,866.6203572750092,356,d83e38022e39,192.168.99.4,866.6203572750092,0,8,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.705360651016235,150,84.54322052001953,1350.0,0.059606482336918516,0.00034749254021638386,0.19266481240590413,0.014699141569435597,0.018641151794253054,0.03831049171586831,0.00026098623677777745,0.15448622316122054,0.012307814030597608,1,1,1,1,99.47918653488159,250,795.9221966266632,2000.0,185.07574468994142,4.654141120910644,9.078578540802003,1.3135129199028015,2.157345851019406,184.63689282226562,4.237024588823319,9.073732475280762,1.2526173515319825,4,7,4,7,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-40-40,1603147240,108.37819361686707,974.9985508918762,356,d83e38022e39,192.168.99.4,974.9985508918762,0,9,00005,"5_hypercubes=heat_para_6d,seed=0",360860,8.85009765625,150,93.39331817626953,1500.0,0.04630878796180089,0.00029043727399160463,0.16812009165684383,0.01309570087119937,0.017042220336317818,0.03831049171586831,0.00026098623677777745,0.15448622316122054,0.012307814030597608,2,2,2,2,99.52714467048645,250,895.4493412971497,2250.0,185.18303479003907,4.661200098037719,9.079745571136474,1.3141384286880493,2.158981263938555,184.63689282226562,4.237024588823319,9.073732475280762,1.2526173515319825,5,8,5,8,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,fc7d8a91302d445fb83c6d7e35f48756,2020-10-19_22-42-28,1603147348,108.69021725654602,1083.6887681484222,356,d83e38022e39,192.168.99.4,1083.6887681484222,0,10,00005,"5_hypercubes=heat_para_6d,seed=0",360860,9.04321813583374,150,102.43653631210327,1650.0,0.042820086951057115,0.0003053962883617108,0.16374457836151124,0.013150486027201017,0.017475591216371215,0.03831049171586831,0.00026098623677777745,0.15448622316122054,0.012307814030597608,3,3,3,3,99.64570045471191,250,995.0950417518616,2500.0,185.14613061523437,4.655749494552612,9.081141979217529,1.3135224599838258,2.157718585578901,184.63689282226562,4.237024588823319,9.073732475280762,1.2526173515319825,6,9,6,9,13.852931499481201,150,13.852931499481201,150.0,168.74457000732423,0.8282457423210144,12.388591372172037,0.9093548778692881,0.9100800746753082
