lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-08-37,1603235317,140.0723693370819,140.0723693370819,369,d83e38022e39,192.168.99.4,140.0723693370819,0,1,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,24.28475594520569,150,52.8428738117218,300.0,0.7960884340604146,0.001229805042191098,0.7121042672793071,0.027204313576221467,0.03506857627835921,0.7960884340604146,0.001229805042191098,0.7121042672793071,0.027204313576221467,0,0,0,0,115.78060674667358,250,115.78060674667358,250.0,1045.5727307128907,5.700874921560287,20.860421699523926,1.4545442559719086,2.387650502389386,1045.5727307128907,5.700874921560287,20.860421699523926,1.4545442559719086,0,0,0,0,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-10-57,1603235457,140.1711094379425,280.2434787750244,369,d83e38022e39,192.168.99.4,280.2434787750244,0,2,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,24.20775318145752,150,77.05062699317932,450.0,0.5594708406925202,0.0009275022866980483,0.5970287986596425,0.023224422360459962,0.0304549222080446,0.5594708406925202,0.0009275022866980483,0.5970287986596425,0.023224422360459962,0,0,0,0,115.95429158210754,250,231.73489832878113,500.0,1006.0778732910156,6.253224409103393,20.69972644042969,1.5256103224754334,2.500644798667614,1006.0778732910156,5.700874921560287,20.69972644042969,1.4545442559719086,0,1,0,1,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-13-18,1603235598,140.30242490768433,420.54590368270874,369,d83e38022e39,192.168.99.4,420.54590368270874,0,3,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,24.420945644378662,150,101.47157263755798,600.0,0.509417816400528,0.0007457301040024807,0.5672145958741506,0.0213310028364261,0.027308059323256216,0.509417816400528,0.0007457301040024807,0.5672145958741506,0.0213310028364261,0,0,0,0,115.87309670448303,250,347.60799503326416,750.0,1005.9028996582031,6.2506772193908695,20.692977577209472,1.5249625067710877,2.500135440209364,1005.9028996582031,5.700874921560287,20.692977577209472,1.4545442559719086,0,2,0,2,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-15-38,1603235738,140.38655495643616,560.9324586391449,369,d83e38022e39,192.168.99.4,560.9324586391449,0,4,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,24.456034421920776,150,125.92760705947876,750.0,0.36324476679166157,0.000660811144237717,0.4771660870313644,0.018924324785669643,0.025706247183082113,0.36324476679166157,0.000660811144237717,0.4771660870313644,0.018924324785669643,0,0,0,0,115.92070484161377,250,463.52869987487793,1000.0,1007.3591018066406,6.259678207397461,20.70708010864258,1.5260562391281127,2.5019348927175264,1005.9028996582031,5.700874921560287,20.692977577209472,1.4545442559719086,1,3,1,3,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-17-58,1603235878,140.30989837646484,701.2423570156097,369,d83e38022e39,192.168.99.4,701.2423570156097,0,5,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,24.4374098777771,150,150.36501693725586,900.0,0.30853592276573183,0.0005298023453603188,0.440055135289828,0.01729194918026527,0.023017435681680937,0.30853592276573183,0.0005298023453603188,0.440055135289828,0.01729194918026527,0,0,0,0,115.86326432228088,250,579.3919641971588,1250.0,1007.3252243652344,6.255714870452881,20.710615646362303,1.5256129865646362,2.501142712932007,1005.9028996582031,5.700874921560287,20.692977577209472,1.4545442559719086,2,4,2,4,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-20-19,1603236019,140.2266149520874,841.4689719676971,369,d83e38022e39,192.168.99.4,841.4689719676971,0,6,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,24.134321689605713,150,174.49933862686157,1050.0,0.31106602827707924,0.0005434182410438855,0.4423283688227336,0.0174358198667566,0.023311332888616334,0.30853592276573183,0.0005298023453603188,0.440055135289828,0.01729194918026527,1,1,1,1,116.08404397964478,250,695.4760081768036,1500.0,1005.5006657714844,6.242882219314575,20.690704223632814,1.5244280862808228,2.4985760383295474,1005.5006657714844,5.700874921560287,20.690704223632814,1.4545442559719086,0,5,0,5,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-22-39,1603236159,140.0799012184143,981.5488731861115,369,d83e38022e39,192.168.99.4,981.5488731861115,0,7,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,23.959466457366943,150,198.45880508422852,1200.0,0.3025003848473231,0.0004816468213296806,0.43211588780085247,0.016660536502798397,0.021946453502324256,0.3025003848473231,0.0004816468213296806,0.43211588780085247,0.016660536502798397,0,0,0,0,116.11044478416443,250,811.586452960968,1750.0,1004.5650651855469,6.247323839187622,20.68579850769043,1.5245464696884155,2.499464710530561,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,0,6,0,6,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-24-59,1603236299,139.93359446525574,1121.4824676513672,369,d83e38022e39,192.168.99.4,1121.4824676513672,0,8,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,23.88544988632202,150,222.34425497055054,1350.0,0.27508575181166334,0.00047794008530521146,0.41588595271110534,0.016367255449295043,0.02186184084895898,0.27508575181166334,0.00047794008530521146,0.41588595271110534,0.016367255449295043,0,0,0,0,116.03998756408691,250,927.6264405250549,2000.0,1006.5764184570312,6.255684480667115,20.703776634216307,1.5255821871757507,2.5011366377443505,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,1,7,1,7,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-27-19,1603236439,140.02661204338074,1261.509079694748,369,d83e38022e39,192.168.99.4,1261.509079694748,0,9,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,23.95065450668335,150,246.2949094772339,1500.0,0.35844819247722626,0.0008095400920137764,0.48107874135176343,0.020402873394389946,0.0284524180345674,0.27508575181166334,0.00047794008530521146,0.41588595271110534,0.016367255449295043,1,1,1,1,116.0675630569458,250,1043.6940035820007,2250.0,1006.5997189941406,6.251400159835815,20.705212509155274,1.5251689624786378,2.500280016285339,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,2,8,2,8,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-29-39,1603236579,139.91585326194763,1401.4249329566956,369,d83e38022e39,192.168.99.4,1401.4249329566956,0,10,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,23.90025782585144,150,270.1951673030853,1650.0,0.3674379720290502,0.0005293337787346294,0.4784158595403035,0.01801764582594236,0.023007254915235528,0.27508575181166334,0.00047794008530521146,0.41588595271110534,0.016367255449295043,2,2,2,2,116.00760388374329,250,1159.701607465744,2500.0,1006.6695769042968,6.2551164588928225,20.703112731933594,1.5252367057800293,2.501023082439029,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,3,9,3,9,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",10,False,,,11,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-31-59,1603236719,139.9827802181244,1541.40771317482,369,d83e38022e39,192.168.99.4,1541.40771317482,0,11,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,23.94991397857666,150,294.145081281662,1800.0,0.2899077431360881,0.0004590857808943838,0.42700263639291125,0.016447236674527327,0.021426287146735987,0.27508575181166334,0.0004590857808943838,0.41588595271110534,0.016367255449295043,3,0,3,3,116.02374958992004,250,1275.725357055664,2750.0,1006.9357199707031,6.25336895942688,20.700440803527833,1.5252862706184387,2.5006737011107387,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,4,10,4,10,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",11,False,,,12,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-34-19,1603236859,140.1008152961731,1681.508528470993,369,d83e38022e39,192.168.99.4,1681.508528470993,0,12,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,23.996134519577026,150,318.141215801239,1950.0,0.225229476193587,0.0003660070855403319,0.37281891226768493,0.01442794697980086,0.019131311652375846,0.225229476193587,0.0003660070855403319,0.37281891226768493,0.01442794697980086,0,0,0,0,116.09584355354309,250,1391.8212006092072,3000.0,1006.5377082519532,6.2603270626068115,20.703211219787597,1.5259272618293762,2.502064560039731,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,5,11,5,11,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",12,False,,,13,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-36-39,1603236999,139.95904326438904,1821.467571735382,369,d83e38022e39,192.168.99.4,1821.467571735382,0,13,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,23.904115438461304,150,342.0453312397003,2100.0,0.2998230077823003,0.00043269236901930224,0.43401494721571604,0.016320972194274266,0.020801258832563528,0.225229476193587,0.0003660070855403319,0.37281891226768493,0.01442794697980086,1,1,1,1,116.04721641540527,250,1507.8684170246124,3250.0,1006.348078125,6.249987367630005,20.69487660217285,1.5249161987304687,2.4999974735247243,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,6,12,6,12,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
"[0.001, 0.001, 0.001, 0.001]",13,False,,,14,bd9667dfdaf144949c5b19fca2356f5d,2020-10-20_23-38-59,1603237139,140.28279876708984,1961.750370502472,369,d83e38022e39,192.168.99.4,1961.750370502472,0,14,00060,"60_hypercubes=heat_para_10d,seed=3",2380732,24.095375061035156,150,366.1407063007355,2250.0,0.21343124955892562,0.00038192298651362457,0.36362859268983205,0.014406801337997118,0.019542850010006847,0.21343124955892562,0.0003660070855403319,0.36362859268983205,0.014406801337997118,0,2,0,0,116.17845892906189,250,1624.0468759536743,3500.0,1007.3641437988281,6.256082546234131,20.70672248840332,1.5257485966682434,2.5012162134118134,1004.5650651855469,5.700874921560287,20.68579850769043,1.4545442559719086,7,13,7,13,28.558117866516113,150,28.558117866516113,150.0,852.6023575846355,0.9177891500790913,27.45615374247233,0.9578161334991455,0.9580131262561549
